ko:K18816	clr:UPTC16701_0869
ko:K18139	clr:UPTC16701_1529
ko:K14235	clr:UPTC16701_0439
ko:K14219	clr:UPTC16701_1435
ko:K02031	clr:UPTC16701_1418
ko:K17248	clr:UPTC16701_1235
ko:K14226	clr:UPTC16701_1436
ko:K11014	clr:UPTC16701_1346
ko:K11013	clr:UPTC16701_1347
ko:K14219	clr:UPTC16701_0596
ko:K14219	clr:UPTC16701_1434
ko:K18918	clr:UPTC16701_1079
ko:K02482	clr:UPTC16701_0595
ko:K01174	clr:UPTC16701_0563
ko:K04753	clr:UPTC16701_0348
ko:K06148	clr:UPTC16701_1233
ko:K06940	clr:UPTC16701_0892
ko:K01609	clr:UPTC16701_0894
ko:K06917	clr:UPTC16701_0896
ko:K03306	clr:UPTC16701_0897
ko:K00097	clr:UPTC16701_0898
ko:K03474	clr:UPTC16701_0899
ko:K01524	clr:UPTC16701_0900
ko:K09117	clr:UPTC16701_0901
ko:K01173	clr:UPTC16701_0902
ko:K04043	clr:UPTC16701_0903
ko:K03687	clr:UPTC16701_0904
ko:K03705	clr:UPTC16701_0905
ko:K02400	clr:UPTC16701_0909
ko:K02956	clr:UPTC16701_0911
ko:K07447	clr:UPTC16701_0913
ko:K04096	clr:UPTC16701_0914
ko:K09798	clr:UPTC16701_0915
ko:K00053	clr:UPTC16701_0916
ko:K12573	clr:UPTC16701_0917
ko:K02340	clr:UPTC16701_0918
ko:K02990	clr:UPTC16701_0919
ko:K02963	clr:UPTC16701_0921
ko:K05595	clr:UPTC16701_0922
ko:K00286	clr:UPTC16701_0926
ko:K13626	clr:UPTC16701_0927
ko:K05807	clr:UPTC16701_0928
ko:K01338	clr:UPTC16701_0929
ko:K01754	clr:UPTC16701_0933
ko:K06929	clr:UPTC16701_0934
ko:K02950	clr:UPTC16701_0449
ko:K02992	clr:UPTC16701_0450
ko:K02355	clr:UPTC16701_0451
ko:K17938	clr:UPTC16701_0453
ko:K11928	clr:UPTC16701_0454
ko:K00290	clr:UPTC16701_0455
ko:K02018	clr:UPTC16701_0456
ko:K03832	clr:UPTC16701_0464
ko:K03559	clr:UPTC16701_0465
ko:K03561	clr:UPTC16701_0466
