ko:K12978	fto:X557_08760
ko:K01153	fto:X557_04120
ko:K07464	fto:X557_06840
ko:K03602	fto:X557_04050
ko:K18552	fto:X557_09600
ko:K19561	fto:X557_06585
ko:K01990	fto:X557_07805
ko:K12308	fto:X557_02675
ko:K03500	fto:X557_05865
ko:K01092	fto:X557_05870
ko:K09458	fto:X557_05895
ko:K02078	fto:X557_05900
ko:K00059	fto:X557_05905
ko:K00645	fto:X557_05910
ko:K00648	fto:X557_05915
ko:K03621	fto:X557_05920
ko:K02911	fto:X557_05925
ko:K07040	fto:X557_05930
ko:K00615	fto:X557_05935
ko:K00134	fto:X557_05940
ko:K00927	fto:X557_05945
ko:K00873	fto:X557_05950
ko:K01624	fto:X557_05955
ko:K11901	fto:X557_05995
ko:K11900	fto:X557_06000
ko:K01697	fto:X557_06115
ko:K01442	fto:X557_06120
ko:K03650	fto:X557_06135
ko:K05808	fto:X557_06145
ko:K02806	fto:X557_06150
ko:K01156	fto:X557_02835
ko:K03648	fto:X557_02840
ko:K02469	fto:X557_02860
ko:K00099	fto:X557_02865
ko:K07277	fto:X557_02870
ko:K06142	fto:X557_02875
ko:K02536	fto:X557_02880
ko:K02372	fto:X557_02885
ko:K00677	fto:X557_02890
ko:K00748	fto:X557_02895
ko:K01004	fto:X557_02925
ko:K00795	fto:X557_02930
ko:K02527	fto:X557_02935
ko:K02428	fto:X557_02940
ko:K00286	fto:X557_02945
ko:K03100	fto:X557_02960
ko:K03685	fto:X557_02965
ko:K03177	fto:X557_02970
ko:K12573	fto:X557_02975
ko:K07337	fto:X557_03045
ko:K09859	fto:X557_03060
ko:K07516	fto:X557_03105
ko:K01897	fto:X557_03115
ko:K00537	fto:X557_03120
ko:K07091	fto:X557_07640
ko:K11720	fto:X557_07645
ko:K07263	fto:X557_07650
ko:K08316	fto:X557_07660
ko:K06169	fto:X557_07670
ko:K00757	fto:X557_07675
ko:K01489	fto:X557_07680
ko:K15633	fto:X557_07695
ko:K01875	fto:X557_07700
ko:K00847	fto:X557_07705
ko:K16013	fto:X557_07725
ko:K11103	fto:X557_07735
ko:K01129	fto:X557_07760
ko:K03782	fto:X557_07765
ko:K07259	fto:X557_07785
ko:K02445	fto:X557_07790
ko:K00639	fto:X557_07840
ko:K00060	fto:X557_07845
ko:K00991	fto:X557_07855
ko:K05589	fto:X557_07860
ko:K01689	fto:X557_07865
ko:K03811	fto:X557_07875
ko:K00845	fto:X557_07880
ko:K03215	fto:X557_07885
ko:K03060	fto:X557_07900
ko:K00876	fto:X557_07905
ko:K01627	fto:X557_07910
ko:K15724	fto:X557_07915
ko:K00962	fto:X557_07920
ko:K02956	fto:X557_07925
ko:K03316	fto:X557_00035
ko:K04773	fto:X557_00050
ko:K03071	fto:X557_00065
ko:K02313	fto:X557_00005
ko:K02338	fto:X557_00010
ko:K01011	fto:X557_00060
ko:K03565	fto:X557_00075
ko:K13788	fto:X557_00090
ko:K00925	fto:X557_00085
ko:K00031	fto:X557_03125
ko:K13012	fto:X557_03150
ko:K01784	fto:X557_03155
ko:K02474	fto:X557_03165
ko:K02473	fto:X557_03170
ko:K01953	fto:X557_03185
ko:K00973	fto:X557_03210
ko:K00971	fto:X557_03240
ko:K03628	fto:X557_03255
ko:K03671	fto:X557_03260
ko:K01524	fto:X557_03265
ko:K03040	fto:X557_03285
ko:K03594	fto:X557_03295
ko:K03424	fto:X557_03305
ko:K11312	fto:X557_03310
ko:K01990	fto:X557_03325
ko:K01992	fto:X557_03330
ko:K02533	fto:X557_06155
ko:K03470	fto:X557_06160
ko:K03600	fto:X557_06170
ko:K03599	fto:X557_06175
ko:K02996	fto:X557_06180
ko:K02871	fto:X557_06185
ko:K08304	fto:X557_06195
ko:K03687	fto:X557_06200
ko:K04043	fto:X557_06205
ko:K03686	fto:X557_06210
ko:K06911	fto:X557_06220
ko:K01889	fto:X557_06240
ko:K01890	fto:X557_06245
ko:K09823	fto:X557_06250
ko:K06131	fto:X557_06270
ko:K06131	fto:X557_06275
ko:K03593	fto:X557_06285
ko:K01494	fto:X557_06290
ko:K03643	fto:X557_06300
ko:K01869	fto:X557_06305
ko:K07447	fto:X557_06325
ko:K07735	fto:X557_06330
ko:K02205	fto:X557_06355
ko:K03671	fto:X557_06380
ko:K09015	fto:X557_06400
ko:K09013	fto:X557_06405
ko:K03499	fto:X557_06420
ko:K02518	fto:X557_06435
ko:K07090	fto:X557_06440
ko:K00135	fto:X557_00100
ko:K01876	fto:X557_00120
ko:K03837	fto:X557_00160
ko:K00609	fto:X557_00175
ko:K01955	fto:X557_00180
ko:K01956	fto:X557_00185
ko:K00569	fto:X557_00195
ko:K01465	fto:X557_00200
ko:K09941	fto:X557_00210
ko:K01591	fto:X557_00255
ko:K00254	fto:X557_00260
ko:K07560	fto:X557_00270
ko:K01193	fto:X557_00285
ko:K03834	fto:X557_00325
ko:K03501	fto:X557_00330
ko:K06997	fto:X557_00335
ko:K01649	fto:X557_00685
ko:K00826	fto:X557_00690
ko:K01006	fto:X557_00695
ko:K04759	fto:X557_00700
ko:K01147	fto:X557_00735
ko:K01749	fto:X557_00745
ko:K02050	fto:X557_00770
ko:K02049	fto:X557_00775
ko:K02494	fto:X557_00795
ko:K00919	fto:X557_00800
ko:K12262	fto:X557_00830
ko:K03306	fto:X557_00840
ko:K07220	fto:X557_00845
ko:K01114	fto:X557_00850
ko:K07015	fto:X557_00905
ko:K07056	fto:X557_00920
ko:K01924	fto:X557_00925
ko:K00014	fto:X557_00930
ko:K02914	fto:X557_00940
ko:K03536	fto:X557_00945
