ko:K09806	ecg:E2348C_3341
ko:K15581	ecg:E2348C_1370
ko:K03779	ecg:E2348C_3354
ko:K00932	ecg:E2348C_3405
ko:K02495	ecg:E2348C_4173
ko:K01760	ecg:E2348C_3294
ko:K06133	ecg:E2348C_3716
ko:K07229	ecg:E2348C_3363
ko:K11746	ecg:E2348C_0047
ko:K05812	ecg:E2348C_2860
ko:K11733	ecg:E2348C_2302
ko:K06889	ecg:E2348C_4513
ko:K11734	ecg:E2348C_0115
ko:K18919	ecg:E2348C_0016
ko:K18919	ecg:E2348C_0017
ko:K18919	ecg:E2348C_1402
ko:K18919	ecg:E2348C_1403
ko:K13895	ecg:E2348C_2326
ko:K01961	ecg:E2348C_3526
ko:K18838	ecg:E2348C_1118
ko:K03275	ecg:E2348C_3875
ko:K10823	ecg:E2348C_1373
ko:K18138	ecg:E2348C_0397
ko:K18922	ecg:E2348C_0482
ko:K01524	ecg:E2348C_2727
ko:K11740	ecg:E2348C_0469
ko:K02462	ecg:E2348C_3240
ko:K18923	ecg:E2348_P1_034
ko:K15555	ecg:E2348C_0926
ko:K03760	ecg:E2348C_4442
ko:K02566	ecg:E2348C_0557
ko:K07804	ecg:E2348C_3226
ko:K08348	ecg:E2348C_1608
ko:K09022	ecg:E2348C_3403
ko:K02619	ecg:E2348C_1188
ko:K03477	ecg:E2348C_4514
ko:K00567	ecg:E2348C_1528
ko:K00027	ecg:E2348C_1613
ko:K01890	ecg:E2348C_1842
ko:K06958	ecg:E2348C_3484
ko:K00598	ecg:E2348C_1640
ko:K00265	ecg:E2348C_3491
ko:K01874	ecg:E2348C_2260
ko:K01894	ecg:E2348C_0147
ko:K07090	ecg:E2348C_2467
ko:K00029	ecg:E2348C_2697
ko:K00832	ecg:E2348C_4369
ko:K01895	ecg:E2348C_4392
ko:K00113	ecg:E2348C_2386
ko:K12265	ecg:E2348C_2968
ko:K02574	ecg:E2348C_2348
ko:K02778	ecg:E2348C_1193
ko:K02779	ecg:E2348C_1193
ko:K12113	ecg:E2348C_3368
ko:K12147	ecg:E2348C_1142
ko:K12148	ecg:E2348C_1150
ko:K12149	ecg:E2348C_1151
ko:K12062	ecg:E2348_P1_062
ko:K07304	ecg:E2348C_4549
ko:K12111	ecg:E2348C_3369
ko:K12063	ecg:E2348_P1_063
ko:K12065	ecg:E2348_P1_069
ko:K12112	ecg:E2348C_3370
ko:K01079	ecg:E2348C_4686
ko:K02483	ecg:E2348C_2080
ko:K12289	ecg:E2348C_3638
ko:K02654	ecg:E2348C_3252
ko:K09810	ecg:E2348C_1209
ko:K12266	ecg:E2348C_2966
ko:K11922	ecg:E2348C_0609
ko:K11991	ecg:E2348C_2836
ko:K00703	ecg:E2348C_3675
ko:K12264	ecg:E2348C_2967
ko:K12340	ecg:E2348C_3330
ko:K03533	ecg:E2348C_1049
ko:K11085	ecg:E2348C_0907
ko:K07307	ecg:E2348C_0891
ko:K12299	ecg:E2348C_3413
ko:K01628	ecg:E2348C_3067
ko:K01096	ecg:E2348C_1470
ko:K01270	ecg:E2348C_0230
ko:K04091	ecg:E2348C_0928
ko:K00575	ecg:E2348C_2008
ko:K00299	ecg:E2348C_0930
ko:K11941	ecg:E2348C_1138
ko:K05984	ecg:E2348C_1869
ko:K21905	ecg:E2348C_3758
ko:K01840	ecg:E2348C_2190
ko:K01485	ecg:E2348C_0296
ko:K03810	ecg:E2348C_1158
ko:K07251	ecg:E2348C_1198
ko:K01835	ecg:E2348C_0580
ko:K03496	ecg:E2348_P1_103
ko:K03229	ecg:E2348C_3960
ko:K12262	ecg:E2348C_1555
ko:K00821	ecg:E2348C_3609
ko:K00058	ecg:E2348C_3164
ko:K01023	ecg:E2348C_3334
ko:K05835	ecg:E2348C_4123
ko:K13920	ecg:E2348C_2134
ko:K08161	ecg:E2348C_1143
ko:K03711	ecg:E2348C_0574
ko:K03636	ecg:E2348C_0736
ko:K00059	ecg:E2348C_1185
ko:K12061	ecg:E2348_P1_061
ko:K07346	ecg:E2348C_1633
ko:K07592	ecg:E2348C_3408
ko:K03972	ecg:E2348C_1500
ko:K06934	ecg:E2348C_3175
ko:K11750	ecg:E2348C_0232
ko:K01420	ecg:E2348C_1527
ko:K02824	ecg:E2348C_2722
ko:K02414	ecg:E2348C_2057
ko:K11747	ecg:E2348C_3600
