ko:K01658	ypx:YPD8_1328
ko:K16301	ypx:YPD8_1905
ko:K19092	ypx:YPD8_pCD0004
ko:K16345	ypx:YPD8_0034
ko:K10014	ypx:YPD8_2511
ko:K03297	ypx:YPD8_1433
ko:K18446	ypx:YPD8_0566
ko:K13060	ypx:YPD8_2240
ko:K13060	ypx:YPD8_0709
ko:K16371	ypx:YPD8_0835
ko:K00130	ypx:YPD8_1112
ko:K08723	ypx:YPD8_1401
ko:K21029	ypx:YPD8_1620
ko:K00971	ypx:YPD8_2711
ko:K16013	ypx:YPD8_0929
ko:K13409	ypx:YPD8_0089
ko:K13408	ypx:YPD8_0090
ko:K12340	ypx:YPD8_0574
ko:K16012	ypx:YPD8_0930
ko:K02082	ypx:YPD8_0833
ko:K15771	ypx:YPD8_0810
ko:K15772	ypx:YPD8_0811
ko:K01224	ypx:YPD8_0812
ko:K12308	ypx:YPD8_0813
ko:K02024	ypx:YPD8_0816
ko:K08191	ypx:YPD8_0819
ko:K06871	ypx:YPD8_0825
ko:K02079	ypx:YPD8_0828
ko:K02747	ypx:YPD8_0830
ko:K02746	ypx:YPD8_0831
ko:K02063	ypx:YPD8_0459
ko:K02064	ypx:YPD8_0460
ko:K11925	ypx:YPD8_0461
ko:K03291	ypx:YPD8_0462
ko:K01704	ypx:YPD8_0465
ko:K01703	ypx:YPD8_0466
ko:K00052	ypx:YPD8_0467
ko:K01649	ypx:YPD8_0468
ko:K05798	ypx:YPD8_0470
ko:K01652	ypx:YPD8_0472
ko:K01653	ypx:YPD8_0473
ko:K03435	ypx:YPD8_0475
ko:K03925	ypx:YPD8_0477
ko:K03438	ypx:YPD8_0478
ko:K03586	ypx:YPD8_0479
ko:K03587	ypx:YPD8_0480
ko:K01928	ypx:YPD8_0482
ko:K01929	ypx:YPD8_0483
ko:K01000	ypx:YPD8_0484
ko:K01925	ypx:YPD8_0485
ko:K03588	ypx:YPD8_0486
ko:K02563	ypx:YPD8_0487
ko:K01924	ypx:YPD8_0488
ko:K01921	ypx:YPD8_0489
ko:K03589	ypx:YPD8_0490
ko:K03590	ypx:YPD8_0491
ko:K03531	ypx:YPD8_0492
ko:K02535	ypx:YPD8_0493
ko:K13301	ypx:YPD8_0495
ko:K03070	ypx:YPD8_0496
ko:K15977	ypx:YPD8_0500
ko:K08191	ypx:YPD8_0508
ko:K01812	ypx:YPD8_0509
ko:K00041	ypx:YPD8_0510
ko:K01685	ypx:YPD8_0511
ko:K10773	ypx:YPD8_1357
ko:K01804	ypx:YPD8_1370
ko:K10537	ypx:YPD8_1372
ko:K10539	ypx:YPD8_1373
ko:K10538	ypx:YPD8_1374
