ko:K09022	baw:CWU_02430
ko:K03040	baw:CWU_03265
ko:K02986	baw:CWU_03270
ko:K02948	baw:CWU_03275
ko:K02952	baw:CWU_03280
ko:K02919	baw:CWU_03285
ko:K03076	baw:CWU_03290
ko:K02907	baw:CWU_03305
ko:K02988	baw:CWU_03310
ko:K02881	baw:CWU_03315
ko:K02933	baw:CWU_03320
ko:K02994	baw:CWU_03325
ko:K02954	baw:CWU_03330
ko:K02931	baw:CWU_03335
ko:K02895	baw:CWU_03340
ko:K02874	baw:CWU_03345
ko:K02961	baw:CWU_03350
ko:K02904	baw:CWU_03355
ko:K02878	baw:CWU_03360
ko:K02890	baw:CWU_03375
ko:K02965	baw:CWU_03380
ko:K02886	baw:CWU_03385
ko:K02892	baw:CWU_03390
ko:K02926	baw:CWU_03395
ko:K02906	baw:CWU_03400
ko:K02946	baw:CWU_03405
ko:K02358	baw:CWU_03410
ko:K02992	baw:CWU_03430
ko:K02950	baw:CWU_03435
ko:K07237	baw:CWU_03440
ko:K07236	baw:CWU_03445
ko:K07235	baw:CWU_03450
ko:K06141	baw:CWU_03470
ko:K01867	baw:CWU_03475
ko:K01783	baw:CWU_03480
ko:K00891	baw:CWU_03495
ko:K07400	baw:CWU_03525
ko:K01920	baw:CWU_03545
ko:K07447	baw:CWU_03550
ko:K06997	baw:CWU_03555
ko:K03439	baw:CWU_03565
ko:K03575	baw:CWU_03570
ko:K01776	baw:CWU_03580
ko:K09802	baw:CWU_03595
ko:K00762	baw:CWU_03600
ko:K02939	baw:CWU_03620
ko:K00943	baw:CWU_02295
ko:K02341	baw:CWU_02300
ko:K03424	baw:CWU_02305
ko:K07337	baw:CWU_02320
ko:K01893	baw:CWU_02335
ko:K00763	baw:CWU_02340
ko:K07146	baw:CWU_02390
ko:K01803	baw:CWU_01990
ko:K05788	baw:CWU_01995
ko:K02945	baw:CWU_02000
ko:K00945	baw:CWU_02005
ko:K02518	baw:CWU_02060
ko:K01876	baw:CWU_02065
ko:K09816	baw:CWU_02070
ko:K09817	baw:CWU_02075
ko:K00873	baw:CWU_02085
ko:K03799	baw:CWU_02100
ko:K03704	baw:CWU_02105
ko:K03608	baw:CWU_02125
ko:K03609	baw:CWU_02130
ko:K03980	baw:CWU_02165
ko:K01465	baw:CWU_02175
ko:K02399	baw:CWU_02180
ko:K02386	baw:CWU_02185
ko:K02387	baw:CWU_02195
ko:K02388	baw:CWU_02200
ko:K02389	baw:CWU_02205
ko:K02390	baw:CWU_02210
ko:K02391	baw:CWU_02215
ko:K02392	baw:CWU_02220
ko:K02393	baw:CWU_02225
ko:K02394	baw:CWU_02230
ko:K02395	baw:CWU_02235
ko:K02911	baw:CWU_02270
ko:K00645	baw:CWU_02275
ko:K02078	baw:CWU_02290
ko:K03673	baw:CWU_02795
ko:K03978	baw:CWU_02805
ko:K00942	baw:CWU_02820
ko:K06980	baw:CWU_02825
ko:K02836	baw:CWU_02830
ko:K13292	baw:CWU_02855
ko:K07042	baw:CWU_02885
ko:K06189	baw:CWU_02890
ko:K01869	baw:CWU_02895
ko:K00969	baw:CWU_02915
ko:K03581	baw:CWU_02995
ko:K14682	baw:CWU_03000
ko:K00794	baw:CWU_03015
ko:K00946	baw:CWU_03020
ko:K01662	baw:CWU_03045
ko:K00795	baw:CWU_03050
ko:K02300	baw:CWU_03075
ko:K02299	baw:CWU_03080
ko:K02297	baw:CWU_03100
ko:K05527	baw:CWU_03105
ko:K03545	baw:CWU_03110
ko:K01358	baw:CWU_03120
ko:K03544	baw:CWU_03125
ko:K01338	baw:CWU_03130
ko:K03770	baw:CWU_03140
ko:K02343	baw:CWU_03165
ko:K09747	baw:CWU_03170
ko:K01883	baw:CWU_03205
ko:K09158	baw:CWU_03210
ko:K03704	baw:CWU_03215
ko:K00014	baw:CWU_03230
ko:K07566	baw:CWU_03235
ko:K00604	baw:CWU_03255
ko:K02879	baw:CWU_03260
ko:K02963	baw:CWU_03625
ko:K02990	baw:CWU_03630
ko:K01939	baw:CWU_03645
ko:K04087	baw:CWU_03650
ko:K04088	baw:CWU_03655
ko:K00791	baw:CWU_03660
ko:K00009	baw:CWU_03675
ko:K01810	baw:CWU_03695
ko:K13288	baw:CWU_03700
ko:K01448	baw:CWU_03710
ko:K02909	baw:CWU_03715
ko:K01419	baw:CWU_03730
ko:K04080	baw:CWU_03745
ko:K00528	baw:CWU_03750
ko:K04568	baw:CWU_03755
ko:K00954	baw:CWU_03760
ko:K01778	baw:CWU_03800
ko:K06202	baw:CWU_03805
ko:K01749	baw:CWU_03810
ko:K03656	baw:CWU_03840
ko:K00053	baw:CWU_03845
ko:K04487	baw:CWU_03860
ko:K04082	baw:CWU_03870
ko:K04755	baw:CWU_03885
ko:K03977	baw:CWU_03890
ko:K01873	baw:CWU_02395
ko:K01255	baw:CWU_02400
ko:K00609	baw:CWU_02420
ko:K00610	baw:CWU_02425
ko:K05592	baw:CWU_02435
ko:K02956	baw:CWU_02450
ko:K02834	baw:CWU_02465
ko:K02519	baw:CWU_02470
ko:K03075	baw:CWU_02485
ko:K03431	baw:CWU_02490
ko:K03624	baw:CWU_02510
ko:K00790	baw:CWU_02520
ko:K02888	baw:CWU_02525
ko:K02899	baw:CWU_02530
ko:K03979	baw:CWU_02535
ko:K02996	baw:CWU_02540
ko:K02871	baw:CWU_02545
ko:K14170	baw:CWU_02550
ko:K02959	baw:CWU_02565
ko:K02860	baw:CWU_02570
ko:K02884	baw:CWU_02585
ko:K03568	baw:CWU_02590
ko:K03786	baw:CWU_02600
ko:K03557	baw:CWU_02605
ko:K06180	baw:CWU_02610
ko:K05807	baw:CWU_02615
ko:K01872	baw:CWU_02620
ko:K03563	baw:CWU_02625
ko:K01150	baw:CWU_02655
ko:K09761	baw:CWU_02660
ko:K01807	baw:CWU_02665
ko:K01937	baw:CWU_02685
ko:K01689	baw:CWU_02690
ko:K01770	baw:CWU_02710
ko:K00991	baw:CWU_02715
ko:K05589	baw:CWU_02725
ko:K00860	baw:CWU_02730
ko:K00381	baw:CWU_02770
ko:K00957	baw:CWU_02745
ko:K02302	baw:CWU_02750
ko:K00390	baw:CWU_02760
ko:K00254	baw:CWU_02350
ko:K01714	baw:CWU_00590
ko:K00765	baw:CWU_00615
ko:K00817	baw:CWU_00630
ko:K01089	baw:CWU_00635
ko:K02501	baw:CWU_00640
ko:K01814	baw:CWU_00645
ko:K02500	baw:CWU_00650
ko:K01494	baw:CWU_00675
ko:K01874	baw:CWU_00680
ko:K04075	baw:CWU_00685
ko:K00793	baw:CWU_00690
ko:K10773	baw:CWU_00740
ko:K05997	baw:CWU_00770
ko:K01868	baw:CWU_00795
ko:K02520	baw:CWU_00805
ko:K02916	baw:CWU_00810
ko:K02887	baw:CWU_00815
ko:K01890	baw:CWU_00835
ko:K04764	baw:CWU_00840
ko:K00773	baw:CWU_00855
ko:K03210	baw:CWU_00860
ko:K01879	baw:CWU_00865
ko:K01151	baw:CWU_00880
ko:K02897	baw:CWU_00885
ko:K03771	baw:CWU_00895
ko:K00215	baw:CWU_00945
ko:K03527	baw:CWU_00950
ko:K03101	baw:CWU_00955
ko:K11753	baw:CWU_00975
ko:K02968	baw:CWU_00980
ko:K04043	baw:CWU_00995
ko:K00330	baw:CWU_01000
ko:K00331	baw:CWU_01005
ko:K13378	baw:CWU_01010
ko:K00337	baw:CWU_01045
ko:K00338	baw:CWU_01050
ko:K00339	baw:CWU_01055
ko:K00340	baw:CWU_01060
ko:K00341	baw:CWU_01065
ko:K00343	baw:CWU_01080
ko:K03495	baw:CWU_00005
ko:K02108	baw:CWU_00010
ko:K02110	baw:CWU_00015
ko:K02109	baw:CWU_00020
ko:K02113	baw:CWU_00025
ko:K02111	baw:CWU_00030
ko:K02115	baw:CWU_00035
ko:K02112	baw:CWU_00040
ko:K02114	baw:CWU_00045
ko:K02470	baw:CWU_00050
ko:K02338	baw:CWU_00055
ko:K02313	baw:CWU_00060
ko:K02914	baw:CWU_00065
ko:K03650	baw:CWU_00095
ko:K04078	baw:CWU_00100
ko:K04077	baw:CWU_00105
ko:K02356	baw:CWU_00110
ko:K00948	baw:CWU_01100
ko:K00919	baw:CWU_01105
ko:K02493	baw:CWU_01120
ko:K00925	baw:CWU_01135
ko:K11107	baw:CWU_01150
ko:K09945	baw:CWU_01180
ko:K03648	baw:CWU_01190
ko:K03687	baw:CWU_01195
ko:K00858	baw:CWU_01205
ko:K06186	baw:CWU_01210
ko:K07390	baw:CWU_01215
ko:K03683	baw:CWU_01220
ko:K04564	baw:CWU_01225
ko:K01056	baw:CWU_01230
ko:K06942	baw:CWU_01235
ko:K01733	baw:CWU_01240
ko:K00760	baw:CWU_01265
ko:K01918	baw:CWU_01270
ko:K00606	baw:CWU_01275
ko:K06204	baw:CWU_01280
ko:K06173	baw:CWU_01285
ko:K05365	baw:CWU_01290
ko:K03070	baw:CWU_01295
ko:K00859	baw:CWU_01300
ko:K00364	baw:CWU_01305
ko:K00627	baw:CWU_01320
ko:K00382	baw:CWU_01325
ko:K01611	baw:CWU_01335
ko:K15724	baw:CWU_01360
ko:K03531	baw:CWU_01365
ko:K03590	baw:CWU_01370
ko:K01924	baw:CWU_01385
ko:K02563	baw:CWU_01395
ko:K01925	baw:CWU_01410
ko:K01000	baw:CWU_01415
ko:K03438	baw:CWU_01465
ko:K01653	baw:CWU_01470
ko:K03734	baw:CWU_01490
ko:K01265	baw:CWU_01510
ko:K02967	baw:CWU_01515
ko:K02838	baw:CWU_01540
ko:K00099	baw:CWU_01545
ko:K00806	baw:CWU_01550
ko:K02372	baw:CWU_01570
ko:K03110	baw:CWU_00135
ko:K00820	baw:CWU_00150
ko:K04042	baw:CWU_00155
ko:K00549	baw:CWU_00165
ko:K00602	baw:CWU_00170
ko:K05787	baw:CWU_00175
ko:K02935	baw:CWU_00210
ko:K02864	baw:CWU_00215
ko:K02863	baw:CWU_00220
ko:K02867	baw:CWU_00225
ko:K03073	baw:CWU_00240
ko:K00297	baw:CWU_00255
ko:K01438	baw:CWU_00260
ko:K00145	baw:CWU_00265
ko:K01940	baw:CWU_00280
ko:K01755	baw:CWU_00285
ko:K03071	baw:CWU_00295
ko:K00640	baw:CWU_00300
ko:K02970	baw:CWU_00330
ko:K06153	baw:CWU_00365
ko:K01738	baw:CWU_00390
ko:K02408	baw:CWU_00430
ko:K02409	baw:CWU_00435
ko:K02410	baw:CWU_00440
ko:K02411	baw:CWU_00445
ko:K02412	baw:CWU_00450
ko:K02413	baw:CWU_00455
ko:K02416	baw:CWU_00470
ko:K02417	baw:CWU_00475
ko:K02419	baw:CWU_00480
ko:K02420	baw:CWU_00485
ko:K02913	baw:CWU_00500
ko:K02902	baw:CWU_00505
ko:K03592	baw:CWU_00545
ko:K07056	baw:CWU_00555
ko:K00615	baw:CWU_00575
ko:K01881	baw:CWU_01590
ko:K02401	baw:CWU_01595
ko:K03271	baw:CWU_01645
ko:K03687	baw:CWU_01655
ko:K09801	baw:CWU_01660
ko:K03664	baw:CWU_01665
ko:K11991	baw:CWU_01670
ko:K00997	baw:CWU_01675
ko:K03685	baw:CWU_01685
ko:K03596	baw:CWU_01705
ko:K00566	baw:CWU_01710
ko:K07153	baw:CWU_01715
ko:K08308	baw:CWU_01730
ko:K00208	baw:CWU_01735
ko:K01147	baw:CWU_01740
ko:K01591	baw:CWU_01770
ko:K06131	baw:CWU_01785
ko:K10806	baw:CWU_01790
ko:K06190	baw:CWU_01795
ko:K01696	baw:CWU_01820
ko:K13498	baw:CWU_01825
ko:K00766	baw:CWU_01830
ko:K06178	baw:CWU_01840
ko:K06941	baw:CWU_01865
ko:K00600	baw:CWU_01885
ko:K01935	baw:CWU_01890
ko:K01012	baw:CWU_01895
ko:K00833	baw:CWU_01900
ko:K03723	baw:CWU_01910
ko:K09808	baw:CWU_01915
ko:K00134	baw:CWU_01935
ko:K03839	baw:CWU_01940
ko:K01669	baw:CWU_01945
ko:K00164	baw:CWU_01955
ko:K00658	baw:CWU_01960
ko:K14235	baw:CWU_t03969
ko:K14234	baw:CWU_t03915
ko:K01916	baw:CWU_01130
ko:K03386	baw:CWU_01185
ko:K01409	baw:CWU_00335
ko:K02858	baw:CWU_00340
ko:K02784	baw:CWU_00385
ko:K02414	baw:CWU_00465
ko:K00647	baw:CWU_00560
ko:K01439	baw:CWU_00580
ko:K03286	baw:CWU_02160
ko:K06179	baw:CWU_02265
ko:K00059	baw:CWU_02285
ko:K04085	baw:CWU_02920
ko:K03442	baw:CWU_02960
ko:K11179	baw:CWU_03065
ko:K00939	baw:CWU_03190
ko:K03747	baw:CWU_03240
ko:K03784	baw:CWU_03500
ko:K02427	baw:CWU_02505
ko:K03617	baw:CWU_00695
ko:K03616	baw:CWU_00700
ko:K03615	baw:CWU_00710
ko:K03612	baw:CWU_00730
ko:K03613	baw:CWU_00735
ko:K01525	baw:CWU_00910
ko:K01719	baw:CWU_03820
ko:K04488	baw:CWU_03865
ko:K03469	baw:CWU_01635
ko:K02342	baw:CWU_01640
ko:K00769	baw:CWU_01650
ko:K04774	baw:CWU_01845
ko:K01092	baw:CWU_01860
ko:K07404	baw:CWU_01905
ko:K14225	baw:CWU_t03911
ko:K14225	baw:CWU_t03961
ko:K14229	baw:CWU_t03917
ko:K01069	baw:CWU_01625
ko:K01977	baw:CWU_r03973
ko:K01980	baw:CWU_r03975
ko:K16322	baw:CWU_03785
ko:K01834	baw:CWU_01965
ko:K14219	baw:CWU_t03951
ko:K14228	baw:CWU_t03937
ko:K14218	baw:CWU_t03927
ko:K14223	baw:CWU_t03943
ko:K14224	baw:CWU_t03953
ko:K14220	baw:CWU_t03957
ko:K14232	baw:CWU_t03963
ko:K14226	baw:CWU_t03965
ko:K14230	baw:CWU_t03959
ko:K14233	baw:CWU_t03939
ko:K14233	baw:CWU_t03935
ko:K14233	baw:CWU_t03955
ko:K14219	baw:CWU_t03941
ko:K14219	baw:CWU_t03967
ko:K14230	baw:CWU_t03947
ko:K14230	baw:CWU_t03949
ko:K01985	baw:CWU_r03971
ko:K14231	baw:CWU_t03907
ko:K14237	baw:CWU_t03923
ko:K14218	baw:CWU_t03921
ko:K14234	baw:CWU_t03909
ko:K14236	baw:CWU_t03913
ko:K14237	baw:CWU_t03919
ko:K14227	baw:CWU_t03925
ko:K14221	baw:CWU_t03929
ko:K14228	baw:CWU_t03931
ko:K14228	baw:CWU_t03945
ko:K14222	baw:CWU_t03933
ko:K02778	baw:CWU_02310
ko:K02779	baw:CWU_02310
ko:K00082	baw:CWU_03030
ko:K09810	baw:CWU_01920
ko:K04771	baw:CWU_01495
ko:K02503	baw:CWU_02315
ko:K08316	baw:CWU_00130
ko:K01497	baw:CWU_01775
ko:K14742	baw:CWU_02120
ko:K03772	baw:CWU_03455
ko:K02520	baw:CWU_00800
ko:K03469	baw:CWU_01630
ko:K00945	baw:CWU_02010
ko:K00645	baw:CWU_02280
ko:K01719	baw:CWU_03815
ko:K03746	baw:CWU_01780
ko:K07790	baw:CWU_01835
ko:K03111	baw:CWU_03530
ko:K03526	baw:CWU_01870
ko:K02777	baw:CWU_00370
ko:K01498	baw:CWU_03025
ko:K00336	baw:CWU_01040
ko:K00526	baw:CWU_01155
ko:K02315	baw:CWU_00115
ko:K00560	baw:CWU_02860
ko:K02314	baw:CWU_03535
ko:K01520	baw:CWU_03605
ko:K00287	baw:CWU_00915
ko:K02335	baw:CWU_02800
ko:K03595	baw:CWU_01680
ko:K02257	baw:CWU_03070
