ko:K11707	ctf:CTDLC_0067
ko:K09779	ctf:CTDLC_0001
ko:K06925	ctf:CTDLC_0537
ko:K03671	ctf:CTDLC_0539
ko:K03216	ctf:CTDLC_0540
ko:K01876	ctf:CTDLC_0542
ko:K03665	ctf:CTDLC_0379
ko:K06167	ctf:CTDLC_0380
ko:K09996	ctf:CTDLC_0381
ko:K06966	ctf:CTDLC_0387
ko:K09131	ctf:CTDLC_0388
ko:K10206	ctf:CTDLC_0390
ko:K01881	ctf:CTDLC_0393
ko:K03705	ctf:CTDLC_0394
ko:K03687	ctf:CTDLC_0395
ko:K04043	ctf:CTDLC_0396
ko:K12573	ctf:CTDLC_0397
ko:K07164	ctf:CTDLC_0398
ko:K06041	ctf:CTDLC_0399
ko:K00658	ctf:CTDLC_0400
ko:K00912	ctf:CTDLC_0402
ko:K03437	ctf:CTDLC_0403
ko:K06969	ctf:CTDLC_0404
ko:K00793	ctf:CTDLC_0405
ko:K07738	ctf:CTDLC_0406
ko:K06204	ctf:CTDLC_0407
ko:K03101	ctf:CTDLC_0408
ko:K03310	ctf:CTDLC_0409
ko:K00748	ctf:CTDLC_0411
ko:K09817	ctf:CTDLC_0416
ko:K09816	ctf:CTDLC_0417
ko:K02899	ctf:CTDLC_0419
ko:K02888	ctf:CTDLC_0420
ko:K07042	ctf:CTDLC_0422
ko:K03183	ctf:CTDLC_0428
ko:K01778	ctf:CTDLC_0430
ko:K01358	ctf:CTDLC_0431
ko:K00600	ctf:CTDLC_0432
ko:K01770	ctf:CTDLC_0434
ko:K02946	ctf:CTDLC_0436
ko:K02355	ctf:CTDLC_0437
ko:K02992	ctf:CTDLC_0438
ko:K02950	ctf:CTDLC_0439
ko:K03797	ctf:CTDLC_0441
ko:K07462	ctf:CTDLC_0447
ko:K12257	ctf:CTDLC_0448
ko:K00806	ctf:CTDLC_0450
ko:K00981	ctf:CTDLC_0451
ko:K00945	ctf:CTDLC_0452
ko:K00655	ctf:CTDLC_0453
ko:K01887	ctf:CTDLC_0454
ko:K00790	ctf:CTDLC_0455
ko:K02836	ctf:CTDLC_0459
ko:K00991	ctf:CTDLC_0462
ko:K06173	ctf:CTDLC_0463
ko:K07710	ctf:CTDLC_0467
ko:K03584	ctf:CTDLC_0470
ko:K01890	ctf:CTDLC_0475
ko:K02034	ctf:CTDLC_0478
ko:K01772	ctf:CTDLC_0485
ko:K07099	ctf:CTDLC_0488
ko:K00975	ctf:CTDLC_0489
ko:K03628	ctf:CTDLC_0491
ko:K00859	ctf:CTDLC_0492
ko:K03301	ctf:CTDLC_0495
ko:K00995	ctf:CTDLC_0496
ko:K03495	ctf:CTDLC_0498
ko:K03800	ctf:CTDLC_0499
ko:K00940	ctf:CTDLC_0500
ko:K03550	ctf:CTDLC_0501
ko:K01159	ctf:CTDLC_0502
ko:K00134	ctf:CTDLC_0505
ko:K02879	ctf:CTDLC_0506
ko:K03040	ctf:CTDLC_0507
ko:K02948	ctf:CTDLC_0508
ko:K02952	ctf:CTDLC_0509
ko:K03076	ctf:CTDLC_0510
ko:K02876	ctf:CTDLC_0511
ko:K02988	ctf:CTDLC_0512
ko:K02881	ctf:CTDLC_0513
ko:K02933	ctf:CTDLC_0514
ko:K02994	ctf:CTDLC_0515
ko:K02931	ctf:CTDLC_0516
ko:K02895	ctf:CTDLC_0517
ko:K02874	ctf:CTDLC_0518
ko:K02961	ctf:CTDLC_0519
ko:K02904	ctf:CTDLC_0520
ko:K02878	ctf:CTDLC_0521
ko:K02982	ctf:CTDLC_0522
ko:K02890	ctf:CTDLC_0523
ko:K02965	ctf:CTDLC_0524
ko:K02886	ctf:CTDLC_0525
ko:K02892	ctf:CTDLC_0526
ko:K02926	ctf:CTDLC_0527
ko:K02906	ctf:CTDLC_0528
ko:K00604	ctf:CTDLC_0530
ko:K00677	ctf:CTDLC_0531
ko:K02372	ctf:CTDLC_0532
ko:K02535	ctf:CTDLC_0533
ko:K03820	ctf:CTDLC_0534
ko:K01892	ctf:CTDLC_0543
ko:K07783	ctf:CTDLC_0544
ko:K02337	ctf:CTDLC_0545
ko:K03311	ctf:CTDLC_0554
ko:K00382	ctf:CTDLC_0557
ko:K03644	ctf:CTDLC_0558
ko:K03222	ctf:CTDLC_0559
ko:K03223	ctf:CTDLC_0561
ko:K03226	ctf:CTDLC_0562
ko:K03228	ctf:CTDLC_0564
ko:K02455	ctf:CTDLC_0570
ko:K02453	ctf:CTDLC_0572
ko:K03572	ctf:CTDLC_0575
ko:K01868	ctf:CTDLC_0581
ko:K01867	ctf:CTDLC_0585
ko:K03702	ctf:CTDLC_0586
ko:K01689	ctf:CTDLC_0587
ko:K00240	ctf:CTDLC_0591
ko:K00239	ctf:CTDLC_0592
ko:K03424	ctf:CTDLC_0594
ko:K03562	ctf:CTDLC_0596
ko:K03641	ctf:CTDLC_0599
ko:K03640	ctf:CTDLC_0600
ko:K02435	ctf:CTDLC_0002
ko:K03696	ctf:CTDLC_0286
ko:K00566	ctf:CTDLC_0287
ko:K03611	ctf:CTDLC_0176
ko:K00979	ctf:CTDLC_0182
ko:K01937	ctf:CTDLC_0183
ko:K07447	ctf:CTDLC_0184
ko:K00036	ctf:CTDLC_0185
ko:K01057	ctf:CTDLC_0186
ko:K02343	ctf:CTDLC_0187
ko:K00943	ctf:CTDLC_0188
ko:K03308	ctf:CTDLC_0231
ko:K02078	ctf:CTDLC_0236
ko:K00645	ctf:CTDLC_0238
ko:K00648	ctf:CTDLC_0239
ko:K06187	ctf:CTDLC_0240
ko:K07277	ctf:CTDLC_0241
ko:K06142	ctf:CTDLC_0242
ko:K02536	ctf:CTDLC_0243
