ko:K15864	psz:PSTAB_3504
ko:K12340	psz:PSTAB_3774
ko:K02030	psz:PSTAB_3046
ko:K09796	psz:PSTAB_2004
ko:K08086	psz:PSTAB_1675
ko:K10747	psz:PSTAB_2643
ko:K15371	psz:PSTAB_2291
ko:K15778	psz:PSTAB_0506
ko:K10109	psz:PSTAB_3456
ko:K03297	psz:PSTAB_3776
ko:K18929	psz:PSTAB_3383
ko:K00130	psz:PSTAB_1639
ko:K02487	psz:PSTAB_1197
ko:K08305	psz:PSTAB_3726
ko:K01156	psz:PSTAB_1205
ko:K22617	psz:PSTAB_1045
ko:K16238	psz:PSTAB_3644
ko:K18928	psz:PSTAB_3382
ko:K02533	psz:PSTAB_3092
ko:K15539	psz:PSTAB_3078
ko:K15373	psz:PSTAB_4103
ko:K09020	psz:PSTAB_3568
ko:K09810	psz:PSTAB_2448
ko:K07794	psz:PSTAB_4000
ko:K03417	psz:PSTAB_1934
ko:K03321	psz:PSTAB_2451
ko:K06177	psz:PSTAB_0749
ko:K14218	psz:PSTAB_t041
ko:K14218	psz:PSTAB_t043
ko:K14219	psz:PSTAB_t012
ko:K14219	psz:PSTAB_t013
ko:K02050	psz:PSTAB_2941
ko:K15726	psz:PSTAB_1244
ko:K14233	psz:PSTAB_t015
ko:K02028	psz:PSTAB_3050
ko:K14268	psz:PSTAB_0636
ko:K00970	psz:PSTAB_3341
ko:K09810	psz:PSTAB_2623
ko:K15408	psz:PSTAB_1749
ko:K12055	psz:PSTAB_1173
ko:K14742	psz:PSTAB_2729
ko:K01069	psz:PSTAB_2139
ko:K00042	psz:PSTAB_3162
ko:K15727	psz:PSTAB_1243
ko:K10027	psz:PSTAB_3824
ko:K14225	psz:PSTAB_t026
ko:K14225	psz:PSTAB_t034
ko:K15738	psz:PSTAB_2385
ko:K15633	psz:PSTAB_4047
ko:K01082	psz:PSTAB_0351
ko:K11741	psz:PSTAB_3464
ko:K15629	psz:PSTAB_3329
ko:K15746	psz:PSTAB_3822
ko:K09017	psz:PSTAB_3566
ko:K02428	psz:PSTAB_3934
ko:K07116	psz:PSTAB_1636
ko:K00114	psz:PSTAB_2150
ko:K00114	psz:PSTAB_2156
ko:K15576	psz:PSTAB_4060
ko:K01046	psz:PSTAB_1915
ko:K04765	psz:PSTAB_2651
ko:K15725	psz:PSTAB_1242
ko:K15724	psz:PSTAB_0651
ko:K03406	psz:PSTAB_1504
ko:K14231	psz:PSTAB_t058
ko:K00974	psz:PSTAB_0614
ko:K16011	psz:PSTAB_1070
ko:K15461	psz:PSTAB_2657
ko:K03892	psz:PSTAB_1987
ko:K15577	psz:PSTAB_4061
ko:K14230	psz:PSTAB_t051
ko:K14230	psz:PSTAB_t019
ko:K14230	psz:PSTAB_t018
ko:K15578	psz:PSTAB_4062
ko:K00459	psz:PSTAB_3821
ko:K01835	psz:PSTAB_4134
ko:K14218	psz:PSTAB_t005
ko:K14218	psz:PSTAB_t029
ko:K14218	psz:PSTAB_t049
