ko:K01533	llw:kw2_0822
ko:K14219	llw:kw2_0441
ko:K14219	llw:kw2_1628
ko:K14222	llw:kw2_0423
ko:K01977	llw:kw2_0500
ko:K14218	llw:kw2_0501
ko:K14218	llw:kw2_2332
ko:K14218	llw:kw2_2247
ko:K14218	llw:kw2_2207
ko:K14218	llw:kw2_1978
ko:K14218	llw:kw2_2357
ko:K01980	llw:kw2_0502
ko:K01980	llw:kw2_2206
ko:K01980	llw:kw2_1977
ko:K01980	llw:kw2_2356
ko:K01980	llw:kw2_2246
ko:K01980	llw:kw2_2331
ko:K14237	llw:kw2_0504
ko:K14237	llw:kw2_2329
ko:K14237	llw:kw2_1975
ko:K14234	llw:kw2_2132
ko:K01977	llw:kw2_2208
ko:K14233	llw:kw2_0021
ko:K14233	llw:kw2_1556
ko:K14233	llw:kw2_0111
ko:K14233	llw:kw2_0272
ko:K14233	llw:kw2_0517
ko:K14225	llw:kw2_0509
ko:K14225	llw:kw2_1970
ko:K01985	llw:kw2_0026
ko:K01985	llw:kw2_2245
ko:K01985	llw:kw2_2205
ko:K01488	llw:kw2_0288
ko:K01409	llw:kw2_0296
ko:K01119	llw:kw2_0304
ko:K03976	llw:kw2_0318
ko:K16789	llw:kw2_0319
ko:K16924	llw:kw2_0327
ko:K08234	llw:kw2_0338
ko:K01834	llw:kw2_0339
ko:K03386	llw:kw2_0340
ko:K15582	llw:kw2_0349
ko:K15583	llw:kw2_0350
ko:K10823	llw:kw2_0351
ko:K10563	llw:kw2_0356
ko:K00016	llw:kw2_0375
ko:K11041	llw:kw2_0377
ko:K03316	llw:kw2_0382
ko:K03693	llw:kw2_0385
ko:K01261	llw:kw2_0386
ko:K07652	llw:kw2_0395
ko:K07668	llw:kw2_0396
ko:K01992	llw:kw2_0403
ko:K03486	llw:kw2_0431
ko:K01990	llw:kw2_0404
ko:K00869	llw:kw2_0406
ko:K01597	llw:kw2_0407
ko:K00938	llw:kw2_0408
ko:K01823	llw:kw2_0409
ko:K00016	llw:kw2_0455
ko:K02025	llw:kw2_0469
ko:K00567	llw:kw2_0478
ko:K10112	llw:kw2_0426
ko:K03697	llw:kw2_0525
ko:K01990	llw:kw2_0481
ko:K02030	llw:kw2_0531
ko:K16899	llw:kw2_0003
ko:K02799	llw:kw2_0028
ko:K02800	llw:kw2_0028
ko:K02798	llw:kw2_0030
ko:K03294	llw:kw2_0091
ko:K11189	llw:kw2_0097
ko:K08483	llw:kw2_0098
ko:K06889	llw:kw2_0103
ko:K01992	llw:kw2_0482
ko:K03700	llw:kw2_0492
ko:K16509	llw:kw2_0494
ko:K01092	llw:kw2_0496
ko:K03830	llw:kw2_0037
ko:K00841	llw:kw2_0042
ko:K04063	llw:kw2_0055
ko:K07052	llw:kw2_0123
ko:K00700	llw:kw2_0133
ko:K15051	llw:kw2_0149
ko:K02433	llw:kw2_0156
ko:K01426	llw:kw2_0159
ko:K01934	llw:kw2_0162
ko:K01759	llw:kw2_0165
ko:K09963	llw:kw2_0167
ko:K00805	llw:kw2_0177
ko:K07305	llw:kw2_0182
ko:K07030	llw:kw2_0183
ko:K12996	llw:kw2_0192
ko:K12997	llw:kw2_0193
ko:K01992	llw:kw2_0194
ko:K01990	llw:kw2_0195
ko:K07272	llw:kw2_0198
ko:K09153	llw:kw2_0200
ko:K01854	llw:kw2_0205
ko:K00088	llw:kw2_0210
ko:K06948	llw:kw2_0211
ko:K01560	llw:kw2_0236
ko:K07816	llw:kw2_0365
ko:K00674	llw:kw2_0278
ko:K03095	llw:kw2_0287
ko:K08161	llw:kw2_0114
ko:K06346	llw:kw2_0118
ko:K01990	llw:kw2_0246
ko:K06147	llw:kw2_0254
ko:K06147	llw:kw2_0255
ko:K16786	llw:kw2_0273
ko:K16787	llw:kw2_0274
ko:K00058	llw:kw2_0557
ko:K10947	llw:kw2_2118
ko:K08153	llw:kw2_0106
ko:K11741	llw:kw2_0105
ko:K04771	llw:kw2_2196
ko:K02851	llw:kw2_1848
ko:K13677	llw:kw2_2197
ko:K03293	llw:kw2_0358
ko:K03731	llw:kw2_0434
ko:K07260	llw:kw2_0945
ko:K09692	llw:kw2_0903
ko:K11070	llw:kw2_1115
ko:K02484	llw:kw2_1378
ko:K01598	llw:kw2_0538
ko:K00951	llw:kw2_0086
ko:K00265	llw:kw2_1246
ko:K00040	llw:kw2_1595
ko:K02030	llw:kw2_0931
ko:K02028	llw:kw2_0933
ko:K10254	llw:kw2_0951
ko:K03436	llw:kw2_0953
ko:K00882	llw:kw2_0954
ko:K09762	llw:kw2_0966
ko:K01990	llw:kw2_0968
ko:K01992	llw:kw2_0969
ko:K07586	llw:kw2_0971
ko:K03647	llw:kw2_0978
ko:K02342	llw:kw2_0983
ko:K02348	llw:kw2_0984
ko:K02428	llw:kw2_1241
ko:K09976	llw:kw2_1243
ko:K01580	llw:kw2_1250
ko:K02025	llw:kw2_1264
ko:K07098	llw:kw2_1554
ko:K02824	llw:kw2_1563
ko:K09155	llw:kw2_1570
ko:K06988	llw:kw2_1574
ko:K00657	llw:kw2_1575
ko:K03475	llw:kw2_1586
ko:K02822	llw:kw2_1587
ko:K01243	llw:kw2_1938
ko:K01515	llw:kw2_1940
ko:K05337	llw:kw2_1675
ko:K02793	llw:kw2_1676
ko:K02794	llw:kw2_1676
ko:K02795	llw:kw2_1677
ko:K01992	llw:kw2_1683
ko:K01990	llw:kw2_1684
ko:K01834	llw:kw2_1689
ko:K07533	llw:kw2_1702
ko:K06198	llw:kw2_1705
ko:K06201	llw:kw2_2049
ko:K01992	llw:kw2_2050
ko:K01990	llw:kw2_2051
ko:K01990	llw:kw2_2059
