ko:K22010	lmom:IJ09_04475
ko:K11741	lmom:IJ09_06065
ko:K11741	lmom:IJ09_06060
ko:K18926	lmom:IJ09_07780
ko:K03328	lmom:IJ09_09290
ko:K09817	lmom:IJ09_09590
ko:K09815	lmom:IJ09_09595
ko:K02035	lmom:IJ09_09600
ko:K02034	lmom:IJ09_09680
ko:K02033	lmom:IJ09_09685
ko:K02035	lmom:IJ09_09690
ko:K06975	lmom:IJ09_09695
ko:K00088	lmom:IJ09_09705
ko:K01081	lmom:IJ09_09715
ko:K01448	lmom:IJ09_09720
ko:K15580	lmom:IJ09_13930
ko:K15581	lmom:IJ09_13935
ko:K15582	lmom:IJ09_13940
ko:K15583	lmom:IJ09_13945
ko:K10823	lmom:IJ09_13950
ko:K16509	lmom:IJ09_13955
ko:K16511	lmom:IJ09_13960
ko:K06198	lmom:IJ09_13965
ko:K08602	lmom:IJ09_13970
ko:K02016	lmom:IJ09_13990
ko:K02015	lmom:IJ09_13995
ko:K02013	lmom:IJ09_14000
ko:K08600	lmom:IJ09_14005
ko:K01026	lmom:IJ09_14050
ko:K08177	lmom:IJ09_14055
ko:K01759	lmom:IJ09_14070
ko:K03671	lmom:IJ09_14150
ko:K07035	lmom:IJ09_14185
ko:K03710	lmom:IJ09_14190
ko:K01992	lmom:IJ09_14210
ko:K10027	lmom:IJ09_05290
ko:K07052	lmom:IJ09_05300
ko:K03697	lmom:IJ09_05305
ko:K00567	lmom:IJ09_05310
ko:K02837	lmom:IJ09_05350
ko:K11051	lmom:IJ09_05355
ko:K11050	lmom:IJ09_05360
ko:K00432	lmom:IJ09_05375
ko:K01992	lmom:IJ09_05390
ko:K01990	lmom:IJ09_05395
ko:K00826	lmom:IJ09_05400
ko:K01807	lmom:IJ09_05415
ko:K03367	lmom:IJ09_05425
ko:K03739	lmom:IJ09_05430
ko:K14188	lmom:IJ09_05435
ko:K03740	lmom:IJ09_05440
ko:K00208	lmom:IJ09_05445
ko:K06180	lmom:IJ09_05450
ko:K00858	lmom:IJ09_05455
ko:K07816	lmom:IJ09_05460
ko:K03799	lmom:IJ09_05480
ko:K03744	lmom:IJ09_05485
ko:K08303	lmom:IJ09_05490
ko:K02851	lmom:IJ09_05500
ko:K03710	lmom:IJ09_05505
ko:K02564	lmom:IJ09_05510
ko:K01443	lmom:IJ09_05515
ko:K03449	lmom:IJ09_05560
ko:K01874	lmom:IJ09_09480
ko:K05340	lmom:IJ09_09515
ko:K06284	lmom:IJ09_09520
ko:K07056	lmom:IJ09_09525
ko:K07461	lmom:IJ09_09530
ko:K02341	lmom:IJ09_09550
ko:K17763	lmom:IJ09_09555
ko:K09816	lmom:IJ09_09585
ko:K19975	lmom:IJ09_00595
ko:K19973	lmom:IJ09_00585
ko:K01992	lmom:IJ09_06540
ko:K08221	lmom:IJ09_02960
ko:K01271	lmom:IJ09_02100
ko:K08316	lmom:IJ09_14945
ko:K01101	lmom:IJ09_12790
ko:K06400	lmom:IJ09_13240
ko:K07741	lmom:IJ09_13300
ko:K22597	lmom:IJ09_10495
ko:K22597	lmom:IJ09_11030
ko:K05352	lmom:IJ09_04850
ko:K09017	lmom:IJ09_00015
ko:K22579	lmom:IJ09_08270
ko:K02538	lmom:IJ09_08200
ko:K03483	lmom:IJ09_11480
ko:K01297	lmom:IJ09_01790
ko:K01977	lmom:IJ09_00960
ko:K01977	lmom:IJ09_09215
ko:K01977	lmom:IJ09_09155
ko:K01977	lmom:IJ09_01445
ko:K01977	lmom:IJ09_12985
ko:K01977	lmom:IJ09_11795
ko:K09692	lmom:IJ09_04915
ko:K07171	lmom:IJ09_05885
ko:K02501	lmom:IJ09_07525
ko:K01814	lmom:IJ09_07530
ko:K02500	lmom:IJ09_07535
ko:K01496	lmom:IJ09_07540
ko:K01523	lmom:IJ09_07545
ko:K00262	lmom:IJ09_07550
ko:K07404	lmom:IJ09_07560
ko:K03305	lmom:IJ09_07575
ko:K08325	lmom:IJ09_07580
ko:K02783	lmom:IJ09_07630
ko:K02782	lmom:IJ09_07635
ko:K02783	lmom:IJ09_07635
ko:K02781	lmom:IJ09_07640
ko:K02016	lmom:IJ09_07645
ko:K01635	lmom:IJ09_07655
ko:K02083	lmom:IJ09_07665
ko:K01222	lmom:IJ09_07670
ko:K09157	lmom:IJ09_07680
ko:K07166	lmom:IJ09_07685
ko:K01222	lmom:IJ09_07745
ko:K01154	lmom:IJ09_07750
ko:K01154	lmom:IJ09_07760
ko:K03427	lmom:IJ09_07765
ko:K01153	lmom:IJ09_07770
ko:K08987	lmom:IJ09_07785
ko:K00123	lmom:IJ09_11855
ko:K02379	lmom:IJ09_11865
ko:K02004	lmom:IJ09_11880
ko:K02003	lmom:IJ09_11885
ko:K16264	lmom:IJ09_11915
ko:K08281	lmom:IJ09_11935
ko:K02035	lmom:IJ09_11945
ko:K18821	lmom:IJ09_11965
ko:K06885	lmom:IJ09_11970
ko:K01821	lmom:IJ09_11975
ko:K01887	lmom:IJ09_11990
ko:K03048	lmom:IJ09_12000
ko:K01937	lmom:IJ09_12005
ko:K13678	lmom:IJ09_12030
ko:K07027	lmom:IJ09_12035
ko:K00790	lmom:IJ09_12040
ko:K03628	lmom:IJ09_12045
ko:K02909	lmom:IJ09_12060
ko:K00003	lmom:IJ09_12065
ko:K01733	lmom:IJ09_12070
ko:K00872	lmom:IJ09_12075
ko:K02835	lmom:IJ09_12085
ko:K02493	lmom:IJ09_12090
ko:K07566	lmom:IJ09_12095
ko:K00600	lmom:IJ09_12105
ko:K00283	lmom:IJ09_03260
ko:K00282	lmom:IJ09_03265
ko:K00605	lmom:IJ09_03270
ko:K02243	lmom:IJ09_03275
ko:K02244	lmom:IJ09_03280
ko:K02245	lmom:IJ09_03285
ko:K02246	lmom:IJ09_03290
ko:K02247	lmom:IJ09_03295
ko:K02248	lmom:IJ09_03300
ko:K02249	lmom:IJ09_03305
ko:K00845	lmom:IJ09_03315
ko:K01934	lmom:IJ09_03330
ko:K02913	lmom:IJ09_03335
ko:K06949	lmom:IJ09_03350
ko:K00962	lmom:IJ09_03355
ko:K02956	lmom:IJ09_03360
ko:K11753	lmom:IJ09_03365
ko:K03177	lmom:IJ09_03370
ko:K02834	lmom:IJ09_03375
ko:K09764	lmom:IJ09_03380
ko:K02519	lmom:IJ09_03385
ko:K07742	lmom:IJ09_03395
ko:K02600	lmom:IJ09_03400
ko:K09748	lmom:IJ09_03405
ko:K03763	lmom:IJ09_03410
ko:K01881	lmom:IJ09_03415
ko:K11749	lmom:IJ09_03420
ko:K00099	lmom:IJ09_03425
ko:K00981	lmom:IJ09_03430
ko:K00806	lmom:IJ09_03435
ko:K02838	lmom:IJ09_03440
ko:K09903	lmom:IJ09_03445
ko:K09976	lmom:IJ09_03480
ko:K00615	lmom:IJ09_03485
ko:K01356	lmom:IJ09_03500
ko:K03893	lmom:IJ09_03510
ko:K01915	lmom:IJ09_03515
ko:K03713	lmom:IJ09_03520
ko:K03665	lmom:IJ09_03530
ko:K02520	lmom:IJ09_00915
ko:K02916	lmom:IJ09_00920
ko:K02887	lmom:IJ09_00925
ko:K01142	lmom:IJ09_00930
ko:K01258	lmom:IJ09_00940
ko:K02013	lmom:IJ09_00950
ko:K06950	lmom:IJ09_00955
ko:K01588	lmom:IJ09_00980
ko:K01589	lmom:IJ09_00985
ko:K01756	lmom:IJ09_00990
ko:K01923	lmom:IJ09_00995
ko:K01952	lmom:IJ09_01000
ko:K01952	lmom:IJ09_01005
ko:K01952	lmom:IJ09_01010
ko:K00764	lmom:IJ09_01015
ko:K01933	lmom:IJ09_01020
ko:K11175	lmom:IJ09_01025
ko:K00602	lmom:IJ09_01030
ko:K01945	lmom:IJ09_01035
ko:K03308	lmom:IJ09_01050
ko:K07094	lmom:IJ09_01055
ko:K03657	lmom:IJ09_01060
ko:K01972	lmom:IJ09_01065
ko:K02435	lmom:IJ09_01075
ko:K02433	lmom:IJ09_01080
ko:K02434	lmom:IJ09_01085
ko:K03215	lmom:IJ09_01100
ko:K00891	lmom:IJ09_01110
ko:K02003	lmom:IJ09_01120
ko:K02004	lmom:IJ09_01125
ko:K01486	lmom:IJ09_01145
ko:K02029	lmom:IJ09_01155
ko:K02028	lmom:IJ09_01160
ko:K02030	lmom:IJ09_01165
ko:K08317	lmom:IJ09_01170
ko:K00265	lmom:IJ09_01185
ko:K00266	lmom:IJ09_01190
ko:K07282	lmom:IJ09_07795
ko:K00948	lmom:IJ09_07830
ko:K02775	lmom:IJ09_07835
ko:K02774	lmom:IJ09_07840
ko:K00008	lmom:IJ09_07845
ko:K01783	lmom:IJ09_07850
ko:K02773	lmom:IJ09_07860
ko:K01783	lmom:IJ09_07880
ko:K01808	lmom:IJ09_07885
ko:K06978	lmom:IJ09_07910
ko:K03785	lmom:IJ09_07920
ko:K00014	lmom:IJ09_07925
ko:K02911	lmom:IJ09_07945
ko:K07145	lmom:IJ09_07955
ko:K13653	lmom:IJ09_07960
ko:K06941	lmom:IJ09_07965
ko:K10254	lmom:IJ09_07970
ko:K06885	lmom:IJ09_07995
ko:K09703	lmom:IJ09_08040
ko:K10974	lmom:IJ09_08045
ko:K03924	lmom:IJ09_08055
ko:K00761	lmom:IJ09_12110
ko:K01791	lmom:IJ09_12115
ko:K02116	lmom:IJ09_12125
ko:K02108	lmom:IJ09_12130
ko:K02110	lmom:IJ09_12135
ko:K02109	lmom:IJ09_12140
ko:K02113	lmom:IJ09_12145
ko:K02111	lmom:IJ09_12150
ko:K02115	lmom:IJ09_12155
ko:K02112	lmom:IJ09_12160
ko:K02114	lmom:IJ09_12165
ko:K00790	lmom:IJ09_12175
ko:K03569	lmom:IJ09_12180
ko:K02372	lmom:IJ09_12185
ko:K05946	lmom:IJ09_12200
ko:K02549	lmom:IJ09_12205
ko:K02851	lmom:IJ09_12210
ko:K07692	lmom:IJ09_12230
ko:K02240	lmom:IJ09_12240
ko:K02242	lmom:IJ09_12245
ko:K03070	lmom:IJ09_12255
ko:K02836	lmom:IJ09_12260
ko:K09812	lmom:IJ09_12270
ko:K09811	lmom:IJ09_12275
ko:K06131	lmom:IJ09_12290
ko:K07658	lmom:IJ09_12300
ko:K07636	lmom:IJ09_12305
ko:K02040	lmom:IJ09_12310
ko:K02037	lmom:IJ09_12315
ko:K02038	lmom:IJ09_12320
ko:K02036	lmom:IJ09_12325
ko:K02036	lmom:IJ09_12330
ko:K02039	lmom:IJ09_12335
ko:K07023	lmom:IJ09_12350
ko:K03702	lmom:IJ09_12360
ko:K03701	lmom:IJ09_12365
ko:K08972	lmom:IJ09_12385
ko:K06023	lmom:IJ09_12390
ko:K13292	lmom:IJ09_12395
ko:K06019	lmom:IJ09_12400
ko:K01978	lmom:IJ09_15395
ko:K04047	lmom:IJ09_05580
ko:K04079	lmom:IJ09_05585
ko:K01104	lmom:IJ09_05605
ko:K03216	lmom:IJ09_05620
ko:K03800	lmom:IJ09_05645
ko:K07284	lmom:IJ09_05655
ko:K03652	lmom:IJ09_05660
ko:K00867	lmom:IJ09_05685
ko:K08986	lmom:IJ09_05690
ko:K07089	lmom:IJ09_05695
ko:K03491	lmom:IJ09_05705
ko:K01223	lmom:IJ09_05710
ko:K02759	lmom:IJ09_05715
ko:K02761	lmom:IJ09_05720
ko:K02760	lmom:IJ09_05725
ko:K00135	lmom:IJ09_05730
ko:K00383	lmom:IJ09_05765
ko:K03492	lmom:IJ09_05800
ko:K02761	lmom:IJ09_05805
ko:K03095	lmom:IJ09_05830
ko:K06959	lmom:IJ09_05835
ko:K03321	lmom:IJ09_05840
ko:K05518	lmom:IJ09_05845
ko:K03090	lmom:IJ09_05850
ko:K06147	lmom:IJ09_09825
ko:K06147	lmom:IJ09_09830
ko:K01183	lmom:IJ09_09840
ko:K02795	lmom:IJ09_09880
ko:K02793	lmom:IJ09_09885
ko:K02794	lmom:IJ09_09885
ko:K02114	lmom:IJ09_09900
ko:K02112	lmom:IJ09_09905
ko:K02115	lmom:IJ09_09910
ko:K02111	lmom:IJ09_09915
ko:K02113	lmom:IJ09_09920
ko:K02110	lmom:IJ09_09925
ko:K10778	lmom:IJ09_09975
ko:K01990	lmom:IJ09_14215
ko:K02768	lmom:IJ09_14225
ko:K02769	lmom:IJ09_14230
ko:K02770	lmom:IJ09_14235
ko:K01624	lmom:IJ09_14240
ko:K01624	lmom:IJ09_14245
ko:K07052	lmom:IJ09_14300
ko:K15770	lmom:IJ09_14310
ko:K15771	lmom:IJ09_14315
ko:K15772	lmom:IJ09_14320
ko:K00691	lmom:IJ09_14330
ko:K18672	lmom:IJ09_14335
ko:K03431	lmom:IJ09_14345
ko:K02004	lmom:IJ09_14360
ko:K02003	lmom:IJ09_14365
ko:K01809	lmom:IJ09_14385
ko:K01443	lmom:IJ09_14395
ko:K07098	lmom:IJ09_14405
ko:K04759	lmom:IJ09_14415
ko:K04758	lmom:IJ09_14420
ko:K00625	lmom:IJ09_14425
ko:K08681	lmom:IJ09_14430
ko:K06215	lmom:IJ09_14435
