ko:K22213	maz:LA61_01425
ko:K09796	maz:LA61_11450
ko:K02113	maz:LA61_07240
ko:K02109	maz:LA61_07240
ko:K11741	maz:LA61_13285
ko:K14225	maz:LA61_07925
ko:K18958	maz:LA61_17745
ko:K18955	maz:LA61_18230
ko:K14219	maz:LA61_01135
ko:K14219	maz:LA61_01145
ko:K19311	maz:LA61_17790
ko:K19746	maz:LA61_23945
ko:K22552	maz:LA61_06340
ko:K21480	maz:LA61_24120
ko:K21689	maz:LA61_20635
ko:K21688	maz:LA61_05630
ko:K19302	maz:LA61_01020
ko:K00897	maz:LA61_00835
ko:K18688	maz:LA61_21060
ko:K10531	maz:LA61_09760
ko:K01978	maz:LA61_25050
ko:K01977	maz:LA61_07280
ko:K14230	maz:LA61_17690
ko:K12428	maz:LA61_00915
ko:K12437	maz:LA61_00920
ko:K16264	maz:LA61_00935
ko:K11386	maz:LA61_00945
ko:K11385	maz:LA61_00950
ko:K11387	maz:LA61_00965
ko:K13686	maz:LA61_00970
ko:K16652	maz:LA61_00975
ko:K16653	maz:LA61_00980
ko:K00375	maz:LA61_01005
ko:K16649	maz:LA61_01035
ko:K11717	maz:LA61_01110
ko:K00817	maz:LA61_01125
ko:K00963	maz:LA61_05395
ko:K03750	maz:LA61_05400
ko:K03790	maz:LA61_05405
ko:K04487	maz:LA61_05440
ko:K07090	maz:LA61_05535
ko:K07006	maz:LA61_05545
ko:K07044	maz:LA61_05560
ko:K01478	maz:LA61_05585
ko:K07056	maz:LA61_05595
ko:K01665	maz:LA61_05600
ko:K03088	maz:LA61_05610
ko:K01874	maz:LA61_05620
ko:K03424	maz:LA61_05625
ko:K02528	maz:LA61_05635
ko:K11738	maz:LA61_05640
ko:K06994	maz:LA61_05650
ko:K06994	maz:LA61_05665
ko:K00919	maz:LA61_05675
ko:K00666	maz:LA61_05680
ko:K11608	maz:LA61_05685
ko:K13668	maz:LA61_09950
ko:K01897	maz:LA61_09960
ko:K00655	maz:LA61_09990
ko:K01626	maz:LA61_10005
ko:K14337	maz:LA61_10025
ko:K13787	maz:LA61_10030
ko:K00297	maz:LA61_10035
ko:K03925	maz:LA61_10055
ko:K03438	maz:LA61_10060
ko:K03587	maz:LA61_10070
ko:K01928	maz:LA61_10075
ko:K01929	maz:LA61_10080
ko:K01000	maz:LA61_10085
ko:K01925	maz:LA61_10090
ko:K03588	maz:LA61_10095
ko:K02563	maz:LA61_10100
ko:K01924	maz:LA61_10105
ko:K03589	maz:LA61_10110
ko:K03531	maz:LA61_10115
ko:K05810	maz:LA61_10120
ko:K06997	maz:LA61_10125
ko:K09772	maz:LA61_10130
ko:K02221	maz:LA61_10150
ko:K01426	maz:LA61_10195
ko:K10536	maz:LA61_10205
ko:K09458	maz:LA61_10220
ko:K09458	maz:LA61_10230
ko:K00059	maz:LA61_10240
ko:K07089	maz:LA61_14410
ko:K01560	maz:LA61_14420
ko:K01876	maz:LA61_14430
ko:K03929	maz:LA61_14435
ko:K07054	maz:LA61_14440
ko:K07032	maz:LA61_14450
ko:K01892	maz:LA61_14465
ko:K03768	maz:LA61_14475
ko:K17836	maz:LA61_14480
ko:K00951	maz:LA61_14485
ko:K00759	maz:LA61_14490
ko:K02035	maz:LA61_14495
ko:K03074	maz:LA61_14500
ko:K03072	maz:LA61_14505
ko:K03210	maz:LA61_14510
ko:K03551	maz:LA61_14515
ko:K03550	maz:LA61_14520
ko:K01159	maz:LA61_14525
ko:K08681	maz:LA61_14555
ko:K10805	maz:LA61_14560
ko:K06215	maz:LA61_14565
ko:K08256	maz:LA61_14575
ko:K00995	maz:LA61_14585
ko:K01868	maz:LA61_14595
ko:K00077	maz:LA61_14650
ko:K01273	maz:LA61_14660
ko:K14161	maz:LA61_18755
ko:K01951	maz:LA61_18785
ko:K03333	maz:LA61_18790
ko:K00088	maz:LA61_18795
ko:K00088	maz:LA61_18800
ko:K03088	maz:LA61_18815
ko:K04077	maz:LA61_18850
ko:K04078	maz:LA61_18855
ko:K01409	maz:LA61_18865
ko:K03789	maz:LA61_18870
ko:K06925	maz:LA61_18880
ko:K01775	maz:LA61_18890
ko:K01580	maz:LA61_18895
ko:K00820	maz:LA61_18910
ko:K01113	maz:LA61_18940
ko:K03431	maz:LA61_18945
ko:K02996	maz:LA61_18950
ko:K02871	maz:LA61_18955
ko:K03466	maz:LA61_18975
ko:K14743	maz:LA61_18985
ko:K06173	maz:LA61_19035
ko:K16050	maz:LA61_22080
ko:K05713	maz:LA61_22110
ko:K02554	maz:LA61_22115
ko:K04073	maz:LA61_22120
ko:K01666	maz:LA61_22125
ko:K01907	maz:LA61_22130
ko:K00666	maz:LA61_22135
ko:K01644	maz:LA61_22140
ko:K05596	maz:LA61_22155
ko:K06994	maz:LA61_22160
ko:K06895	maz:LA61_22180
ko:K00055	maz:LA61_22190
ko:K02016	maz:LA61_22200
ko:K09125	maz:LA61_22210
ko:K03921	maz:LA61_22255
ko:K04756	maz:LA61_22270
ko:K03386	maz:LA61_22275
ko:K04761	maz:LA61_22280
ko:K01799	maz:LA61_22300
ko:K02433	maz:LA61_22310
ko:K00823	maz:LA61_22320
ko:K00135	maz:LA61_22325
ko:K07246	maz:LA61_22330
ko:K00239	maz:LA61_22345
ko:K02484	maz:LA61_03320
ko:K15268	maz:LA61_03330
ko:K01945	maz:LA61_03355
ko:K01756	maz:LA61_03380
ko:K01923	maz:LA61_03390
ko:K01354	maz:LA61_03395
ko:K00432	maz:LA61_03410
ko:K06986	maz:LA61_03415
ko:K07077	maz:LA61_03420
ko:K01952	maz:LA61_03430
ko:K01952	maz:LA61_03435
ko:K07223	maz:LA61_03445
ko:K01952	maz:LA61_03475
ko:K07052	maz:LA61_03485
ko:K00764	maz:LA61_03505
