ko:K19405	ctrv:L2BCV204_00710
ko:K01921	ctrv:L2BCV204_00810
ko:K01924	ctrv:L2BCV204_00810
ko:K14233	ctrv:L2BCV204_00890
ko:K11645	ctrv:L2BCV204_00218
ko:K00099	ctrv:L2BCV204_00074
ko:K03629	ctrv:L2BCV204_00077
ko:K02338	ctrv:L2BCV204_00078
ko:K03664	ctrv:L2BCV204_00079
ko:K03734	ctrv:L2BCV204_00080
ko:K01491	ctrv:L2BCV204_00081
ko:K02902	ctrv:L2BCV204_00087
ko:K00705	ctrv:L2BCV204_00088
ko:K04058	ctrv:L2BCV204_00090
ko:K03230	ctrv:L2BCV204_00091
ko:K03229	ctrv:L2BCV204_00092
ko:K06942	ctrv:L2BCV204_00093
ko:K11753	ctrv:L2BCV204_00094
ko:K02834	ctrv:L2BCV204_00096
ko:K02519	ctrv:L2BCV204_00097
ko:K02600	ctrv:L2BCV204_00098
ko:K02945	ctrv:L2BCV204_00099
ko:K00384	ctrv:L2BCV204_00100
ko:K00997	ctrv:L2BCV204_00101
ko:K02916	ctrv:L2BCV204_00887
ko:K02887	ctrv:L2BCV204_00888
ko:K01889	ctrv:L2BCV204_00889
ko:K11720	ctrv:L2BCV204_00892
ko:K07091	ctrv:L2BCV204_00893
ko:K04075	ctrv:L2BCV204_00894
ko:K03798	ctrv:L2BCV204_00895
ko:K00962	ctrv:L2BCV204_00896
ko:K02956	ctrv:L2BCV204_00897
ko:K01265	ctrv:L2BCV204_00906
ko:K03321	ctrv:L2BCV204_00913
ko:K03527	ctrv:L2BCV204_00916
ko:K02337	ctrv:L2BCV204_00572
ko:K03311	ctrv:L2BCV204_00581
ko:K00382	ctrv:L2BCV204_00584
ko:K03644	ctrv:L2BCV204_00585
ko:K03222	ctrv:L2BCV204_00586
ko:K03223	ctrv:L2BCV204_00588
ko:K03226	ctrv:L2BCV204_00589
ko:K03228	ctrv:L2BCV204_00591
ko:K02455	ctrv:L2BCV204_00597
ko:K02453	ctrv:L2BCV204_00599
ko:K03572	ctrv:L2BCV204_00602
ko:K01868	ctrv:L2BCV204_00608
ko:K01867	ctrv:L2BCV204_00612
ko:K03702	ctrv:L2BCV204_00613
ko:K01689	ctrv:L2BCV204_00614
ko:K00240	ctrv:L2BCV204_00618
ko:K00239	ctrv:L2BCV204_00619
ko:K03424	ctrv:L2BCV204_00622
ko:K01214	ctrv:L2BCV204_00044
ko:K00208	ctrv:L2BCV204_00105
ko:K03575	ctrv:L2BCV204_00108
ko:K04077	ctrv:L2BCV204_00111
ko:K04078	ctrv:L2BCV204_00112
ko:K08602	ctrv:L2BCV204_00114
ko:K03695	ctrv:L2BCV204_00115
ko:K01783	ctrv:L2BCV204_00123
ko:K02356	ctrv:L2BCV204_00124
ko:K02160	ctrv:L2BCV204_00125
ko:K01961	ctrv:L2BCV204_00126
ko:K02871	ctrv:L2BCV204_00127
ko:K02996	ctrv:L2BCV204_00128
ko:K02029	ctrv:L2BCV204_00131
ko:K07058	ctrv:L2BCV204_00134
ko:K06999	ctrv:L2BCV204_00138
ko:K07566	ctrv:L2BCV204_00139
ko:K09125	ctrv:L2BCV204_00142
ko:K07039	ctrv:L2BCV204_00143
ko:K01972	ctrv:L2BCV204_00150
ko:K02913	ctrv:L2BCV204_00154
ko:K09808	ctrv:L2BCV204_00155
ko:K09810	ctrv:L2BCV204_00156
ko:K03720	ctrv:L2BCV204_00169
ko:K01696	ctrv:L2BCV204_00170
ko:K01695	ctrv:L2BCV204_00171
ko:K03611	ctrv:L2BCV204_00175
ko:K00979	ctrv:L2BCV204_00183
ko:K01937	ctrv:L2BCV204_00184
ko:K07447	ctrv:L2BCV204_00185
ko:K00036	ctrv:L2BCV204_00186
ko:K01057	ctrv:L2BCV204_00187
ko:K02343	ctrv:L2BCV204_00188
