ko:K03801	smue:SMTETUND_001
ko:K03217	smue:SMTETUND_003
ko:K01873	smue:SMTETUND_004
ko:K02945	smue:SMTETUND_008
ko:K02338	smue:SMTETUND_005
ko:K01890	smue:SMTETUND_006
ko:K03885	smue:SMTETUND_010
ko:K01735	smue:SMTETUND_007
ko:K01679	smue:SMTETUND_002
ko:K02835	smue:SMTETUND_012
ko:K03628	smue:SMTETUND_011
ko:K03786	smue:SMTETUND_013
ko:K02114	smue:SMTETUND_014
ko:K02112	smue:SMTETUND_015
ko:K02528	smue:SMTETUND_016
ko:K03101	smue:SMTETUND_019
ko:K01870	smue:SMTETUND_018
ko:K01985	smue:SMTETUND_084
ko:K03596	smue:SMTETUND_021
ko:K02341	smue:SMTETUND_022
ko:K08303	smue:SMTETUND_023
ko:K01886	smue:SMTETUND_025
ko:K07056	smue:SMTETUND_028
ko:K03495	smue:SMTETUND_026
ko:K00948	smue:SMTETUND_030
ko:K01874	smue:SMTETUND_032
ko:K01885	smue:SMTETUND_034
ko:K02897	smue:SMTETUND_031
ko:K02115	smue:SMTETUND_035
ko:K02111	smue:SMTETUND_036
ko:K01875	smue:SMTETUND_054
ko:K02902	smue:SMTETUND_055
ko:K02913	smue:SMTETUND_056
ko:K06180	smue:SMTETUND_058
ko:K06173	smue:SMTETUND_059
ko:K03046	smue:SMTETUND_060
ko:K03043	smue:SMTETUND_061
ko:K02935	smue:SMTETUND_062
ko:K02864	smue:SMTETUND_063
ko:K02863	smue:SMTETUND_064
ko:K02867	smue:SMTETUND_065
ko:K02358	smue:SMTETUND_067
ko:K00184	smue:SMTETUND_073
ko:K00185	smue:SMTETUND_074
ko:K02426	smue:SMTETUND_078
ko:K00826	smue:SMTETUND_104
ko:K00566	smue:SMTETUND_106
ko:K03686	smue:SMTETUND_107
ko:K18682	smue:SMTETUND_108
ko:K00382	smue:SMTETUND_109
ko:K02834	smue:SMTETUND_112
ko:K03650	smue:SMTETUND_113
ko:K02337	smue:SMTETUND_115
ko:K01940	smue:SMTETUND_116
ko:K00145	smue:SMTETUND_117
ko:K01956	smue:SMTETUND_119
ko:K01955	smue:SMTETUND_120
ko:K13043	smue:SMTETUND_121
ko:K00930	smue:SMTETUND_122
ko:K01438	smue:SMTETUND_123
ko:K00891	smue:SMTETUND_126
ko:K00674	smue:SMTETUND_103
ko:K02963	smue:SMTETUND_177
ko:K02939	smue:SMTETUND_178
ko:K01714	smue:SMTETUND_181
ko:K02836	smue:SMTETUND_182
ko:K00215	smue:SMTETUND_183
ko:K03100	smue:SMTETUND_184
ko:K02970	smue:SMTETUND_185
ko:K00014	smue:SMTETUND_186
ko:K03979	smue:SMTETUND_187
ko:K00382	smue:SMTETUND_188
ko:K01872	smue:SMTETUND_192
ko:K00164	smue:SMTETUND_193
ko:K00658	smue:SMTETUND_194
ko:K03118	smue:SMTETUND_195
ko:K03664	smue:SMTETUND_196
ko:K04077	smue:SMTETUND_200
ko:K04078	smue:SMTETUND_201
ko:K06168	smue:SMTETUND_202
ko:K02919	smue:SMTETUND_256
ko:K02952	smue:SMTETUND_257
ko:K02948	smue:SMTETUND_258
ko:K02986	smue:SMTETUND_259
ko:K03040	smue:SMTETUND_260
ko:K02879	smue:SMTETUND_261
ko:K01778	smue:SMTETUND_262
ko:K03438	smue:SMTETUND_263
ko:K00294	smue:SMTETUND_265
ko:K03572	smue:SMTETUND_266
ko:K01755	smue:SMTETUND_267
ko:K04567	smue:SMTETUND_268
ko:K00161	smue:SMTETUND_270
ko:K00627	smue:SMTETUND_271
ko:K00134	smue:SMTETUND_273
ko:K02340	smue:SMTETUND_275
ko:K00384	smue:SMTETUND_276
ko:K03218	smue:SMTETUND_277
ko:K01889	smue:SMTETUND_278
ko:K02518	smue:SMTETUND_255
ko:K02113	smue:SMTETUND_037
ko:K02109	smue:SMTETUND_038
ko:K02110	smue:SMTETUND_039
ko:K02108	smue:SMTETUND_040
ko:K00928	smue:SMTETUND_041
ko:K05595	smue:SMTETUND_042
ko:K03437	smue:SMTETUND_043
ko:K00052	smue:SMTETUND_044
ko:K01704	smue:SMTETUND_045
ko:K01703	smue:SMTETUND_046
ko:K01649	smue:SMTETUND_047
ko:K01866	smue:SMTETUND_049
ko:K01869	smue:SMTETUND_050
ko:K00615	smue:SMTETUND_051
ko:K00615	smue:SMTETUND_052
ko:K02523	smue:SMTETUND_079
ko:K01903	smue:SMTETUND_085
ko:K02343	smue:SMTETUND_086
ko:K03116	smue:SMTETUND_087
ko:K01358	smue:SMTETUND_088
ko:K03544	smue:SMTETUND_089
ko:K03555	smue:SMTETUND_090
ko:K02357	smue:SMTETUND_093
ko:K02967	smue:SMTETUND_094
ko:K02996	smue:SMTETUND_095
ko:K02871	smue:SMTETUND_096
ko:K04043	smue:SMTETUND_097
ko:K02520	smue:SMTETUND_098
ko:K02916	smue:SMTETUND_099
ko:K02887	smue:SMTETUND_100
ko:K01462	smue:SMTETUND_101
ko:K07447	smue:SMTETUND_102
ko:K04075	smue:SMTETUND_127
ko:K01695	smue:SMTETUND_128
ko:K01609	smue:SMTETUND_130
ko:K00766	smue:SMTETUND_131
ko:K01658	smue:SMTETUND_132
ko:K01657	smue:SMTETUND_133
ko:K04487	smue:SMTETUND_134
ko:K01881	smue:SMTETUND_135
ko:K01338	smue:SMTETUND_136
ko:K01586	smue:SMTETUND_137
ko:K01736	smue:SMTETUND_139
ko:K04079	smue:SMTETUND_140
ko:K18707	smue:SMTETUND_141
ko:K03070	smue:SMTETUND_142
ko:K02884	smue:SMTETUND_143
ko:K01880	smue:SMTETUND_145
ko:K02548	smue:SMTETUND_146
ko:K01733	smue:SMTETUND_147
ko:K00872	smue:SMTETUND_148
ko:K12524	smue:SMTETUND_149
ko:K09014	smue:SMTETUND_203
ko:K09013	smue:SMTETUND_204
ko:K09015	smue:SMTETUND_205
ko:K11717	smue:SMTETUND_206
ko:K02600	smue:SMTETUND_207
ko:K02519	smue:SMTETUND_208
ko:K04516	smue:SMTETUND_209
ko:K04518	smue:SMTETUND_210
ko:K00133	smue:SMTETUND_211
ko:K02968	smue:SMTETUND_212
ko:K00800	smue:SMTETUND_214
ko:K02959	smue:SMTETUND_215
ko:K03624	smue:SMTETUND_217
ko:K02470	smue:SMTETUND_218
ko:K03501	smue:SMTETUND_219
ko:K00812	smue:SMTETUND_220
ko:K01265	smue:SMTETUND_221
ko:K02911	smue:SMTETUND_222
ko:K00162	smue:SMTETUND_223
ko:K01624	smue:SMTETUND_224
ko:K03086	smue:SMTETUND_226
ko:K00962	smue:SMTETUND_227
ko:K01754	smue:SMTETUND_279
ko:K00053	smue:SMTETUND_280
ko:K01653	smue:SMTETUND_281
ko:K01652	smue:SMTETUND_282
ko:K01687	smue:SMTETUND_283
ko:K09792	smue:SMTETUND_153
ko:K00406	smue:SMTETUND_155
ko:K15862	smue:SMTETUND_156
ko:K17686	smue:SMTETUND_157
ko:K03977	smue:SMTETUND_158
ko:K03644	smue:SMTETUND_159
ko:K02914	smue:SMTETUND_160
ko:K01902	smue:SMTETUND_161
ko:K07052	smue:SMTETUND_162
ko:K01867	smue:SMTETUND_165
ko:K07277	smue:SMTETUND_168
ko:K02838	smue:SMTETUND_169
ko:K01893	smue:SMTETUND_170
ko:K02888	smue:SMTETUND_173
ko:K02899	smue:SMTETUND_174
ko:K02990	smue:SMTETUND_176
ko:K02956	smue:SMTETUND_228
ko:K03183	smue:SMTETUND_229
ko:K02909	smue:SMTETUND_230
ko:K02950	smue:SMTETUND_231
ko:K02992	smue:SMTETUND_232
ko:K02355	smue:SMTETUND_233
ko:K02946	smue:SMTETUND_234
ko:K02906	smue:SMTETUND_235
ko:K02926	smue:SMTETUND_236
ko:K02886	smue:SMTETUND_238
ko:K02965	smue:SMTETUND_239
ko:K02890	smue:SMTETUND_240
ko:K02982	smue:SMTETUND_241
ko:K02878	smue:SMTETUND_242
ko:K02961	smue:SMTETUND_243
ko:K02874	smue:SMTETUND_244
ko:K02895	smue:SMTETUND_245
ko:K02931	smue:SMTETUND_246
ko:K02954	smue:SMTETUND_247
ko:K02994	smue:SMTETUND_248
ko:K02933	smue:SMTETUND_249
ko:K02881	smue:SMTETUND_250
ko:K02988	smue:SMTETUND_251
ko:K02907	smue:SMTETUND_252
ko:K02876	smue:SMTETUND_253
ko:K03076	smue:SMTETUND_254
ko:K14224	smue:SMTETUND_213
ko:K01980	smue:SMTETUND_083
ko:K01977	smue:SMTETUND_080
ko:K01978	smue:SMTETUND_264
ko:K15035	smue:SMTETUND_175
ko:K00821	smue:SMTETUND_118
ko:K02314	smue:SMTETUND_110
ko:K14228	smue:SMTETUND_092
ko:K14232	smue:SMTETUND_151
ko:K14237	smue:SMTETUND_114
ko:K14229	smue:SMTETUND_125
