ko:K19405	ctlb:L2B795_00711
ko:K01921	ctlb:L2B795_00810
ko:K01924	ctlb:L2B795_00810
ko:K00033	ctlb:L2B795_00066
ko:K11707	ctlb:L2B795_00070
ko:K11710	ctlb:L2B795_00071
ko:K11708	ctlb:L2B795_00072
ko:K11709	ctlb:L2B795_00073
ko:K03177	ctlb:L2B795_00095
ko:K02035	ctlb:L2B795_00175
ko:K02049	ctlb:L2B795_00180
ko:K01409	ctlb:L2B795_00199
ko:K15582	ctlb:L2B795_00202
ko:K10823	ctlb:L2B795_00203
ko:K15583	ctlb:L2B795_00204
ko:K02342	ctlb:L2B795_00267
ko:K02806	ctlb:L2B795_00296
ko:K02806	ctlb:L2B795_00297
ko:K02124	ctlb:L2B795_00310
ko:K02123	ctlb:L2B795_00311
ko:K02120	ctlb:L2B795_00312
ko:K00970	ctlb:L2B795_00425
ko:K09815	ctlb:L2B795_00431
ko:K01719	ctlb:L2B795_00452
ko:K00380	ctlb:L2B795_00454
ko:K01885	ctlb:L2B795_00465
ko:K02433	ctlb:L2B795_00004
ko:K03471	ctlb:L2B795_00009
ko:K06179	ctlb:L2B795_00107
ko:K00939	ctlb:L2B795_00130
ko:K02035	ctlb:L2B795_00141
ko:K06889	ctlb:L2B795_00153
ko:K06889	ctlb:L2B795_00208
ko:K00059	ctlb:L2B795_00243
ko:K07052	ctlb:L2B795_00260
ko:K02118	ctlb:L2B795_00313
ko:K02117	ctlb:L2B795_00314
ko:K02121	ctlb:L2B795_00316
ko:K00616	ctlb:L2B795_00319
ko:K08483	ctlb:L2B795_00347
ko:K11189	ctlb:L2B795_00348
ko:K00784	ctlb:L2B795_00358
ko:K07098	ctlb:L2B795_00481
ko:K00567	ctlb:L2B795_00500
ko:K02033	ctlb:L2B795_00502
ko:K02035	ctlb:L2B795_00503
ko:K02030	ctlb:L2B795_00511
ko:K03227	ctlb:L2B795_00591
ko:K02454	ctlb:L2B795_00599
ko:K01262	ctlb:L2B795_00602
ko:K07315	ctlb:L2B795_00616
ko:K00241	ctlb:L2B795_00621
ko:K00241	ctlb:L2B795_00622
ko:K03386	ctlb:L2B795_00632
ko:K01507	ctlb:L2B795_00820
ko:K01082	ctlb:L2B795_00822
ko:K01909	ctlb:L2B795_00824
ko:K00652	ctlb:L2B795_00825
ko:K03856	ctlb:L2B795_00396
ko:K02342	ctlb:L2B795_00563
ko:K07258	ctlb:L2B795_00579
ko:K02428	ctlb:L2B795_00636
ko:K00813	ctlb:L2B795_00670
ko:K01934	ctlb:L2B795_00682
ko:K00970	ctlb:L2B795_00743
ko:K01596	ctlb:L2B795_00750
ko:K00972	ctlb:L2B795_00755
ko:K01834	ctlb:L2B795_00762
ko:K06910	ctlb:L2B795_00776
ko:K07117	ctlb:L2B795_00777
ko:K01408	ctlb:L2B795_00856
ko:K01679	ctlb:L2B795_00912
ko:K04763	ctlb:L2B795_00923
ko:K00700	ctlb:L2B795_00925
ko:K14233	ctlb:L2B795_00890
ko:K11645	ctlb:L2B795_00219
ko:K00997	ctlb:L2B795_00101
ko:K00208	ctlb:L2B795_00105
ko:K03575	ctlb:L2B795_00108
ko:K04077	ctlb:L2B795_00111
ko:K04078	ctlb:L2B795_00112
ko:K08602	ctlb:L2B795_00114
ko:K03695	ctlb:L2B795_00115
ko:K01783	ctlb:L2B795_00123
ko:K02356	ctlb:L2B795_00124
