ko:K01985	pli:PLF_083
ko:K01980	pli:PLF_084
ko:K14227	pli:PLF_085
ko:K01977	pli:PLF_086
ko:K14234	pli:PLF_314
ko:K14234	pli:PLF_304
ko:K14225	pli:PLF_154
ko:K14237	pli:PLF_170
ko:K14233	pli:PLF_204
ko:K14232	pli:PLF_216
ko:K14220	pli:PLF_243
ko:K14222	pli:PLF_254
ko:K14231	pli:PLF_312
ko:K14223	pli:PLF_313
ko:K14230	pli:PLF_008
ko:K14218	pli:PLF_017
ko:K14234	pli:PLF_153
ko:K14233	pli:PLF_177
ko:K14233	pli:PLF_198
ko:K14233	pli:PLF_205
ko:K14226	pli:PLF_214
ko:K14230	pli:PLF_282
ko:K01338	pli:PLF_193
ko:K00600	pli:PLF_194
ko:K01892	pli:PLF_195
ko:K03977	pli:PLF_196
ko:K00928	pli:PLF_199
ko:K01872	pli:PLF_200
ko:K03555	pli:PLF_201
ko:K03644	pli:PLF_202
ko:K03801	pli:PLF_203
ko:K03640	pli:PLF_206
ko:K01159	pli:PLF_207
ko:K01876	pli:PLF_208
ko:K06213	pli:PLF_209
ko:K06131	pli:PLF_210
ko:K03530	pli:PLF_211
ko:K03544	pli:PLF_212
ko:K01358	pli:PLF_213
ko:K01883	pli:PLF_217
ko:K01886	pli:PLF_218
ko:K00014	pli:PLF_219
ko:K01462	pli:PLF_220
ko:K00845	pli:PLF_221
ko:K00036	pli:PLF_222
ko:K08137	pli:PLF_223
ko:K00297	pli:PLF_224
ko:K00615	pli:PLF_225
ko:K11102	pli:PLF_226
ko:K03786	pli:PLF_227
ko:K03438	pli:PLF_228
ko:K02996	pli:PLF_230
ko:K02871	pli:PLF_231
ko:K00765	pli:PLF_232
ko:K02433	pli:PLF_234
ko:K02434	pli:PLF_235
ko:K10027	pli:PLF_236
ko:K06443	pli:PLF_238
ko:K02835	pli:PLF_239
ko:K00948	pli:PLF_240
ko:K02897	pli:PLF_241
ko:K01609	pli:PLF_244
ko:K00766	pli:PLF_245
ko:K01658	pli:PLF_246
ko:K14742	pli:PLF_171
ko:K04043	pli:PLF_001
ko:K03686	pli:PLF_002
ko:K00962	pli:PLF_003
ko:K02956	pli:PLF_004
ko:K02834	pli:PLF_005
ko:K02519	pli:PLF_006
ko:K02600	pli:PLF_007
ko:K03798	pli:PLF_010
ko:K03624	pli:PLF_011
ko:K01955	pli:PLF_012
ko:K01956	pli:PLF_013
ko:K00215	pli:PLF_014
ko:K02221	pli:PLF_015
ko:K01866	pli:PLF_016
ko:K01439	pli:PLF_018
ko:K00674	pli:PLF_019
ko:K01265	pli:PLF_020
ko:K02967	pli:PLF_021
ko:K02357	pli:PLF_022
ko:K02838	pli:PLF_023
ko:K02337	pli:PLF_024
ko:K04075	pli:PLF_025
ko:K03628	pli:PLF_026
ko:K01626	pli:PLF_027
ko:K00549	pli:PLF_028
ko:K01523	pli:PLF_029
ko:K03667	pli:PLF_030
ko:K01419	pli:PLF_031
ko:K02909	pli:PLF_032
ko:K01657	pli:PLF_247
ko:K00761	pli:PLF_249
ko:K03593	pli:PLF_251
ko:K01874	pli:PLF_252
ko:K07390	pli:PLF_256
ko:K01940	pli:PLF_257
ko:K04078	pli:PLF_258
ko:K04077	pli:PLF_259
ko:K02945	pli:PLF_260
ko:K00800	pli:PLF_261
ko:K14170	pli:PLF_262
ko:K02469	pli:PLF_263
ko:K03070	pli:PLF_264
ko:K00611	pli:PLF_266
ko:K02114	pli:PLF_267
ko:K02112	pli:PLF_268
ko:K02115	pli:PLF_269
ko:K02111	pli:PLF_270
ko:K02113	pli:PLF_271
ko:K02109	pli:PLF_272
ko:K02110	pli:PLF_273
ko:K02108	pli:PLF_274
ko:K03495	pli:PLF_275
ko:K03650	pli:PLF_276
ko:K03217	pli:PLF_277
ko:K03536	pli:PLF_278
ko:K02914	pli:PLF_279
ko:K02338	pli:PLF_280
ko:K02470	pli:PLF_281
ko:K01879	pli:PLF_283
ko:K01878	pli:PLF_284
ko:K01754	pli:PLF_285
ko:K07447	pli:PLF_286
ko:K00528	pli:PLF_287
ko:K00330	pli:PLF_288
ko:K00331	pli:PLF_289
ko:K13378	pli:PLF_290
ko:K00334	pli:PLF_291
ko:K00335	pli:PLF_292
ko:K00336	pli:PLF_293
ko:K00337	pli:PLF_294
ko:K00338	pli:PLF_295
ko:K00339	pli:PLF_296
ko:K00340	pli:PLF_297
ko:K00341	pli:PLF_298
ko:K00342	pli:PLF_299
ko:K00343	pli:PLF_300
ko:K00891	pli:PLF_033
ko:K01735	pli:PLF_034
ko:K08300	pli:PLF_036
ko:K06179	pli:PLF_037
ko:K02911	pli:PLF_038
ko:K02078	pli:PLF_039
ko:K02341	pli:PLF_040
ko:K01649	pli:PLF_042
ko:K03704	pli:PLF_043
ko:K01736	pli:PLF_044
ko:K01703	pli:PLF_045
ko:K01704	pli:PLF_046
ko:K00052	pli:PLF_047
