ko:K07497	setc:CFSAN001921_03240
ko:K18138	setc:CFSAN001921_14660
ko:K22507	setc:CFSAN001921_02625
ko:K18923	setc:CFSAN001921_09365
ko:K19504	setc:CFSAN001921_17730
ko:K06148	setc:CFSAN001921_19110
ko:K03297	setc:CFSAN001921_08835
ko:K19595	setc:CFSAN001921_15280
ko:K01990	setc:CFSAN001921_12930
ko:K09690	setc:CFSAN001921_13415
ko:K08348	setc:CFSAN001921_09250
ko:K02345	setc:CFSAN001921_07690
ko:K08151	setc:CFSAN001921_23980
ko:K03111	setc:CFSAN001921_19140
ko:K02032	setc:CFSAN001921_10865
ko:K02031	setc:CFSAN001921_10870
ko:K00526	setc:CFSAN001921_05405
ko:K10906	setc:CFSAN001921_12155
ko:K18968	setc:CFSAN001921_15115
ko:K18984	setc:CFSAN001921_10165
ko:K19611	setc:CFSAN001921_03195
ko:K14744	setc:CFSAN001921_15520
ko:K01175	setc:CFSAN001921_13550
ko:K02495	setc:CFSAN001921_20415
ko:K19221	setc:CFSAN001921_08490
ko:K00632	setc:CFSAN001921_04840
ko:K00254	setc:CFSAN001921_11875
ko:K01447	setc:CFSAN001921_24610
ko:K12455	setc:CFSAN001921_06335
ko:K01271	setc:CFSAN001921_20510
ko:K13654	setc:CFSAN001921_09160
ko:K01139	setc:CFSAN001921_21735
ko:K07274	setc:CFSAN001921_10730
ko:K19230	setc:CFSAN001921_08610
ko:K18828	setc:CFSAN001921_01880
ko:K00537	setc:CFSAN001921_04290
ko:K18816	setc:CFSAN001921_09005
ko:K18838	setc:CFSAN001921_03455
ko:K04781	setc:CFSAN001921_24665
ko:K03604	setc:CFSAN001921_09995
ko:K01420	setc:CFSAN001921_08790
ko:K09477	setc:CFSAN001921_13945
ko:K03559	setc:CFSAN001921_01225
ko:K00040	setc:CFSAN001921_01335
ko:K00151	setc:CFSAN001921_11665
ko:K03779	setc:CFSAN001921_00215
ko:K00265	setc:CFSAN001921_00340
ko:K00821	setc:CFSAN001921_23105
ko:K00951	setc:CFSAN001921_02290
ko:K17713	setc:CFSAN001921_04175
ko:K19092	setc:CFSAN001921_02300
ko:K18292	setc:CFSAN001921_01425
ko:K03417	setc:CFSAN001921_15205
ko:K06075	setc:CFSAN001921_09920
ko:K07245	setc:CFSAN001921_07700
ko:K08302	setc:CFSAN001921_00745
ko:K00840	setc:CFSAN001921_10640
ko:K01142	setc:CFSAN001921_10645
ko:K08320	setc:CFSAN001921_10650
ko:K00262	setc:CFSAN001921_10660
ko:K01008	setc:CFSAN001921_10670
ko:K04773	setc:CFSAN001921_10680
ko:K08281	setc:CFSAN001921_10690
ko:K09916	setc:CFSAN001921_10695
ko:K00134	setc:CFSAN001921_10705
ko:K01792	setc:CFSAN001921_10715
ko:K06871	setc:CFSAN001921_10725
ko:K07180	setc:CFSAN001921_10735
ko:K09786	setc:CFSAN001921_10740
ko:K03449	setc:CFSAN001921_10770
ko:K09712	setc:CFSAN001921_10785
ko:K11250	setc:CFSAN001921_10810
ko:K02034	setc:CFSAN001921_10875
ko:K04080	setc:CFSAN001921_10920
ko:K07804	setc:CFSAN001921_10945
ko:K03704	setc:CFSAN001921_10950
ko:K00031	setc:CFSAN001921_10980
ko:K06181	setc:CFSAN001921_10985
ko:K12152	setc:CFSAN001921_10995
ko:K00566	setc:CFSAN001921_11000
ko:K07153	setc:CFSAN001921_11005
ko:K01756	setc:CFSAN001921_11010
ko:K07637	setc:CFSAN001921_11020
ko:K12410	setc:CFSAN001921_11070
ko:K09808	setc:CFSAN001921_11080
ko:K09810	setc:CFSAN001921_11085
ko:K09808	setc:CFSAN001921_11090
ko:K03723	setc:CFSAN001921_11095
ko:K12151	setc:CFSAN001921_11105
ko:K03885	setc:CFSAN001921_11120
ko:K07000	setc:CFSAN001921_11125
ko:K01207	setc:CFSAN001921_11130
