ko:K19405	ctrq:A363_00725
ko:K14233	ctrq:A363_00902
ko:K11645	ctrq:A363_00230
ko:K07042	ctrq:A363_00454
ko:K03183	ctrq:A363_00461
ko:K01778	ctrq:A363_00463
ko:K01358	ctrq:A363_00464
ko:K00600	ctrq:A363_00465
ko:K01770	ctrq:A363_00467
ko:K02946	ctrq:A363_00469
ko:K02355	ctrq:A363_00470
ko:K02992	ctrq:A363_00471
ko:K02950	ctrq:A363_00472
ko:K03797	ctrq:A363_00474
ko:K07462	ctrq:A363_00481
ko:K12257	ctrq:A363_00482
ko:K00806	ctrq:A363_00484
ko:K00981	ctrq:A363_00485
ko:K00945	ctrq:A363_00486
ko:K00655	ctrq:A363_00487
ko:K01887	ctrq:A363_00488
ko:K00790	ctrq:A363_00489
ko:K02836	ctrq:A363_00493
ko:K00991	ctrq:A363_00496
ko:K06173	ctrq:A363_00497
ko:K07710	ctrq:A363_00502
ko:K07714	ctrq:A363_00503
ko:K03584	ctrq:A363_00506
ko:K01214	ctrq:A363_00044
ko:K02434	ctrq:A363_00005
ko:K02517	ctrq:A363_00011
ko:K00425	ctrq:A363_00014
ko:K00426	ctrq:A363_00015
ko:K07175	ctrq:A363_00016
ko:K01870	ctrq:A363_00021
ko:K03100	ctrq:A363_00022
ko:K02909	ctrq:A363_00024
ko:K02835	ctrq:A363_00025
ko:K02493	ctrq:A363_00026
ko:K03106	ctrq:A363_00027
ko:K02959	ctrq:A363_00028
ko:K00554	ctrq:A363_00029
ko:K02884	ctrq:A363_00030
ko:K03470	ctrq:A363_00031
ko:K00942	ctrq:A363_00032
ko:K01874	ctrq:A363_00034
ko:K03581	ctrq:A363_00035
ko:K01494	ctrq:A363_00041
ko:K03551	ctrq:A363_00042
ko:K01255	ctrq:A363_00047
ko:K02340	ctrq:A363_00049
ko:K07056	ctrq:A363_00050
ko:K00164	ctrq:A363_00056
ko:K00658	ctrq:A363_00057
ko:K05810	ctrq:A363_00058
ko:K03526	ctrq:A363_00059
