ko:K00459	hps:HPSH_02945
ko:K13797	hps:HPSH_06195
ko:K02409	hps:HPSH_01815
ko:K01961	hps:HPSH_05565
ko:K02412	hps:HPSH_07245
ko:K03496	hps:HPSH_05865
ko:K02411	hps:HPSH_01825
ko:K03787	hps:HPSH_04900
ko:K00833	hps:HPSH_05155
ko:K03587	hps:HPSH_08110
ko:K07270	hps:HPSH_03775
ko:K07270	hps:HPSH_02790
ko:K07270	hps:HPSH_03765
ko:K07270	hps:HPSH_02675
ko:K14652	hps:HPSH_02795
ko:K05515	hps:HPSH_08155
ko:K02417	hps:HPSH_02165
ko:K02417	hps:HPSH_03955
ko:K03841	hps:HPSH_07980
ko:K13038	hps:HPSH_02595
ko:K03609	hps:HPSH_01720
ko:K01674	hps:HPSH_06145
ko:K04651	hps:HPSH_02465
ko:K03610	hps:HPSH_02055
ko:K05516	hps:HPSH_02195
ko:K03608	hps:HPSH_01725
ko:K04652	hps:HPSH_04745
ko:K01963	hps:HPSH_05005
ko:K02419	hps:HPSH_03440
ko:K00525	hps:HPSH_03465
ko:K01736	hps:HPSH_03540
ko:K03685	hps:HPSH_03545
ko:K03469	hps:HPSH_03550
ko:K02434	hps:HPSH_03565
ko:K01810	hps:HPSH_06020
ko:K06200	hps:HPSH_06040
ko:K02429	hps:HPSH_06075
ko:K06901	hps:HPSH_06080
ko:K03784	hps:HPSH_06105
ko:K01839	hps:HPSH_06110
ko:K08159	hps:HPSH_06140
ko:K00133	hps:HPSH_06155
ko:K01892	hps:HPSH_06160
ko:K02843	hps:HPSH_06165
ko:K02355	hps:HPSH_06180
ko:K02992	hps:HPSH_06185
ko:K02950	hps:HPSH_06190
ko:K02935	hps:HPSH_06205
ko:K02864	hps:HPSH_06210
ko:K02863	hps:HPSH_06215
ko:K02867	hps:HPSH_06220
ko:K02601	hps:HPSH_06225
ko:K03073	hps:HPSH_06230
ko:K02913	hps:HPSH_06235
ko:K02358	hps:HPSH_06240
ko:K00640	hps:HPSH_06265
ko:K02110	hps:HPSH_06275
ko:K00962	hps:HPSH_06280
ko:K04744	hps:HPSH_06290
ko:K07277	hps:HPSH_03580
ko:K01744	hps:HPSH_03615
ko:K00790	hps:HPSH_03620
ko:K00963	hps:HPSH_03630
ko:K02221	hps:HPSH_03640
ko:K01885	hps:HPSH_03645
ko:K06920	hps:HPSH_03670
ko:K03620	hps:HPSH_03700
ko:K03923	hps:HPSH_03715
ko:K01924	hps:HPSH_03745
ko:K07456	hps:HPSH_03755
ko:K03625	hps:HPSH_00005
ko:K00794	hps:HPSH_00010
ko:K01627	hps:HPSH_00015
ko:K01591	hps:HPSH_00025
ko:K01918	hps:HPSH_00030
ko:K04077	hps:HPSH_00050
ko:K04078	hps:HPSH_00055
ko:K02316	hps:HPSH_00060
ko:K09859	hps:HPSH_00095
ko:K03415	hps:HPSH_00100
ko:K01647	hps:HPSH_00130
ko:K01935	hps:HPSH_00145
ko:K06891	hps:HPSH_00160
ko:K04654	hps:HPSH_04735
ko:K04653	hps:HPSH_04740
ko:K00925	hps:HPSH_04760
ko:K02389	hps:HPSH_04775
ko:K02390	hps:HPSH_04780
ko:K03657	hps:HPSH_04795
ko:K02014	hps:HPSH_04830
ko:K01955	hps:HPSH_04840
