ko:K03741	fpk:IA06_07655
ko:K21029	fpk:IA06_02120
ko:K01156	fpk:IA06_10635
ko:K19166	fpk:IA06_05805
ko:K19159	fpk:IA06_12100
ko:K19158	fpk:IA06_12095
ko:K01710	fpk:IA06_06150
ko:K01710	fpk:IA06_12255
ko:K05606	fpk:IA06_01095
ko:K02834	fpk:IA06_01100
ko:K09808	fpk:IA06_01105
ko:K07568	fpk:IA06_01110
ko:K00800	fpk:IA06_01115
ko:K07461	fpk:IA06_01125
ko:K07560	fpk:IA06_01150
ko:K06949	fpk:IA06_01155
ko:K04516	fpk:IA06_01160
ko:K04518	fpk:IA06_01170
ko:K01990	fpk:IA06_01175
ko:K12524	fpk:IA06_01190
ko:K00641	fpk:IA06_01195
ko:K01740	fpk:IA06_01200
ko:K03671	fpk:IA06_01215
ko:K00789	fpk:IA06_01250
ko:K03584	fpk:IA06_01255
ko:K00262	fpk:IA06_01265
ko:K01876	fpk:IA06_01290
ko:K03704	fpk:IA06_01295
ko:K11991	fpk:IA06_01300
ko:K01662	fpk:IA06_01310
ko:K01129	fpk:IA06_01330
ko:K07098	fpk:IA06_01380
ko:K03671	fpk:IA06_01385
ko:K01993	fpk:IA06_01400
ko:K00973	fpk:IA06_06145
ko:K00012	fpk:IA06_06155
ko:K02473	fpk:IA06_06165
ko:K01991	fpk:IA06_06175
ko:K06187	fpk:IA06_06180
ko:K06929	fpk:IA06_06190
ko:K01647	fpk:IA06_06215
ko:K01689	fpk:IA06_06225
ko:K01956	fpk:IA06_06235
ko:K02879	fpk:IA06_06240
ko:K03040	fpk:IA06_06245
ko:K02986	fpk:IA06_06250
ko:K02948	fpk:IA06_06255
ko:K02952	fpk:IA06_06260
ko:K02919	fpk:IA06_06265
ko:K02518	fpk:IA06_06270
ko:K03076	fpk:IA06_06275
ko:K02876	fpk:IA06_06280
ko:K02907	fpk:IA06_06285
ko:K02988	fpk:IA06_06290
ko:K02881	fpk:IA06_06295
ko:K02933	fpk:IA06_06300
ko:K02994	fpk:IA06_06305
ko:K02954	fpk:IA06_06310
ko:K02931	fpk:IA06_06315
ko:K02895	fpk:IA06_06320
ko:K02874	fpk:IA06_06325
ko:K02961	fpk:IA06_06330
ko:K02904	fpk:IA06_06335
ko:K02878	fpk:IA06_06340
ko:K02982	fpk:IA06_06345
ko:K02890	fpk:IA06_06350
ko:K02965	fpk:IA06_06355
ko:K02886	fpk:IA06_06360
ko:K02892	fpk:IA06_06365
ko:K02926	fpk:IA06_06370
ko:K02906	fpk:IA06_06375
ko:K02946	fpk:IA06_06380
ko:K02355	fpk:IA06_06385
ko:K02992	fpk:IA06_06390
ko:K02950	fpk:IA06_06395
ko:K03218	fpk:IA06_06415
ko:K01912	fpk:IA06_11105
ko:K02372	fpk:IA06_11135
ko:K02078	fpk:IA06_11175
ko:K00647	fpk:IA06_11185
ko:K07107	fpk:IA06_11190
ko:K01992	fpk:IA06_11195
ko:K00648	fpk:IA06_11235
ko:K02078	fpk:IA06_11255
ko:K00647	fpk:IA06_11260
ko:K00059	fpk:IA06_11265
ko:K01745	fpk:IA06_11275
ko:K03424	fpk:IA06_11285
ko:K01424	fpk:IA06_11295
ko:K02666	fpk:IA06_11340
ko:K02652	fpk:IA06_11345
ko:K02655	fpk:IA06_11355
ko:K06142	fpk:IA06_11360
ko:K00927	fpk:IA06_00020
ko:K08307	fpk:IA06_00025
ko:K02348	fpk:IA06_00030
ko:K07146	fpk:IA06_00040
ko:K05366	fpk:IA06_00055
ko:K01028	fpk:IA06_00060
ko:K01029	fpk:IA06_00085
ko:K07501	fpk:IA06_00095
ko:K00567	fpk:IA06_00100
ko:K08738	fpk:IA06_00105
ko:K01698	fpk:IA06_00110
ko:K00616	fpk:IA06_04900
ko:K02340	fpk:IA06_04930
ko:K01486	fpk:IA06_04960
ko:K07056	fpk:IA06_04970
ko:K01775	fpk:IA06_04985
ko:K03282	fpk:IA06_04990
ko:K06925	fpk:IA06_05000
ko:K00259	fpk:IA06_05005
ko:K01923	fpk:IA06_05060
ko:K01992	fpk:IA06_05110
ko:K02338	fpk:IA06_05120
ko:K11927	fpk:IA06_05125
ko:K01465	fpk:IA06_05135
ko:K06999	fpk:IA06_05145
ko:K06167	fpk:IA06_05155
