ko:K01699	lmod:LMON_1146
ko:K07045	lmod:LMON_0873
ko:K22010	lmod:LMON_1165
ko:K11741	lmod:LMON_0856
ko:K11741	lmod:LMON_0857
ko:K18926	lmod:LMON_0519
ko:K19975	lmod:LMON_1915
ko:K19973	lmod:LMON_1917
ko:K18344	lmod:LMON_1070
ko:K18345	lmod:LMON_1071
ko:K09692	lmod:LMON_1084
ko:K12574	lmod:LMON_1037
ko:K12574	lmod:LMON_1497
ko:K01992	lmod:LMON_0761
ko:K07260	lmod:LMON_1923
ko:K01791	lmod:LMON_2551
ko:K14229	lmod:LMON_T36
ko:K14229	lmod:LMON_T45
ko:K14218	lmod:LMON_T10
ko:K14218	lmod:LMON_T65
ko:K14218	lmod:LMON_T30
ko:K14218	lmod:LMON_T60
ko:K01840	lmod:LMON_0868
ko:K02027	lmod:LMON_1795
ko:K02226	lmod:LMON_1142
ko:K01980	lmod:LMON_R11
ko:K01980	lmod:LMON_R8
ko:K01980	lmod:LMON_R14
ko:K01980	lmod:LMON_R17
ko:K01980	lmod:LMON_R5
ko:K01980	lmod:LMON_R2
ko:K01658	lmod:LMON_1700
ko:K17752	lmod:LMON_0896
ko:K02027	lmod:LMON_0179
ko:K01985	lmod:LMON_R10
ko:K01985	lmod:LMON_R16
ko:K01985	lmod:LMON_R7
ko:K01985	lmod:LMON_R13
ko:K01985	lmod:LMON_R6
ko:K01985	lmod:LMON_R3
ko:K17763	lmod:LMON_0894
ko:K17763	lmod:LMON_0158
ko:K17828	lmod:LMON_1901
ko:K02026	lmod:LMON_1798
ko:K02026	lmod:LMON_0178
ko:K02026	lmod:LMON_2856
ko:K02768	lmod:LMON_0632
ko:K02768	lmod:LMON_2211
ko:K02768	lmod:LMON_0364
ko:K02768	lmod:LMON_0407
ko:K02768	lmod:LMON_0434
ko:K02026	lmod:LMON_0771
ko:K02026	lmod:LMON_0864
ko:K02027	lmod:LMON_0772
ko:K02027	lmod:LMON_2858
ko:K14232	lmod:LMON_T31
ko:K14232	lmod:LMON_T9
ko:K14219	lmod:LMON_T39
ko:K14219	lmod:LMON_T17
ko:K14230	lmod:LMON_T29
ko:K14236	lmod:LMON_T43
ko:K14236	lmod:LMON_T52
ko:K14223	lmod:LMON_T44
ko:K14222	lmod:LMON_T47
ko:K14223	lmod:LMON_T49
ko:K14233	lmod:LMON_T13
ko:K14227	lmod:LMON_T21
ko:K14227	lmod:LMON_T66
ko:K14227	lmod:LMON_T61
ko:K14226	lmod:LMON_T23
ko:K14226	lmod:LMON_T50
ko:K14231	lmod:LMON_T24
ko:K14231	lmod:LMON_T53
ko:K14237	lmod:LMON_T2
ko:K14237	lmod:LMON_T38
ko:K14237	lmod:LMON_T56
ko:K14234	lmod:LMON_T3
ko:K14234	lmod:LMON_T37
ko:K14234	lmod:LMON_T42
ko:K14228	lmod:LMON_T35
ko:K14228	lmod:LMON_T5
ko:K14225	lmod:LMON_T22
ko:K14219	lmod:LMON_T32
ko:K14219	lmod:LMON_T8
ko:K14233	lmod:LMON_T27
ko:K14224	lmod:LMON_T14
ko:K14224	lmod:LMON_T57
ko:K14224	lmod:LMON_T41
ko:K14224	lmod:LMON_T18
ko:K14230	lmod:LMON_T26
ko:K14230	lmod:LMON_T55
ko:K14230	lmod:LMON_T28
ko:K07979	lmod:LMON_2317
ko:K01739	lmod:LMON_1747
ko:K07284	lmod:LMON_0935
ko:K02027	lmod:LMON_0862
ko:K14229	lmod:LMON_T1
ko:K14229	lmod:LMON_T4
ko:K14234	lmod:LMON_T63
ko:K14225	lmod:LMON_T34
ko:K14225	lmod:LMON_T6
ko:K14225	lmod:LMON_T48
ko:K14225	lmod:LMON_T16
ko:K14220	lmod:LMON_T12
ko:K14220	lmod:LMON_T64
ko:K14220	lmod:LMON_T20
ko:K14220	lmod:LMON_T59
ko:K14221	lmod:LMON_T15
ko:K14221	lmod:LMON_T54
ko:K14221	lmod:LMON_T25
ko:K14233	lmod:LMON_T11
ko:K14233	lmod:LMON_T19
ko:K00537	lmod:LMON_2437
ko:K00661	lmod:LMON_0668
ko:K01183	lmod:LMON_0104
ko:K01977	lmod:LMON_R1
ko:K01977	lmod:LMON_R4
ko:K01977	lmod:LMON_R9
ko:K01977	lmod:LMON_R15
ko:K01977	lmod:LMON_R18
ko:K01977	lmod:LMON_R12
ko:K14228	lmod:LMON_T33
ko:K14228	lmod:LMON_T7
ko:K14228	lmod:LMON_T46
ko:K14228	lmod:LMON_T40
ko:K14219	lmod:LMON_T62
ko:K14235	lmod:LMON_T51
ko:K14233	lmod:LMON_T58
ko:K14237	lmod:LMON_T67
ko:K04757	lmod:LMON_0899
ko:K17762	lmod:LMON_0895
ko:K06147	lmod:LMON_0106
ko:K06147	lmod:LMON_0107
ko:K01448	lmod:LMON_0128
ko:K01081	lmod:LMON_0129
ko:K00088	lmod:LMON_0131
ko:K06975	lmod:LMON_0133
ko:K02035	lmod:LMON_0134
ko:K02033	lmod:LMON_0135
ko:K02034	lmod:LMON_0136
ko:K02035	lmod:LMON_0149
ko:K09815	lmod:LMON_0150
ko:K09817	lmod:LMON_0151
ko:K09816	lmod:LMON_0152
ko:K04750	lmod:LMON_1302
ko:K03574	lmod:LMON_1307
ko:K03486	lmod:LMON_1314
ko:K01226	lmod:LMON_1315
ko:K02818	lmod:LMON_1316
ko:K02819	lmod:LMON_1316
ko:K00147	lmod:LMON_1320
ko:K00931	lmod:LMON_1321
ko:K07048	lmod:LMON_2041
ko:K03475	lmod:LMON_2042
ko:K02822	lmod:LMON_2043
ko:K02821	lmod:LMON_2044
ko:K03710	lmod:LMON_2045
ko:K02346	lmod:LMON_2046
ko:K07124	lmod:LMON_2047
ko:K00784	lmod:LMON_2048
ko:K00036	lmod:LMON_2049
ko:K01687	lmod:LMON_2054
ko:K01652	lmod:LMON_2055
ko:K01653	lmod:LMON_2056
ko:K00053	lmod:LMON_2057
ko:K01649	lmod:LMON_2058
ko:K00052	lmod:LMON_2059
ko:K01703	lmod:LMON_2060
ko:K01704	lmod:LMON_2061
ko:K01754	lmod:LMON_2062
ko:K01575	lmod:LMON_2063
ko:K00756	lmod:LMON_2064
ko:K02529	lmod:LMON_2065
ko:K01619	lmod:LMON_2066
ko:K05346	lmod:LMON_2067
ko:K02793	lmod:LMON_2068
ko:K01652	lmod:LMON_2077
ko:K17318	lmod:LMON_2078
ko:K17320	lmod:LMON_2079
ko:K17319	lmod:LMON_2080
ko:K07720	lmod:LMON_2081
ko:K07718	lmod:LMON_2082
ko:K09704	lmod:LMON_2084
ko:K01191	lmod:LMON_2085
ko:K01191	lmod:LMON_2086
ko:K03704	lmod:LMON_2087
ko:K01778	lmod:LMON_2089
ko:K01870	lmod:LMON_2090
ko:K02755	lmod:LMON_2807
ko:K02756	lmod:LMON_2807
ko:K02757	lmod:LMON_2807
ko:K03488	lmod:LMON_2808
ko:K02798	lmod:LMON_2817
ko:K02799	lmod:LMON_2819
ko:K02800	lmod:LMON_2819
ko:K01788	lmod:LMON_2821
ko:K03501	lmod:LMON_2822
ko:K03495	lmod:LMON_2829
ko:K03650	lmod:LMON_2830
ko:K00059	lmod:LMON_2834
ko:K08170	lmod:LMON_2837
ko:K00058	lmod:LMON_2843
ko:K00831	lmod:LMON_2844
ko:K07078	lmod:LMON_2848
ko:K00865	lmod:LMON_2851
ko:K04844	lmod:LMON_2852
ko:K07282	lmod:LMON_0516
ko:K08987	lmod:LMON_0518
ko:K01222	lmod:LMON_0521
ko:K07166	lmod:LMON_0533
ko:K09157	lmod:LMON_0534
ko:K01222	lmod:LMON_0536
ko:K02083	lmod:LMON_0537
ko:K01635	lmod:LMON_0539
ko:K02016	lmod:LMON_0541
ko:K02781	lmod:LMON_0542
ko:K02782	lmod:LMON_0543
ko:K02783	lmod:LMON_0543
ko:K02783	lmod:LMON_0544
ko:K08325	lmod:LMON_0554
ko:K03305	lmod:LMON_0555
ko:K07404	lmod:LMON_0558
ko:K00262	lmod:LMON_0560
ko:K01523	lmod:LMON_0561
ko:K01496	lmod:LMON_0562
ko:K02500	lmod:LMON_0563
ko:K01814	lmod:LMON_0564
ko:K01921	lmod:LMON_0858
ko:K01929	lmod:LMON_0859
ko:K02529	lmod:LMON_0861
ko:K02025	lmod:LMON_0863
ko:K01226	lmod:LMON_0865
ko:K05592	lmod:LMON_0869
ko:K02759	lmod:LMON_0878
ko:K02760	lmod:LMON_0879
ko:K02761	lmod:LMON_0880
ko:K09167	lmod:LMON_0887
ko:K08981	lmod:LMON_0888
ko:K00231	lmod:LMON_0889
ko:K00997	lmod:LMON_0890
ko:K01775	lmod:LMON_0891
ko:K07723	lmod:LMON_0892
ko:K07315	lmod:LMON_0897
ko:K03090	lmod:LMON_0900
ko:K05518	lmod:LMON_0901
ko:K03321	lmod:LMON_0902
ko:K06959	lmod:LMON_0903
ko:K03095	lmod:LMON_0904
ko:K01924	lmod:LMON_1673
ko:K03466	lmod:LMON_1674
ko:K06878	lmod:LMON_1675
ko:K03439	lmod:LMON_1683
ko:K00824	lmod:LMON_1687
ko:K01439	lmod:LMON_1688
ko:K03574	lmod:LMON_1689
ko:K01695	lmod:LMON_1695
ko:K01696	lmod:LMON_1696
ko:K01817	lmod:LMON_1697
ko:K01609	lmod:LMON_1698
ko:K00766	lmod:LMON_1699
ko:K01657	lmod:LMON_1701
ko:K04072	lmod:LMON_1702
ko:K01246	lmod:LMON_1707
ko:K01681	lmod:LMON_1709
ko:K03547	lmod:LMON_1714
ko:K00655	lmod:LMON_1715
ko:K07729	lmod:LMON_2419
ko:K09014	lmod:LMON_2422
ko:K04488	lmod:LMON_2423
ko:K11717	lmod:LMON_2424
ko:K09015	lmod:LMON_2425
ko:K09013	lmod:LMON_2426
ko:K02073	lmod:LMON_2428
ko:K02072	lmod:LMON_2429
ko:K02071	lmod:LMON_2430
ko:K02437	lmod:LMON_2436
ko:K05837	lmod:LMON_2438
ko:K05837	lmod:LMON_2439
ko:K02013	lmod:LMON_2440
ko:K02015	lmod:LMON_2441
ko:K02016	lmod:LMON_2442
ko:K01580	lmod:LMON_2445
ko:K03488	lmod:LMON_2447
ko:K07032	lmod:LMON_2448
ko:K03664	lmod:LMON_2459
ko:K12573	lmod:LMON_2460
ko:K03928	lmod:LMON_2461
ko:K03075	lmod:LMON_2462
ko:K01689	lmod:LMON_2466
ko:K15633	lmod:LMON_2467
ko:K02341	lmod:LMON_0159
ko:K07461	lmod:LMON_0163
ko:K07056	lmod:LMON_0164
ko:K06284	lmod:LMON_0165
ko:K05340	lmod:LMON_0166
ko:K01874	lmod:LMON_0174
ko:K02025	lmod:LMON_0177
ko:K01182	lmod:LMON_0182
ko:K03424	lmod:LMON_0183
ko:K05985	lmod:LMON_0185
ko:K02528	lmod:LMON_0186
ko:K00919	lmod:LMON_0188
ko:K03478	lmod:LMON_0189
ko:K09685	lmod:LMON_0190
ko:K02005	lmod:LMON_0191
ko:K02003	lmod:LMON_0192
ko:K02004	lmod:LMON_0193
ko:K06412	lmod:LMON_0194
ko:K06412	lmod:LMON_0195
ko:K04042	lmod:LMON_0196
ko:K00948	lmod:LMON_0197
ko:K01771	lmod:LMON_0199
ko:K11031	lmod:LMON_0200
ko:K01114	lmod:LMON_0203
ko:K00016	lmod:LMON_0208
ko:K03545	lmod:LMON_1328
ko:K03544	lmod:LMON_1329
ko:K03100	lmod:LMON_1330
ko:K03100	lmod:LMON_1331
ko:K03100	lmod:LMON_1332
ko:K14540	lmod:LMON_1333
ko:K03470	lmod:LMON_1334
ko:K04096	lmod:LMON_1335
ko:K03168	lmod:LMON_1336
ko:K04094	lmod:LMON_1337
ko:K03733	lmod:LMON_1338
ko:K01419	lmod:LMON_1339
ko:K03667	lmod:LMON_1340
ko:K03706	lmod:LMON_1341
ko:K07107	lmod:LMON_1342
ko:K08591	lmod:LMON_1345
ko:K02622	lmod:LMON_1347
ko:K02621	lmod:LMON_1348
ko:K07173	lmod:LMON_1349
ko:K01126	lmod:LMON_1354
ko:K00111	lmod:LMON_1355
ko:K00791	lmod:LMON_1356
ko:K03666	lmod:LMON_1357
ko:K03665	lmod:LMON_1358
ko:K03713	lmod:LMON_1360
ko:K01915	lmod:LMON_1361
ko:K03893	lmod:LMON_1363
ko:K01356	lmod:LMON_1365
ko:K00615	lmod:LMON_1368
ko:K09976	lmod:LMON_1369
ko:K09903	lmod:LMON_1376
ko:K02838	lmod:LMON_1377
ko:K04074	lmod:LMON_2091
ko:K07105	lmod:LMON_2092
ko:K04487	lmod:LMON_2093
ko:K00278	lmod:LMON_2094
ko:K00767	lmod:LMON_2095
ko:K03517	lmod:LMON_2096
ko:K02221	lmod:LMON_2100
ko:K09772	lmod:LMON_2101
ko:K06997	lmod:LMON_2102
ko:K03531	lmod:LMON_2103
ko:K03590	lmod:LMON_2104
ko:K03589	lmod:LMON_2105
ko:K02563	lmod:LMON_2106
ko:K01925	lmod:LMON_2107
ko:K01000	lmod:LMON_2108
ko:K01928	lmod:LMON_2109
ko:K08724	lmod:LMON_2110
ko:K03438	lmod:LMON_2112
ko:K03925	lmod:LMON_2113
ko:K08152	lmod:LMON_2114
ko:K00077	lmod:LMON_2116
ko:K02911	lmod:LMON_2117
ko:K07040	lmod:LMON_2118
ko:K07177	lmod:LMON_2121
ko:K00954	lmod:LMON_2122
ko:K02259	lmod:LMON_2128
ko:K10716	lmod:LMON_2129
ko:K14166	lmod:LMON_2132
ko:K03282	lmod:LMON_2134
ko:K01442	lmod:LMON_2137
ko:K02025	lmod:LMON_2857
ko:K03534	lmod:LMON_2864
ko:K01629	lmod:LMON_2865
ko:K01813	lmod:LMON_2866
ko:K00848	lmod:LMON_2867
ko:K06610	lmod:LMON_2868
ko:K06346	lmod:LMON_2871
ko:K03217	lmod:LMON_2872
ko:K03536	lmod:LMON_2873
ko:K02914	lmod:LMON_2874
ko:K02501	lmod:LMON_0565
ko:K01693	lmod:LMON_0566
ko:K00013	lmod:LMON_0567
ko:K00765	lmod:LMON_0568
ko:K02502	lmod:LMON_0569
ko:K04486	lmod:LMON_0570
ko:K07443	lmod:LMON_0571
ko:K06901	lmod:LMON_0573
ko:K01223	lmod:LMON_0574
ko:K03492	lmod:LMON_0575
ko:K06999	lmod:LMON_0580
ko:K06969	lmod:LMON_0581
ko:K03070	lmod:LMON_0583
ko:K01669	lmod:LMON_0588
ko:K07030	lmod:LMON_0590
ko:K00641	lmod:LMON_0594
ko:K01740	lmod:LMON_0595
