ko:K19744	paeg:AI22_28105
ko:K10815	paeg:AI22_19025
ko:K11741	paeg:AI22_11430
ko:K01851	paeg:AI22_00245
ko:K18302	paeg:AI22_26880
ko:K19591	paeg:AI22_08030
ko:K19595	paeg:AI22_26100
ko:K03297	paeg:AI22_06930
ko:K18540	paeg:AI22_26485
ko:K01156	paeg:AI22_08685
ko:K22617	paeg:AI22_10410
ko:K16238	paeg:AI22_28900
ko:K09691	paeg:AI22_04545
ko:K19291	paeg:AI22_26195
ko:K00344	paeg:AI22_03795
ko:K02625	paeg:AI22_02765
ko:K01729	paeg:AI22_26220
ko:K11741	paeg:AI22_17455
ko:K11741	paeg:AI22_24850
ko:K21429	paeg:AI22_01015
ko:K00638	paeg:AI22_11000
ko:K03111	paeg:AI22_00250
ko:K07497	paeg:AI22_03685
ko:K12960	paeg:AI22_24345
ko:K19593	paeg:AI22_26090
ko:K18289	paeg:AI22_11910
ko:K07497	paeg:AI22_21965
ko:K07497	paeg:AI22_20365
ko:K07497	paeg:AI22_19295
ko:K19735	paeg:AI22_12985
ko:K19611	paeg:AI22_12175
ko:K07497	paeg:AI22_10795
ko:K18135	paeg:AI22_26360
ko:K18150	paeg:AI22_27090
ko:K21430	paeg:AI22_13615
ko:K18297	paeg:AI22_20735
ko:K15856	paeg:AI22_04525
ko:K18979	paeg:AI22_07135
ko:K11209	paeg:AI22_16080
ko:K19609	paeg:AI22_21750
ko:K16011	paeg:AI22_26240
ko:K11209	paeg:AI22_13155
ko:K18456	paeg:AI22_03175
ko:K01399	paeg:AI22_27120
ko:K17940	paeg:AI22_21235
ko:K18000	paeg:AI22_12950
ko:K09788	paeg:AI22_11475
ko:K19746	paeg:AI22_28110
ko:K00138	paeg:AI22_18000
ko:K12253	paeg:AI22_07000
ko:K16636	paeg:AI22_03665
ko:K01007	paeg:AI22_16840
ko:K14228	paeg:AI22_08190
ko:K14232	paeg:AI22_09425
ko:K14221	paeg:AI22_23960
ko:K14221	paeg:AI22_24830
ko:K14221	paeg:AI22_23965
ko:K14221	paeg:AI22_17050
ko:K03457	paeg:AI22_01495
ko:K03088	paeg:AI22_01515
ko:K02014	paeg:AI22_01525
ko:K18235	paeg:AI22_01535
ko:K06143	paeg:AI22_01555
ko:K07641	paeg:AI22_01560
ko:K07663	paeg:AI22_01565
ko:K03696	paeg:AI22_01585
ko:K03704	paeg:AI22_01600
ko:K05591	paeg:AI22_01605
ko:K02030	paeg:AI22_01615
ko:K07403	paeg:AI22_01625
ko:K03306	paeg:AI22_01630
ko:K00252	paeg:AI22_01645
ko:K06016	paeg:AI22_01655
ko:K03457	paeg:AI22_01660
ko:K01464	paeg:AI22_01665
ko:K17723	paeg:AI22_01675
ko:K01485	paeg:AI22_01685
ko:K02014	paeg:AI22_01700
ko:K01251	paeg:AI22_01710
ko:K00297	paeg:AI22_01720
ko:K11927	paeg:AI22_01730
ko:K18139	paeg:AI22_01735
ko:K03758	paeg:AI22_06010
ko:K11689	paeg:AI22_06020
ko:K11688	paeg:AI22_06025
ko:K10126	paeg:AI22_06030
ko:K10125	paeg:AI22_06035
ko:K01790	paeg:AI22_06040
ko:K00973	paeg:AI22_06045
ko:K00067	paeg:AI22_06050
ko:K03446	paeg:AI22_06065
ko:K03543	paeg:AI22_06070
ko:K02029	paeg:AI22_06090
