ko:K01687	cjb:BN148_0013
ko:K07023	cjb:BN148_0015c
ko:K02237	cjb:BN148_0011c
ko:K18929	cjb:BN148_0074c
ko:K02313	cjb:BN148_0001
ko:K02338	cjb:BN148_0002
ko:K02470	cjb:BN148_0003
ko:K07084	cjb:BN148_0006
ko:K00266	cjb:BN148_0009
ko:K03470	cjb:BN148_0010c
ko:K10040	cjb:BN148_0919c
ko:K06921	cjb:BN148_0792
ko:K18928	cjb:BN148_0075c
ko:K18139	cjb:BN148_0365c
ko:K18138	cjb:BN148_0366c
ko:K08996	cjb:BN148_0014c
ko:K03655	cjb:BN148_0464
ko:K06886	cjb:BN148_0465c
ko:K02029	cjb:BN148_0467
ko:K02029	cjb:BN148_0468
ko:K02358	cjb:BN148_0470
ko:K02913	cjb:BN148_0471
ko:K03073	cjb:BN148_0472
ko:K02601	cjb:BN148_0473
ko:K02867	cjb:BN148_0474
ko:K02863	cjb:BN148_0475
ko:K02864	cjb:BN148_0476
ko:K02935	cjb:BN148_0477
ko:K03043	cjb:BN148_0478
ko:K01714	cjb:BN148_0481
ko:K02429	cjb:BN148_0486
ko:K03534	cjb:BN148_0488
ko:K07248	cjb:BN148_0490
ko:K02950	cjb:BN148_0491
ko:K02501	cjb:BN148_1315c
ko:K02406	cjb:BN148_1338c
ko:K02406	cjb:BN148_1339c
ko:K02456	cjb:BN148_1343c
ko:K00099	cjb:BN148_1346c
ko:K00981	cjb:BN148_1347c
ko:K03752	cjb:BN148_1350
ko:K01058	cjb:BN148_1351
ko:K02015	cjb:BN148_1352
ko:K02015	cjb:BN148_1353
ko:K02013	cjb:BN148_1354
ko:K02016	cjb:BN148_1355
ko:K03385	cjb:BN148_1357c
ko:K15876	cjb:BN148_1358c
ko:K00937	cjb:BN148_1359
ko:K03407	cjb:BN148_1361c
ko:K03551	cjb:BN148_1362
ko:K00820	cjb:BN148_1366c
ko:K00990	cjb:BN148_1367c
ko:K02992	cjb:BN148_0492
ko:K02355	cjb:BN148_0493
ko:K06940	cjb:BN148_0496
ko:K01609	cjb:BN148_0498
ko:K06917	cjb:BN148_0500
ko:K01772	cjb:BN148_0503c
ko:K01872	cjb:BN148_0506
