ko:K01212	baz:BAMTA208_20470
ko:K08153	baz:BAMTA208_04955
ko:K16697	baz:BAMTA208_18020
ko:K02030	baz:BAMTA208_12305
ko:K07149	baz:BAMTA208_17490
ko:K18924	baz:BAMTA208_10600
ko:K21900	baz:BAMTA208_19050
ko:K01218	baz:BAMTA208_02345
ko:K01992	baz:BAMTA208_01000
ko:K01992	baz:BAMTA208_01005
ko:K01992	baz:BAMTA208_16920
ko:K01992	baz:BAMTA208_19025
ko:K16961	baz:BAMTA208_01695
ko:K19689	baz:BAMTA208_09925
ko:K02851	baz:BAMTA208_17990
ko:K22044	baz:BAMTA208_10040
ko:K06979	baz:BAMTA208_01155
ko:K05592	baz:BAMTA208_19755
ko:K02205	baz:BAMTA208_19115
ko:K12574	baz:BAMTA208_08750
ko:K12574	baz:BAMTA208_09885
ko:K13614	baz:BAMTA208_08550
ko:K16013	baz:BAMTA208_19625
ko:K16012	baz:BAMTA208_19620
ko:K03297	baz:BAMTA208_02105
ko:K11051	baz:BAMTA208_03160
ko:K13767	baz:BAMTA208_14015
ko:K07691	baz:BAMTA208_15745
ko:K02919	baz:BAMTA208_00705
ko:K02952	baz:BAMTA208_00710
ko:K02948	baz:BAMTA208_00715
ko:K03040	baz:BAMTA208_00720
ko:K02879	baz:BAMTA208_00725
ko:K06173	baz:BAMTA208_00745
ko:K02871	baz:BAMTA208_00750
ko:K02996	baz:BAMTA208_00755
ko:K01448	baz:BAMTA208_00770
ko:K06294	baz:BAMTA208_00780
ko:K06349	baz:BAMTA208_00785
ko:K07228	baz:BAMTA208_04620
ko:K09682	baz:BAMTA208_04690
ko:K00831	baz:BAMTA208_04710
ko:K02503	baz:BAMTA208_04715
ko:K01599	baz:BAMTA208_04755
ko:K01772	baz:BAMTA208_04760
ko:K00231	baz:BAMTA208_04765
ko:K01421	baz:BAMTA208_04775
ko:K00648	baz:BAMTA208_04780
ko:K11102	baz:BAMTA208_04795
ko:K03800	baz:BAMTA208_04810
ko:K02016	baz:BAMTA208_04840
ko:K03523	baz:BAMTA208_04860
ko:K02357	baz:BAMTA208_08890
ko:K02967	baz:BAMTA208_08895
ko:K02405	baz:BAMTA208_08905
ko:K03411	baz:BAMTA208_08910
ko:K03410	baz:BAMTA208_08915
ko:K03408	baz:BAMTA208_08920
ko:K03407	baz:BAMTA208_08925
ko:K03412	baz:BAMTA208_08930
ko:K04562	baz:BAMTA208_08935
ko:K02404	baz:BAMTA208_08940
ko:K02400	baz:BAMTA208_08945
ko:K02401	baz:BAMTA208_08950
ko:K02421	baz:BAMTA208_08955
ko:K02420	baz:BAMTA208_08960
ko:K02419	baz:BAMTA208_08965
ko:K02418	baz:BAMTA208_08970
ko:K03413	baz:BAMTA208_08975
ko:K02417	baz:BAMTA208_08980
ko:K02416	baz:BAMTA208_08985
ko:K02415	baz:BAMTA208_08990
ko:K02385	baz:BAMTA208_08995
ko:K02390	baz:BAMTA208_09000
ko:K02389	baz:BAMTA208_09005
ko:K02413	baz:BAMTA208_09020
ko:K02412	baz:BAMTA208_09025
ko:K02411	baz:BAMTA208_09030
ko:K02410	baz:BAMTA208_09035
ko:K02409	baz:BAMTA208_09040
ko:K02408	baz:BAMTA208_09045
ko:K02388	baz:BAMTA208_09050
ko:K03706	baz:BAMTA208_09065
ko:K03667	baz:BAMTA208_09070
ko:K01419	baz:BAMTA208_09075
ko:K03733	baz:BAMTA208_09080
ko:K04094	baz:BAMTA208_09085
ko:K03168	baz:BAMTA208_09090
ko:K04096	baz:BAMTA208_09095
ko:K01902	baz:BAMTA208_09100
ko:K01903	baz:BAMTA208_09105
ko:K04061	baz:BAMTA208_09110
ko:K03470	baz:BAMTA208_09120
ko:K14540	baz:BAMTA208_09125
