ko:K01985	vcs:MS6_r0013
ko:K19416	vcs:MS6_1133
ko:K14233	vcs:MS6_t0057
ko:K14220	vcs:MS6_t0026
ko:K14220	vcs:MS6_t0028
ko:K14220	vcs:MS6_t0031
ko:K10952	vcs:MS6_1244
ko:K10928	vcs:MS6_1242
ko:K10929	vcs:MS6_1230
ko:K10915	vcs:MS6_A0575
ko:K00638	vcs:MS6_A0231
ko:K01046	vcs:MS6_A0200
ko:K19736	vcs:MS6_1522
ko:K01990	vcs:MS6_1439
ko:K19226	vcs:MS6_1461
ko:K19227	vcs:MS6_1462
ko:K10933	vcs:MS6_0639
ko:K10931	vcs:MS6_0635
ko:K10930	vcs:MS6_0634
ko:K10952	vcs:MS6_1233
ko:K10929	vcs:MS6_1241
ko:K10928	vcs:MS6_1231
ko:K10923	vcs:MS6_0644
ko:K10912	vcs:MS6_0814
ko:K19229	vcs:MS6_1464
ko:K19228	vcs:MS6_1463
ko:K10948	vcs:MS6_A0198
ko:K10940	vcs:MS6_1617
ko:K10937	vcs:MS6_0646
ko:K10936	vcs:MS6_0649
ko:K10934	vcs:MS6_0642
ko:K10921	vcs:MS6_0778
ko:K10920	vcs:MS6_0632
ko:K19230	vcs:MS6_1465
ko:K11209	vcs:MS6_A0635
ko:K14225	vcs:MS6_t0017
ko:K14225	vcs:MS6_t0054
ko:K14225	vcs:MS6_t0020
ko:K14225	vcs:MS6_t0052
ko:K14225	vcs:MS6_t0018
ko:K19789	vcs:MS6_1417
ko:K19745	vcs:MS6_2590
ko:K01007	vcs:MS6_A1019
ko:K14226	vcs:MS6_t0006
ko:K01980	vcs:MS6_r0005
ko:K14226	vcs:MS6_t0008
ko:K14223	vcs:MS6_t0068
ko:K14234	vcs:MS6_t0076
ko:K20949	vcs:MS6_0735
ko:K20962	vcs:MS6_A0830
ko:K21498	vcs:MS6_A0416
ko:K20977	vcs:MS6_A1115
ko:K09796	vcs:MS6_A0026
ko:K20862	vcs:MS6_2494
ko:K10965	vcs:MS6_0641
ko:K10935	vcs:MS6_0643
ko:K10922	vcs:MS6_0777
ko:K18454	vcs:MS6_1061
ko:K08303	vcs:MS6_0470
ko:K03824	vcs:MS6_0474
ko:K02344	vcs:MS6_0475
ko:K03789	vcs:MS6_0476
ko:K02837	vcs:MS6_0478
ko:K05590	vcs:MS6_0479
ko:K15460	vcs:MS6_0480
ko:K03311	vcs:MS6_0481
ko:K02836	vcs:MS6_0482
ko:K04567	vcs:MS6_0483
ko:K03573	vcs:MS6_0489
ko:K08311	vcs:MS6_0492
ko:K08484	vcs:MS6_0493
ko:K07090	vcs:MS6_0494
ko:K13292	vcs:MS6_0495
ko:K14683	vcs:MS6_0497
ko:K03717	vcs:MS6_0498
ko:K03601	vcs:MS6_0578
ko:K00088	vcs:MS6_0579
ko:K01951	vcs:MS6_0580
ko:K07034	vcs:MS6_0582
ko:K01252	vcs:MS6_0583
ko:K02363	vcs:MS6_0584
ko:K02361	vcs:MS6_0585
ko:K00216	vcs:MS6_0586
ko:K02016	vcs:MS6_0588
ko:K02015	vcs:MS6_0589
ko:K02015	vcs:MS6_0590
ko:K02013	vcs:MS6_0591
ko:K02362	vcs:MS6_0592
ko:K03310	vcs:MS6_0595
ko:K00285	vcs:MS6_0596
ko:K10253	vcs:MS6_0598
ko:K07702	vcs:MS6_0600
ko:K07700	vcs:MS6_0601
ko:K11903	vcs:MS6_1186
ko:K11904	vcs:MS6_1187
ko:K03310	vcs:MS6_1193
ko:K11069	vcs:MS6_1196
ko:K11069	vcs:MS6_1197
ko:K11070	vcs:MS6_1198
ko:K11071	vcs:MS6_1199
ko:K11072	vcs:MS6_1200
ko:K03796	vcs:MS6_1202
ko:K14058	vcs:MS6_1204
ko:K14055	vcs:MS6_1205
ko:K09792	vcs:MS6_1207
ko:K01299	vcs:MS6_1185
ko:K01533	vcs:MS6_1209
ko:K09911	vcs:MS6_1268
ko:K04770	vcs:MS6_1269
ko:K01716	vcs:MS6_1270
ko:K15738	vcs:MS6_1272
ko:K12297	vcs:MS6_1274
ko:K18657	vcs:MS6_1276
ko:K00254	vcs:MS6_1277
ko:K15371	vcs:MS6_1278
ko:K01256	vcs:MS6_1280
ko:K03797	vcs:MS6_1282
ko:K03607	vcs:MS6_1283
ko:K03808	vcs:MS6_1286
ko:K11392	vcs:MS6_1288
ko:K00243	vcs:MS6_1289
ko:K05812	vcs:MS6_1318
ko:K03406	vcs:MS6_1320
ko:K03327	vcs:MS6_1325
ko:K03832	vcs:MS6_1329
ko:K03559	vcs:MS6_1330
ko:K03561	vcs:MS6_1331
ko:K03561	vcs:MS6_1332
