ko:K19504	senq:AU40_24840
ko:K01977	senq:AU40_22665
ko:K01977	senq:AU40_01440
ko:K00632	senq:AU40_21780
ko:K19595	senq:AU40_01910
ko:K19555	senq:AU40_25470
ko:K01990	senq:AU40_04390
ko:K18816	senq:AU40_08350
ko:K21430	senq:AU40_04660
ko:K19611	senq:AU40_14980
ko:K02495	senq:AU40_21915
ko:K19697	senq:AU40_11625
ko:K19789	senq:AU40_12555
ko:K08348	senq:AU40_08610
ko:K03292	senq:AU40_22270
ko:K04103	senq:AU40_13575
ko:K00001	senq:AU40_22150
ko:K12979	senq:AU40_23455
ko:K01007	senq:AU40_09800
ko:K21469	senq:AU40_13980
ko:K14234	senq:AU40_22715
ko:K14234	senq:AU40_22735
ko:K08156	senq:AU40_02130
ko:K10678	senq:AU40_04730
ko:K21905	senq:AU40_25195
ko:K19597	senq:AU40_01915
ko:K07005	senq:AU40_03795
ko:K07493	senq:AU40_06815
ko:K01801	senq:AU40_12275
ko:K08970	senq:AU40_16405
ko:K12453	senq:AU40_11805
ko:K00984	senq:AU40_10340
ko:K04753	senq:AU40_17275
ko:K01023	senq:AU40_17395
ko:K21645	senq:AU40_24665
ko:K20861	senq:AU40_04695
ko:K20866	senq:AU40_22040
ko:K20881	senq:AU40_19110
ko:K20862	senq:AU40_21600
ko:K13450	senq:AU40_25495
ko:K00632	senq:AU40_13430
ko:K04085	senq:AU40_19540
ko:K09125	senq:AU40_19545
ko:K06133	senq:AU40_19565
ko:K07722	senq:AU40_19570
ko:K13926	senq:AU40_19580
ko:K01993	senq:AU40_19585
ko:K07007	senq:AU40_19595
ko:K16322	senq:AU40_19600
ko:K06144	senq:AU40_19605
ko:K06149	senq:AU40_19610
ko:K03305	senq:AU40_19620
ko:K15984	senq:AU40_19625
ko:K01414	senq:AU40_19630
ko:K02111	senq:AU40_21180
ko:K02113	senq:AU40_21185
ko:K02109	senq:AU40_21190
ko:K02110	senq:AU40_21195
ko:K02108	senq:AU40_21200
ko:K02116	senq:AU40_21205
ko:K03501	senq:AU40_21220
ko:K03495	senq:AU40_21225
ko:K06205	senq:AU40_21230
ko:K03718	senq:AU40_21235
ko:K01914	senq:AU40_21240
ko:K03924	senq:AU40_21250
ko:K03549	senq:AU40_21255
ko:K06726	senq:AU40_21265
ko:K10441	senq:AU40_21270
ko:K10440	senq:AU40_21275
ko:K10439	senq:AU40_21280
ko:K00852	senq:AU40_21285
ko:K02529	senq:AU40_21290
ko:K09897	senq:AU40_21335
ko:K07391	senq:AU40_21340
ko:K01652	senq:AU40_21350
ko:K11258	senq:AU40_21355
ko:K00826	senq:AU40_21360
ko:K01687	senq:AU40_21365
ko:K01754	senq:AU40_21370
ko:K02521	senq:AU40_21385
ko:K00053	senq:AU40_21390
ko:K03769	senq:AU40_21395
ko:K03656	senq:AU40_21405
ko:K01524	senq:AU40_21410
ko:K03732	senq:AU40_21415
ko:K03671	senq:AU40_21420
ko:K03628	senq:AU40_21430
ko:K02851	senq:AU40_21435
ko:K05790	senq:AU40_21440
ko:K01791	senq:AU40_21445
ko:K02472	senq:AU40_21450
ko:K01710	senq:AU40_21455
ko:K16704	senq:AU40_21465
ko:K02805	senq:AU40_21470
ko:K04018	senq:AU40_23420
ko:K11102	senq:AU40_23430
ko:K07126	senq:AU40_23435
ko:K09994	senq:AU40_23460
ko:K04750	senq:AU40_23465
ko:K06193	senq:AU40_23470
ko:K03762	senq:AU40_23475
ko:K07643	senq:AU40_23485
ko:K07771	senq:AU40_23490
ko:K03760	senq:AU40_23495
ko:K03759	senq:AU40_23500
