ko:K14224	ccof:VC76_04355
ko:K14230	ccof:VC76_08510
ko:K02031	ccof:VC76_00990
ko:K18291	ccof:VC76_02320
ko:K03892	ccof:VC76_07710
ko:K15915	ccof:VC76_05515
ko:K14218	ccof:VC76_00150
ko:K14218	ccof:VC76_03610
ko:K14218	ccof:VC76_02245
ko:K02482	ccof:VC76_04380
ko:K01174	ccof:VC76_04750
ko:K04753	ccof:VC76_07495
ko:K06148	ccof:VC76_05545
ko:K07216	ccof:VC76_06040
ko:K18431	ccof:VC76_06680
ko:K01977	ccof:VC76_02241
ko:K01977	ccof:VC76_03609
ko:K14235	ccof:VC76_02485
ko:K14228	ccof:VC76_04390
ko:K07097	ccof:VC76_04420
ko:K00525	ccof:VC76_00120
ko:K22468	ccof:VC76_03050
ko:K06992	ccof:VC76_00290
ko:K02417	ccof:VC76_00295
ko:K02416	ccof:VC76_00300
ko:K02405	ccof:VC76_00305
ko:K04562	ccof:VC76_00315
ko:K02404	ccof:VC76_00320
ko:K00950	ccof:VC76_00325
ko:K03786	ccof:VC76_00330
ko:K04773	ccof:VC76_00340
ko:K00782	ccof:VC76_00360
ko:K18929	ccof:VC76_00365
ko:K18928	ccof:VC76_00370
ko:K03303	ccof:VC76_00375
ko:K00425	ccof:VC76_00385
ko:K00426	ccof:VC76_00390
ko:K01779	ccof:VC76_00410
ko:K03648	ccof:VC76_00415
ko:K01744	ccof:VC76_00420
ko:K07791	ccof:VC76_00425
ko:K09859	ccof:VC76_00430
ko:K07337	ccof:VC76_00435
ko:K02888	ccof:VC76_00445
ko:K02899	ccof:VC76_00450
ko:K03979	ccof:VC76_00455
ko:K02003	ccof:VC76_00470
ko:K02004	ccof:VC76_00475
ko:K02004	ccof:VC76_00480
ko:K07230	ccof:VC76_00490
ko:K07243	ccof:VC76_00495
ko:K03313	ccof:VC76_00505
ko:K03313	ccof:VC76_00510
ko:K01776	ccof:VC76_00520
ko:K01265	ccof:VC76_00525
ko:K18480	ccof:VC76_00535
ko:K02067	ccof:VC76_00540
ko:K00790	ccof:VC76_04470
ko:K03750	ccof:VC76_04475
ko:K15738	ccof:VC76_04485
ko:K00058	ccof:VC76_04500
ko:K02945	ccof:VC76_04510
ko:K03527	ccof:VC76_04515
ko:K00800	ccof:VC76_04520
ko:K01890	ccof:VC76_04525
ko:K01889	ccof:VC76_04530
ko:K02503	ccof:VC76_04535
ko:K03152	ccof:VC76_04540
ko:K02029	ccof:VC76_04550
ko:K02028	ccof:VC76_04555
ko:K03310	ccof:VC76_04560
ko:K03216	ccof:VC76_04565
ko:K01775	ccof:VC76_04570
ko:K07152	ccof:VC76_04595
ko:K01738	ccof:VC76_04600
ko:K03530	ccof:VC76_04605
ko:K10806	ccof:VC76_04615
ko:K06200	ccof:VC76_04620
ko:K00948	ccof:VC76_04625
ko:K10040	ccof:VC76_04630
ko:K10040	ccof:VC76_04635
ko:K10039	ccof:VC76_04640
ko:K10041	ccof:VC76_04645
ko:K00575	ccof:VC76_04650
ko:K03412	ccof:VC76_04655
ko:K01808	ccof:VC76_04660
ko:K00759	ccof:VC76_04670
ko:K01255	ccof:VC76_04680
ko:K06942	ccof:VC76_04685
ko:K01755	ccof:VC76_04690
ko:K01610	ccof:VC76_04695
ko:K01960	ccof:VC76_04700
ko:K03308	ccof:VC76_04705
ko:K03308	ccof:VC76_04710
ko:K02110	ccof:VC76_04715
ko:K01704	ccof:VC76_08545
ko:K01703	ccof:VC76_08550
ko:K00052	ccof:VC76_08555
ko:K01649	ccof:VC76_08560
ko:K09457	ccof:VC76_08580
ko:K00651	ccof:VC76_08590
ko:K07112	ccof:VC76_08600
ko:K01740	ccof:VC76_08605
ko:K02390	ccof:VC76_08610
ko:K01159	ccof:VC76_08615
ko:K03205	ccof:VC76_09310
ko:K04095	ccof:VC76_09325
ko:K03100	ccof:VC76_09330
ko:K03496	ccof:VC76_09340
ko:K03194	ccof:VC76_09475
ko:K02065	ccof:VC76_00545
ko:K02066	ccof:VC76_00550
ko:K00615	ccof:VC76_00555
ko:K00795	ccof:VC76_00560
ko:K09747	ccof:VC76_00570
ko:K01928	ccof:VC76_00575
ko:K03469	ccof:VC76_00600
ko:K03685	ccof:VC76_00605
ko:K01736	ccof:VC76_00610
ko:K07326	ccof:VC76_00645
ko:K00566	ccof:VC76_00650
ko:K03559	ccof:VC76_00665
ko:K03561	ccof:VC76_00670
ko:K03837	ccof:VC76_00685
ko:K01752	ccof:VC76_00690
ko:K11752	ccof:VC76_00700
ko:K03575	ccof:VC76_00755
ko:K03761	ccof:VC76_00760
ko:K02016	ccof:VC76_00770
ko:K02013	ccof:VC76_00775
ko:K02015	ccof:VC76_00780
ko:K02014	ccof:VC76_00785
ko:K07226	ccof:VC76_00790
ko:K02835	ccof:VC76_00795
ko:K02968	ccof:VC76_00800
ko:K01095	ccof:VC76_00805
ko:K00958	ccof:VC76_00810
ko:K15257	ccof:VC76_04735
ko:K01270	ccof:VC76_04755
ko:K02030	ccof:VC76_04765
ko:K09861	ccof:VC76_04775
ko:K00611	ccof:VC76_04805
ko:K01698	ccof:VC76_04810
ko:K01497	ccof:VC76_04815
ko:K03501	ccof:VC76_04820
ko:K03086	ccof:VC76_04840
ko:K08296	ccof:VC76_04845
ko:K01735	ccof:VC76_04875
ko:K09944	ccof:VC76_04880
ko:K00773	ccof:VC76_04885
ko:K01996	ccof:VC76_04930
ko:K01995	ccof:VC76_04935
ko:K01998	ccof:VC76_04940
ko:K01997	ccof:VC76_04945
ko:K01999	ccof:VC76_04950
ko:K01999	ccof:VC76_04955
ko:K00133	ccof:VC76_04975
ko:K03111	ccof:VC76_09485
ko:K03169	ccof:VC76_09015
ko:K03205	ccof:VC76_09045
ko:K03196	ccof:VC76_09050
ko:K03204	ccof:VC76_09060
ko:K03203	ccof:VC76_09065
ko:K03201	ccof:VC76_09075
ko:K03111	ccof:VC76_09090
ko:K06078	ccof:VC76_09155
ko:K18220	ccof:VC76_09250
ko:K12506	ccof:VC76_00820
ko:K03593	ccof:VC76_00825
ko:K00674	ccof:VC76_00830
ko:K11755	ccof:VC76_00840
ko:K02500	ccof:VC76_00845
ko:K01814	ccof:VC76_00850
ko:K02501	ccof:VC76_00855
ko:K01089	ccof:VC76_00860
ko:K00013	ccof:VC76_00865
ko:K00765	ccof:VC76_00870
ko:K02879	ccof:VC76_00875
ko:K03040	ccof:VC76_00880
ko:K02986	ccof:VC76_00885
ko:K02948	ccof:VC76_00890
ko:K02952	ccof:VC76_00895
ko:K02518	ccof:VC76_00900
ko:K06159	ccof:VC76_00955
ko:K18930	ccof:VC76_00970
ko:K02035	ccof:VC76_00975
ko:K02033	ccof:VC76_00980
ko:K02034	ccof:VC76_00985
ko:K00330	ccof:VC76_01000
ko:K00331	ccof:VC76_01005
ko:K00332	ccof:VC76_01010
ko:K00333	ccof:VC76_01015
ko:K02313	ccof:VC76_00005
ko:K02338	ccof:VC76_00010
ko:K02470	ccof:VC76_00015
ko:K05797	ccof:VC76_00030
ko:K14393	ccof:VC76_00045
ko:K07084	ccof:VC76_00055
ko:K00265	ccof:VC76_00060
ko:K00266	ccof:VC76_00065
ko:K03470	ccof:VC76_00070
ko:K01687	ccof:VC76_00080
ko:K07023	ccof:VC76_00085
ko:K06920	ccof:VC76_00090
ko:K06180	ccof:VC76_00110
ko:K01756	ccof:VC76_00115
ko:K06956	ccof:VC76_00125
ko:K01937	ccof:VC76_00135
ko:K07462	ccof:VC76_00140
ko:K01424	ccof:VC76_00145
ko:K09797	ccof:VC76_00200
ko:K07552	ccof:VC76_00205
ko:K06207	ccof:VC76_00220
ko:K02389	ccof:VC76_00235
ko:K02390	ccof:VC76_00240
ko:K03319	ccof:VC76_00255
ko:K00566	ccof:VC76_00260
ko:K06966	ccof:VC76_00265
ko:K07107	ccof:VC76_04200
ko:K02914	ccof:VC76_04220
ko:K03536	ccof:VC76_04225
ko:K03217	ccof:VC76_04235
ko:K06346	ccof:VC76_04240
ko:K03650	ccof:VC76_04245
ko:K01952	ccof:VC76_04250
ko:K05801	ccof:VC76_04255
ko:K00602	ccof:VC76_04260
ko:K03406	ccof:VC76_04265
ko:K12251	ccof:VC76_04285
ko:K03634	ccof:VC76_04305
ko:K03070	ccof:VC76_04310
ko:K02004	ccof:VC76_04315
ko:K06143	ccof:VC76_04320
ko:K02029	ccof:VC76_04330
ko:K06921	ccof:VC76_04375
ko:K02397	ccof:VC76_04395
ko:K03466	ccof:VC76_04400
ko:K02956	ccof:VC76_04405
ko:K02400	ccof:VC76_04415
ko:K03673	ccof:VC76_04440
ko:K03611	ccof:VC76_04445
ko:K04763	ccof:VC76_04450
ko:K03342	ccof:VC76_04455
ko:K01664	ccof:VC76_04460
ko:K00931	ccof:VC76_08265
ko:K01689	ccof:VC76_08310
ko:K11785	ccof:VC76_08320
ko:K02420	ccof:VC76_08325
ko:K00075	ccof:VC76_08330
ko:K01082	ccof:VC76_08345
ko:K01647	ccof:VC76_08350
ko:K01012	ccof:VC76_08360
ko:K03168	ccof:VC76_08365
ko:K03076	ccof:VC76_08375
ko:K02876	ccof:VC76_08380
ko:K02988	ccof:VC76_08385
ko:K02881	ccof:VC76_08390
ko:K02933	ccof:VC76_08395
ko:K02994	ccof:VC76_08400
