ko:K03560	rrc:RPL_02375
ko:K18923	rrc:RPL_07400
ko:K01006	rrc:RPL_03825
ko:K02029	rrc:RPL_00970
ko:K00858	rrc:RPL_03450
ko:K00057	rrc:RPL_03460
ko:K07088	rrc:RPL_03465
ko:K00384	rrc:RPL_03475
ko:K03657	rrc:RPL_03515
ko:K01754	rrc:RPL_03540
ko:K01338	rrc:RPL_03545
ko:K01491	rrc:RPL_03600
ko:K00384	rrc:RPL_03605
ko:K00791	rrc:RPL_03710
ko:K06861	rrc:RPL_03730
ko:K09774	rrc:RPL_03735
ko:K11719	rrc:RPL_03740
ko:K06041	rrc:RPL_03745
ko:K00962	rrc:RPL_03750
ko:K02956	rrc:RPL_03755
ko:K07058	rrc:RPL_03780
ko:K01915	rrc:RPL_03785
ko:K05810	rrc:RPL_03790
ko:K01462	rrc:RPL_03795
ko:K01925	rrc:RPL_03130
ko:K03588	rrc:RPL_03135
ko:K02563	rrc:RPL_03140
ko:K01778	rrc:RPL_03250
ko:K01889	rrc:RPL_03260
ko:K01890	rrc:RPL_03265
ko:K02338	rrc:RPL_03270
ko:K01869	rrc:RPL_03290
ko:K03684	rrc:RPL_03300
ko:K00981	rrc:RPL_03310
ko:K00806	rrc:RPL_03315
ko:K07638	rrc:RPL_03320
ko:K07659	rrc:RPL_03325
ko:K00826	rrc:RPL_03330
ko:K01714	rrc:RPL_03335
ko:K03664	rrc:RPL_03340
ko:K01902	rrc:RPL_03350
ko:K01903	rrc:RPL_03355
ko:K02834	rrc:RPL_03405
ko:K06187	rrc:RPL_03420
ko:K00677	rrc:RPL_00035
ko:K02372	rrc:RPL_00040
ko:K02536	rrc:RPL_00045
ko:K07001	rrc:RPL_00060
ko:K06925	rrc:RPL_00095
ko:K02109	rrc:RPL_00160
ko:K02109	rrc:RPL_00165
ko:K02110	rrc:RPL_00170
ko:K02108	rrc:RPL_00175
ko:K07736	rrc:RPL_00190
ko:K03629	rrc:RPL_00205
ko:K06137	rrc:RPL_00210
ko:K13941	rrc:RPL_00220
ko:K07152	rrc:RPL_00260
ko:K07735	rrc:RPL_00265
ko:K00023	rrc:RPL_00330
ko:K03695	rrc:RPL_00365
ko:K01929	rrc:RPL_05080
ko:K01928	rrc:RPL_05085
ko:K03723	rrc:RPL_05090
ko:K09159	rrc:RPL_05095
ko:K02313	rrc:RPL_05105
ko:K06942	rrc:RPL_05165
ko:K01056	rrc:RPL_05180
ko:K02897	rrc:RPL_05185
ko:K02916	rrc:RPL_05195
ko:K02887	rrc:RPL_05200
ko:K02914	rrc:RPL_05205
ko:K03536	rrc:RPL_05210
ko:K03284	rrc:RPL_05235
ko:K13598	rrc:RPL_05255
ko:K02970	rrc:RPL_05265
ko:K01870	rrc:RPL_05290
