ko:K19271	cjq:UC78_1474
ko:K14224	cjq:UC78_0898
ko:K14235	cjq:UC78_0458
ko:K14219	cjq:UC78_1604
ko:K14230	cjq:UC78_1651
ko:K02031	cjq:UC78_1510
ko:K03892	cjq:UC78_1488
ko:K15915	cjq:UC78_1081
ko:K14238	cjq:UC78_1431
ko:K02482	cjq:UC78_0756
ko:K01174	cjq:UC78_0937
ko:K04753	cjq:UC78_1448
ko:K06148	cjq:UC78_1087
ko:K07216	cjq:UC78_1173
ko:K07097	cjq:UC78_0835
ko:K02313	cjq:UC78_0001
ko:K02338	cjq:UC78_0002
ko:K02470	cjq:UC78_0003
ko:K07084	cjq:UC78_0006
ko:K00265	cjq:UC78_0007
ko:K00266	cjq:UC78_0008
ko:K03470	cjq:UC78_0009
ko:K02237	cjq:UC78_0010
ko:K01687	cjq:UC78_0012
ko:K08996	cjq:UC78_0013
ko:K07023	cjq:UC78_0014
ko:K06920	cjq:UC78_0015
ko:K03406	cjq:UC78_0018
ko:K00428	cjq:UC78_0019
ko:K06180	cjq:UC78_0021
ko:K01756	cjq:UC78_0022
ko:K06956	cjq:UC78_0024
ko:K01937	cjq:UC78_0026
ko:K07462	cjq:UC78_0027
ko:K01424	cjq:UC78_0028
ko:K00681	cjq:UC78_0039
ko:K09797	cjq:UC78_0043
ko:K07552	cjq:UC78_0044
ko:K06207	cjq:UC78_0048
ko:K02389	cjq:UC78_0051
ko:K02390	cjq:UC78_0052
ko:K03319	cjq:UC78_0055
ko:K00566	cjq:UC78_0056
ko:K03305	cjq:UC78_0635
ko:K03305	cjq:UC78_0636
ko:K03305	cjq:UC78_0637
ko:K03667	cjq:UC78_0641
ko:K01419	cjq:UC78_0642
ko:K02939	cjq:UC78_0643
ko:K01940	cjq:UC78_0644
ko:K06925	cjq:UC78_0646
ko:K06861	cjq:UC78_0647
ko:K03092	cjq:UC78_0648
ko:K07792	cjq:UC78_0649
ko:K07792	cjq:UC78_0650
ko:K01546	cjq:UC78_0651
ko:K01547	cjq:UC78_0652
ko:K01548	cjq:UC78_0653
ko:K07646	cjq:UC78_0654
ko:K03702	cjq:UC78_0655
ko:K02456	cjq:UC78_0658
ko:K04066	cjq:UC78_0659
ko:K03526	cjq:UC78_0662
ko:K02393	cjq:UC78_0663
ko:K13788	cjq:UC78_0664
ko:K00925	cjq:UC78_0665
ko:K03438	cjq:UC78_0668
ko:K03770	cjq:UC78_0669
ko:K03590	cjq:UC78_0670
ko:K03531	cjq:UC78_0671
ko:K02392	cjq:UC78_0672
ko:K02392	cjq:UC78_0673
ko:K01915	cjq:UC78_0674
ko:K08303	cjq:UC78_0676
ko:K01588	cjq:UC78_0677
ko:K01878	cjq:UC78_0679
ko:K07164	cjq:UC78_0681
ko:K02527	cjq:UC78_0682
ko:K06180	cjq:UC78_0683
ko:K03106	cjq:UC78_0684
ko:K02959	cjq:UC78_0685
ko:K06960	cjq:UC78_0686
ko:K02860	cjq:UC78_0687
ko:K00554	cjq:UC78_0688
ko:K02884	cjq:UC78_0689
ko:K13979	cjq:UC78_1475
ko:K01153	cjq:UC78_1476
ko:K01153	cjq:UC78_1477
ko:K01154	cjq:UC78_1481
ko:K03427	cjq:UC78_1482
ko:K03427	cjq:UC78_1483
ko:K01607	cjq:UC78_1484
ko:K07089	cjq:UC78_1487
ko:K03325	cjq:UC78_1490
ko:K03406	cjq:UC78_1492
ko:K03406	cjq:UC78_1493
ko:K00343	cjq:UC78_1495
ko:K00342	cjq:UC78_1496
ko:K00341	cjq:UC78_1497
ko:K00340	cjq:UC78_1498
ko:K00339	cjq:UC78_1499
ko:K00338	cjq:UC78_1500
ko:K00337	cjq:UC78_1501
ko:K00336	cjq:UC78_1502
ko:K00335	cjq:UC78_1503
ko:K00334	cjq:UC78_1504
ko:K00333	cjq:UC78_1505
ko:K00332	cjq:UC78_1506
ko:K00331	cjq:UC78_1507
ko:K00330	cjq:UC78_1508
ko:K02034	cjq:UC78_1511
ko:K02033	cjq:UC78_1512
ko:K02035	cjq:UC78_1513
ko:K07306	cjq:UC78_1514
ko:K07307	cjq:UC78_1515
ko:K07308	cjq:UC78_1516
ko:K06159	cjq:UC78_1519
ko:K02518	cjq:UC78_1522
ko:K02952	cjq:UC78_1523
ko:K02948	cjq:UC78_1524
ko:K02986	cjq:UC78_1525
ko:K03300	cjq:UC78_0198
ko:K06153	cjq:UC78_0200
ko:K01868	cjq:UC78_0201
ko:K02520	cjq:UC78_0202
ko:K07318	cjq:UC78_0205
ko:K00145	cjq:UC78_0213
ko:K00930	cjq:UC78_0215
ko:K00573	cjq:UC78_0217
ko:K00763	cjq:UC78_0219
ko:K00762	cjq:UC78_0222
ko:K02838	cjq:UC78_0223
ko:K03075	cjq:UC78_0224
ko:K01673	cjq:UC78_0226
ko:K16052	cjq:UC78_0227
ko:K13819	cjq:UC78_0228
ko:K04487	cjq:UC78_0229
ko:K02916	cjq:UC78_0232
ko:K02887	cjq:UC78_0233
ko:K03637	cjq:UC78_0239
ko:K01142	cjq:UC78_0242
ko:K03760	cjq:UC78_0243
ko:K00901	cjq:UC78_0244
ko:K01465	cjq:UC78_0246
ko:K03406	cjq:UC78_0249
ko:K07238	cjq:UC78_0250
ko:K07812	cjq:UC78_0251
ko:K03532	cjq:UC78_0252
ko:K03664	cjq:UC78_1063
ko:K06891	cjq:UC78_1065
ko:K03694	cjq:UC78_1066
ko:K00684	cjq:UC78_1067
ko:K03406	cjq:UC78_1068
ko:K05595	cjq:UC78_1069
ko:K07305	cjq:UC78_1070
ko:K17103	cjq:UC78_1072
ko:K01613	cjq:UC78_1073
ko:K03798	cjq:UC78_1074
ko:K02687	cjq:UC78_1075
ko:K03413	cjq:UC78_1076
ko:K15912	cjq:UC78_1078
ko:K15910	cjq:UC78_1079
ko:K15913	cjq:UC78_1080
ko:K15914	cjq:UC78_1082
ko:K17251	cjq:UC78_1083
ko:K17248	cjq:UC78_1084
ko:K17249	cjq:UC78_1086
ko:K01784	cjq:UC78_1088
ko:K07501	cjq:UC78_1089
ko:K02841	cjq:UC78_1090
ko:K02517	cjq:UC78_1091
ko:K02843	cjq:UC78_1100
ko:K03271	cjq:UC78_1102
ko:K03272	cjq:UC78_1103
ko:K03274	cjq:UC78_1104
ko:K03273	cjq:UC78_1105
ko:K08738	cjq:UC78_1106
ko:K17686	cjq:UC78_1108
ko:K03628	cjq:UC78_1109
ko:K07127	cjq:UC78_0690
ko:K01626	cjq:UC78_0691
ko:K02337	cjq:UC78_0693
ko:K06997	cjq:UC78_0694
ko:K02406	cjq:UC78_0695
ko:K02493	cjq:UC78_0697
ko:K06013	cjq:UC78_0698
ko:K03831	cjq:UC78_0700
ko:K03284	cjq:UC78_0701
ko:K02055	cjq:UC78_0702
ko:K02054	cjq:UC78_0706
ko:K02053	cjq:UC78_0707
ko:K02052	cjq:UC78_0708
ko:K02030	cjq:UC78_0710
ko:K03705	cjq:UC78_0719
ko:K03687	cjq:UC78_0720
ko:K04043	cjq:UC78_0721
ko:K00812	cjq:UC78_0725
ko:K00640	cjq:UC78_0726
ko:K01585	cjq:UC78_0727
ko:K01892	cjq:UC78_0728
ko:K00943	cjq:UC78_0729
ko:K00954	cjq:UC78_0730
ko:K03186	cjq:UC78_0731
ko:K02386	cjq:UC78_0732
ko:K02073	cjq:UC78_0733
ko:K02073	cjq:UC78_0734
ko:K02073	cjq:UC78_0735
ko:K02072	cjq:UC78_0736
ko:K02071	cjq:UC78_0737
ko:K01873	cjq:UC78_0738
ko:K03657	cjq:UC78_0740
ko:K11065	cjq:UC78_0742
ko:K02567	cjq:UC78_0743
ko:K03040	cjq:UC78_1526
ko:K02879	cjq:UC78_1527
ko:K00765	cjq:UC78_1528
ko:K00013	cjq:UC78_1529
ko:K01089	cjq:UC78_1530
ko:K02501	cjq:UC78_1531
ko:K01814	cjq:UC78_1532
ko:K02500	cjq:UC78_1533
ko:K11755	cjq:UC78_1534
ko:K00674	cjq:UC78_1535
ko:K03593	cjq:UC78_1536
ko:K12506	cjq:UC78_1537
ko:K00958	cjq:UC78_1539
ko:K01095	cjq:UC78_1540
ko:K02968	cjq:UC78_1541
ko:K02835	cjq:UC78_1542
ko:K07226	cjq:UC78_1543
ko:K02014	cjq:UC78_1544
ko:K02015	cjq:UC78_1545
ko:K02013	cjq:UC78_1546
ko:K02016	cjq:UC78_1547
ko:K03761	cjq:UC78_1549
ko:K03575	cjq:UC78_1550
ko:K11752	cjq:UC78_1556
ko:K01752	cjq:UC78_1558
ko:K03837	cjq:UC78_1559
ko:K03561	cjq:UC78_1562
ko:K03559	cjq:UC78_1563
ko:K03832	cjq:UC78_1564
ko:K00566	cjq:UC78_1567
ko:K01736	cjq:UC78_1568
ko:K03685	cjq:UC78_1569
ko:K03469	cjq:UC78_1570
ko:K01928	cjq:UC78_1575
ko:K09747	cjq:UC78_1576
ko:K00795	cjq:UC78_1578
