ko:K07004	ssb:SSUBM407_1830
ko:K07407	ssb:SSUBM407_1450
ko:K01598	ssb:SSUBM407_1184
ko:K00616	ssb:SSUBM407_1163
ko:K01426	ssb:SSUBM407_0274
ko:K02778	ssb:SSUBM407_0560
ko:K02779	ssb:SSUBM407_0560
ko:K00001	ssb:SSUBM407_0572
ko:K01992	ssb:SSUBM407_0667
ko:K01990	ssb:SSUBM407_0668
ko:K00786	ssb:SSUBM407_0676
ko:K06147	ssb:SSUBM407_0870
ko:K00105	ssb:SSUBM407_1155
ko:K01274	ssb:SSUBM407_1360
ko:K01081	ssb:SSUBM407_1432
ko:K02808	ssb:SSUBM407_1691
ko:K02809	ssb:SSUBM407_1691
ko:K02810	ssb:SSUBM407_1691
ko:K01992	ssb:SSUBM407_1722
ko:K01200	ssb:SSUBM407_1985
ko:K07273	ssb:SSUBM407_0531
ko:K03767	ssb:SSUBM407_0612
ko:K02028	ssb:SSUBM407_1312
ko:K06148	ssb:SSUBM407_0255
ko:K07484	ssb:SSUBM407_1272
ko:K00537	ssb:SSUBM407_1345
ko:K02028	ssb:SSUBM407_0434
ko:K12574	ssb:SSUBM407_0153
ko:K13292	ssb:SSUBM407_1495
ko:K07729	ssb:SSUBM407_0718
ko:K00297	ssb:SSUBM407_1654
ko:K00244	ssb:SSUBM407_1998
ko:K00657	ssb:SSUBM407_0427
ko:K01759	ssb:SSUBM407_1525
ko:K01193	ssb:SSUBM407_1692
ko:K01934	ssb:SSUBM407_1900
ko:K00625	ssb:SSUBM407_0868
ko:K10040	ssb:SSUBM407_0595
ko:K13052	ssb:SSUBM407_0010
ko:K02746	ssb:SSUBM407_0733
ko:K02747	ssb:SSUBM407_0734
ko:K03210	ssb:SSUBM407_0735
ko:K00526	ssb:SSUBM407_0740
ko:K00525	ssb:SSUBM407_0742
ko:K06191	ssb:SSUBM407_0743
ko:K01681	ssb:SSUBM407_0744
ko:K01647	ssb:SSUBM407_0745
ko:K00031	ssb:SSUBM407_0746
ko:K08483	ssb:SSUBM407_0748
ko:K03685	ssb:SSUBM407_0754
ko:K03529	ssb:SSUBM407_0755
ko:K03110	ssb:SSUBM407_0758
ko:K00036	ssb:SSUBM407_0761
ko:K07089	ssb:SSUBM407_0763
ko:K01972	ssb:SSUBM407_0764
ko:K02110	ssb:SSUBM407_0766
ko:K02108	ssb:SSUBM407_0767
ko:K02109	ssb:SSUBM407_0768
ko:K02113	ssb:SSUBM407_0769
ko:K02111	ssb:SSUBM407_0770
ko:K02115	ssb:SSUBM407_0771
ko:K02112	ssb:SSUBM407_0772
ko:K02114	ssb:SSUBM407_0773
ko:K00874	ssb:SSUBM407_0779
ko:K01195	ssb:SSUBM407_0780
ko:K01625	ssb:SSUBM407_0782
ko:K01812	ssb:SSUBM407_0783
ko:K01686	ssb:SSUBM407_0784
ko:K01207	ssb:SSUBM407_0787
ko:K01889	ssb:SSUBM407_0789
ko:K01890	ssb:SSUBM407_0791
ko:K02073	ssb:SSUBM407_1651
ko:K07010	ssb:SSUBM407_1652
ko:K00549	ssb:SSUBM407_1653
ko:K06901	ssb:SSUBM407_1655
ko:K02793	ssb:SSUBM407_1657
ko:K02794	ssb:SSUBM407_1657
ko:K02795	ssb:SSUBM407_1658
ko:K03740	ssb:SSUBM407_1225
ko:K03739	ssb:SSUBM407_1227
ko:K03367	ssb:SSUBM407_1228
ko:K02564	ssb:SSUBM407_1233
ko:K07568	ssb:SSUBM407_1234
ko:K03402	ssb:SSUBM407_1235
ko:K12373	ssb:SSUBM407_1236
ko:K00926	ssb:SSUBM407_1239
ko:K00611	ssb:SSUBM407_1240
ko:K01478	ssb:SSUBM407_1242
ko:K09762	ssb:SSUBM407_1244
ko:K06958	ssb:SSUBM407_1246
ko:K01893	ssb:SSUBM407_1251
ko:K01129	ssb:SSUBM407_0317
ko:K02529	ssb:SSUBM407_0318
ko:K00849	ssb:SSUBM407_0319
ko:K06201	ssb:SSUBM407_0322
ko:K07015	ssb:SSUBM407_0324
ko:K07574	ssb:SSUBM407_0326
ko:K00969	ssb:SSUBM407_0327
ko:K09710	ssb:SSUBM407_0331
ko:K01462	ssb:SSUBM407_0340
ko:K04086	ssb:SSUBM407_0341
ko:K00705	ssb:SSUBM407_0342
ko:K00688	ssb:SSUBM407_0343
ko:K07146	ssb:SSUBM407_0353
ko:K03704	ssb:SSUBM407_0357
ko:K03501	ssb:SSUBM407_0358
ko:K05366	ssb:SSUBM407_0359
ko:K03700	ssb:SSUBM407_0360
ko:K07444	ssb:SSUBM407_0363
ko:K07173	ssb:SSUBM407_0365
ko:K00942	ssb:SSUBM407_0367
ko:K03060	ssb:SSUBM407_0368
ko:K04066	ssb:SSUBM407_0369
ko:K00604	ssb:SSUBM407_0370
ko:K03500	ssb:SSUBM407_0371
ko:K00891	ssb:SSUBM407_1263
ko:K00800	ssb:SSUBM407_1264
ko:K00983	ssb:SSUBM407_1277
ko:K01654	ssb:SSUBM407_1280
ko:K09861	ssb:SSUBM407_1299
ko:K00286	ssb:SSUBM407_1303
ko:K00147	ssb:SSUBM407_1304
ko:K00931	ssb:SSUBM407_1305
ko:K03722	ssb:SSUBM407_1306
ko:K07570	ssb:SSUBM407_0378
ko:K03111	ssb:SSUBM407_1702
ko:K02990	ssb:SSUBM407_1703
ko:K03800	ssb:SSUBM407_1705
ko:K00382	ssb:SSUBM407_1707
ko:K00627	ssb:SSUBM407_1708
ko:K00162	ssb:SSUBM407_1709
ko:K00161	ssb:SSUBM407_1710
ko:K02834	ssb:SSUBM407_1714
ko:K02519	ssb:SSUBM407_1715
ko:K07742	ssb:SSUBM407_1717
ko:K02600	ssb:SSUBM407_1718
ko:K09748	ssb:SSUBM407_1719
ko:K03439	ssb:SSUBM407_1720
ko:K06925	ssb:SSUBM407_1728
ko:K07030	ssb:SSUBM407_1729
ko:K02034	ssb:SSUBM407_1732
ko:K02033	ssb:SSUBM407_1733
ko:K02032	ssb:SSUBM407_1734
ko:K02031	ssb:SSUBM407_1735
ko:K02035	ssb:SSUBM407_1736
ko:K07258	ssb:SSUBM407_1737
ko:K09014	ssb:SSUBM407_1738
ko:K04488	ssb:SSUBM407_1740
ko:K11717	ssb:SSUBM407_1741
ko:K09015	ssb:SSUBM407_1742
ko:K09013	ssb:SSUBM407_1743
ko:K02357	ssb:SSUBM407_1840
