ko:K07046	bpse:BDL_4073
ko:K18928	bpse:BDL_3553
ko:K18094	bpse:BDL_330
ko:K00477	bpse:BDL_1776
ko:K00529	bpse:BDL_4194
ko:K00137	bpse:BDL_3537
ko:K02073	bpse:BDL_3545
ko:K02071	bpse:BDL_3547
ko:K02072	bpse:BDL_3548
ko:K00014	bpse:BDL_3573
ko:K08194	bpse:BDL_3574
ko:K03430	bpse:BDL_3575
ko:K11081	bpse:BDL_3576
ko:K11084	bpse:BDL_3577
ko:K11083	bpse:BDL_3578
ko:K11082	bpse:BDL_3579
ko:K07115	bpse:BDL_3592
ko:K00019	bpse:BDL_3594
ko:K00832	bpse:BDL_3595
ko:K03702	bpse:BDL_3596
ko:K07230	bpse:BDL_3597
ko:K07243	bpse:BDL_3599
ko:K01652	bpse:BDL_3640
ko:K00978	bpse:BDL_3646
ko:K01709	bpse:BDL_3647
ko:K00782	bpse:BDL_3555
ko:K03303	bpse:BDL_3556
ko:K15977	bpse:BDL_3557
ko:K06911	bpse:BDL_3604
ko:K03559	bpse:BDL_3606
ko:K03561	bpse:BDL_3607
ko:K03832	bpse:BDL_3608
ko:K02192	bpse:BDL_3609
ko:K01776	bpse:BDL_3610
ko:K12658	bpse:BDL_3564
ko:K00457	bpse:BDL_3571
ko:K03594	bpse:BDL_3611
ko:K01676	bpse:BDL_3612
ko:K01895	bpse:BDL_3615
ko:K14393	bpse:BDL_3617
ko:K09803	bpse:BDL_3625
ko:K03786	bpse:BDL_3572
ko:K11076	bpse:BDL_3694
ko:K11073	bpse:BDL_3695
ko:K12256	bpse:BDL_3696
ko:K01915	bpse:BDL_3697
ko:K07010	bpse:BDL_3698
ko:K01480	bpse:BDL_3701
ko:K04078	bpse:BDL_3703
ko:K04077	bpse:BDL_3704
ko:K08295	bpse:BDL_3707
ko:K00648	bpse:BDL_3710
ko:K07262	bpse:BDL_3679
ko:K02347	bpse:BDL_3680
ko:K07156	bpse:BDL_3686
ko:K07245	bpse:BDL_3687
ko:K03406	bpse:BDL_3688
ko:K09471	bpse:BDL_3689
ko:K11074	bpse:BDL_3692
ko:K11075	bpse:BDL_3693
ko:K12452	bpse:BDL_3648
ko:K06911	bpse:BDL_3658
ko:K05921	bpse:BDL_3924
ko:K00151	bpse:BDL_3925
ko:K00455	bpse:BDL_3926
ko:K01826	bpse:BDL_3927
ko:K02509	bpse:BDL_3928
ko:K02510	bpse:BDL_3930
ko:K02010	bpse:BDL_3933
ko:K02011	bpse:BDL_3934
ko:K07774	bpse:BDL_3937
ko:K00666	bpse:BDL_3965
ko:K00694	bpse:BDL_3969
ko:K00822	bpse:BDL_3976
ko:K00140	bpse:BDL_3977
ko:K07068	bpse:BDL_3986
ko:K01912	bpse:BDL_3988
ko:K04090	bpse:BDL_3993
ko:K09780	bpse:BDL_3995
ko:K00817	bpse:BDL_3996
ko:K00059	bpse:BDL_3997
