ko:K00984	senh:CFSAN002069_02690
ko:K07497	senh:CFSAN002069_18425
ko:K18138	senh:CFSAN002069_06460
ko:K19092	senh:CFSAN002069_17450
ko:K19504	senh:CFSAN002069_09505
ko:K19124	senh:CFSAN002069_17565
ko:K03297	senh:CFSAN002069_00695
ko:K01990	senh:CFSAN002069_04760
ko:K09690	senh:CFSAN002069_05225
ko:K08348	senh:CFSAN002069_01115
ko:K02345	senh:CFSAN002069_22450
ko:K21430	senh:CFSAN002069_24125
ko:K03111	senh:CFSAN002069_10825
ko:K18968	senh:CFSAN002069_06915
ko:K06148	senh:CFSAN002069_10795
ko:K19611	senh:CFSAN002069_18380
ko:K14744	senh:CFSAN002069_03865
ko:K00526	senh:CFSAN002069_20455
ko:K00287	senh:CFSAN002069_08795
ko:K02495	senh:CFSAN002069_12045
ko:K19221	senh:CFSAN002069_00355
ko:K03111	senh:CFSAN002069_23365
ko:K00254	senh:CFSAN002069_03715
ko:K00537	senh:CFSAN002069_16990
ko:K12455	senh:CFSAN002069_21375
ko:K18288	senh:CFSAN002069_16560
ko:K13654	senh:CFSAN002069_01025
ko:K01139	senh:CFSAN002069_13325
ko:K07274	senh:CFSAN002069_02580
ko:K19230	senh:CFSAN002069_00475
ko:K18816	senh:CFSAN002069_00870
ko:K07012	senh:CFSAN002069_17550
ko:K03604	senh:CFSAN002069_01850
ko:K01420	senh:CFSAN002069_00655
ko:K09477	senh:CFSAN002069_05755
ko:K07245	senh:CFSAN002069_14235
ko:K04017	senh:CFSAN002069_10690
ko:K03417	senh:CFSAN002069_07010
ko:K03779	senh:CFSAN002069_15395
ko:K00151	senh:CFSAN002069_03510
ko:K06075	senh:CFSAN002069_01780
ko:K00265	senh:CFSAN002069_15515
ko:K00951	senh:CFSAN002069_17440
ko:K17713	senh:CFSAN002069_19170
ko:K07245	senh:CFSAN002069_22460
ko:K08302	senh:CFSAN002069_15885
ko:K01425	senh:CFSAN002069_01365
ko:K08324	senh:CFSAN002069_01370
ko:K08159	senh:CFSAN002069_01380
ko:K03712	senh:CFSAN002069_01390
ko:K13632	senh:CFSAN002069_01395
ko:K13630	senh:CFSAN002069_01400
ko:K15268	senh:CFSAN002069_01405
ko:K01284	senh:CFSAN002069_01435
ko:K16066	senh:CFSAN002069_01440
ko:K08322	senh:CFSAN002069_01465
ko:K08323	senh:CFSAN002069_01470
ko:K09771	senh:CFSAN002069_01475
ko:K07309	senh:CFSAN002069_01500
ko:K07310	senh:CFSAN002069_01505
ko:K05846	senh:CFSAN002069_01525
ko:K05845	senh:CFSAN002069_01530
ko:K05846	senh:CFSAN002069_01535
ko:K05847	senh:CFSAN002069_01540
ko:K03281	senh:CFSAN002069_01545
ko:K01935	senh:CFSAN002069_01550
ko:K15545	senh:CFSAN002069_01555
ko:K08224	senh:CFSAN002069_01565
ko:K04775	senh:CFSAN002069_01580
ko:K11742	senh:CFSAN002069_01585
ko:K11743	senh:CFSAN002069_01590
ko:K11744	senh:CFSAN002069_01600
ko:K00325	senh:CFSAN002069_01605
ko:K00324	senh:CFSAN002069_01610
ko:K03839	senh:CFSAN002069_05370
ko:K13794	senh:CFSAN002069_05380
ko:K13796	senh:CFSAN002069_05385
ko:K13795	senh:CFSAN002069_05390
ko:K03288	senh:CFSAN002069_05395
ko:K01886	senh:CFSAN002069_05410
ko:K02802	senh:CFSAN002069_05415
ko:K02803	senh:CFSAN002069_05415
ko:K02804	senh:CFSAN002069_05415
ko:K01443	senh:CFSAN002069_05425
ko:K02565	senh:CFSAN002069_05430
ko:K01953	senh:CFSAN002069_05440
ko:K03184	senh:CFSAN002069_05485
ko:K06168	senh:CFSAN002069_05490
ko:K07042	senh:CFSAN002069_05500
ko:K06189	senh:CFSAN002069_05505
ko:K03820	senh:CFSAN002069_05510
ko:K10001	senh:CFSAN002069_05515
ko:K10003	senh:CFSAN002069_05520
ko:K10002	senh:CFSAN002069_05525
ko:K10004	senh:CFSAN002069_05530
ko:K04045	senh:CFSAN002069_05545
ko:K16850	senh:CFSAN002069_05590
ko:K16849	senh:CFSAN002069_05595
ko:K01869	senh:CFSAN002069_05600
ko:K03643	senh:CFSAN002069_05605
ko:K02340	senh:CFSAN002069_05610
ko:K00969	senh:CFSAN002069_05615
ko:K01839	senh:CFSAN002069_09355
ko:K03424	senh:CFSAN002069_09380
ko:K02837	senh:CFSAN002069_09400
ko:K08723	senh:CFSAN002069_09405
ko:K03789	senh:CFSAN002069_09410
ko:K02344	senh:CFSAN002069_09415
ko:K13255	senh:CFSAN002069_09450
ko:K02317	senh:CFSAN002069_09480
ko:K09803	senh:CFSAN002069_09560
ko:K01153	senh:CFSAN002069_09570
ko:K03427	senh:CFSAN002069_09575
ko:K01154	senh:CFSAN002069_09580
ko:K00989	senh:CFSAN002069_13365
ko:K00762	senh:CFSAN002069_13370
ko:K05501	senh:CFSAN002069_13375
ko:K13038	senh:CFSAN002069_13385
ko:K03630	senh:CFSAN002069_13390
ko:K02902	senh:CFSAN002069_13395
ko:K02913	senh:CFSAN002069_13400
ko:K00954	senh:CFSAN002069_13410
ko:K02527	senh:CFSAN002069_13415
ko:K02844	senh:CFSAN002069_13430
ko:K02848	senh:CFSAN002069_13435
ko:K02840	senh:CFSAN002069_13445
ko:K02850	senh:CFSAN002069_13460
ko:K02847	senh:CFSAN002069_13475
ko:K02841	senh:CFSAN002069_13480
ko:K03274	senh:CFSAN002069_13490
ko:K00060	senh:CFSAN002069_13500
ko:K09798	senh:CFSAN002069_13510
ko:K15633	senh:CFSAN002069_13520
ko:K03071	senh:CFSAN002069_13535
ko:K00057	senh:CFSAN002069_13540
ko:K00640	senh:CFSAN002069_13545
ko:K06145	senh:CFSAN002069_13560
ko:K03216	senh:CFSAN002069_13565
ko:K14348	senh:CFSAN002069_13575
ko:K00427	senh:CFSAN002069_13580
ko:K06175	senh:CFSAN002069_17400
ko:K13918	senh:CFSAN002069_17415
ko:K01706	senh:CFSAN002069_17420
ko:K00865	senh:CFSAN002069_17425
ko:K07678	senh:CFSAN002069_17430
ko:K03215	senh:CFSAN002069_17435
ko:K01937	senh:CFSAN002069_17505
ko:K01689	senh:CFSAN002069_17510
ko:K10026	senh:CFSAN002069_17515
ko:K01737	senh:CFSAN002069_17525
ko:K00381	senh:CFSAN002069_17535
ko:K00390	senh:CFSAN002069_17540
ko:K15342	senh:CFSAN002069_17580
ko:K09612	senh:CFSAN002069_17590
ko:K00957	senh:CFSAN002069_17595
ko:K00860	senh:CFSAN002069_17605
ko:K05589	senh:CFSAN002069_17615
ko:K00991	senh:CFSAN002069_17620
ko:K01770	senh:CFSAN002069_17625
ko:K06176	senh:CFSAN002069_17630
ko:K03787	senh:CFSAN002069_17635
ko:K00012	senh:CFSAN002069_21420
ko:K05789	senh:CFSAN002069_21425
ko:K11755	senh:CFSAN002069_21430
ko:K02500	senh:CFSAN002069_21435
ko:K01814	senh:CFSAN002069_21440
ko:K02501	senh:CFSAN002069_21445
ko:K01089	senh:CFSAN002069_21450
ko:K00817	senh:CFSAN002069_21455
ko:K00013	senh:CFSAN002069_21460
ko:K00765	senh:CFSAN002069_21465
ko:K01141	senh:CFSAN002069_21485
ko:K08354	senh:CFSAN002069_21505
ko:K07470	senh:CFSAN002069_21515
ko:K09802	senh:CFSAN002069_21525
ko:K16651	senh:CFSAN002069_21530
ko:K04029	senh:CFSAN002069_21540
ko:K04031	senh:CFSAN002069_21545
ko:K13922	senh:CFSAN002069_21565
ko:K13920	senh:CFSAN002069_21610
ko:K13919	senh:CFSAN002069_21615
ko:K17467	senh:CFSAN002069_13190
ko:K03758	senh:CFSAN002069_01620
ko:K07661	senh:CFSAN002069_01630
ko:K07639	senh:CFSAN002069_01650
ko:K01676	senh:CFSAN002069_01665
ko:K01809	senh:CFSAN002069_01670
ko:K10773	senh:CFSAN002069_01735
ko:K03305	senh:CFSAN002069_01740
ko:K00868	senh:CFSAN002069_01750
ko:K01866	senh:CFSAN002069_01755
ko:K00275	senh:CFSAN002069_01760
ko:K09001	senh:CFSAN002069_01770
ko:K06077	senh:CFSAN002069_01775
ko:K16137	senh:CFSAN002069_01810
ko:K10680	senh:CFSAN002069_01815
ko:K03683	senh:CFSAN002069_01825
ko:K07390	senh:CFSAN002069_01830
ko:K04564	senh:CFSAN002069_01840
ko:K00574	senh:CFSAN002069_01865
ko:K00793	senh:CFSAN002069_01870
ko:K03327	senh:CFSAN002069_01875
ko:K09710	senh:CFSAN002069_05635
ko:K00783	senh:CFSAN002069_05640
ko:K05515	senh:CFSAN002069_05645
ko:K05837	senh:CFSAN002069_05650
ko:K03642	senh:CFSAN002069_05655
ko:K09158	senh:CFSAN002069_05665
ko:K03801	senh:CFSAN002069_05670
ko:K03644	senh:CFSAN002069_05680
ko:K03425	senh:CFSAN002069_05685
ko:K06199	senh:CFSAN002069_05695
ko:K03704	senh:CFSAN002069_05700
ko:K12973	senh:CFSAN002069_05705
ko:K07702	senh:CFSAN002069_05715
ko:K07700	senh:CFSAN002069_05720
ko:K01910	senh:CFSAN002069_05725
ko:K01646	senh:CFSAN002069_05730
ko:K01644	senh:CFSAN002069_05735
ko:K01643	senh:CFSAN002069_05740
ko:K05964	senh:CFSAN002069_05745
ko:K01169	senh:CFSAN002069_05760
ko:K06140	senh:CFSAN002069_05765
ko:K11932	senh:CFSAN002069_05775
ko:K03387	senh:CFSAN002069_05800
ko:K03805	senh:CFSAN002069_05810
ko:K14287	senh:CFSAN002069_05830
ko:K08317	senh:CFSAN002069_05835
ko:K06200	senh:CFSAN002069_05845
ko:K00216	senh:CFSAN002069_05855
ko:K01252	senh:CFSAN002069_05860
ko:K02363	senh:CFSAN002069_05865
ko:K02361	senh:CFSAN002069_05870
ko:K01305	senh:CFSAN002069_09640
ko:K01779	senh:CFSAN002069_09650
ko:K01867	senh:CFSAN002069_09660
ko:K09982	senh:CFSAN002069_09695
ko:K07454	senh:CFSAN002069_09715
ko:K12957	senh:CFSAN002069_09765
ko:K00098	senh:CFSAN002069_09775
ko:K06157	senh:CFSAN002069_09785
ko:K06146	senh:CFSAN002069_09790
ko:K11720	senh:CFSAN002069_09795
ko:K07091	senh:CFSAN002069_09800
ko:K01255	senh:CFSAN002069_09805
ko:K02339	senh:CFSAN002069_09810
ko:K01873	senh:CFSAN002069_09815
ko:K03828	senh:CFSAN002069_09825
ko:K06169	senh:CFSAN002069_09835
ko:K14762	senh:CFSAN002069_13595
ko:K02562	senh:CFSAN002069_13605
ko:K08349	senh:CFSAN002069_01125
ko:K02972	senh:CFSAN002069_01145
ko:K06044	senh:CFSAN002069_01175
ko:K14155	senh:CFSAN002069_01185
ko:K03315	senh:CFSAN002069_01190
ko:K02529	senh:CFSAN002069_01195
ko:K03620	senh:CFSAN002069_01310
ko:K04653	senh:CFSAN002069_01320
ko:K03619	senh:CFSAN002069_01325
ko:K03618	senh:CFSAN002069_01330
ko:K04651	senh:CFSAN002069_01340
ko:K00426	senh:CFSAN002069_05135
ko:K00425	senh:CFSAN002069_05140
ko:K01902	senh:CFSAN002069_05150
ko:K01903	senh:CFSAN002069_05155
ko:K00658	senh:CFSAN002069_05160
ko:K00164	senh:CFSAN002069_05165
ko:K00240	senh:CFSAN002069_05170
ko:K00239	senh:CFSAN002069_05175
ko:K00242	senh:CFSAN002069_05180
ko:K00009	senh:CFSAN002069_13610
ko:K01042	senh:CFSAN002069_13625
ko:K03833	senh:CFSAN002069_13630
ko:K00138	senh:CFSAN002069_13640
ko:K09955	senh:CFSAN002069_13645
ko:K00880	senh:CFSAN002069_13670
ko:K08092	senh:CFSAN002069_13700
ko:K00835	senh:CFSAN002069_13715
ko:K02529	senh:CFSAN002069_13735
ko:K01805	senh:CFSAN002069_13740
