ko:K00054	ssu:SSU05_1642
ko:K14989	ssu:SSU05_0943
ko:K03529	ssu:SSU05_1190
ko:K01956	ssu:SSU05_0791
ko:K00609	ssu:SSU05_0790
ko:K02825	ssu:SSU05_0789
ko:K01598	ssu:SSU05_0688
ko:K14988	ssu:SSU05_0944
ko:K03665	ssu:SSU05_1315
ko:K03596	ssu:SSU05_0841
ko:K02834	ssu:SSU05_1845
ko:K03687	ssu:SSU05_0299
ko:K04043	ssu:SSU05_0300
ko:K03648	ssu:SSU05_1003
ko:K01809	ssu:SSU05_1607
ko:K07560	ssu:SSU05_2093
ko:K03706	ssu:SSU05_0350
ko:K03075	ssu:SSU05_1392
ko:K01803	ssu:SSU05_0531
ko:K01883	ssu:SSU05_1924
ko:K03763	ssu:SSU05_1954
ko:K00942	ssu:SSU05_0422
ko:K03497	ssu:SSU05_2193
ko:K06187	ssu:SSU05_1353
ko:K02028	ssu:SSU05_0551
ko:K02530	ssu:SSU05_1045
ko:K01220	ssu:SSU05_1036
ko:K03631	ssu:SSU05_1651
ko:K01783	ssu:SSU05_1993
ko:K07030	ssu:SSU05_1861
ko:K07568	ssu:SSU05_0632
ko:K02864	ssu:SSU05_0984
ko:K02935	ssu:SSU05_0983
ko:K00943	ssu:SSU05_0661
ko:K02341	ssu:SSU05_0662
ko:K07056	ssu:SSU05_0664
ko:K01409	ssu:SSU05_0166
ko:K00364	ssu:SSU05_0815
ko:K01939	ssu:SSU05_1966
ko:K01756	ssu:SSU05_0039
ko:K03601	ssu:SSU05_1656
ko:K03602	ssu:SSU05_1655
ko:K03073	ssu:SSU05_1984
ko:K02601	ssu:SSU05_1983
ko:K02867	ssu:SSU05_1332
ko:K03498	ssu:SSU05_1759
ko:K00868	ssu:SSU05_1580
ko:K03346	ssu:SSU05_1729
ko:K02808	ssu:SSU05_1817
ko:K02809	ssu:SSU05_1817
ko:K02810	ssu:SSU05_1817
ko:K03701	ssu:SSU05_1828
ko:K04068	ssu:SSU05_2114
ko:K02904	ssu:SSU05_0079
ko:K02760	ssu:SSU05_2075
ko:K05985	ssu:SSU05_2010
ko:K03575	ssu:SSU05_1052
ko:K06207	ssu:SSU05_0468
ko:K07124	ssu:SSU05_1312
ko:K01156	ssu:SSU05_0684
ko:K03784	ssu:SSU05_1445
ko:K02968	ssu:SSU05_1089
ko:K00756	ssu:SSU05_1086
ko:K01619	ssu:SSU05_1085
ko:K07335	ssu:SSU05_1083
ko:K04487	ssu:SSU05_0776
ko:K00790	ssu:SSU05_1619
ko:K02337	ssu:SSU05_0542
ko:K03402	ssu:SSU05_0631
ko:K08986	ssu:SSU05_1183
ko:K07089	ssu:SSU05_1182
ko:K00558	ssu:SSU05_0979
ko:K02056	ssu:SSU05_1081
ko:K02057	ssu:SSU05_1080
ko:K02057	ssu:SSU05_1079
ko:K08591	ssu:SSU05_0756
ko:K01153	ssu:SSU05_1453
ko:K02564	ssu:SSU05_0634
ko:K03650	ssu:SSU05_1454
ko:K09013	ssu:SSU05_1876
ko:K05808	ssu:SSU05_0439
ko:K02240	ssu:SSU05_0437
ko:K00925	ssu:SSU05_0135
ko:K03048	ssu:SSU05_0334
ko:K01937	ssu:SSU05_0335
ko:K03739	ssu:SSU05_0639
ko:K02072	ssu:SSU05_1768
ko:K02888	ssu:SSU05_0781
ko:K01999	ssu:SSU05_1548
ko:K01997	ssu:SSU05_1547
ko:K01998	ssu:SSU05_1546
ko:K02796	ssu:SSU05_1780
ko:K02795	ssu:SSU05_1779
ko:K02793	ssu:SSU05_1778
ko:K02794	ssu:SSU05_1778
ko:K01995	ssu:SSU05_1544
ko:K01996	ssu:SSU05_1543
ko:K02836	ssu:SSU05_1412
ko:K09812	ssu:SSU05_1411
ko:K03767	ssu:SSU05_1344
ko:K02959	ssu:SSU05_0796
ko:K02531	ssu:SSU05_1039
ko:K06442	ssu:SSU05_1653
ko:K07284	ssu:SSU05_1074
ko:K07652	ssu:SSU05_1358
ko:K00571	ssu:SSU05_0133
ko:K02761	ssu:SSU05_0711
ko:K02761	ssu:SSU05_0712
ko:K04767	ssu:SSU05_0655
ko:K04094	ssu:SSU05_0901
ko:K02823	ssu:SSU05_1011
ko:K01495	ssu:SSU05_1144
ko:K02111	ssu:SSU05_1174
ko:K08303	ssu:SSU05_0506
ko:K01222	ssu:SSU05_2079
ko:K00526	ssu:SSU05_1209
ko:K01788	ssu:SSU05_1402
ko:K00945	ssu:SSU05_1271
ko:K03977	ssu:SSU05_1726
ko:K06024	ssu:SSU05_1700
ko:K00850	ssu:SSU05_0543
ko:K00243	ssu:SSU05_1325
ko:K04075	ssu:SSU05_0013
ko:K06929	ssu:SSU05_1376
ko:K03584	ssu:SSU05_0023
ko:K02078	ssu:SSU05_0025
ko:K01952	ssu:SSU05_0027
ko:K03499	ssu:SSU05_1760
ko:K02371	ssu:SSU05_1805
ko:K10563	ssu:SSU05_1396
ko:K07720	ssu:SSU05_1910
ko:K01439	ssu:SSU05_1770
ko:K02986	ssu:SSU05_2156
ko:K07146	ssu:SSU05_0406
ko:K01752	ssu:SSU05_2172
ko:K01752	ssu:SSU05_2171
ko:K02357	ssu:SSU05_1979
ko:K09748	ssu:SSU05_1850
ko:K01775	ssu:SSU05_1812
ko:K04083	ssu:SSU05_1969
ko:K02946	ssu:SSU05_0070
ko:K02906	ssu:SSU05_0071
ko:K02926	ssu:SSU05_0072
ko:K02892	ssu:SSU05_0073
ko:K02886	ssu:SSU05_0074
ko:K02965	ssu:SSU05_0075
ko:K02890	ssu:SSU05_0076
ko:K02982	ssu:SSU05_0077
ko:K00604	ssu:SSU05_0425
ko:K04066	ssu:SSU05_0424
ko:K09710	ssu:SSU05_0374
ko:K02112	ssu:SSU05_1172
ko:K02109	ssu:SSU05_1176
ko:K05837	ssu:SSU05_1512
ko:K06286	ssu:SSU05_1509
ko:K09015	ssu:SSU05_1875
ko:K03436	ssu:SSU05_0822
ko:K07742	ssu:SSU05_1848
ko:K02878	ssu:SSU05_0078
ko:K01246	ssu:SSU05_0061
ko:K02950	ssu:SSU05_0150
ko:K02961	ssu:SSU05_0080
ko:K02952	ssu:SSU05_0093
ko:K03040	ssu:SSU05_0095
ko:K05896	ssu:SSU05_1701
ko:K02817	ssu:SSU05_0231
ko:K02818	ssu:SSU05_0231
ko:K02819	ssu:SSU05_0231
ko:K04567	ssu:SSU05_0519
ko:K03043	ssu:SSU05_0121
ko:K03046	ssu:SSU05_0122
ko:K02881	ssu:SSU05_0086
ko:K02988	ssu:SSU05_0087
ko:K02907	ssu:SSU05_0088
ko:K02876	ssu:SSU05_0089
ko:K04078	ssu:SSU05_0147
ko:K02992	ssu:SSU05_0151
ko:K02355	ssu:SSU05_0152
ko:K03076	ssu:SSU05_0090
ko:K01892	ssu:SSU05_0278
ko:K07095	ssu:SSU05_1704
ko:K10039	ssu:SSU05_1362
ko:K03930	ssu:SSU05_1479
ko:K03523	ssu:SSU05_0509
ko:K02005	ssu:SSU05_0513
ko:K02874	ssu:SSU05_0081
ko:K02895	ssu:SSU05_0082
ko:K00764	ssu:SSU05_0028
ko:K01945	ssu:SSU05_0033
ko:K01589	ssu:SSU05_0035
ko:K02600	ssu:SSU05_1849
ko:K02931	ssu:SSU05_0083
ko:K02994	ssu:SSU05_0084
ko:K02933	ssu:SSU05_0085
ko:K00869	ssu:SSU05_0289
ko:K01597	ssu:SSU05_0290
ko:K00059	ssu:SSU05_1587
ko:K03722	ssu:SSU05_0556
ko:K03449	ssu:SSU05_1319
ko:K00939	ssu:SSU05_0091
ko:K06960	ssu:SSU05_0797
ko:K02860	ssu:SSU05_0819
ko:K02967	ssu:SSU05_1980
ko:K02518	ssu:SSU05_0092
ko:K01929	ssu:SSU05_1350
ko:K00997	ssu:SSU05_1813
ko:K00761	ssu:SSU05_1553
ko:K01990	ssu:SSU05_0540
ko:K03500	ssu:SSU05_0426
ko:K03710	ssu:SSU05_0447
ko:K05592	ssu:SSU05_1574
ko:K01443	ssu:SSU05_1259
ko:K02794	ssu:SSU05_0450
ko:K02795	ssu:SSU05_0451
ko:K02793	ssu:SSU05_0453
ko:K02954	ssu:SSU05_1535
ko:K02440	ssu:SSU05_0724
ko:K07386	ssu:SSU05_2082
ko:K01933	ssu:SSU05_0029
ko:K02435	ssu:SSU05_0354
ko:K06173	ssu:SSU05_0311
ko:K01704	ssu:SSU05_1946
ko:K01703	ssu:SSU05_1947
ko:K00052	ssu:SSU05_1948
ko:K01649	ssu:SSU05_1949
ko:K03402	ssu:SSU05_1652
ko:K02086	ssu:SSU05_1305
ko:K00705	ssu:SSU05_0392
ko:K00651	ssu:SSU05_1306
ko:K00759	ssu:SSU05_1307
ko:K00525	ssu:SSU05_1207
ko:K01274	ssu:SSU05_1462
ko:K02863	ssu:SSU05_1331
ko:K01710	ssu:SSU05_1298
ko:K01790	ssu:SSU05_1300
ko:K02871	ssu:SSU05_1898
ko:K00763	ssu:SSU05_1672
ko:K01193	ssu:SSU05_1818
ko:K07778	ssu:SSU05_1686
ko:K03493	ssu:SSU05_2056
ko:K00954	ssu:SSU05_1680
ko:K04069	ssu:SSU05_1667
ko:K03698	ssu:SSU05_1990
ko:K09760	ssu:SSU05_1991
ko:K00949	ssu:SSU05_1992
ko:K06949	ssu:SSU05_1994
ko:K02004	ssu:SSU05_0247
ko:K06180	ssu:SSU05_1058
ko:K03697	ssu:SSU05_0492
ko:K03740	ssu:SSU05_0641
ko:K03696	ssu:SSU05_1975
ko:K03708	ssu:SSU05_1976
ko:K07586	ssu:SSU05_0445
ko:K01641	ssu:SSU05_1641
ko:K02078	ssu:SSU05_1806
ko:K02160	ssu:SSU05_1801
ko:K02372	ssu:SSU05_1800
ko:K09811	ssu:SSU05_1410
ko:K03501	ssu:SSU05_0412
