ko:K07046	bpsu:BBN_4245
ko:K18928	bpsu:BBN_3717
ko:K00140	bpsu:BBN_2
ko:K01995	bpsu:BBN_4
ko:K01996	bpsu:BBN_5
ko:K01997	bpsu:BBN_7
ko:K01999	bpsu:BBN_6
ko:K01997	bpsu:BBN_11
ko:K01998	bpsu:BBN_8
ko:K01999	bpsu:BBN_10
ko:K18333	bpsu:BBN_4248
ko:K07005	bpsu:BBN_4130
ko:K01996	bpsu:BBN_13
ko:K01995	bpsu:BBN_12
ko:K01998	bpsu:BBN_12
ko:K12979	bpsu:BBN_4867
ko:K00008	bpsu:BBN_1777
ko:K03297	bpsu:BBN_1853
ko:K01178	bpsu:BBN_6057
ko:K16238	bpsu:BBN_50
ko:K11741	bpsu:BBN_2408
ko:K15634	bpsu:BBN_533
ko:K05799	bpsu:BBN_486
ko:K18336	bpsu:BBN_4247
ko:K18139	bpsu:BBN_1791
ko:K01458	bpsu:BBN_3673
ko:K05375	bpsu:BBN_4699
ko:K06893	bpsu:BBN_3473
ko:K21449	bpsu:BBN_5946
ko:K20542	bpsu:BBN_5029
ko:K18249	bpsu:BBN_5349
ko:K16320	bpsu:BBN_5351
ko:K18816	bpsu:BBN_3648
ko:K02109	bpsu:BBN_22
ko:K02113	bpsu:BBN_23
ko:K02111	bpsu:BBN_24
ko:K02116	bpsu:BBN_19
ko:K02110	bpsu:BBN_21
ko:K02108	bpsu:BBN_20
ko:K18292	bpsu:BBN_5092
ko:K03501	bpsu:BBN_15
ko:K03495	bpsu:BBN_14
ko:K00102	bpsu:BBN_4758
ko:K11209	bpsu:BBN_529
ko:K11209	bpsu:BBN_1735
ko:K19209	bpsu:BBN_5465
ko:K00821	bpsu:BBN_2642
ko:K01609	bpsu:BBN_368
ko:K00766	bpsu:BBN_369
ko:K01658	bpsu:BBN_370
ko:K01657	bpsu:BBN_371
ko:K01091	bpsu:BBN_372
ko:K01783	bpsu:BBN_373
ko:K06195	bpsu:BBN_374
ko:K08304	bpsu:BBN_376
ko:K01912	bpsu:BBN_377
ko:K02614	bpsu:BBN_378
ko:K15866	bpsu:BBN_379
ko:K01692	bpsu:BBN_382
ko:K01897	bpsu:BBN_392
ko:K06134	bpsu:BBN_394
ko:K03925	bpsu:BBN_395
ko:K03438	bpsu:BBN_396
ko:K03586	bpsu:BBN_397
ko:K03587	bpsu:BBN_398
ko:K01928	bpsu:BBN_399
ko:K01929	bpsu:BBN_400
ko:K01000	bpsu:BBN_401
ko:K08084	bpsu:BBN_683
ko:K02672	bpsu:BBN_685
ko:K02655	bpsu:BBN_687
ko:K00252	bpsu:BBN_692
ko:K05712	bpsu:BBN_697
ko:K08195	bpsu:BBN_699
ko:K00451	bpsu:BBN_700
ko:K01555	bpsu:BBN_701
ko:K04719	bpsu:BBN_704
ko:K03778	bpsu:BBN_705
ko:K07506	bpsu:BBN_708
ko:K13481	bpsu:BBN_712
ko:K13482	bpsu:BBN_713
ko:K02014	bpsu:BBN_716
ko:K02013	bpsu:BBN_717
ko:K02016	bpsu:BBN_718
ko:K02015	bpsu:BBN_719
ko:K07518	bpsu:BBN_724
ko:K07090	bpsu:BBN_726
