ko:K03741	fpv:IA03_07715
ko:K21029	fpv:IA03_02140
ko:K01156	fpv:IA03_10705
ko:K19166	fpv:IA03_05865
ko:K19159	fpv:IA03_12140
ko:K19158	fpv:IA03_12135
ko:K01710	fpv:IA03_06210
ko:K01710	fpv:IA03_12295
ko:K01669	fpv:IA03_04770
ko:K08303	fpv:IA03_04845
ko:K11381	fpv:IA03_04850
ko:K03113	fpv:IA03_04865
ko:K00757	fpv:IA03_04870
ko:K03648	fpv:IA03_04900
ko:K07456	fpv:IA03_04905
ko:K01890	fpv:IA03_04915
ko:K06937	fpv:IA03_04930
ko:K00616	fpv:IA03_04950
ko:K02340	fpv:IA03_04985
ko:K01486	fpv:IA03_05015
ko:K07056	fpv:IA03_05025
ko:K01775	fpv:IA03_05040
ko:K03282	fpv:IA03_05045
ko:K06925	fpv:IA03_05055
ko:K00259	fpv:IA03_05060
ko:K03075	fpv:IA03_09735
ko:K04078	fpv:IA03_09740
ko:K04077	fpv:IA03_09750
ko:K02914	fpv:IA03_09760
ko:K01955	fpv:IA03_09765
ko:K08715	fpv:IA03_09770
ko:K09760	fpv:IA03_09785
ko:K06181	fpv:IA03_09790
ko:K03216	fpv:IA03_09795
ko:K02013	fpv:IA03_09800
ko:K00075	fpv:IA03_09805
ko:K01953	fpv:IA03_09810
ko:K03629	fpv:IA03_09830
ko:K00794	fpv:IA03_09840
ko:K00826	fpv:IA03_09855
ko:K07735	fpv:IA03_09860
ko:K03530	fpv:IA03_09865
ko:K00604	fpv:IA03_09870
ko:K03654	fpv:IA03_09875
ko:K09158	fpv:IA03_09885
ko:K00790	fpv:IA03_09895
ko:K03786	fpv:IA03_09920
ko:K04763	fpv:IA03_09930
ko:K01892	fpv:IA03_09935
ko:K02004	fpv:IA03_09945
ko:K02493	fpv:IA03_09950
ko:K03828	fpv:IA03_09955
ko:K11752	fpv:IA03_09960
ko:K03975	fpv:IA03_09975
ko:K01673	fpv:IA03_09980
ko:K03294	fpv:IA03_01025
ko:K00451	fpv:IA03_01030
ko:K00457	fpv:IA03_01035
ko:K00453	fpv:IA03_01045
ko:K01056	fpv:IA03_01055
ko:K11753	fpv:IA03_01070
ko:K01012	fpv:IA03_01075
ko:K05606	fpv:IA03_01090
ko:K02834	fpv:IA03_01095
ko:K09808	fpv:IA03_01100
ko:K07568	fpv:IA03_01105
ko:K00800	fpv:IA03_01110
ko:K07461	fpv:IA03_01120
ko:K07560	fpv:IA03_01145
ko:K06949	fpv:IA03_01150
ko:K04516	fpv:IA03_01155
ko:K04518	fpv:IA03_01165
ko:K01990	fpv:IA03_01170
ko:K12524	fpv:IA03_01185
ko:K00641	fpv:IA03_01190
ko:K01740	fpv:IA03_01195
