ko:K01699	lmob:BN419_1350
ko:K22010	lmob:BN419_1374
ko:K11741	lmob:BN419_1024
ko:K11741	lmob:BN419_1025
ko:K18926	lmob:BN419_0600
ko:K18926	lmob:BN419_0601
ko:K07045	lmob:BN419_1048
ko:K19975	lmob:BN419_2225
ko:K19973	lmob:BN419_2227
ko:K18344	lmob:BN419_1275
ko:K00980	lmob:BN419_1304
ko:K09681	lmob:BN419_2086
ko:K14219	lmob:BN419_0255
ko:K11991	lmob:BN419_3232
ko:K02030	lmob:BN419_2090
ko:K18345	lmob:BN419_1276
ko:K01985	lmob:BN419_0248
ko:K01985	lmob:BN419_0260
ko:K07979	lmob:BN419_2697
ko:K05349	lmob:BN419_3313
ko:K02760	lmob:BN419_3314
ko:K02761	lmob:BN419_3315
ko:K03781	lmob:BN419_3317
ko:K03501	lmob:BN419_3339
ko:K03495	lmob:BN419_3346
ko:K03650	lmob:BN419_3347
ko:K08170	lmob:BN419_3358
ko:K03575	lmob:BN419_2026
ko:K07038	lmob:BN419_2027
ko:K03565	lmob:BN419_2030
ko:K07071	lmob:BN419_2031
ko:K02401	lmob:BN419_0790
ko:K02400	lmob:BN419_0792
ko:K02404	lmob:BN419_0793
ko:K02556	lmob:BN419_0798
ko:K02557	lmob:BN419_0799
ko:K03415	lmob:BN419_0803
ko:K02406	lmob:BN419_0804
ko:K03413	lmob:BN419_0805
ko:K03407	lmob:BN419_0806
ko:K02417	lmob:BN419_0807
ko:K02389	lmob:BN419_0810
ko:K02390	lmob:BN419_0812
ko:K02417	lmob:BN419_0813
ko:K02416	lmob:BN419_0814
ko:K02417	lmob:BN419_0816
ko:K09770	lmob:BN419_0821
ko:K02396	lmob:BN419_0823
ko:K02397	lmob:BN419_0824
ko:K02407	lmob:BN419_0825
ko:K02422	lmob:BN419_0826
ko:K02387	lmob:BN419_0827
ko:K02388	lmob:BN419_0828
ko:K02408	lmob:BN419_0829
ko:K02409	lmob:BN419_0830
ko:K02411	lmob:BN419_0833
ko:K01879	lmob:BN419_1708
ko:K01878	lmob:BN419_1709
ko:K03584	lmob:BN419_1711
ko:K07042	lmob:BN419_1716
ko:K07037	lmob:BN419_1717
ko:K09117	lmob:BN419_1719
ko:K02970	lmob:BN419_1720
ko:K09761	lmob:BN419_1721
ko:K02687	lmob:BN419_1722
ko:K03686	lmob:BN419_1723
ko:K04043	lmob:BN419_1725
ko:K03687	lmob:BN419_1726
ko:K03705	lmob:BN419_1727
ko:K03596	lmob:BN419_1734
ko:K02968	lmob:BN419_1736
ko:K02340	lmob:BN419_1737
ko:K02237	lmob:BN419_1741
ko:K09710	lmob:BN419_1743
ko:K00969	lmob:BN419_1745
ko:K07574	lmob:BN419_1746
ko:K00014	lmob:BN419_1747
ko:K07015	lmob:BN419_1749
ko:K03624	lmob:BN419_1754
ko:K00876	lmob:BN419_1755
ko:K07082	lmob:BN419_1757
ko:K01624	lmob:BN419_2577
ko:K01624	lmob:BN419_2578
ko:K03710	lmob:BN419_2588
ko:K03671	lmob:BN419_2596
ko:K08177	lmob:BN419_2621
ko:K03424	lmob:BN419_0198
ko:K05985	lmob:BN419_0200
ko:K02528	lmob:BN419_0201
ko:K00919	lmob:BN419_0203
ko:K02003	lmob:BN419_0207
ko:K06412	lmob:BN419_0210
ko:K06412	lmob:BN419_0211
ko:K04042	lmob:BN419_0212
ko:K00948	lmob:BN419_0213
ko:K01114	lmob:BN419_0221
ko:K02897	lmob:BN419_0227
ko:K01056	lmob:BN419_0229
ko:K03723	lmob:BN419_0230
ko:K07571	lmob:BN419_0235
ko:K03798	lmob:BN419_0237
ko:K03525	lmob:BN419_0238
ko:K04083	lmob:BN419_0239
ko:K01738	lmob:BN419_0240
ko:K00796	lmob:BN419_0241
ko:K01633	lmob:BN419_0242
ko:K00950	lmob:BN419_0243
ko:K04567	lmob:BN419_0245
ko:K04079	lmob:BN419_1146
ko:K04047	lmob:BN419_1147
ko:K02237	lmob:BN419_1150
ko:K03449	lmob:BN419_1153
ko:K01443	lmob:BN419_1163
ko:K03710	lmob:BN419_1165
ko:K08303	lmob:BN419_1168
ko:K03744	lmob:BN419_1169
ko:K03799	lmob:BN419_1170
ko:K00858	lmob:BN419_1175
ko:K06180	lmob:BN419_1176
ko:K00208	lmob:BN419_1177
ko:K03740	lmob:BN419_1178
ko:K14188	lmob:BN419_1179
ko:K03739	lmob:BN419_1180
ko:K03367	lmob:BN419_1182
ko:K01807	lmob:BN419_1184
ko:K00826	lmob:BN419_1188
ko:K00432	lmob:BN419_1193
ko:K11050	lmob:BN419_1196
ko:K02837	lmob:BN419_1199
ko:K14205	lmob:BN419_2032
ko:K03790	lmob:BN419_2035
ko:K07058	lmob:BN419_2045
ko:K01265	lmob:BN419_2048
ko:K03839	lmob:BN419_2049
ko:K03569	lmob:BN419_2055
ko:K02759	lmob:BN419_2058
ko:K02760	lmob:BN419_2059
ko:K05349	lmob:BN419_2073
ko:K00266	lmob:BN419_2078
ko:K01810	lmob:BN419_2822
ko:K02996	lmob:BN419_3088
ko:K02871	lmob:BN419_3089
ko:K06173	lmob:BN419_3090
ko:K16785	lmob:BN419_3091
ko:K07507	lmob:BN419_3095
ko:K02879	lmob:BN419_3098
ko:K03040	lmob:BN419_3099
ko:K02948	lmob:BN419_3100
ko:K02952	lmob:BN419_3101
ko:K02919	lmob:BN419_3102
ko:K02518	lmob:BN419_3103
ko:K03076	lmob:BN419_3105
ko:K02876	lmob:BN419_3106
ko:K02907	lmob:BN419_3107
ko:K02988	lmob:BN419_3108
ko:K02881	lmob:BN419_3109
ko:K02933	lmob:BN419_3110
ko:K02994	lmob:BN419_3111
ko:K02954	lmob:BN419_3112
ko:K02931	lmob:BN419_3113
ko:K02895	lmob:BN419_3114
ko:K02874	lmob:BN419_3115
ko:K02961	lmob:BN419_3116
ko:K02904	lmob:BN419_3117
ko:K02878	lmob:BN419_3118
ko:K02982	lmob:BN419_3119
ko:K02890	lmob:BN419_3120
ko:K02965	lmob:BN419_3121
ko:K02886	lmob:BN419_3122
ko:K02892	lmob:BN419_3123
ko:K02926	lmob:BN419_3124
ko:K02906	lmob:BN419_3125
ko:K02946	lmob:BN419_3126
ko:K16785	lmob:BN419_3127
ko:K03734	lmob:BN419_3129
ko:K03885	lmob:BN419_3131
ko:K00831	lmob:BN419_3370
ko:K07078	lmob:BN419_3373
ko:K00865	lmob:BN419_3376
ko:K03696	lmob:BN419_0264
ko:K04485	lmob:BN419_0265
ko:K00991	lmob:BN419_0267
ko:K01770	lmob:BN419_0268
ko:K01883	lmob:BN419_0273
ko:K11145	lmob:BN419_0274
ko:K03218	lmob:BN419_0275
ko:K03091	lmob:BN419_0278
ko:K03073	lmob:BN419_0279
ko:K02601	lmob:BN419_0280
ko:K02863	lmob:BN419_0283
ko:K02864	lmob:BN419_0284
ko:K02935	lmob:BN419_0285
ko:K03043	lmob:BN419_0296
ko:K03046	lmob:BN419_0297
ko:K01223	lmob:BN419_0300
ko:K15975	lmob:BN419_0306
ko:K02034	lmob:BN419_0310
ko:K05823	lmob:BN419_1224
ko:K02000	lmob:BN419_1226
ko:K02001	lmob:BN419_1227
ko:K02002	lmob:BN419_1229
ko:K00243	lmob:BN419_1233
ko:K11622	lmob:BN419_1234
ko:K02529	lmob:BN419_1244
ko:K00615	lmob:BN419_1246
ko:K00615	lmob:BN419_1247
ko:K00864	lmob:BN419_1248
ko:K14155	lmob:BN419_2825
ko:K02003	lmob:BN419_2827
ko:K02760	lmob:BN419_2828
ko:K00928	lmob:BN419_2829
ko:K05566	lmob:BN419_2836
ko:K05567	lmob:BN419_2837
ko:K05569	lmob:BN419_2839
ko:K05571	lmob:BN419_2841
ko:K09775	lmob:BN419_2843
ko:K03885	lmob:BN419_2846
ko:K07090	lmob:BN419_2861
ko:K09014	lmob:BN419_2863
ko:K11717	lmob:BN419_2867
ko:K11717	lmob:BN419_2868
ko:K03534	lmob:BN419_3396
ko:K00848	lmob:BN419_3399
ko:K03217	lmob:BN419_3405
ko:K03536	lmob:BN419_3406
ko:K02914	lmob:BN419_3407
ko:K02018	lmob:BN419_1254
ko:K02020	lmob:BN419_1255
ko:K03750	lmob:BN419_1256
ko:K03753	lmob:BN419_1257
ko:K02029	lmob:BN419_2092
ko:K01486	lmob:BN419_2094
ko:K02003	lmob:BN419_2099
ko:K00891	lmob:BN419_2101
ko:K03215	lmob:BN419_2103
ko:K02434	lmob:BN419_2106
ko:K02435	lmob:BN419_2109
ko:K01972	lmob:BN419_2111
ko:K03657	lmob:BN419_2113
ko:K03308	lmob:BN419_2116
ko:K01945	lmob:BN419_2119
ko:K00602	lmob:BN419_2120
ko:K11175	lmob:BN419_2121
ko:K01933	lmob:BN419_2122
ko:K00764	lmob:BN419_2123
ko:K00764	lmob:BN419_2124
ko:K01952	lmob:BN419_2125
ko:K01952	lmob:BN419_2126
ko:K01952	lmob:BN419_2128
ko:K01923	lmob:BN419_2129
ko:K01756	lmob:BN419_2130
ko:K01589	lmob:BN419_2131
ko:K01588	lmob:BN419_2132
ko:K06950	lmob:BN419_2137
ko:K02013	lmob:BN419_2138
ko:K01223	lmob:BN419_0312
ko:K02073	lmob:BN419_0333
ko:K00783	lmob:BN419_0345
ko:K02761	lmob:BN419_0350
ko:K02760	lmob:BN419_0351
ko:K02759	lmob:BN419_0354
ko:K00878	lmob:BN419_0360
ko:K03636	lmob:BN419_1259
ko:K03637	lmob:BN419_1260
ko:K03639	lmob:BN419_1261
ko:K03638	lmob:BN419_1262
ko:K01462	lmob:BN419_1265
ko:K00161	lmob:BN419_1266
ko:K00162	lmob:BN419_1268
ko:K00627	lmob:BN419_1269
ko:K00382	lmob:BN419_1270
ko:K02003	lmob:BN419_1278
ko:K03284	lmob:BN419_1279
ko:K06207	lmob:BN419_1282
ko:K03588	lmob:BN419_1286
ko:K02016	lmob:BN419_1288
ko:K00963	lmob:BN419_1293
ko:K00973	lmob:BN419_1296
ko:K01790	lmob:BN419_1297
ko:K00067	lmob:BN419_1299
ko:K00763	lmob:BN419_1307
ko:K01951	lmob:BN419_1314
ko:K01142	lmob:BN419_2142
ko:K02887	lmob:BN419_2143
ko:K02916	lmob:BN419_2144
ko:K02520	lmob:BN419_2145
ko:K00554	lmob:BN419_2153
ko:K02860	lmob:BN419_2154
ko:K07010	lmob:BN419_2157
ko:K06960	lmob:BN419_2158
ko:K02959	lmob:BN419_2159
ko:K03106	lmob:BN419_2164
ko:K03110	lmob:BN419_2166
ko:K03529	lmob:BN419_2168
ko:K03685	lmob:BN419_2169
ko:K02078	lmob:BN419_2170
ko:K00645	lmob:BN419_2173
ko:K03621	lmob:BN419_2175
ko:K03655	lmob:BN419_2179
ko:K01752	lmob:BN419_2180
ko:K01752	lmob:BN419_2181
ko:K02902	lmob:BN419_2184
ko:K01783	lmob:BN419_2186
ko:K06949	lmob:BN419_2187
ko:K03500	lmob:BN419_2191
ko:K00604	lmob:BN419_2193
ko:K09811	lmob:BN419_2975
ko:K09812	lmob:BN419_2976
ko:K02836	lmob:BN419_2979
ko:K03070	lmob:BN419_2981
ko:K05946	lmob:BN419_2993
ko:K02372	lmob:BN419_2997
ko:K03569	lmob:BN419_2998
ko:K00790	lmob:BN419_2999
ko:K02114	lmob:BN419_3001
ko:K02112	lmob:BN419_3002
ko:K02115	lmob:BN419_3005
ko:K02111	lmob:BN419_3007
ko:K02113	lmob:BN419_3008
ko:K02109	lmob:BN419_3009
ko:K02110	lmob:BN419_3011
ko:K02108	lmob:BN419_3012
ko:K00761	lmob:BN419_3014
ko:K00600	lmob:BN419_3015
ko:K07566	lmob:BN419_3019
ko:K02493	lmob:BN419_3020
ko:K02835	lmob:BN419_3021
ko:K01733	lmob:BN419_3026
ko:K00003	lmob:BN419_3027
ko:K01808	lmob:BN419_0397
ko:K01803	lmob:BN419_0398
ko:K05879	lmob:BN419_0399
ko:K05878	lmob:BN419_0400
ko:K02769	lmob:BN419_0412
ko:K02770	lmob:BN419_0412
ko:K01624	lmob:BN419_0413
ko:K05995	lmob:BN419_0418
ko:K07243	lmob:BN419_0420
ko:K07243	lmob:BN419_0421
ko:K07224	lmob:BN419_0423
ko:K16301	lmob:BN419_0424
ko:K03827	lmob:BN419_1321
ko:K01358	lmob:BN419_1335
ko:K02304	lmob:BN419_1338
ko:K04031	lmob:BN419_1341
ko:K04029	lmob:BN419_1342
ko:K02231	lmob:BN419_1344
ko:K02233	lmob:BN419_1345
ko:K13919	lmob:BN419_1351
ko:K13920	lmob:BN419_1352
ko:K04024	lmob:BN419_1359
ko:K04024	lmob:BN419_1360
ko:K13922	lmob:BN419_1365
ko:K02440	lmob:BN419_1368
ko:K00925	lmob:BN419_1369
ko:K04066	lmob:BN419_2195
ko:K04066	lmob:BN419_2196
ko:K13038	lmob:BN419_2197
ko:K13038	lmob:BN419_2198
ko:K03060	lmob:BN419_2199
ko:K00942	lmob:BN419_2200
ko:K00762	lmob:BN419_2204
ko:K01591	lmob:BN419_2205
ko:K01955	lmob:BN419_2208
ko:K01956	lmob:BN419_2209
ko:K01465	lmob:BN419_2210
ko:K00609	lmob:BN419_2213
ko:K02825	lmob:BN419_2216
