ko:K05934	lmy:LM5923_1225
ko:K00951	lmy:LM5923_1620
ko:K07726	lmy:LM5923_0768
ko:K00215	lmy:LM5923_2059
ko:K00008	lmy:LM5923_0528
ko:K13920	lmy:LM5923_1181
ko:K03394	lmy:LM5923_1229
ko:K02529	lmy:LM5923_1066
ko:K07979	lmy:LM5923_2395
ko:K11754	lmy:LM5923_1649
ko:K05020	lmy:LM5923_2245
ko:K02503	lmy:LM5923_2370
ko:K00054	lmy:LM5923_0859
ko:K13730	lmy:LM5923_0466
ko:K01961	lmy:LM5923_1449
ko:K01784	lmy:LM5923_2621
ko:K00805	lmy:LM5923_2084
ko:K04028	lmy:LM5923_1210
ko:K03316	lmy:LM5923_0837
ko:K01699	lmy:LM5923_1179
ko:K02034	lmy:LM5923_0313
ko:K13542	lmy:LM5923_1227
ko:K13678	lmy:LM5923_2698
ko:K07335	lmy:LM5923_1481
ko:K02009	lmy:LM5923_1231
ko:K02242	lmy:LM5923_2656
ko:K00805	lmy:LM5923_0220
ko:K01421	lmy:LM5923_0476
ko:K01421	lmy:LM5923_0680
ko:K01421	lmy:LM5923_2509
ko:K05565	lmy:LM5923_2527
ko:K00841	lmy:LM5923_1042
ko:K13731	lmy:LM5923_0467
ko:K02823	lmy:LM5923_1987
ko:K01916	lmy:LM5923_1130
ko:K15524	lmy:LM5923_0434
ko:K00805	lmy:LM5923_2082
ko:K00805	lmy:LM5923_0219
ko:K13919	lmy:LM5923_1180
ko:K00625	lmy:LM5923_2256
ko:K01534	lmy:LM5923_0670
ko:K02768	lmy:LM5923_2291
ko:K02769	lmy:LM5923_2290
ko:K02770	lmy:LM5923_2289
ko:K01470	lmy:LM5923_0213
ko:K13921	lmy:LM5923_1192
ko:K13923	lmy:LM5923_1186
ko:K02057	lmy:LM5923_1484
ko:K02224	lmy:LM5923_1217
ko:K02116	lmy:LM5923_2680
ko:K04072	lmy:LM5923_1733
ko:K13853	lmy:LM5923_1699
ko:K04518	lmy:LM5923_1633
ko:K13789	lmy:LM5923_1455
ko:K01191	lmy:LM5923_0125
ko:K01191	lmy:LM5923_2167
ko:K01191	lmy:LM5923_2168
ko:K04517	lmy:LM5923_2076
ko:K03342	lmy:LM5923_0109
ko:K09762	lmy:LM5923_2616
ko:K06958	lmy:LM5923_2618
ko:K01785	lmy:LM5923_2620
ko:K00384	lmy:LM5923_2622
ko:K06019	lmy:LM5923_2625
ko:K13292	lmy:LM5923_2626
ko:K06023	lmy:LM5923_2627
ko:K08972	lmy:LM5923_2628
ko:K03701	lmy:LM5923_2632
ko:K03702	lmy:LM5923_2633
ko:K07023	lmy:LM5923_2635
ko:K02039	lmy:LM5923_2638
ko:K02036	lmy:LM5923_2639
ko:K02036	lmy:LM5923_2640
ko:K02038	lmy:LM5923_2641
ko:K02037	lmy:LM5923_2642
ko:K02040	lmy:LM5923_2643
ko:K07636	lmy:LM5923_2644
ko:K07658	lmy:LM5923_2645
ko:K00615	lmy:LM5923_0376
ko:K00616	lmy:LM5923_0377
ko:K01808	lmy:LM5923_0379
ko:K01803	lmy:LM5923_0380
ko:K05879	lmy:LM5923_0381
ko:K05878	lmy:LM5923_0382
ko:K00244	lmy:LM5923_0389
ko:K02769	lmy:LM5923_0392
ko:K02770	lmy:LM5923_0392
ko:K01624	lmy:LM5923_0393
ko:K03118	lmy:LM5923_0396
ko:K03116	lmy:LM5923_0397
ko:K07243	lmy:LM5923_0398
ko:K07224	lmy:LM5923_0399
ko:K06193	lmy:LM5923_0403
ko:K05350	lmy:LM5923_0405
ko:K02761	lmy:LM5923_0406
ko:K02760	lmy:LM5923_0407
ko:K00140	lmy:LM5923_0416
ko:K03337	lmy:LM5923_0417
ko:K03486	lmy:LM5923_1344
ko:K01226	lmy:LM5923_1345
ko:K02818	lmy:LM5923_1346
ko:K02819	lmy:LM5923_1346
ko:K00147	lmy:LM5923_1350
ko:K00931	lmy:LM5923_1351
ko:K03545	lmy:LM5923_1358
ko:K03544	lmy:LM5923_1359
ko:K03100	lmy:LM5923_1360
ko:K03100	lmy:LM5923_1361
ko:K03100	lmy:LM5923_1362
ko:K03470	lmy:LM5923_1364
ko:K04096	lmy:LM5923_1365
ko:K03168	lmy:LM5923_1366
ko:K05340	lmy:LM5923_0456
ko:K01442	lmy:LM5923_0478
ko:K08591	lmy:LM5923_1375
ko:K02622	lmy:LM5923_1377
ko:K02621	lmy:LM5923_1378
ko:K07173	lmy:LM5923_1379
ko:K01126	lmy:LM5923_1383
ko:K00111	lmy:LM5923_1384
ko:K00791	lmy:LM5923_1385
ko:K03666	lmy:LM5923_1386
ko:K03665	lmy:LM5923_1387
ko:K03713	lmy:LM5923_1389
ko:K01915	lmy:LM5923_1390
ko:K03893	lmy:LM5923_1391
ko:K01356	lmy:LM5923_1393
ko:K00615	lmy:LM5923_1396
ko:K09976	lmy:LM5923_1397
ko:K09903	lmy:LM5923_1405
ko:K02838	lmy:LM5923_1406
ko:K00806	lmy:LM5923_1407
ko:K00981	lmy:LM5923_1408
ko:K00099	lmy:LM5923_1409
ko:K01881	lmy:LM5923_1411
ko:K03763	lmy:LM5923_1412
ko:K09748	lmy:LM5923_1413
ko:K02600	lmy:LM5923_1414
ko:K07742	lmy:LM5923_1415
ko:K02519	lmy:LM5923_1417
ko:K09764	lmy:LM5923_1418
ko:K02834	lmy:LM5923_1419
ko:K03177	lmy:LM5923_1420
ko:K11753	lmy:LM5923_1421
ko:K02956	lmy:LM5923_1422
ko:K00962	lmy:LM5923_1423
ko:K06949	lmy:LM5923_1424
ko:K02913	lmy:LM5923_1427
ko:K00845	lmy:LM5923_1431
ko:K02221	lmy:LM5923_2183
ko:K09772	lmy:LM5923_2184
ko:K06997	lmy:LM5923_2185
ko:K03531	lmy:LM5923_2186
ko:K03590	lmy:LM5923_2187
ko:K03589	lmy:LM5923_2188
ko:K02563	lmy:LM5923_2189
ko:K01925	lmy:LM5923_2190
ko:K01000	lmy:LM5923_2191
ko:K01928	lmy:LM5923_2192
ko:K08724	lmy:LM5923_2193
ko:K03438	lmy:LM5923_2195
ko:K03925	lmy:LM5923_2196
ko:K08152	lmy:LM5923_2197
ko:K00077	lmy:LM5923_2199
ko:K07040	lmy:LM5923_2200
ko:K07177	lmy:LM5923_2203
ko:K00954	lmy:LM5923_2204
ko:K02259	lmy:LM5923_2210
ko:K03282	lmy:LM5923_2216
ko:K01442	lmy:LM5923_2219
ko:K04077	lmy:LM5923_2220
ko:K04078	lmy:LM5923_2221
ko:K01926	lmy:LM5923_2225
ko:K06158	lmy:LM5923_2226
ko:K06889	lmy:LM5923_2227
ko:K01409	lmy:LM5923_2228
ko:K03789	lmy:LM5923_2229
ko:K06925	lmy:LM5923_2231
ko:K06199	lmy:LM5923_2234
ko:K06199	lmy:LM5923_2235
ko:K01958	lmy:LM5923_1109
ko:K03497	lmy:LM5923_0065
ko:K03496	lmy:LM5923_0068
ko:K03497	lmy:LM5923_0069
ko:K03488	lmy:LM5923_0071
ko:K02755	lmy:LM5923_0072
ko:K02756	lmy:LM5923_0072
ko:K02757	lmy:LM5923_0072
ko:K03781	lmy:LM5923_0074
ko:K02761	lmy:LM5923_0076
ko:K02760	lmy:LM5923_0077
ko:K05349	lmy:LM5923_0078
ko:K02759	lmy:LM5923_0079
ko:K06942	lmy:LM5923_0080
ko:K03488	lmy:LM5923_0085
ko:K02755	lmy:LM5923_0086
ko:K02756	lmy:LM5923_0086
ko:K02757	lmy:LM5923_0086
ko:K01223	lmy:LM5923_0087
ko:K01919	lmy:LM5923_0088
ko:K02759	lmy:LM5923_0093
ko:K02761	lmy:LM5923_0095
ko:K02760	lmy:LM5923_0096
ko:K00088	lmy:LM5923_0101
ko:K03654	lmy:LM5923_0102
ko:K00690	lmy:LM5923_0300
ko:K03043	lmy:LM5923_0301
ko:K03046	lmy:LM5923_0302
ko:K01439	lmy:LM5923_0309
ko:K10112	lmy:LM5923_0322
ko:K04068	lmy:LM5923_0324
ko:K02072	lmy:LM5923_0328
ko:K02071	lmy:LM5923_0329
ko:K02073	lmy:LM5923_0330
ko:K08969	lmy:LM5923_0331
ko:K07668	lmy:LM5923_0332
ko:K07652	lmy:LM5923_0333
ko:K00783	lmy:LM5923_0338
ko:K02761	lmy:LM5923_0343
ko:K02760	lmy:LM5923_0344
ko:K02759	lmy:LM5923_0346
ko:K03707	lmy:LM5923_0352
ko:K00878	lmy:LM5923_0353
ko:K00788	lmy:LM5923_0355
ko:K01223	lmy:LM5923_0356
ko:K02347	lmy:LM5923_1257
ko:K07456	lmy:LM5923_1258
ko:K03671	lmy:LM5923_1259
ko:K03703	lmy:LM5923_1260
ko:K00928	lmy:LM5923_1261
ko:K01776	lmy:LM5923_1263
ko:K00989	lmy:LM5923_1264
ko:K07095	lmy:LM5923_1266
ko:K06973	lmy:LM5923_2071
ko:K00800	lmy:LM5923_2075
ko:K00817	lmy:LM5923_2077
ko:K06208	lmy:LM5923_2078
ko:K01735	lmy:LM5923_2079
ko:K01736	lmy:LM5923_2080
ko:K00940	lmy:LM5923_2081
ko:K03183	lmy:LM5923_2083
ko:K01495	lmy:LM5923_2085
ko:K03530	lmy:LM5923_2086
ko:K01104	lmy:LM5923_2087
ko:K00057	lmy:LM5923_2088
ko:K03977	lmy:LM5923_2089
ko:K02945	lmy:LM5923_2090
ko:K00945	lmy:LM5923_2091
ko:K01424	lmy:LM5923_2092
ko:K03654	lmy:LM5923_2094
ko:K05337	lmy:LM5923_2096
ko:K07651	lmy:LM5923_2099
ko:K07775	lmy:LM5923_2100
ko:K06178	lmy:LM5923_2101
ko:K06024	lmy:LM5923_2102
ko:K05896	lmy:LM5923_2103
ko:K01586	lmy:LM5923_2104
ko:K03783	lmy:LM5923_2105
ko:K01839	lmy:LM5923_2106
ko:K04763	lmy:LM5923_2107
ko:K03711	lmy:LM5923_2108
ko:K02015	lmy:LM5923_2109
ko:K02015	lmy:LM5923_2110
ko:K02016	lmy:LM5923_2111
ko:K02013	lmy:LM5923_2112
ko:K01515	lmy:LM5923_2117
ko:K01625	lmy:LM5923_2121
ko:K07048	lmy:LM5923_2122
ko:K03475	lmy:LM5923_2123
ko:K02822	lmy:LM5923_2124
ko:K02821	lmy:LM5923_2125
ko:K04094	lmy:LM5923_1367
ko:K03733	lmy:LM5923_1368
ko:K01419	lmy:LM5923_1369
ko:K03667	lmy:LM5923_1370
ko:K03706	lmy:LM5923_1371
ko:K07107	lmy:LM5923_1372
ko:K03710	lmy:LM5923_2126
ko:K02346	lmy:LM5923_2127
ko:K07124	lmy:LM5923_2128
ko:K00784	lmy:LM5923_2129
ko:K00036	lmy:LM5923_2130
ko:K01687	lmy:LM5923_2135
ko:K01652	lmy:LM5923_2136
ko:K01653	lmy:LM5923_2137
ko:K00053	lmy:LM5923_2139
ko:K01649	lmy:LM5923_2140
ko:K00052	lmy:LM5923_2141
ko:K01703	lmy:LM5923_2142
ko:K01704	lmy:LM5923_2143
ko:K01754	lmy:LM5923_2144
ko:K01575	lmy:LM5923_2145
ko:K00756	lmy:LM5923_2146
ko:K02529	lmy:LM5923_2147
ko:K01619	lmy:LM5923_2148
ko:K02793	lmy:LM5923_2150
ko:K01652	lmy:LM5923_2159
ko:K07718	lmy:LM5923_2164
ko:K09704	lmy:LM5923_2166
ko:K03704	lmy:LM5923_2169
ko:K01778	lmy:LM5923_2171
ko:K01870	lmy:LM5923_2172
ko:K04074	lmy:LM5923_2173
ko:K04487	lmy:LM5923_2175
ko:K00278	lmy:LM5923_2176
ko:K00767	lmy:LM5923_2177
ko:K03517	lmy:LM5923_2178
ko:K03169	lmy:LM5923_0103
ko:K06978	lmy:LM5923_0104
ko:K07258	lmy:LM5923_0105
ko:K01875	lmy:LM5923_0112
ko:K00616	lmy:LM5923_0116
ko:K08161	lmy:LM5923_0118
ko:K12410	lmy:LM5923_0120
ko:K00865	lmy:LM5923_0123
ko:K00432	lmy:LM5923_1019
ko:K02837	lmy:LM5923_1024
ko:K00567	lmy:LM5923_1032
ko:K03697	lmy:LM5923_1033
ko:K08483	lmy:LM5923_1039
ko:K05823	lmy:LM5923_1048
ko:K02000	lmy:LM5923_1050
ko:K02002	lmy:LM5923_1052
ko:K02777	lmy:LM5923_1053
ko:K06201	lmy:LM5923_1054
ko:K00243	lmy:LM5923_1055
ko:K11622	lmy:LM5923_1056
ko:K11617	lmy:LM5923_1057
ko:K11618	lmy:LM5923_1058
ko:K03499	lmy:LM5923_1059
ko:K12574	lmy:LM5923_1063
ko:K00615	lmy:LM5923_1068
ko:K00615	lmy:LM5923_1069
ko:K00864	lmy:LM5923_1070
ko:K02755	lmy:LM5923_1071
ko:K02756	lmy:LM5923_1071
ko:K02757	lmy:LM5923_1071
ko:K03752	lmy:LM5923_1075
ko:K02017	lmy:LM5923_1076
ko:K07058	lmy:LM5923_1859
ko:K00662	lmy:LM5923_1861
ko:K01265	lmy:LM5923_1862
ko:K03569	lmy:LM5923_1866
ko:K09963	lmy:LM5923_1869
ko:K02759	lmy:LM5923_1870
ko:K02760	lmy:LM5923_1871
ko:K02529	lmy:LM5923_1878
ko:K05349	lmy:LM5923_1880
ko:K00266	lmy:LM5923_1884
ko:K00265	lmy:LM5923_1885
ko:K01486	lmy:LM5923_1893
ko:K02003	lmy:LM5923_1898
ko:K00891	lmy:LM5923_1900
ko:K02434	lmy:LM5923_1905
ko:K02433	lmy:LM5923_1906
ko:K02435	lmy:LM5923_1907
ko:K01972	lmy:LM5923_1909
ko:K03657	lmy:LM5923_1910
ko:K07343	lmy:LM5923_0113
ko:K01813	lmy:LM5923_0010
ko:K04720	lmy:LM5923_1195
ko:K02768	lmy:LM5923_0126
ko:K02769	lmy:LM5923_0126
ko:K02770	lmy:LM5923_0126
ko:K01895	lmy:LM5923_0140
ko:K00425	lmy:LM5923_0142
ko:K00426	lmy:LM5923_0143
ko:K00851	lmy:LM5923_0148
ko:K02761	lmy:LM5923_0152
ko:K02343	lmy:LM5923_0156
ko:K09747	lmy:LM5923_0157
ko:K06187	lmy:LM5923_0158
ko:K05879	lmy:LM5923_0164
ko:K05878	lmy:LM5923_0165
ko:K00943	lmy:LM5923_0167
ko:K01531	lmy:LM5923_0171
ko:K02759	lmy:LM5923_0175
ko:K02761	lmy:LM5923_0176
ko:K02760	lmy:LM5923_0177
ko:K01546	lmy:LM5923_0178
ko:K01547	lmy:LM5923_0179
ko:K01548	lmy:LM5923_0180
ko:K07646	lmy:LM5923_0181
ko:K07667	lmy:LM5923_0182
ko:K02018	lmy:LM5923_1077
ko:K02020	lmy:LM5923_1078
ko:K03750	lmy:LM5923_1079
ko:K03753	lmy:LM5923_1080
ko:K03635	lmy:LM5923_1081
ko:K03636	lmy:LM5923_1082
ko:K03637	lmy:LM5923_1083
ko:K03639	lmy:LM5923_1084
ko:K03638	lmy:LM5923_1085
ko:K01462	lmy:LM5923_1088
ko:K00161	lmy:LM5923_1089
ko:K00162	lmy:LM5923_1090
ko:K00627	lmy:LM5923_1091
ko:K00382	lmy:LM5923_1092
ko:K02003	lmy:LM5923_1100
ko:K03284	lmy:LM5923_1101
ko:K01092	lmy:LM5923_1103
ko:K06207	lmy:LM5923_1104
ko:K03588	lmy:LM5923_1108
ko:K02016	lmy:LM5923_1110
ko:K09692	lmy:LM5923_1111
ko:K09693	lmy:LM5923_1112
ko:K00963	lmy:LM5923_1115
ko:K00973	lmy:LM5923_1118
ko:K01790	lmy:LM5923_1119
ko:K01710	lmy:LM5923_1120
ko:K00067	lmy:LM5923_1121
