ko:K18893	mht:D648_20380
ko:K02058	mht:D648_11970
ko:K03297	mht:D648_1410
ko:K02487	mht:D648_10950
ko:K07464	mht:D648_15250
ko:K18136	mht:D648_14170
ko:K01185	mht:D648_14520
ko:K19227	mht:D648_14670
ko:K10440	mht:D648_310
ko:K10439	mht:D648_300
ko:K01139	mht:D648_4220
ko:K19230	mht:D648_18540
ko:K07316	mht:D648_13200
ko:K07012	mht:D648_15350
ko:K07662	mht:D648_13400
ko:K02200	mht:D648_1990
ko:K00867	mht:D648_2020
ko:K02010	mht:D648_2040
ko:K00851	mht:D648_2290
ko:K03299	mht:D648_2300
ko:K00135	mht:D648_2340
ko:K00010	mht:D648_2440
ko:K03499	mht:D648_820
ko:K10439	mht:D648_880
ko:K10440	mht:D648_890
ko:K02783	mht:D648_1170
ko:K02782	mht:D648_1180
ko:K02783	mht:D648_1180
ko:K00068	mht:D648_1200
ko:K02466	mht:D648_1210
ko:K02798	mht:D648_1270
ko:K02799	mht:D648_1270
ko:K02800	mht:D648_1270
ko:K00882	mht:D648_10230
ko:K00700	mht:D648_10250
ko:K00854	mht:D648_1400
ko:K07792	mht:D648_1440
ko:K02050	mht:D648_1510
ko:K08234	mht:D648_1630
ko:K03299	mht:D648_1730
ko:K12984	mht:D648_10700
ko:K03469	mht:D648_10730
ko:K02116	mht:D648_430
ko:K01409	mht:D648_7650
ko:K02549	mht:D648_7820
ko:K06183	mht:D648_7830
ko:K06177	mht:D648_7920
ko:K01760	mht:D648_7990
ko:K09909	mht:D648_8160
ko:K00939	mht:D648_5980
ko:K00548	mht:D648_6070
ko:K01784	mht:D648_6190
ko:K02342	mht:D648_6460
ko:K11069	mht:D648_8320
ko:K03803	mht:D648_8460
ko:K02031	mht:D648_8600
ko:K02034	mht:D648_8600
ko:K02033	mht:D648_8610
ko:K02035	mht:D648_8620
ko:K06889	mht:D648_8770
ko:K15583	mht:D648_9050
ko:K10823	mht:D648_9060
ko:K00652	mht:D648_9120
ko:K10440	mht:D648_4850
ko:K00852	mht:D648_4870
ko:K02564	mht:D648_4930
ko:K01572	mht:D648_4970
ko:K01571	mht:D648_4980
ko:K04085	mht:D648_5120
ko:K01639	mht:D648_700
ko:K01788	mht:D648_720
ko:K00567	mht:D648_9550
ko:K04488	mht:D648_9590
ko:K13628	mht:D648_9610
ko:K00974	mht:D648_9700
ko:K02506	mht:D648_9820
ko:K02784	mht:D648_4130
ko:K08483	mht:D648_4140
ko:K01206	mht:D648_2500
ko:K00674	mht:D648_2670
ko:K08680	mht:D648_2920
ko:K10540	mht:D648_2990
ko:K10541	mht:D648_3010
ko:K03615	mht:D648_6540
ko:K03614	mht:D648_6560
ko:K03612	mht:D648_6570
ko:K03613	mht:D648_6580
ko:K02017	mht:D648_6690
ko:K01270	mht:D648_6730
ko:K00769	mht:D648_6770
ko:K08357	mht:D648_6820
ko:K08359	mht:D648_6830
ko:K08358	mht:D648_6840
ko:K13040	mht:D648_6880
ko:K13041	mht:D648_6890
ko:K00568	mht:D648_6910
ko:K03617	mht:D648_6520
ko:K03616	mht:D648_6530
ko:K19229	mht:D648_14650
ko:K01258	mht:D648_5390
ko:K11607	mht:D648_5430
ko:K11604	mht:D648_5440
ko:K04015	mht:D648_5640
ko:K04018	mht:D648_5680
ko:K02067	mht:D648_5720
ko:K06212	mht:D648_5900
ko:K03718	mht:D648_530
ko:K00058	mht:D648_4540
ko:K02033	mht:D648_4670
ko:K02035	mht:D648_4680
ko:K07343	mht:D648_7060
ko:K01785	mht:D648_7180
ko:K07098	mht:D648_7220
ko:K02824	mht:D648_7340
ko:K07034	mht:D648_7440
ko:K03972	mht:D648_7470
ko:K02778	mht:D648_7500
ko:K02779	mht:D648_7500
ko:K11179	mht:D648_7530
ko:K00819	mht:D648_3060
ko:K10914	mht:D648_3220
ko:K09898	mht:D648_3230
ko:K02574	mht:D648_3450
ko:K02569	mht:D648_3470
ko:K02571	mht:D648_3500
ko:K01515	mht:D648_3580
ko:K08978	mht:D648_3610
ko:K01420	mht:D648_14290
ko:K07316	mht:D648_13210
ko:K04017	mht:D648_5670
ko:K04044	mht:D648_9650
ko:K04755	mht:D648_9670
ko:K03304	mht:D648_9690
ko:K10773	mht:D648_9720
ko:K07090	mht:D648_9730
ko:K04485	mht:D648_9780
ko:K02682	mht:D648_9790
ko:K02504	mht:D648_9800
ko:K02505	mht:D648_9810
ko:K00859	mht:D648_9830
ko:K09862	mht:D648_9840
ko:K02340	mht:D648_9850
ko:K03643	mht:D648_9860
ko:K01869	mht:D648_9870
ko:K01875	mht:D648_9900
ko:K03664	mht:D648_9910
ko:K06918	mht:D648_9940
ko:K09917	mht:D648_9970
ko:K06175	mht:D648_9980
ko:K13498	mht:D648_10000
ko:K01756	mht:D648_15430
ko:K07153	mht:D648_15440
ko:K09800	mht:D648_15470
ko:K07278	mht:D648_15480
ko:K09798	mht:D648_15490
ko:K02838	mht:D648_15520
ko:K09903	mht:D648_15530
ko:K02357	mht:D648_15550
ko:K02967	mht:D648_15560
ko:K02012	mht:D648_15570
ko:K02011	mht:D648_15580
ko:K06915	mht:D648_15610
ko:K03732	mht:D648_15620
ko:K03584	mht:D648_15630
ko:K03685	mht:D648_15650
ko:K03100	mht:D648_15660
ko:K03596	mht:D648_15670
ko:K15977	mht:D648_15830
ko:K09930	mht:D648_15850
ko:K09929	mht:D648_15860
ko:K01595	mht:D648_15910
ko:K04744	mht:D648_15920
ko:K09894	mht:D648_15950
ko:K09910	mht:D648_15960
ko:K03427	mht:D648_15970
ko:K01154	mht:D648_15980
ko:K01153	mht:D648_15990
ko:K04096	mht:D648_24140
ko:K01462	mht:D648_24150
ko:K03274	mht:D648_24160
ko:K01716	mht:D648_24170
ko:K04770	mht:D648_24180
ko:K09911	mht:D648_24190
ko:K03217	mht:D648_24240
ko:K11065	mht:D648_24250
ko:K00655	mht:D648_24260
ko:K01962	mht:D648_24280
ko:K00868	mht:D648_24290
ko:K03477	mht:D648_24340
ko:K03078	mht:D648_24410
