ko:K02022	rrr:RRR_02310
ko:K03446	rrr:RRR_01105
ko:K19157	rrr:RRR_06905
ko:K19159	rrr:RRR_00715
ko:K09773	rrr:RRR_00005
ko:K03671	rrr:RRR_00010
ko:K07171	rrr:RRR_00030
ko:K00677	rrr:RRR_00035
ko:K02372	rrr:RRR_00040
ko:K02536	rrr:RRR_00045
ko:K07001	rrr:RRR_00060
ko:K05540	rrr:RRR_00095
ko:K06925	rrr:RRR_00110
ko:K09815	rrr:RRR_00115
ko:K00970	rrr:RRR_00120
ko:K02109	rrr:RRR_00180
ko:K02109	rrr:RRR_00185
ko:K02110	rrr:RRR_00190
ko:K02108	rrr:RRR_00200
ko:K02116	rrr:RRR_00205
ko:K07736	rrr:RRR_00215
ko:K02313	rrr:RRR_04715
ko:K06942	rrr:RRR_04765
ko:K01056	rrr:RRR_04780
ko:K02897	rrr:RRR_04785
ko:K02916	rrr:RRR_04795
ko:K02887	rrr:RRR_04800
ko:K02914	rrr:RRR_04805
ko:K03536	rrr:RRR_04810
ko:K03284	rrr:RRR_04845
ko:K13598	rrr:RRR_04870
ko:K02970	rrr:RRR_04880
ko:K18587	rrr:RRR_04885
ko:K01870	rrr:RRR_04900
ko:K01965	rrr:RRR_04925
ko:K01966	rrr:RRR_04930
ko:K05939	rrr:RRR_04940
ko:K07343	rrr:RRR_04945
ko:K00568	rrr:RRR_04950
ko:K01885	rrr:RRR_04955
ko:K04077	rrr:RRR_04970
ko:K04078	rrr:RRR_04975
ko:K07277	rrr:RRR_01130
ko:K11749	rrr:RRR_01135
ko:K03625	rrr:RRR_01140
ko:K02427	rrr:RRR_01145
ko:K18588	rrr:RRR_01160
ko:K09761	rrr:RRR_01170
ko:K09779	rrr:RRR_01175
ko:K03530	rrr:RRR_01185
ko:K02341	rrr:RRR_01190
ko:K03106	rrr:RRR_01195
ko:K01322	rrr:RRR_01200
ko:K01322	rrr:RRR_01215
ko:K03926	rrr:RRR_01250
ko:K01737	rrr:RRR_01255
ko:K00658	rrr:RRR_01260
ko:K00164	rrr:RRR_01270
ko:K01299	rrr:RRR_01275
