ko:K01212	bqy:MUS_4457
ko:K08153	bqy:MUS_1107
ko:K16697	bqy:MUS_3902
ko:K19310	bqy:MUS_0819
ko:K21900	bqy:MUS_4142
ko:K16961	bqy:MUS_0353
ko:K02851	bqy:MUS_3896
ko:K22044	bqy:MUS_1506
ko:K06979	bqy:MUS_0243
ko:K02205	bqy:MUS_4156
ko:K05592	bqy:MUS_4307
ko:K19689	bqy:MUS_1529
ko:K13614	bqy:MUS_1885
ko:K01992	bqy:MUS_0207
ko:K01992	bqy:MUS_0208
ko:K01992	bqy:MUS_0732
ko:K01992	bqy:MUS_3652
ko:K01992	bqy:MUS_4136
ko:K03297	bqy:MUS_0438
ko:K11051	bqy:MUS_0694
ko:K11741	bqy:MUS_0593
ko:K18924	bqy:MUS_0594
ko:K19417	bqy:MUS_3767
ko:K13613	bqy:MUS_2647
ko:K18939	bqy:MUS_0254
ko:K18939	bqy:MUS_3841
ko:K18926	bqy:MUS_0253
ko:K01732	bqy:MUS_4319
ko:K19427	bqy:MUS_3756
ko:K07260	bqy:MUS_2319
ko:K15661	bqy:MUS_2170
ko:K15662	bqy:MUS_2169
ko:K15663	bqy:MUS_2168
ko:K06292	bqy:MUS_3922
ko:K06289	bqy:MUS_3612
ko:K15668	bqy:MUS_2197
ko:K15654	bqy:MUS_0329
ko:K06296	bqy:MUS_0350
ko:K00691	bqy:MUS_3795
ko:K15667	bqy:MUS_2198
ko:K15665	bqy:MUS_2205
ko:K15656	bqy:MUS_0330
ko:K11815	bqy:MUS_1898
ko:K11814	bqy:MUS_1899
ko:K10040	bqy:MUS_3003
ko:K03296	bqy:MUS_0688
ko:K16301	bqy:MUS_4218
ko:K00130	bqy:MUS_3384
ko:K06215	bqy:MUS_0013
ko:K06187	bqy:MUS_0026
ko:K08681	bqy:MUS_0014
ko:K06317	bqy:MUS_0028
ko:K02313	bqy:MUS_0002
ko:K01875	bqy:MUS_0015
ko:K00865	bqy:MUS_0016
ko:K15519	bqy:MUS_0018
ko:K15518	bqy:MUS_0019
ko:K02343	bqy:MUS_0024
ko:K06306	bqy:MUS_0020
ko:K09747	bqy:MUS_0025
ko:K01661	bqy:MUS_3367
ko:K02551	bqy:MUS_3369
ko:K05916	bqy:MUS_3390
ko:K06153	bqy:MUS_3394
ko:K05520	bqy:MUS_3397
ko:K00686	bqy:MUS_3406
ko:K03797	bqy:MUS_3866
ko:K09811	bqy:MUS_3868
ko:K09812	bqy:MUS_3869
ko:K02836	bqy:MUS_3872
ko:K03070	bqy:MUS_3873
ko:K02423	bqy:MUS_3876
ko:K02422	bqy:MUS_3877
ko:K02407	bqy:MUS_3878
ko:K02406	bqy:MUS_3879
ko:K03563	bqy:MUS_3880
ko:K13626	bqy:MUS_3881
ko:K02397	bqy:MUS_3883
ko:K02396	bqy:MUS_3884
ko:K02398	bqy:MUS_3886
ko:K07777	bqy:MUS_3893
ko:K00012	bqy:MUS_3901
ko:K01448	bqy:MUS_3905
ko:K01476	bqy:MUS_4413
ko:K02205	bqy:MUS_4414
ko:K06714	bqy:MUS_4416
ko:K01939	bqy:MUS_4435
ko:K02939	bqy:MUS_4448
ko:K00692	bqy:MUS_4456
ko:K08987	bqy:MUS_4462
ko:K04769	bqy:MUS_0062
ko:K07571	bqy:MUS_0069
ko:K06382	bqy:MUS_0071
ko:K04075	bqy:MUS_0074
ko:K00760	bqy:MUS_0075
ko:K03798	bqy:MUS_0076
ko:K03525	bqy:MUS_0078
ko:K04083	bqy:MUS_0079
ko:K01738	bqy:MUS_0081
ko:K01665	bqy:MUS_0082
ko:K00796	bqy:MUS_0085
