ko:K15039	sin:YN1551_1342
ko:K04518	sin:YN1551_0951
ko:K10026	sin:YN1551_1323
ko:K18978	sin:YN1551_0624
ko:K22223	sin:YN1551_0763
ko:K07333	sin:YN1551_2941
ko:K15016	sin:YN1551_2911
ko:K13787	sin:YN1551_0735
ko:K00703	sin:YN1551_1626
ko:K02121	sin:YN1551_1265
ko:K06874	sin:YN1551_2825
ko:K03231	sin:YN1551_2826
ko:K07141	sin:YN1551_2829
ko:K03518	sin:YN1551_2830
ko:K03519	sin:YN1551_2831
ko:K03799	sin:YN1551_0654
ko:K01951	sin:YN1551_0655
ko:K02232	sin:YN1551_0656
ko:K02233	sin:YN1551_0657
ko:K02227	sin:YN1551_0658
ko:K07575	sin:YN1551_0662
ko:K00852	sin:YN1551_0676
ko:K07090	sin:YN1551_0688
ko:K06920	sin:YN1551_0689
ko:K06877	sin:YN1551_0691
ko:K03638	sin:YN1551_0693
ko:K08289	sin:YN1551_0700
ko:K04768	sin:YN1551_0701
ko:K03622	sin:YN1551_1601
ko:K03170	sin:YN1551_1602
ko:K03724	sin:YN1551_1604
ko:K00809	sin:YN1551_1607
ko:K03167	sin:YN1551_1608
ko:K03263	sin:YN1551_1610
ko:K03106	sin:YN1551_1611
ko:K00059	sin:YN1551_1614
ko:K09903	sin:YN1551_1616
ko:K01649	sin:YN1551_1618
ko:K01807	sin:YN1551_1619
ko:K00389	sin:YN1551_1620
ko:K00873	sin:YN1551_1621
ko:K00767	sin:YN1551_1634
ko:K00278	sin:YN1551_1635
ko:K03517	sin:YN1551_1636
ko:K03885	sin:YN1551_1648
ko:K00156	sin:YN1551_1649
ko:K07241	sin:YN1551_1651
ko:K01236	sin:YN1551_2616
ko:K03190	sin:YN1551_2627
ko:K00294	sin:YN1551_2635
ko:K01596	sin:YN1551_2639
ko:K06911	sin:YN1551_2645
ko:K01652	sin:YN1551_2648
ko:K06885	sin:YN1551_0535
ko:K00782	sin:YN1551_0538
ko:K03885	sin:YN1551_0560
ko:K03809	sin:YN1551_0565
ko:K03800	sin:YN1551_0566
ko:K03644	sin:YN1551_0568
ko:K03800	sin:YN1551_0569
ko:K11473	sin:YN1551_0570
ko:K10726	sin:YN1551_1480
ko:K00943	sin:YN1551_1487
ko:K09721	sin:YN1551_1489
ko:K01887	sin:YN1551_1506
ko:K00133	sin:YN1551_1521
ko:K00928	sin:YN1551_1522
ko:K01733	sin:YN1551_1523
ko:K03182	sin:YN1551_1524
ko:K01007	sin:YN1551_1527
ko:K01858	sin:YN1551_1529
ko:K03424	sin:YN1551_0719
ko:K02035	sin:YN1551_0459
ko:K02032	sin:YN1551_0460
ko:K02031	sin:YN1551_0461
ko:K02034	sin:YN1551_0462
ko:K02033	sin:YN1551_0463
ko:K01206	sin:YN1551_0471
ko:K01714	sin:YN1551_0484
ko:K07238	sin:YN1551_0485
ko:K07112	sin:YN1551_0498
ko:K01299	sin:YN1551_0516
ko:K01687	sin:YN1551_0517
ko:K03116	sin:YN1551_0518
ko:K02886	sin:YN1551_1425
ko:K02892	sin:YN1551_1426
ko:K02930	sin:YN1551_1427
ko:K02906	sin:YN1551_1428
ko:K09142	sin:YN1551_1429
ko:K01870	sin:YN1551_1430
ko:K00052	sin:YN1551_1431
ko:K09154	sin:YN1551_1432
ko:K04798	sin:YN1551_1437
ko:K02921	sin:YN1551_1440
ko:K11600	sin:YN1551_1442
ko:K03432	sin:YN1551_1445
ko:K07581	sin:YN1551_1448
ko:K02877	sin:YN1551_1449
ko:K06942	sin:YN1551_1450
ko:K04042	sin:YN1551_1451
ko:K02984	sin:YN1551_1452
ko:K02528	sin:YN1551_1455
ko:K01001	sin:YN1551_0734
ko:K01823	sin:YN1551_0736
ko:K06981	sin:YN1551_0737
ko:K06990	sin:YN1551_0739
ko:K02967	sin:YN1551_0740
ko:K02996	sin:YN1551_0742
ko:K02871	sin:YN1551_0743
ko:K02883	sin:YN1551_0744
ko:K03047	sin:YN1551_0745
ko:K02948	sin:YN1551_0746
ko:K02986	sin:YN1551_0747
ko:K02952	sin:YN1551_0748
ko:K01866	sin:YN1551_0751
ko:K02319	sin:YN1551_0753
ko:K03789	sin:YN1551_0754
ko:K06965	sin:YN1551_0755
ko:K07129	sin:YN1551_0756
ko:K04567	sin:YN1551_0760
ko:K02936	sin:YN1551_0761
ko:K01885	sin:YN1551_0762
ko:K01883	sin:YN1551_0091
ko:K06915	sin:YN1551_0096
ko:K00059	sin:YN1551_0100
ko:K01142	sin:YN1551_0101
ko:K07107	sin:YN1551_0105
ko:K03399	sin:YN1551_0106
ko:K02189	sin:YN1551_0107
ko:K05936	sin:YN1551_0108
ko:K02188	sin:YN1551_0111
ko:K06042	sin:YN1551_0113
ko:K00836	sin:YN1551_0127
ko:K01480	sin:YN1551_0132
ko:K03639	sin:YN1551_1068
ko:K01495	sin:YN1551_1070
ko:K01915	sin:YN1551_1072
ko:K03671	sin:YN1551_1074
ko:K03500	sin:YN1551_1077
ko:K04763	sin:YN1551_1080
ko:K00798	sin:YN1551_1082
ko:K00973	sin:YN1551_1085
ko:K00820	sin:YN1551_1086
ko:K00869	sin:YN1551_1087
ko:K07577	sin:YN1551_1089
ko:K03626	sin:YN1551_1090
ko:K07731	sin:YN1551_1091
ko:K02875	sin:YN1551_1100
ko:K03724	sin:YN1551_1101
ko:K06915	sin:YN1551_1102
ko:K08096	sin:YN1551_1106
ko:K00794	sin:YN1551_1107
ko:K02858	sin:YN1551_1109
ko:K04802	sin:YN1551_1112
ko:K00549	sin:YN1551_1113
ko:K00549	sin:YN1551_1114
ko:K02956	sin:YN1551_1115
ko:K03795	sin:YN1551_1116
ko:K02991	sin:YN1551_1117
ko:K03242	sin:YN1551_1118
ko:K03049	sin:YN1551_1120
ko:K03050	sin:YN1551_1121
ko:K09735	sin:YN1551_1122
ko:K03170	sin:YN1551_1125
ko:K00626	sin:YN1551_2034
ko:K00382	sin:YN1551_2049
ko:K00627	sin:YN1551_2054
ko:K00059	sin:YN1551_2072
ko:K01912	sin:YN1551_3048
ko:K00626	sin:YN1551_3050
ko:K02033	sin:YN1551_3058
ko:K02034	sin:YN1551_3059
ko:K02031	sin:YN1551_3060
ko:K02032	sin:YN1551_3061
ko:K06885	sin:YN1551_0764
ko:K01265	sin:YN1551_0767
ko:K01889	sin:YN1551_0769
ko:K12141	sin:YN1551_1657
ko:K12140	sin:YN1551_1658
ko:K03424	sin:YN1551_1661
ko:K00123	sin:YN1551_1662
ko:K07124	sin:YN1551_1663
ko:K07558	sin:YN1551_1673
ko:K01975	sin:YN1551_1674
ko:K09736	sin:YN1551_1676
ko:K00784	sin:YN1551_1677
ko:K07446	sin:YN1551_1678
ko:K00948	sin:YN1551_1679
