ko:K18137	abj:BJAB07104_01639
ko:K03602	abj:BJAB07104_01372
ko:K18923	abj:BJAB07104_00980
ko:K00529	abj:BJAB07104_01046
ko:K20319	abj:BJAB07104_02722
ko:K18138	abj:BJAB07104_03071
ko:K03297	abj:BJAB07104_02654
ko:K03297	abj:BJAB07104_03180
ko:K18145	abj:BJAB07104_01913
ko:K18146	abj:BJAB07104_01914
ko:K21029	abj:BJAB07104_02502
ko:K06979	abj:BJAB07104_p0098
ko:K19302	abj:BJAB07104_00033
ko:K16238	abj:BJAB07104_02459
ko:K07278	abj:BJAB07104_02488
ko:K11741	abj:BJAB07104_00705
ko:K08151	abj:BJAB07104_00277
ko:K03327	abj:BJAB07104_03716
ko:K00131	abj:BJAB07104_00544
ko:K01990	abj:BJAB07104_02051
ko:K16235	abj:BJAB07104_03498
ko:K22617	abj:BJAB07104_03280
ko:K03417	abj:BJAB07104_00114
ko:K03559	abj:BJAB07104_02122
ko:K03559	abj:BJAB07104_02123
ko:K03559	abj:BJAB07104_02152
ko:K03559	abj:BJAB07104_00510
ko:K08316	abj:BJAB07104_01120
ko:K05835	abj:BJAB07104_00877
ko:K02226	abj:BJAB07104_02063
ko:K14229	abj:BJAB07104_tRNA17
ko:K14229	abj:BJAB07104_tRNA18
ko:K14159	abj:BJAB07104_01280
ko:K01457	abj:BJAB07104_01453
ko:K09483	abj:BJAB07104_01746
ko:K03298	abj:BJAB07104_00320
ko:K14742	abj:BJAB07104_00694
ko:K19611	abj:BJAB07104_01079
ko:K11209	abj:BJAB07104_00643
ko:K00265	abj:BJAB07104_03477
ko:K00951	abj:BJAB07104_00629
ko:K17713	abj:BJAB07104_00560
ko:K02029	abj:BJAB07104_02322
ko:K02029	abj:BJAB07104_02323
ko:K06975	abj:BJAB07104_02324
ko:K03781	abj:BJAB07104_02335
ko:K15256	abj:BJAB07104_02347
ko:K00253	abj:BJAB07104_02350
ko:K01969	abj:BJAB07104_02351
ko:K13766	abj:BJAB07104_02352
ko:K01968	abj:BJAB07104_02353
ko:K01640	abj:BJAB07104_02354
ko:K04090	abj:BJAB07104_02356
ko:K03760	abj:BJAB07104_03087
ko:K07001	abj:BJAB07104_03091
ko:K07340	abj:BJAB07104_03092
ko:K00795	abj:BJAB07104_03095
ko:K05523	abj:BJAB07104_03099
ko:K06153	abj:BJAB07104_03102
ko:K02616	abj:BJAB07104_03103
ko:K00355	abj:BJAB07104_03106
ko:K06076	abj:BJAB07104_03107
ko:K02203	abj:BJAB07104_03108
ko:K00390	abj:BJAB07104_03109
ko:K08301	abj:BJAB07104_03112
ko:K06287	abj:BJAB07104_03113
ko:K03571	abj:BJAB07104_03114
ko:K03570	abj:BJAB07104_03115
ko:K03569	abj:BJAB07104_03116
ko:K02435	abj:BJAB07104_03117
ko:K02434	abj:BJAB07104_03119
ko:K05520	abj:BJAB07104_03121
ko:K01754	abj:BJAB07104_03126
ko:K07001	abj:BJAB07104_03127
ko:K03310	abj:BJAB07104_03128
ko:K07552	abj:BJAB07104_03132
ko:K00764	abj:BJAB07104_02609
ko:K03558	abj:BJAB07104_02610
ko:K02462	abj:BJAB07104_02612
ko:K02461	abj:BJAB07104_02613
ko:K08296	abj:BJAB07104_02614
ko:K00057	abj:BJAB07104_02615
ko:K03732	abj:BJAB07104_02618
ko:K03704	abj:BJAB07104_02619
ko:K03089	abj:BJAB07104_02621
ko:K03154	abj:BJAB07104_02623
ko:K03149	abj:BJAB07104_02624
ko:K09861	abj:BJAB07104_02626
ko:K07018	abj:BJAB07104_02627
ko:K14170	abj:BJAB07104_02632
ko:K11103	abj:BJAB07104_02635
ko:K09916	abj:BJAB07104_02637
ko:K00858	abj:BJAB07104_02638
ko:K05365	abj:BJAB07104_02639
ko:K00528	abj:BJAB07104_02649
ko:K08303	abj:BJAB07104_02652
ko:K03655	abj:BJAB07104_03380
ko:K06966	abj:BJAB07104_03383
ko:K03284	abj:BJAB07104_03384
ko:K07122	abj:BJAB07104_03386
ko:K07323	abj:BJAB07104_03387
ko:K02066	abj:BJAB07104_03389
ko:K02065	abj:BJAB07104_03390
ko:K01662	abj:BJAB07104_03394
ko:K00228	abj:BJAB07104_03396
