ko:K01533	llr:llh_13655
ko:K02028	llr:llh_3165
ko:K10947	llr:llh_11980
ko:K08153	llr:llh_0785
ko:K15771	llr:llh_4010
ko:K11741	llr:llh_0780
ko:K04771	llr:llh_12405
ko:K10440	llr:llh_4265
ko:K00765	llr:llh_6730
ko:K09692	llr:llh_8040
ko:K02851	llr:llh_3175
ko:K13677	llr:llh_12410
ko:K01962	llr:llh_8910
ko:K01963	llr:llh_8915
ko:K01961	llr:llh_8920
ko:K02372	llr:llh_8925
ko:K02160	llr:llh_8930
ko:K09458	llr:llh_8935
ko:K00645	llr:llh_8945
ko:K02078	llr:llh_8950
ko:K00648	llr:llh_8955
ko:K01809	llr:llh_8970
ko:K02834	llr:llh_8975
ko:K02519	llr:llh_8980
ko:K07742	llr:llh_8990
ko:K02600	llr:llh_9000
ko:K09748	llr:llh_9005
ko:K03977	llr:llh_9075
ko:K07738	llr:llh_9105
ko:K03439	llr:llh_9110
ko:K02939	llr:llh_9130
ko:K07001	llr:llh_9150
ko:K00928	llr:llh_9155
ko:K02996	llr:llh_13115
ko:K02871	llr:llh_13120
ko:K02003	llr:llh_13130
ko:K03100	llr:llh_13140
ko:K02355	llr:llh_13170
ko:K02992	llr:llh_13175
ko:K02950	llr:llh_13180
ko:K07139	llr:llh_13215
ko:K02551	llr:llh_9210
ko:K01661	llr:llh_9220
ko:K01911	llr:llh_9230
ko:K03704	llr:llh_9310
ko:K00426	llr:llh_9405
ko:K00425	llr:llh_9410
ko:K03305	llr:llh_9420
ko:K02787	llr:llh_14025
ko:K02788	llr:llh_14025
ko:K08602	llr:llh_14070
ko:K08177	llr:llh_14095
ko:K02034	llr:llh_14130
ko:K01735	llr:llh_13680
ko:K00014	llr:llh_13685
ko:K03975	llr:llh_13690
ko:K08177	llr:llh_13715
ko:K03777	llr:llh_13730
ko:K00688	llr:llh_9455
ko:K00703	llr:llh_9460
ko:K00975	llr:llh_9470
ko:K00975	llr:llh_9475
ko:K00705	llr:llh_9480
ko:K03625	llr:llh_9490
ko:K02356	llr:llh_9500
ko:K02528	llr:llh_9510
ko:K05985	llr:llh_9515
ko:K03424	llr:llh_9525
ko:K06975	llr:llh_9535
ko:K03311	llr:llh_9545
ko:K01358	llr:llh_9605
ko:K00031	llr:llh_9610
ko:K01681	llr:llh_9620
ko:K01647	llr:llh_9625
ko:K03588	llr:llh_9645
ko:K00859	llr:llh_9655
ko:K00656	llr:llh_9665
ko:K03284	llr:llh_9670
ko:K02003	llr:llh_9690
ko:K03704	llr:llh_13835
ko:K03284	llr:llh_5340
ko:K01662	llr:llh_5360
ko:K08987	llr:llh_5445
ko:K01657	llr:llh_5455
ko:K00766	llr:llh_5465
ko:K01609	llr:llh_5490
ko:K01817	llr:llh_5495
ko:K01696	llr:llh_5505
ko:K01695	llr:llh_5510
ko:K01223	llr:llh_5530
ko:K02000	llr:llh_5540
ko:K13256	llr:llh_5585
ko:K00756	llr:llh_5600
ko:K01689	llr:llh_9770
ko:K03696	llr:llh_9780
ko:K03624	llr:llh_9805
ko:K07082	llr:llh_9810
ko:K00759	llr:llh_9820
ko:K07462	llr:llh_9825
ko:K07124	llr:llh_9830
ko:K00791	llr:llh_9865
ko:K03549	llr:llh_9880
ko:K03549	llr:llh_9885
ko:K13292	llr:llh_9905
ko:K07058	llr:llh_9950
ko:K01265	llr:llh_9955
ko:K18926	llr:llh_5015
ko:K02760	llr:llh_2435
ko:K02759	llr:llh_2440
ko:K02761	llr:llh_2450
ko:K01223	llr:llh_2455
ko:K01972	llr:llh_2465
ko:K03737	llr:llh_2480
ko:K03431	llr:llh_2500
ko:K06925	llr:llh_2545
ko:K03500	llr:llh_2615
ko:K02956	llr:llh_2630
ko:K00286	llr:llh_2635
ko:K04042	llr:llh_2640
ko:K07461	llr:llh_2995
ko:K03701	llr:llh_3005
ko:K04069	llr:llh_3050
ko:K03654	llr:llh_3095
ko:K07443	llr:llh_3120
ko:K03043	llr:llh_3145
ko:K03046	llr:llh_3150
ko:K09013	llr:llh_3180
ko:K09015	llr:llh_3185
ko:K11717	llr:llh_3190
ko:K09014	llr:llh_3205
ko:K02112	llr:llh_3600
ko:K02114	llr:llh_3605
ko:K03975	llr:llh_3650
ko:K00014	llr:llh_3655
ko:K01735	llr:llh_3660
ko:K09936	llr:llh_3665
ko:K01736	llr:llh_3680
ko:K02003	llr:llh_3690
ko:K00800	llr:llh_3730
ko:K00891	llr:llh_3735
ko:K03581	llr:llh_3750
ko:K02968	llr:llh_3755
ko:K06950	llr:llh_3765
ko:K06890	llr:llh_3775
ko:K00782	llr:llh_3780
ko:K06901	llr:llh_3800
ko:K08602	llr:llh_3825
ko:K01872	llr:llh_3840
ko:K03664	llr:llh_3865
ko:K02040	llr:llh_3870
ko:K02040	llr:llh_3875
ko:K02037	llr:llh_3880
ko:K02038	llr:llh_3885
ko:K02036	llr:llh_3890
ko:K02036	llr:llh_3895
ko:K07444	llr:llh_4180
ko:K02529	llr:llh_4200
ko:K07456	llr:llh_4215
ko:K03671	llr:llh_4220
ko:K03785	llr:llh_4230
ko:K01756	llr:llh_4235
ko:K02529	llr:llh_4240
ko:K06726	llr:llh_4250
ko:K10441	llr:llh_4255
ko:K01686	llr:llh_4320
ko:K01812	llr:llh_4335
ko:K01812	llr:llh_4340
ko:K00874	llr:llh_4345
ko:K01625	llr:llh_4350
ko:K00615	llr:llh_4370
ko:K02440	llr:llh_4380
ko:K00133	llr:llh_4385
ko:K01714	llr:llh_4395
ko:K07507	llr:llh_4400
ko:K03106	llr:llh_4415
ko:K00931	llr:llh_4455
ko:K00147	llr:llh_4460
ko:K02825	llr:llh_4480
ko:K00609	llr:llh_4490
ko:K01956	llr:llh_4495
ko:K02909	llr:llh_4545
ko:K07040	llr:llh_4550
ko:K03320	llr:llh_4565
ko:K07335	llr:llh_5620
ko:K03710	llr:llh_5625
ko:K03101	llr:llh_5730
ko:K06180	llr:llh_5735
