ko:K19079	suy:SA2981_0637
ko:K09022	suy:SA2981_0472
ko:K19279	suy:SA2981_1615
ko:K19285	suy:SA2981_0381
ko:K07145	suy:SA2981_0166
ko:K11737	suy:SA2981_1655
ko:K16301	suy:SA2981_0342
ko:K09692	suy:SA2981_0614
ko:K11442	suy:SA2981_2109
ko:K18934	suy:SA2981_2105
ko:K18936	suy:SA2981_2352
ko:K14234	suy:SA2981_tRNA07
ko:K14234	suy:SA2981_tRNA52
ko:K14234	suy:SA2981_tRNA36
ko:K18935	suy:SA2981_2107
ko:K06216	suy:SA2981_0270
ko:K03328	suy:SA2981_0133
ko:K03328	suy:SA2981_0479
ko:K04763	suy:SA2981_1618
ko:K00130	suy:SA2981_2551
ko:K14236	suy:SA2981_tRNA60
ko:K14236	suy:SA2981_tRNA35
ko:K02424	suy:SA2981_2351
ko:K14222	suy:SA2981_tRNA31
ko:K10009	suy:SA2981_2350
ko:K02012	suy:SA2981_0225
ko:K00656	suy:SA2981_0226
ko:K04069	suy:SA2981_0227
ko:K01126	suy:SA2981_0228
ko:K07516	suy:SA2981_0232
ko:K00252	suy:SA2981_0233
ko:K05916	suy:SA2981_0240
ko:K02773	suy:SA2981_0245
ko:K02774	suy:SA2981_0246
ko:K05352	suy:SA2981_0252
ko:K07322	suy:SA2981_0259
ko:K07704	suy:SA2981_0260
ko:K05338	suy:SA2981_0262
ko:K05339	suy:SA2981_0263
ko:K03489	suy:SA2981_0264
ko:K01223	suy:SA2981_0266
ko:K06726	suy:SA2981_0269
ko:K00162	suy:SA2981_1051
ko:K00627	suy:SA2981_1052
ko:K00382	suy:SA2981_1053
ko:K03322	suy:SA2981_1062
ko:K06207	suy:SA2981_1066
ko:K03588	suy:SA2981_1070
ko:K02259	suy:SA2981_1072
ko:K08976	suy:SA2981_1074
ko:K01126	suy:SA2981_1077
ko:K00954	suy:SA2981_1081
ko:K07040	suy:SA2981_1083
ko:K02911	suy:SA2981_1084
ko:K02016	suy:SA2981_1089
ko:K02015	suy:SA2981_1090
ko:K08600	suy:SA2981_1091
ko:K03437	suy:SA2981_1093
ko:K01889	suy:SA2981_1094
ko:K01890	suy:SA2981_1095
ko:K09888	suy:SA2981_1097
ko:K02347	suy:SA2981_1099
ko:K07456	suy:SA2981_1100
ko:K03671	suy:SA2981_1101
ko:K01845	suy:SA2981_1820
ko:K03575	suy:SA2981_1824
ko:K03565	suy:SA2981_1829
ko:K05520	suy:SA2981_1831
ko:K07058	suy:SA2981_1839
ko:K01265	suy:SA2981_1844
ko:K02217	suy:SA2981_1849
ko:K02346	suy:SA2981_1851
ko:K03215	suy:SA2981_1853
ko:K02434	suy:SA2981_1856
ko:K02435	suy:SA2981_1858
ko:K01972	suy:SA2981_1861
ko:K03657	suy:SA2981_1862
ko:K01756	suy:SA2981_1865
ko:K11755	suy:SA2981_2612
ko:K02500	suy:SA2981_2613
ko:K01814	suy:SA2981_2614
ko:K02501	suy:SA2981_2615
ko:K01693	suy:SA2981_2616
ko:K00817	suy:SA2981_2617
ko:K00013	suy:SA2981_2618
ko:K00765	suy:SA2981_2619
ko:K07146	suy:SA2981_2629
ko:K01304	suy:SA2981_2630
ko:K03319	suy:SA2981_2634
ko:K05786	suy:SA2981_2635
ko:K07241	suy:SA2981_2637
