ko:K14237	hpyr:K747_08975
ko:K18929	hpyr:K747_09340
ko:K18928	hpyr:K747_09345
ko:K07316	hpyr:K747_09985
ko:K18682	hpyr:K747_08010
ko:K12574	hpyr:K747_04055
ko:K03196	hpyr:K747_04090
ko:K03559	hpyr:K747_05390
ko:K03559	hpyr:K747_04315
ko:K03559	hpyr:K747_03965
ko:K01985	hpyr:K747_r08274
ko:K01985	hpyr:K747_r08276
ko:K11782	hpyr:K747_08115
ko:K02967	hpyr:K747_03350
ko:K03841	hpyr:K747_03385
ko:K01783	hpyr:K747_03390
ko:K03631	hpyr:K747_03425
ko:K00259	hpyr:K747_03465
ko:K01476	hpyr:K747_03475
ko:K00858	hpyr:K747_03430
ko:K16091	hpyr:K747_03485
ko:K07043	hpyr:K747_03490
ko:K03427	hpyr:K747_03505
ko:K01154	hpyr:K747_03510
ko:K00820	hpyr:K747_03530
ko:K02066	hpyr:K747_03855
ko:K02065	hpyr:K747_03865
ko:K00428	hpyr:K747_03885
ko:K02337	hpyr:K747_03890
ko:K06178	hpyr:K747_03895
ko:K07337	hpyr:K747_03905
ko:K07133	hpyr:K747_04415
ko:K02946	hpyr:K747_04420
ko:K02906	hpyr:K747_04425
ko:K02926	hpyr:K747_04430
ko:K02892	hpyr:K747_04435
ko:K02886	hpyr:K747_04440
ko:K02965	hpyr:K747_04445
ko:K02890	hpyr:K747_04450
ko:K02982	hpyr:K747_04455
ko:K02878	hpyr:K747_04460
ko:K02904	hpyr:K747_04465
ko:K02961	hpyr:K747_04470
ko:K02874	hpyr:K747_04475
ko:K02895	hpyr:K747_04480
ko:K02931	hpyr:K747_04485
ko:K02954	hpyr:K747_04490
ko:K02994	hpyr:K747_04495
ko:K02933	hpyr:K747_04500
ko:K02881	hpyr:K747_04505
ko:K02988	hpyr:K747_04510
ko:K02876	hpyr:K747_04515
ko:K03076	hpyr:K747_04520
ko:K01265	hpyr:K747_04525
ko:K02518	hpyr:K747_04530
ko:K02952	hpyr:K747_04540
ko:K02948	hpyr:K747_04545
ko:K02986	hpyr:K747_04550
ko:K03040	hpyr:K747_04555
ko:K02879	hpyr:K747_04560
ko:K03811	hpyr:K747_04575
ko:K02358	hpyr:K747_04995
ko:K02913	hpyr:K747_05000
ko:K03073	hpyr:K747_05005
ko:K02601	hpyr:K747_05010
ko:K02867	hpyr:K747_05015
ko:K02863	hpyr:K747_05020
ko:K02864	hpyr:K747_05025
ko:K02935	hpyr:K747_05030
ko:K02950	hpyr:K747_05040
ko:K01142	hpyr:K747_03555
ko:K03655	hpyr:K747_03570
ko:K02600	hpyr:K747_03600
ko:K01042	hpyr:K747_03605
ko:K01633	hpyr:K747_03620
ko:K08591	hpyr:K747_03625
ko:K11752	hpyr:K747_03650
ko:K09943	hpyr:K747_03665
ko:K11720	hpyr:K747_03695
ko:K01056	hpyr:K747_03700
ko:K03306	hpyr:K747_03730
ko:K01993	hpyr:K747_03745
ko:K08973	hpyr:K747_03765
ko:K01875	hpyr:K747_03785
ko:K03657	hpyr:K747_03795
ko:K02386	hpyr:K747_03800
ko:K03186	hpyr:K747_03805
ko:K00954	hpyr:K747_03810
ko:K00943	hpyr:K747_03815
ko:K03217	hpyr:K747_03945
ko:K03536	hpyr:K747_03955
ko:K03561	hpyr:K747_03970
ko:K03664	hpyr:K747_03975
ko:K00919	hpyr:K747_03980
ko:K03563	hpyr:K747_03985
ko:K02992	hpyr:K747_05045
