ko:K19405	ctru:L2BUCH2_00710
ko:K14233	ctru:L2BUCH2_00890
ko:K11645	ctru:L2BUCH2_00218
ko:K00057	ctru:L2BUCH2_00754
ko:K02412	ctru:L2BUCH2_00757
ko:K02411	ctru:L2BUCH2_00758
ko:K02409	ctru:L2BUCH2_00759
ko:K13819	ctru:L2BUCH2_00760
ko:K04487	ctru:L2BUCH2_00761
ko:K06178	ctru:L2BUCH2_00763
ko:K03524	ctru:L2BUCH2_00765
ko:K05837	ctru:L2BUCH2_00766
ko:K01875	ctru:L2BUCH2_00769
ko:K11752	ctru:L2BUCH2_00770
ko:K14652	ctru:L2BUCH2_00771
ko:K00794	ctru:L2BUCH2_00772
ko:K03310	ctru:L2BUCH2_00775
ko:K03466	ctru:L2BUCH2_00779
ko:K00351	ctru:L2BUCH2_00784
ko:K03210	ctru:L2BUCH2_00785
ko:K00231	ctru:L2BUCH2_00789
ko:K01599	ctru:L2BUCH2_00791
ko:K03723	ctru:L2BUCH2_00792
ko:K01872	ctru:L2BUCH2_00793
ko:K00615	ctru:L2BUCH2_00797
ko:K01241	ctru:L2BUCH2_00798
ko:K02356	ctru:L2BUCH2_00799
ko:K01214	ctru:L2BUCH2_00044
ko:K01448	ctru:L2BUCH2_00273
ko:K01928	ctru:L2BUCH2_00274
ko:K03587	ctru:L2BUCH2_00275
ko:K03438	ctru:L2BUCH2_00277
ko:K02313	ctru:L2BUCH2_00280
ko:K00347	ctru:L2BUCH2_00283
ko:K00348	ctru:L2BUCH2_00284
ko:K00349	ctru:L2BUCH2_00285
ko:K00350	ctru:L2BUCH2_00286
ko:K02437	ctru:L2BUCH2_00287
ko:K03800	ctru:L2BUCH2_00290
ko:K03696	ctru:L2BUCH2_00291
ko:K00566	ctru:L2BUCH2_00292
ko:K01963	ctru:L2BUCH2_00298
ko:K04564	ctru:L2BUCH2_00299
ko:K03685	ctru:L2BUCH2_00302
ko:K04485	ctru:L2BUCH2_00303
ko:K01749	ctru:L2BUCH2_00304
ko:K01873	ctru:L2BUCH2_00307
ko:K03046	ctru:L2BUCH2_00319
ko:K03043	ctru:L2BUCH2_00320
ko:K02935	ctru:L2BUCH2_00321
ko:K02864	ctru:L2BUCH2_00322
ko:K02863	ctru:L2BUCH2_00323
ko:K02867	ctru:L2BUCH2_00324
ko:K02601	ctru:L2BUCH2_00325
ko:K03073	ctru:L2BUCH2_00326
ko:K02358	ctru:L2BUCH2_00328
ko:K02518	ctru:L2BUCH2_00330
ko:K01803	ctru:L2BUCH2_00337
ko:K03601	ctru:L2BUCH2_00338
ko:K03602	ctru:L2BUCH2_00339
ko:K01662	ctru:L2BUCH2_00341
ko:K00873	ctru:L2BUCH2_00342
ko:K03701	ctru:L2BUCH2_00343
ko:K02343	ctru:L2BUCH2_00344
ko:K09747	ctru:L2BUCH2_00345
ko:K11381	ctru:L2BUCH2_00351
ko:K03686	ctru:L2BUCH2_00352
ko:K02970	ctru:L2BUCH2_00353
ko:K01338	ctru:L2BUCH2_00355
ko:K03733	ctru:L2BUCH2_00358
ko:K06287	ctru:L2BUCH2_00360
ko:K03075	ctru:L2BUCH2_00363
ko:K01462	ctru:L2BUCH2_00364
ko:K02528	ctru:L2BUCH2_00365
ko:K06888	ctru:L2BUCH2_00367
ko:K03523	ctru:L2BUCH2_00371
ko:K01714	ctru:L2BUCH2_00374
ko:K00928	ctru:L2BUCH2_00375
ko:K00133	ctru:L2BUCH2_00376
ko:K00215	ctru:L2BUCH2_00377
ko:K00800	ctru:L2BUCH2_00379
ko:K00891	ctru:L2BUCH2_00380
ko:K01736	ctru:L2BUCH2_00381
ko:K01735	ctru:L2BUCH2_00382
ko:K13832	ctru:L2BUCH2_00383
ko:K03758	ctru:L2BUCH2_00387
ko:K00024	ctru:L2BUCH2_00389
ko:K01810	ctru:L2BUCH2_00391
ko:K03665	ctru:L2BUCH2_00392
ko:K06167	ctru:L2BUCH2_00393
ko:K09996	ctru:L2BUCH2_00394
ko:K06966	ctru:L2BUCH2_00401
ko:K09131	ctru:L2BUCH2_00402
ko:K10206	ctru:L2BUCH2_00404
ko:K01881	ctru:L2BUCH2_00407
ko:K03705	ctru:L2BUCH2_00408
ko:K03687	ctru:L2BUCH2_00409
ko:K04043	ctru:L2BUCH2_00410
ko:K12573	ctru:L2BUCH2_00411
ko:K07164	ctru:L2BUCH2_00412
ko:K06041	ctru:L2BUCH2_00413
ko:K00658	ctru:L2BUCH2_00414
ko:K00912	ctru:L2BUCH2_00416
ko:K03437	ctru:L2BUCH2_00417
ko:K06969	ctru:L2BUCH2_00418
ko:K00793	ctru:L2BUCH2_00419
ko:K07738	ctru:L2BUCH2_00420
ko:K06204	ctru:L2BUCH2_00421
ko:K03101	ctru:L2BUCH2_00422
ko:K03310	ctru:L2BUCH2_00423
ko:K00748	ctru:L2BUCH2_00425
ko:K09779	ctru:L2BUCH2_00002
ko:K09817	ctru:L2BUCH2_00431
ko:K09816	ctru:L2BUCH2_00432
ko:K03979	ctru:L2BUCH2_00433
ko:K02899	ctru:L2BUCH2_00434
ko:K02888	ctru:L2BUCH2_00435
ko:K07042	ctru:L2BUCH2_00440
ko:K03183	ctru:L2BUCH2_00446
ko:K01778	ctru:L2BUCH2_00448
ko:K01358	ctru:L2BUCH2_00449
ko:K00600	ctru:L2BUCH2_00450
ko:K01770	ctru:L2BUCH2_00452
ko:K02946	ctru:L2BUCH2_00454
ko:K02355	ctru:L2BUCH2_00455
ko:K02992	ctru:L2BUCH2_00456
ko:K02950	ctru:L2BUCH2_00457
ko:K03797	ctru:L2BUCH2_00459
ko:K07462	ctru:L2BUCH2_00466
ko:K12257	ctru:L2BUCH2_00467
ko:K00806	ctru:L2BUCH2_00469
ko:K00981	ctru:L2BUCH2_00470
ko:K00945	ctru:L2BUCH2_00471
ko:K00655	ctru:L2BUCH2_00472
ko:K01887	ctru:L2BUCH2_00473
ko:K00790	ctru:L2BUCH2_00474
ko:K02836	ctru:L2BUCH2_00478
ko:K00991	ctru:L2BUCH2_00481
ko:K06173	ctru:L2BUCH2_00482
ko:K01929	ctru:L2BUCH2_00804
ko:K01000	ctru:L2BUCH2_00805
ko:K01925	ctru:L2BUCH2_00806
ko:K03588	ctru:L2BUCH2_00808
ko:K02563	ctru:L2BUCH2_00809
ko:K06960	ctru:L2BUCH2_00811
ko:K00791	ctru:L2BUCH2_00814
ko:K09710	ctru:L2BUCH2_00817
ko:K09458	ctru:L2BUCH2_00818
ko:K00263	ctru:L2BUCH2_00821
ko:K00655	ctru:L2BUCH2_00823
ko:K04066	ctru:L2BUCH2_00826
ko:K04567	ctru:L2BUCH2_00830
ko:K01883	ctru:L2BUCH2_00831
ko:K03536	ctru:L2BUCH2_00833
ko:K02919	ctru:L2BUCH2_00834
ko:K02954	ctru:L2BUCH2_00835
ko:K03703	ctru:L2BUCH2_00839
ko:K03555	ctru:L2BUCH2_00840
ko:K14164	ctru:L2BUCH2_00844
ko:K00995	ctru:L2BUCH2_00845
ko:K00703	ctru:L2BUCH2_00846
ko:K02897	ctru:L2BUCH2_00848
ko:K01056	ctru:L2BUCH2_00849
ko:K02990	ctru:L2BUCH2_00850
ko:K02963	ctru:L2BUCH2_00851
ko:K02939	ctru:L2BUCH2_00852
ko:K00919	ctru:L2BUCH2_00853
ko:K02435	ctru:L2BUCH2_00003
ko:K02434	ctru:L2BUCH2_00005
ko:K02517	ctru:L2BUCH2_00011
ko:K00425	ctru:L2BUCH2_00014
ko:K00426	ctru:L2BUCH2_00015
ko:K07175	ctru:L2BUCH2_00016
ko:K01870	ctru:L2BUCH2_00021
ko:K03100	ctru:L2BUCH2_00022
ko:K02909	ctru:L2BUCH2_00024
ko:K02835	ctru:L2BUCH2_00025
ko:K02493	ctru:L2BUCH2_00026
ko:K03106	ctru:L2BUCH2_00027
ko:K02959	ctru:L2BUCH2_00028
ko:K00554	ctru:L2BUCH2_00029
ko:K02884	ctru:L2BUCH2_00030
ko:K03470	ctru:L2BUCH2_00031
ko:K00942	ctru:L2BUCH2_00032
ko:K01874	ctru:L2BUCH2_00034
ko:K03581	ctru:L2BUCH2_00035
ko:K01494	ctru:L2BUCH2_00041
ko:K03551	ctru:L2BUCH2_00042
ko:K01255	ctru:L2BUCH2_00047
ko:K02340	ctru:L2BUCH2_00049
ko:K07056	ctru:L2BUCH2_00050
ko:K00164	ctru:L2BUCH2_00056
ko:K00658	ctru:L2BUCH2_00057
ko:K00630	ctru:L2BUCH2_00857
ko:K08301	ctru:L2BUCH2_00858
ko:K02911	ctru:L2BUCH2_00861
ko:K03621	ctru:L2BUCH2_00862
ko:K03431	ctru:L2BUCH2_00867
ko:K00820	ctru:L2BUCH2_00868
ko:K03834	ctru:L2BUCH2_00869
ko:K03834	ctru:L2BUCH2_00871
ko:K06890	ctru:L2BUCH2_00872
ko:K03110	ctru:L2BUCH2_00873
ko:K01903	ctru:L2BUCH2_00874
ko:K01902	ctru:L2BUCH2_00875
ko:K09760	ctru:L2BUCH2_00878
ko:K00075	ctru:L2BUCH2_00884
ko:K02520	ctru:L2BUCH2_00886
ko:K02916	ctru:L2BUCH2_00887
ko:K02887	ctru:L2BUCH2_00888
ko:K01889	ctru:L2BUCH2_00889
ko:K11720	ctru:L2BUCH2_00892
ko:K07091	ctru:L2BUCH2_00893
ko:K04075	ctru:L2BUCH2_00894
ko:K03798	ctru:L2BUCH2_00895
ko:K00962	ctru:L2BUCH2_00896
ko:K02956	ctru:L2BUCH2_00897
ko:K01265	ctru:L2BUCH2_00906
ko:K07710	ctru:L2BUCH2_00487
ko:K07714	ctru:L2BUCH2_00488
ko:K03584	ctru:L2BUCH2_00491
ko:K08998	ctru:L2BUCH2_00495
ko:K01890	ctru:L2BUCH2_00497
ko:K02034	ctru:L2BUCH2_00500
ko:K01772	ctru:L2BUCH2_00509
ko:K07099	ctru:L2BUCH2_00512
ko:K00975	ctru:L2BUCH2_00513
ko:K03628	ctru:L2BUCH2_00515
ko:K00859	ctru:L2BUCH2_00516
ko:K03301	ctru:L2BUCH2_00519
ko:K00995	ctru:L2BUCH2_00520
ko:K03495	ctru:L2BUCH2_00523
ko:K03800	ctru:L2BUCH2_00524
ko:K00940	ctru:L2BUCH2_00525
ko:K03550	ctru:L2BUCH2_00526
ko:K01159	ctru:L2BUCH2_00527
ko:K00134	ctru:L2BUCH2_00531
ko:K02879	ctru:L2BUCH2_00532
ko:K03040	ctru:L2BUCH2_00533
ko:K02948	ctru:L2BUCH2_00534
ko:K02952	ctru:L2BUCH2_00535
ko:K03076	ctru:L2BUCH2_00536
ko:K02876	ctru:L2BUCH2_00537
ko:K02988	ctru:L2BUCH2_00538
ko:K02881	ctru:L2BUCH2_00539
ko:K02933	ctru:L2BUCH2_00540
ko:K02994	ctru:L2BUCH2_00541
ko:K02931	ctru:L2BUCH2_00542
ko:K02895	ctru:L2BUCH2_00543
ko:K02874	ctru:L2BUCH2_00544
ko:K02961	ctru:L2BUCH2_00545
ko:K02904	ctru:L2BUCH2_00546
ko:K02878	ctru:L2BUCH2_00547
ko:K02982	ctru:L2BUCH2_00548
ko:K02890	ctru:L2BUCH2_00549
ko:K02965	ctru:L2BUCH2_00550
ko:K02886	ctru:L2BUCH2_00551
ko:K02892	ctru:L2BUCH2_00552
ko:K02926	ctru:L2BUCH2_00553
ko:K02906	ctru:L2BUCH2_00554
ko:K00604	ctru:L2BUCH2_00556
ko:K00677	ctru:L2BUCH2_00557
ko:K02372	ctru:L2BUCH2_00558
ko:K02535	ctru:L2BUCH2_00559
ko:K03820	ctru:L2BUCH2_00560
ko:K06925	ctru:L2BUCH2_00563
ko:K03671	ctru:L2BUCH2_00566
ko:K05810	ctru:L2BUCH2_00058
ko:K03526	ctru:L2BUCH2_00059
ko:K02400	ctru:L2BUCH2_00063
ko:K02405	ctru:L2BUCH2_00064
ko:K01866	ctru:L2BUCH2_00065
ko:K03596	ctru:L2BUCH2_00067
ko:K03301	ctru:L2BUCH2_00068
ko:K00099	ctru:L2BUCH2_00074
ko:K03629	ctru:L2BUCH2_00077
ko:K02338	ctru:L2BUCH2_00078
ko:K03664	ctru:L2BUCH2_00079
ko:K03734	ctru:L2BUCH2_00080
ko:K01491	ctru:L2BUCH2_00081
ko:K02902	ctru:L2BUCH2_00087
ko:K00705	ctru:L2BUCH2_00088
ko:K04058	ctru:L2BUCH2_00090
ko:K03230	ctru:L2BUCH2_00091
ko:K03229	ctru:L2BUCH2_00092
ko:K06942	ctru:L2BUCH2_00093
ko:K11753	ctru:L2BUCH2_00094
ko:K02834	ctru:L2BUCH2_00096
ko:K02519	ctru:L2BUCH2_00097
ko:K02600	ctru:L2BUCH2_00098
ko:K02945	ctru:L2BUCH2_00099
ko:K00384	ctru:L2BUCH2_00100
ko:K00997	ctru:L2BUCH2_00101
ko:K00208	ctru:L2BUCH2_00105
ko:K03575	ctru:L2BUCH2_00108
ko:K03321	ctru:L2BUCH2_00913
ko:K03527	ctru:L2BUCH2_00916
ko:K03216	ctru:L2BUCH2_00567
ko:K01876	ctru:L2BUCH2_00569
ko:K01892	ctru:L2BUCH2_00570
ko:K07783	ctru:L2BUCH2_00571
ko:K02337	ctru:L2BUCH2_00572
ko:K03311	ctru:L2BUCH2_00581
ko:K00382	ctru:L2BUCH2_00584
ko:K03644	ctru:L2BUCH2_00585
ko:K03222	ctru:L2BUCH2_00586
ko:K03223	ctru:L2BUCH2_00588
ko:K03226	ctru:L2BUCH2_00589
ko:K04077	ctru:L2BUCH2_00111
ko:K04078	ctru:L2BUCH2_00112
ko:K08602	ctru:L2BUCH2_00114
ko:K03695	ctru:L2BUCH2_00115
ko:K01783	ctru:L2BUCH2_00123
ko:K02356	ctru:L2BUCH2_00124
ko:K02160	ctru:L2BUCH2_00125
ko:K01961	ctru:L2BUCH2_00126
ko:K03228	ctru:L2BUCH2_00591
ko:K02455	ctru:L2BUCH2_00597
ko:K02453	ctru:L2BUCH2_00599
ko:K03572	ctru:L2BUCH2_00602
ko:K01868	ctru:L2BUCH2_00608
ko:K01867	ctru:L2BUCH2_00612
ko:K03702	ctru:L2BUCH2_00613
ko:K01689	ctru:L2BUCH2_00614
ko:K00240	ctru:L2BUCH2_00618
ko:K00239	ctru:L2BUCH2_00619
ko:K03424	ctru:L2BUCH2_00622
ko:K03562	ctru:L2BUCH2_00624
ko:K03641	ctru:L2BUCH2_00627
ko:K03640	ctru:L2BUCH2_00628
ko:K03648	ctru:L2BUCH2_00637
ko:K03657	ctru:L2BUCH2_00638
ko:K03092	ctru:L2BUCH2_00639
ko:K06137	ctru:L2BUCH2_00640
ko:K13941	ctru:L2BUCH2_00643
