ko:K08325	fps:FP0142
ko:K01775	fps:FP1064
ko:K07462	fps:FP0876
ko:K01546	fps:FP1692
ko:K03564	fps:FP1790
ko:K00602	fps:FP2416
ko:K07391	fps:FP1610
ko:K02343	fps:FP0965
ko:K02342	fps:FP1195
ko:K03106	fps:FP1476
ko:K07094	fps:FP0187
ko:K01962	fps:FP0613
ko:K01696	fps:FP0508
ko:K01028	fps:FP0026
ko:K03040	fps:FP1313
ko:K01610	fps:FP2375
ko:K07560	fps:FP0247
ko:K03624	fps:FP2366
ko:K01585	fps:FP1708
ko:K01880	fps:FP2429
ko:K03147	fps:FP0428
ko:K02501	fps:FP0956
ko:K01955	fps:FP1988
ko:K03786	fps:FP2018
ko:K01892	fps:FP2021
ko:K02112	fps:FP0114
ko:K02114	fps:FP0115
ko:K03043	fps:FP1176
ko:K01548	fps:FP1690
ko:K00162	fps:FP0337
ko:K03629	fps:FP2001
ko:K03502	fps:FP0389
ko:K03555	fps:FP0395
ko:K06966	fps:FP0845
ko:K01547	fps:FP1691
ko:K01653	fps:FP0447
ko:K01029	fps:FP0030
ko:K03525	fps:FP2434
ko:K09013	fps:FP2392
ko:K11381	fps:FP1028
ko:K07456	fps:FP1039
ko:K03841	fps:FP0299
ko:K09014	fps:FP2393
ko:K00833	fps:FP2328
ko:K03587	fps:FP2062
ko:K05515	fps:FP2420
ko:K03550	fps:FP2122
ko:K01695	fps:FP0507
ko:K08303	fps:FP1027
ko:K04075	fps:FP1626
ko:K01657	fps:FP0513
ko:K01874	fps:FP0055
ko:K00609	fps:FP1795
ko:K07164	fps:FP1220
ko:K03113	fps:FP1031
ko:K05366	fps:FP0025
ko:K02519	fps:FP0470
ko:K02338	fps:FP1091
ko:K02341	fps:FP0011
ko:K07478	fps:FP1349
ko:K00340	fps:FP2221
ko:K00337	fps:FP2224
ko:K03657	fps:FP0868
ko:K02040	fps:FP0361
ko:K02916	fps:FP0893
ko:K05367	fps:FP2234
ko:K03814	fps:FP2347
ko:K01697	fps:FP1196
ko:K09691	fps:FP1269
ko:K09690	fps:FP1270
ko:K01673	fps:FP2029
ko:K02621	fps:FP0649
ko:K02470	fps:FP0527
ko:K02335	fps:FP0290
ko:K03168	fps:FP1975
ko:K03564	fps:FP1100
ko:K02950	fps:FP1343
ko:K07646	fps:FP1688
ko:K02963	fps:FP1850
ko:K01808	fps:FP2488
ko:K01955	fps:FP1282
ko:K02110	fps:FP2461
ko:K01588	fps:FP1363
ko:K09760	fps:FP1992
ko:K02945	fps:FP1793
ko:K03177	fps:FP2357
ko:K02837	fps:FP1172
ko:K00525	fps:FP0457
ko:K00648	fps:FP1501
ko:K01912	fps:FP2253
ko:K02622	fps:FP0646
ko:K02160	fps:FP2378
ko:K00648	fps:FP1374
ko:K02337	fps:FP0341
ko:K00954	fps:FP0654
ko:K03497	fps:FP1130
ko:K03496	fps:FP1131
ko:K00974	fps:FP1644
ko:K01447	fps:FP0810
ko:K02469	fps:FP0748
ko:K03787	fps:FP2332
ko:K02109	fps:FP2460
ko:K07568	fps:FP0240
ko:K02342	fps:FP1915
ko:K10773	fps:FP1101
ko:K02528	fps:FP0068
ko:K01624	fps:FP0323
ko:K03648	fps:FP1038
ko:K03575	fps:FP1665
ko:K06169	fps:FP0742
ko:K00648	fps:FP2379
ko:K00526	fps:FP0458
ko:K01956	fps:FP1311
ko:K07090	fps:FP1816
ko:K02340	fps:FP1053
ko:K02342	fps:FP1438
ko:K00330	fps:FP2232
ko:K00338	fps:FP2223
ko:K00339	fps:FP2222
ko:K00341	fps:FP2220
ko:K01420	fps:FP0925
ko:K00794	fps:FP2003
ko:K00537	fps:FP1603
ko:K03644	fps:FP1469
ko:K00537	fps:FP0352
ko:K07447	fps:FP1751
ko:K03741	fps:FP1599
ko:K03070	fps:FP0581
ko:K01963	fps:FP0322
ko:K10027	fps:FP1449
ko:K00793	fps:FP2383
ko:K01589	fps:FP1362
ko:K02551	fps:FP1676
ko:K03046	fps:FP1175
ko:K06181	fps:FP1993
ko:K06180	fps:FP0887
ko:K06173	fps:FP1423
ko:K03665	fps:FP2414
ko:K00648	fps:FP2279
ko:K10947	fps:FP0675
ko:K02361	fps:FP0658
ko:K00762	fps:FP0663
ko:K06929	fps:FP1302
ko:K06941	fps:FP2080
ko:K02238	fps:FP2334
ko:K01902	fps:FP0972
ko:K06178	fps:FP0315
ko:K02600	fps:FP0469
ko:K03885	fps:FP1931
ko:K11085	fps:FP1139
ko:K02313	fps:FP1208
ko:K01903	fps:FP0908
ko:K01889	fps:FP0124
ko:K09458	fps:FP0201
ko:K03811	fps:FP0186
ko:K01883	fps:FP0598
ko:K02111	fps:FP2458
ko:K01448	fps:FP0752
ko:K00647	fps:FP2284
ko:K03469	fps:FP0198
ko:K06180	fps:FP0651
ko:K03470	fps:FP1200
ko:K02233	fps:FP1459
ko:K01736	fps:FP0765
ko:K01873	fps:FP1698
ko:K03744	fps:FP1702
ko:K00275	fps:FP1704
ko:K00784	fps:FP1705
ko:K01735	fps:FP1707
ko:K00809	fps:FP1709
ko:K00945	fps:FP1712
ko:K01338	fps:FP1714
ko:K06902	fps:FP1715
ko:K07305	fps:FP1718
ko:K07305	fps:FP1719
ko:K00681	fps:FP1721
ko:K09793	fps:FP0213
ko:K01870	fps:FP0217
ko:K03101	fps:FP0219
ko:K06987	fps:FP0221
ko:K03703	fps:FP0222
ko:K07001	fps:FP0223
ko:K00451	fps:FP0225
ko:K00457	fps:FP0226
ko:K00453	fps:FP0228
ko:K04079	fps:FP1509
ko:K09952	fps:FP1524
ko:K03686	fps:FP0670
ko:K03687	fps:FP0671
ko:K07071	fps:FP0672
ko:K09940	fps:FP0674
ko:K00600	fps:FP0681
ko:K00615	fps:FP0682
ko:K00615	fps:FP0683
ko:K01933	fps:FP0685
ko:K01952	fps:FP0695
ko:K00382	fps:FP0706
ko:K03561	fps:FP2210
ko:K03561	fps:FP0542
ko:K07095	fps:FP0709
ko:K07504	fps:FP0713
ko:K03628	fps:FP0717
ko:K09861	fps:FP0718
ko:K01256	fps:FP1008
ko:K01669	fps:FP1014
ko:K01265	fps:FP0419
ko:K03154	fps:FP0427
ko:K00788	fps:FP0429
ko:K00788	fps:FP0431
ko:K03149	fps:FP0432
ko:K03150	fps:FP0433
ko:K09903	fps:FP0435
ko:K02838	fps:FP0436
ko:K01754	fps:FP0445
ko:K00053	fps:FP0446
ko:K01687	fps:FP0449
ko:K00826	fps:FP0450
ko:K02357	fps:FP0453
