ko:K14222	hiz:R2866_0615
ko:K07149	hiz:R2866_0056
ko:K00127	hiz:R2866_0697
ko:K00123	hiz:R2866_0699
ko:K06148	hiz:R2866_1811
ko:K19229	hiz:R2866_1180
ko:K07316	hiz:R2866_1343
ko:K03326	hiz:R2866_1884
ko:K02950	hiz:R2866_0002
ko:K02355	hiz:R2866_0004
ko:K18136	hiz:R2866_1489
ko:K02825	hiz:R2866_0114
ko:K03771	hiz:R2866_0115
ko:K07082	hiz:R2866_0116
ko:K00943	hiz:R2866_0117
ko:K02341	hiz:R2866_0119
ko:K03424	hiz:R2866_0120
ko:K02768	hiz:R2866_0126
ko:K11183	hiz:R2866_0126
ko:K02769	hiz:R2866_0128
ko:K02770	hiz:R2866_0128
ko:K03075	hiz:R2866_0130
ko:K06187	hiz:R2866_0132
ko:K09747	hiz:R2866_0133
ko:K07115	hiz:R2866_0134
ko:K05366	hiz:R2866_0135
ko:K02507	hiz:R2866_0140
ko:K07400	hiz:R2866_0142
ko:K03426	hiz:R2866_0143
ko:K09891	hiz:R2866_0144
ko:K05787	hiz:R2866_0145
ko:K00820	hiz:R2866_0146
ko:K03611	hiz:R2866_0147
ko:K03314	hiz:R2866_0148
ko:K03603	hiz:R2866_0149
ko:K00998	hiz:R2866_0150
ko:K03214	hiz:R2866_0151
ko:K05590	hiz:R2866_0153
ko:K08303	hiz:R2866_0154
ko:K00788	hiz:R2866_0156
ko:K00941	hiz:R2866_0157
ko:K00878	hiz:R2866_0158
ko:K08300	hiz:R2866_0160
ko:K03666	hiz:R2866_0162
ko:K03721	hiz:R2866_0163
ko:K09817	hiz:R2866_0165
ko:K09816	hiz:R2866_0166
ko:K14055	hiz:R2866_0965
ko:K07053	hiz:R2866_1002
ko:K02339	hiz:R2866_1005
ko:K09900	hiz:R2866_1006
ko:K01873	hiz:R2866_1008
ko:K04653	hiz:R2866_1009
ko:K13498	hiz:R2866_1010
ko:K00766	hiz:R2866_1011
ko:K01657	hiz:R2866_1014
ko:K02217	hiz:R2866_1016
ko:K02217	hiz:R2866_1017
ko:K02040	hiz:R2866_1018
ko:K02037	hiz:R2866_1019
ko:K02445	hiz:R2866_1788
ko:K00111	hiz:R2866_1789
ko:K00112	hiz:R2866_1790
ko:K00113	hiz:R2866_1791
ko:K00053	hiz:R2866_1792
ko:K02521	hiz:R2866_1793
ko:K05786	hiz:R2866_1794
ko:K02439	hiz:R2866_1795
ko:K01803	hiz:R2866_1796
ko:K03733	hiz:R2866_1798
ko:K05589	hiz:R2866_1801
ko:K00991	hiz:R2866_1802
ko:K01770	hiz:R2866_1803
ko:K07560	hiz:R2866_1804
ko:K06205	hiz:R2866_1805
ko:K09892	hiz:R2866_1806
ko:K07154	hiz:R2866_1809
ko:K07154	hiz:R2866_1810
ko:K06158	hiz:R2866_1816
ko:K07479	hiz:R2866_1817
ko:K07566	hiz:R2866_1818
ko:K00014	hiz:R2866_1819
ko:K01246	hiz:R2866_1821
ko:K02527	hiz:R2866_1823
ko:K00954	hiz:R2866_1824
ko:K03656	hiz:R2866_1826
ko:K07133	hiz:R2866_1827
ko:K03923	hiz:R2866_1830
ko:K14441	hiz:R2866_1831
ko:K07507	hiz:R2866_1832
ko:K00133	hiz:R2866_1833
ko:K07821	hiz:R2866_1835
ko:K03553	hiz:R2866_1873
ko:K01962	hiz:R2866_0167
ko:K00868	hiz:R2866_0168
ko:K04075	hiz:R2866_0169
ko:K03573	hiz:R2866_0170
ko:K06076	hiz:R2866_0172
ko:K03651	hiz:R2866_0174
ko:K03601	hiz:R2866_0176
ko:K09801	hiz:R2866_0178
ko:K01056	hiz:R2866_0179
ko:K06942	hiz:R2866_0180
ko:K03684	hiz:R2866_0182
ko:K07285	hiz:R2866_0184
ko:K07107	hiz:R2866_0187
ko:K03562	hiz:R2866_0188
ko:K03641	hiz:R2866_0191
ko:K03640	hiz:R2866_0192
ko:K15396	hiz:R2866_0195
ko:K13643	hiz:R2866_0196
ko:K04487	hiz:R2866_0197
ko:K04082	hiz:R2866_0200
ko:K04044	hiz:R2866_0202
ko:K04755	hiz:R2866_0203
ko:K01892	hiz:R2866_0206
ko:K15539	hiz:R2866_0208
ko:K02656	hiz:R2866_0209
ko:K06941	hiz:R2866_0210
ko:K07262	hiz:R2866_0211
ko:K11605	hiz:R2866_0215
ko:K11606	hiz:R2866_0216
ko:K03707	hiz:R2866_0217
ko:K15598	hiz:R2866_0218
