ko:K15039	siy:YG5714_1494
ko:K04518	siy:YG5714_1969
ko:K10026	siy:YG5714_1513
ko:K22223	siy:YG5714_2156
ko:K07333	siy:YG5714_0119
ko:K00963	siy:YG5714_2268
ko:K15016	siy:YG5714_0307
ko:K13787	siy:YG5714_2184
ko:K00703	siy:YG5714_1221
ko:K08681	siy:YG5714_1562
ko:K03049	siy:YG5714_1806
ko:K03242	siy:YG5714_1808
ko:K02991	siy:YG5714_1809
ko:K03795	siy:YG5714_1810
ko:K02956	siy:YG5714_1811
ko:K00549	siy:YG5714_1812
ko:K00549	siy:YG5714_1813
ko:K04802	siy:YG5714_1814
ko:K02858	siy:YG5714_1817
ko:K00794	siy:YG5714_1819
ko:K08096	siy:YG5714_1820
ko:K06915	siy:YG5714_1824
ko:K03724	siy:YG5714_1825
ko:K02875	siy:YG5714_1826
ko:K06215	siy:YG5714_1563
ko:K02976	siy:YG5714_1564
ko:K01881	siy:YG5714_1565
ko:K02124	siy:YG5714_1566
ko:K02120	siy:YG5714_1568
ko:K02118	siy:YG5714_1569
ko:K02117	siy:YG5714_1570
ko:K02122	siy:YG5714_1572
ko:K02123	siy:YG5714_1573
ko:K01874	siy:YG5714_1574
ko:K02319	siy:YG5714_1580
ko:K09140	siy:YG5714_1581
ko:K00927	siy:YG5714_1584
ko:K00600	siy:YG5714_1587
ko:K01611	siy:YG5714_1592
ko:K06920	siy:YG5714_1598
ko:K02291	siy:YG5714_1668
ko:K01869	siy:YG5714_1693
ko:K00286	siy:YG5714_1703
ko:K01733	siy:YG5714_1705
ko:K02038	siy:YG5714_1706
ko:K02037	siy:YG5714_1707
ko:K02040	siy:YG5714_1708
ko:K02036	siy:YG5714_1709
ko:K02013	siy:YG5714_1710
ko:K03750	siy:YG5714_1466
ko:K03753	siy:YG5714_1467
ko:K00331	siy:YG5714_1476
ko:K07566	siy:YG5714_1477
ko:K03524	siy:YG5714_1478
ko:K03592	siy:YG5714_1479
ko:K03568	siy:YG5714_1480
ko:K07722	siy:YG5714_1481
ko:K00003	siy:YG5714_1483
ko:K04069	siy:YG5714_1487
ko:K09129	siy:YG5714_1489
ko:K07477	siy:YG5714_1495
ko:K01955	siy:YG5714_1497
ko:K01956	siy:YG5714_1498
ko:K01755	siy:YG5714_1499
ko:K02015	siy:YG5714_1711
ko:K03118	siy:YG5714_1713
