ko:K18917	cpl:Cp3995_0641
ko:K01992	cpl:Cp3995_0329
ko:K01992	cpl:Cp3995_1119
ko:K01992	cpl:Cp3995_1669
ko:K02501	cpl:Cp3995_1393
ko:K01693	cpl:Cp3995_1396
ko:K00817	cpl:Cp3995_1397
ko:K00013	cpl:Cp3995_1398
ko:K04762	cpl:Cp3995_1408
ko:K01754	cpl:Cp3995_1411
ko:K02337	cpl:Cp3995_1412
ko:K05786	cpl:Cp3995_1413
ko:K06180	cpl:Cp3995_1415
ko:K03101	cpl:Cp3995_1416
ko:K02346	cpl:Cp3995_1419
ko:K01870	cpl:Cp3995_1420
ko:K02221	cpl:Cp3995_1423
ko:K09772	cpl:Cp3995_1425
ko:K05810	cpl:Cp3995_1427
ko:K03531	cpl:Cp3995_1428
ko:K03589	cpl:Cp3995_1429
ko:K01924	cpl:Cp3995_1430
ko:K02563	cpl:Cp3995_1432
ko:K02968	cpl:Cp3995_1609
ko:K02340	cpl:Cp3995_1612
ko:K02237	cpl:Cp3995_1614
ko:K09710	cpl:Cp3995_1617
ko:K00969	cpl:Cp3995_1618
ko:K00147	cpl:Cp3995_1619
ko:K09790	cpl:Cp3995_1621
ko:K07085	cpl:Cp3995_1622
ko:K00931	cpl:Cp3995_1623
ko:K03979	cpl:Cp3995_1624
ko:K02899	cpl:Cp3995_1625
ko:K02888	cpl:Cp3995_1626
ko:K00940	cpl:Cp3995_1630
ko:K11754	cpl:Cp3995_1633
ko:K01873	cpl:Cp3995_1634
ko:K00024	cpl:Cp3995_1635
ko:K03544	cpl:Cp3995_1637
ko:K13950	cpl:Cp3995_1638
ko:K01358	cpl:Cp3995_1639
ko:K01358	cpl:Cp3995_1640
ko:K03545	cpl:Cp3995_1641
ko:K00134	cpl:Cp3995_0704
ko:K02837	cpl:Cp3995_0708
ko:K01056	cpl:Cp3995_0710
ko:K00459	cpl:Cp3995_0711
ko:K01056	cpl:Cp3995_0713
ko:K02897	cpl:Cp3995_0714
ko:K00948	cpl:Cp3995_0716
ko:K04042	cpl:Cp3995_0717
ko:K03723	cpl:Cp3995_0721
ko:K03758	cpl:Cp3995_0722
ko:K01689	cpl:Cp3995_0725
ko:K01524	cpl:Cp3995_0729
ko:K03624	cpl:Cp3995_0733
ko:K00600	cpl:Cp3995_0740
ko:K02078	cpl:Cp3995_1541
ko:K00820	cpl:Cp3995_1550
ko:K01129	cpl:Cp3995_1553
ko:K01867	cpl:Cp3995_0469
ko:K07058	cpl:Cp3995_0470
ko:K00761	cpl:Cp3995_0476
ko:K01880	cpl:Cp3995_1558
ko:K00806	cpl:Cp3995_1562
ko:K03584	cpl:Cp3995_1563
ko:K00868	cpl:Cp3995_1565
ko:K07042	cpl:Cp3995_1567
ko:K09761	cpl:Cp3995_1569
ko:K03686	cpl:Cp3995_1570
ko:K03705	cpl:Cp3995_1571
ko:K00705	cpl:Cp3995_1576
ko:K01284	cpl:Cp3995_1579
ko:K03311	cpl:Cp3995_1587
ko:K07088	cpl:Cp3995_1592
ko:K09136	cpl:Cp3995_1661
ko:K09136	cpl:Cp3995_1668
ko:K06200	cpl:Cp3995_1672
ko:K14645	cpl:Cp3995_1673
ko:K07124	cpl:Cp3995_1676
ko:K13288	cpl:Cp3995_1677
ko:K01714	cpl:Cp3995_1678
ko:K08281	cpl:Cp3995_1682
ko:K03564	cpl:Cp3995_1685
ko:K00997	cpl:Cp3995_1687
ko:K11533	cpl:Cp3995_1688
ko:K02015	cpl:Cp3995_0593
ko:K02013	cpl:Cp3995_0594
ko:K14267	cpl:Cp3995_0598
ko:K03704	cpl:Cp3995_0605
ko:K06901	cpl:Cp3995_0609
ko:K00831	cpl:Cp3995_0613
ko:K01647	cpl:Cp3995_0614
ko:K01810	cpl:Cp3995_0649
ko:K03657	cpl:Cp3995_0652
ko:K11175	cpl:Cp3995_0655
ko:K00602	cpl:Cp3995_0656
ko:K10008	cpl:Cp3995_0658
ko:K10005	cpl:Cp3995_0659
ko:K10006	cpl:Cp3995_0660
ko:K10007	cpl:Cp3995_0661
ko:K01644	cpl:Cp3995_0662
ko:K02963	cpl:Cp3995_0665
ko:K02954	cpl:Cp3995_0666
ko:K02913	cpl:Cp3995_0667
ko:K02902	cpl:Cp3995_0668
ko:K02909	cpl:Cp3995_0669
ko:K02911	cpl:Cp3995_0670
ko:K03282	cpl:Cp3995_0676
ko:K00963	cpl:Cp3995_0679
ko:K03750	cpl:Cp3995_0680
ko:K03790	cpl:Cp3995_0681
ko:K15977	cpl:Cp3995_0683
ko:K14393	cpl:Cp3995_0623
ko:K03327	cpl:Cp3995_0629
ko:K01697	cpl:Cp3995_0630
ko:K01586	cpl:Cp3995_0631
ko:K03588	cpl:Cp3995_1433
ko:K01925	cpl:Cp3995_1434
ko:K01000	cpl:Cp3995_1435
ko:K01929	cpl:Cp3995_1436
ko:K01928	cpl:Cp3995_1437
ko:K03587	cpl:Cp3995_1438
ko:K03438	cpl:Cp3995_1440
ko:K03925	cpl:Cp3995_1441
ko:K03427	cpl:Cp3995_1504
ko:K02003	cpl:Cp3995_1508
ko:K07084	cpl:Cp3995_1516
ko:K01733	cpl:Cp3995_1519
ko:K00982	cpl:Cp3995_1523
ko:K01915	cpl:Cp3995_1524
ko:K00849	cpl:Cp3995_1528
ko:K07164	cpl:Cp3995_1531
ko:K00817	cpl:Cp3995_1533
ko:K02227	cpl:Cp3995_1537
ko:K00163	cpl:Cp3995_1539
ko:K00382	cpl:Cp3995_0480
ko:K06287	cpl:Cp3995_0490
ko:K02529	cpl:Cp3995_0492
ko:K03524	cpl:Cp3995_0497
ko:K01589	cpl:Cp3995_0499
ko:K01588	cpl:Cp3995_0500
ko:K01809	cpl:Cp3995_0517
ko:K01251	cpl:Cp3995_0521
ko:K00943	cpl:Cp3995_0522
ko:K13580	cpl:Cp3995_1325
ko:K00116	cpl:Cp3995_1327
ko:K02232	cpl:Cp3995_1332
ko:K01265	cpl:Cp3995_1333
ko:K00563	cpl:Cp3995_0797
ko:K01193	cpl:Cp3995_0798
ko:K01575	cpl:Cp3995_0799
ko:K00975	cpl:Cp3995_0801
ko:K03088	cpl:Cp3995_0803
ko:K03117	cpl:Cp3995_0805
ko:K02836	cpl:Cp3995_0584
ko:K09812	cpl:Cp3995_0587
ko:K09811	cpl:Cp3995_0588
ko:K03664	cpl:Cp3995_0589
ko:K01673	cpl:Cp3995_0590
ko:K02016	cpl:Cp3995_0591
ko:K02034	cpl:Cp3995_0636
ko:K03724	cpl:Cp3995_0645
ko:K03070	cpl:Cp3995_0528
ko:K06949	cpl:Cp3995_0534
ko:K00800	cpl:Cp3995_0535
ko:K03823	cpl:Cp3995_0746
ko:K03602	cpl:Cp3995_0752
ko:K03601	cpl:Cp3995_0753
ko:K03527	cpl:Cp3995_0754
ko:K02015	cpl:Cp3995_0592
ko:K03644	cpl:Cp3995_1481
ko:K01915	cpl:Cp3995_1484
ko:K00297	cpl:Cp3995_1446
ko:K01626	cpl:Cp3995_1451
ko:K00655	cpl:Cp3995_1454
ko:K02276	cpl:Cp3995_1463
ko:K02275	cpl:Cp3995_1465
ko:K01953	cpl:Cp3995_1466
ko:K02231	cpl:Cp3995_1469
ko:K00768	cpl:Cp3995_1470
ko:K02233	cpl:Cp3995_1471
ko:K00826	cpl:Cp3995_1472
ko:K01255	cpl:Cp3995_1473
ko:K00658	cpl:Cp3995_1475
ko:K00281	cpl:Cp3995_1476
ko:K00605	cpl:Cp3995_1477
ko:K02437	cpl:Cp3995_1478
ko:K03801	cpl:Cp3995_1480
ko:K03088	cpl:Cp3995_0538
ko:K03657	cpl:Cp3995_0550
ko:K03426	cpl:Cp3995_0552
ko:K03657	cpl:Cp3995_0553
ko:K07043	cpl:Cp3995_0555
ko:K11738	cpl:Cp3995_0576
ko:K00688	cpl:Cp3995_1382
ko:K00873	cpl:Cp3995_1385
ko:K01609	cpl:Cp3995_1387
ko:K02500	cpl:Cp3995_1390
ko:K06942	cpl:Cp3995_0757
ko:K06193	cpl:Cp3995_0760
ko:K09781	cpl:Cp3995_0764
ko:K00077	cpl:Cp3995_0765
ko:K00099	cpl:Cp3995_1337
ko:K00981	cpl:Cp3995_1342
ko:K02838	cpl:Cp3995_1343
ko:K09903	cpl:Cp3995_1344
ko:K02357	cpl:Cp3995_1345
ko:K02967	cpl:Cp3995_1346
ko:K03733	cpl:Cp3995_1348
ko:K04096	cpl:Cp3995_1349
ko:K07391	cpl:Cp3995_1350
ko:K03470	cpl:Cp3995_1353
ko:K03100	cpl:Cp3995_1354
ko:K02884	cpl:Cp3995_1355
ko:K00554	cpl:Cp3995_1359
ko:K02860	cpl:Cp3995_1360
ko:K02959	cpl:Cp3995_1362
ko:K03106	cpl:Cp3995_1363
ko:K00990	cpl:Cp3995_1364
ko:K04751	cpl:Cp3995_1365
ko:K03110	cpl:Cp3995_1366
ko:K03529	cpl:Cp3995_1368
ko:K01512	cpl:Cp3995_1369
ko:K03310	cpl:Cp3995_1370
ko:K03685	cpl:Cp3995_1372
ko:K07040	cpl:Cp3995_1373
ko:K00259	cpl:Cp3995_1376
ko:K00262	cpl:Cp3995_1377
ko:K00865	cpl:Cp3995_1378
ko:K03501	cpl:Cp3995_2174
ko:K03217	cpl:Cp3995_2175
ko:K03536	cpl:Cp3995_2176
ko:K02914	cpl:Cp3995_2177
ko:K00014	cpl:Cp3995_0813
ko:K00965	cpl:Cp3995_0821
ko:K00849	cpl:Cp3995_0822
ko:K05592	cpl:Cp3995_0823
ko:K00782	cpl:Cp3995_0840
ko:K03303	cpl:Cp3995_0843
ko:K01887	cpl:Cp3995_0844
ko:K01586	cpl:Cp3995_0845
ko:K00003	cpl:Cp3995_0846
ko:K00872	cpl:Cp3995_0847
ko:K03628	cpl:Cp3995_0850
ko:K06911	cpl:Cp3995_1645
ko:K01808	cpl:Cp3995_1646
