ko:K09796	psr:PSTAA_2146
ko:K01971	psr:PSTAA_2160
ko:K10747	psr:PSTAA_2783
ko:K18929	psr:PSTAA_3501
ko:K10109	psr:PSTAA_3581
ko:K03297	psr:PSTAA_3928
ko:K02487	psr:PSTAA_1264
ko:K08305	psr:PSTAA_3855
ko:K22617	psr:PSTAA_1102
ko:K16238	psr:PSTAA_3773
ko:K18928	psr:PSTAA_3500
ko:K03321	psr:PSTAA_2632
ko:K11741	psr:PSTAA_3588
ko:K10716	psr:PSTAA_1883
ko:K00254	psr:PSTAA_2499
ko:K00020	psr:PSTAA_1947
ko:K02226	psr:PSTAA_1332
ko:K14229	psr:PSTAA_2921
ko:K14229	psr:PSTAA_3731
ko:K16092	psr:PSTAA_0786
ko:K00064	psr:PSTAA_2034
ko:K03301	psr:PSTAA_3034
ko:K16092	psr:PSTAA_1321
ko:K16089	psr:PSTAA_0965
ko:K16090	psr:PSTAA_0960
ko:K16089	psr:PSTAA_1815
ko:K15726	psr:PSTAA_4037
ko:K16147	psr:PSTAA_2185
ko:K03301	psr:PSTAA_0353
ko:K08363	psr:PSTAA_4055
ko:K02014	psr:PSTAA_4329
ko:K02014	psr:PSTAA_0212
ko:K14218	psr:PSTAA_3156
ko:K14218	psr:PSTAA_3158
ko:K02014	psr:PSTAA_3991
ko:K02014	psr:PSTAA_3176
ko:K00130	psr:PSTAA_1761
ko:K09946	psr:PSTAA_0456
ko:K01807	psr:PSTAA_0457
ko:K01754	psr:PSTAA_0458
ko:K08311	psr:PSTAA_0462
ko:K08484	psr:PSTAA_0463
ko:K13292	psr:PSTAA_0466
ko:K01998	psr:PSTAA_0469
ko:K01997	psr:PSTAA_0470
ko:K01996	psr:PSTAA_0471
ko:K01995	psr:PSTAA_0472
ko:K01999	psr:PSTAA_0473
ko:K07636	psr:PSTAA_0479
ko:K03179	psr:PSTAA_0481
ko:K03181	psr:PSTAA_0482
ko:K11474	psr:PSTAA_0483
ko:K11472	psr:PSTAA_0485
ko:K11473	psr:PSTAA_0486
ko:K11477	psr:PSTAA_0487
ko:K01638	psr:PSTAA_0488
ko:K03303	psr:PSTAA_0489
ko:K05297	psr:PSTAA_0491
ko:K05787	psr:PSTAA_0492
ko:K00252	psr:PSTAA_0495
ko:K03744	psr:PSTAA_0499
ko:K06872	psr:PSTAA_0500
ko:K08988	psr:PSTAA_0501
ko:K09801	psr:PSTAA_1353
ko:K02588	psr:PSTAA_1358
ko:K02586	psr:PSTAA_1359
ko:K02593	psr:PSTAA_1361
ko:K02596	psr:PSTAA_1367
ko:K02018	psr:PSTAA_1378
ko:K02020	psr:PSTAA_1379
ko:K02019	psr:PSTAA_1380
ko:K13819	psr:PSTAA_1382
ko:K04487	psr:PSTAA_1383
ko:K02594	psr:PSTAA_1384
ko:K00640	psr:PSTAA_1385
ko:K02595	psr:PSTAA_1387
ko:K03544	psr:PSTAA_1390
ko:K03839	psr:PSTAA_1391
ko:K00432	psr:PSTAA_1392
ko:K06076	psr:PSTAA_1393
ko:K03684	psr:PSTAA_1395
ko:K09902	psr:PSTAA_1396
ko:K09160	psr:PSTAA_1398
ko:K01620	psr:PSTAA_1400
ko:K01872	psr:PSTAA_1401
ko:K00928	psr:PSTAA_1402
ko:K03563	psr:PSTAA_1403
ko:K03168	psr:PSTAA_2245
ko:K07400	psr:PSTAA_2248
ko:K03811	psr:PSTAA_2254
ko:K06941	psr:PSTAA_2259
ko:K13993	psr:PSTAA_2262
ko:K00381	psr:PSTAA_2264
ko:K07090	psr:PSTAA_2273
ko:K03426	psr:PSTAA_2274
ko:K01584	psr:PSTAA_2277
ko:K08307	psr:PSTAA_2282
ko:K13893	psr:PSTAA_2284
ko:K13893	psr:PSTAA_2285
ko:K13894	psr:PSTAA_2286
ko:K13895	psr:PSTAA_2287
ko:K13896	psr:PSTAA_2288
ko:K00208	psr:PSTAA_2289
ko:K04046	psr:PSTAA_3135
ko:K06153	psr:PSTAA_3139
ko:K02044	psr:PSTAA_3140
ko:K02041	psr:PSTAA_3141
ko:K02042	psr:PSTAA_3142
ko:K02042	psr:PSTAA_3143
ko:K01999	psr:PSTAA_3145
ko:K01997	psr:PSTAA_3146
ko:K01998	psr:PSTAA_3147
ko:K01995	psr:PSTAA_3148
ko:K01996	psr:PSTAA_3149
ko:K02346	psr:PSTAA_3153
ko:K07107	psr:PSTAA_3154
ko:K03702	psr:PSTAA_3160
ko:K00832	psr:PSTAA_3161
ko:K07390	psr:PSTAA_3164
ko:K00611	psr:PSTAA_3165
ko:K01951	psr:PSTAA_3169
ko:K00948	psr:PSTAA_0802
ko:K00019	psr:PSTAA_0804
ko:K02106	psr:PSTAA_0806
ko:K09005	psr:PSTAA_0807
ko:K05800	psr:PSTAA_0808
ko:K04090	psr:PSTAA_0809
ko:K00263	psr:PSTAA_0810
ko:K03308	psr:PSTAA_0811
ko:K00457	psr:PSTAA_0812
ko:K00451	psr:PSTAA_0813
ko:K03308	psr:PSTAA_0816
ko:K07007	psr:PSTAA_0826
ko:K10805	psr:PSTAA_0829
ko:K07673	psr:PSTAA_0837
ko:K02575	psr:PSTAA_0838
ko:K02575	psr:PSTAA_0840
ko:K00370	psr:PSTAA_0841
ko:K00371	psr:PSTAA_0842
ko:K00373	psr:PSTAA_0843
ko:K03639	psr:PSTAA_0846
ko:K03638	psr:PSTAA_0847
ko:K04754	psr:PSTAA_1684
ko:K05539	psr:PSTAA_1689
ko:K05549	psr:PSTAA_1695
ko:K05550	psr:PSTAA_1696
ko:K05784	psr:PSTAA_1697
ko:K05783	psr:PSTAA_1698
ko:K05548	psr:PSTAA_1699
ko:K03464	psr:PSTAA_1701
ko:K03381	psr:PSTAA_1702
ko:K05782	psr:PSTAA_1703
ko:K09924	psr:PSTAA_1712
ko:K05527	psr:PSTAA_1713
ko:K07146	psr:PSTAA_1714
ko:K07396	psr:PSTAA_1715
ko:K15034	psr:PSTAA_1719
ko:K01640	psr:PSTAA_1731
ko:K01895	psr:PSTAA_1737
ko:K01354	psr:PSTAA_1739
ko:K00906	psr:PSTAA_2581
ko:K01738	psr:PSTAA_2583
ko:K09989	psr:PSTAA_2587
ko:K15738	psr:PSTAA_2593
ko:K08309	psr:PSTAA_2594
ko:K07140	psr:PSTAA_2595
ko:K03415	psr:PSTAA_2596
ko:K01991	psr:PSTAA_2609
ko:K03601	psr:PSTAA_3172
ko:K01649	psr:PSTAA_3178
ko:K13979	psr:PSTAA_3179
ko:K01150	psr:PSTAA_3181
ko:K08984	psr:PSTAA_3182
ko:K14287	psr:PSTAA_3187
ko:K00640	psr:PSTAA_3188
ko:K03977	psr:PSTAA_3189
ko:K14393	psr:PSTAA_4028
ko:K05591	psr:PSTAA_4031
ko:K07644	psr:PSTAA_4040
ko:K07240	psr:PSTAA_4042
ko:K07007	psr:PSTAA_4058
ko:K01624	psr:PSTAA_4066
ko:K00927	psr:PSTAA_4069
ko:K03472	psr:PSTAA_4070
ko:K00615	psr:PSTAA_4071
ko:K00789	psr:PSTAA_4076
ko:K01972	psr:PSTAA_4081
ko:K02362	psr:PSTAA_2612
ko:K05788	psr:PSTAA_2614
ko:K05592	psr:PSTAA_2615
ko:K01626	psr:PSTAA_2618
ko:K14445	psr:PSTAA_2619
ko:K02356	psr:PSTAA_2620
ko:K06955	psr:PSTAA_2622
ko:K02556	psr:PSTAA_2623
ko:K02557	psr:PSTAA_2624
ko:K07238	psr:PSTAA_2625
ko:K09808	psr:PSTAA_2628
ko:K07112	psr:PSTAA_2635
ko:K07112	psr:PSTAA_2636
ko:K02834	psr:PSTAA_3472
ko:K02519	psr:PSTAA_3473
ko:K02600	psr:PSTAA_3474
ko:K09748	psr:PSTAA_3475
ko:K03075	psr:PSTAA_3478
ko:K01803	psr:PSTAA_3479
ko:K03431	psr:PSTAA_3480
ko:K00796	psr:PSTAA_3481
ko:K03798	psr:PSTAA_3482
ko:K07574	psr:PSTAA_3483
ko:K03624	psr:PSTAA_3485
ko:K01955	psr:PSTAA_3486
ko:K01956	psr:PSTAA_3487
ko:K00215	psr:PSTAA_3488
ko:K03686	psr:PSTAA_3489
ko:K04043	psr:PSTAA_3490
ko:K03687	psr:PSTAA_3491
ko:K03631	psr:PSTAA_3492
ko:K06186	psr:PSTAA_3494
ko:K09801	psr:PSTAA_3495
ko:K03664	psr:PSTAA_3497
ko:K03303	psr:PSTAA_3499
ko:K00782	psr:PSTAA_3502
ko:K07787	psr:PSTAA_3512
ko:K07798	psr:PSTAA_3513
ko:K07233	psr:PSTAA_3522
ko:K03501	psr:PSTAA_4357
ko:K03495	psr:PSTAA_4358
ko:K05571	psr:PSTAA_4359
ko:K05569	psr:PSTAA_4361
ko:K05567	psr:PSTAA_4363
ko:K05566	psr:PSTAA_4364
ko:K03650	psr:PSTAA_4366
ko:K03217	psr:PSTAA_4367
ko:K08998	psr:PSTAA_4368
ko:K03536	psr:PSTAA_4369
ko:K02914	psr:PSTAA_4370
ko:K03798	psr:PSTAA_0504
ko:K07303	psr:PSTAA_0507
ko:K07302	psr:PSTAA_0508
ko:K03060	psr:PSTAA_0513
ko:K00942	psr:PSTAA_0514
ko:K00989	psr:PSTAA_0516
ko:K09940	psr:PSTAA_0517
ko:K01142	psr:PSTAA_0518
ko:K00762	psr:PSTAA_0519
ko:K00930	psr:PSTAA_0522
ko:K15778	psr:PSTAA_0523
ko:K13038	psr:PSTAA_0525
ko:K03630	psr:PSTAA_0526
ko:K00074	psr:PSTAA_0529
ko:K00285	psr:PSTAA_0536
ko:K03816	psr:PSTAA_0541
ko:K05343	psr:PSTAA_0543
ko:K00134	psr:PSTAA_0545
ko:K00140	psr:PSTAA_0548
ko:K11068	psr:PSTAA_0550
