ko:K09796	myc:NF90_13045
ko:K14231	myc:NF90_19260
ko:K02113	myc:NF90_16360
ko:K02109	myc:NF90_16360
ko:K18958	myc:NF90_06600
ko:K15733	myc:NF90_13050
ko:K18955	myc:NF90_06225
ko:K19311	myc:NF90_06555
ko:K19746	myc:NF90_00725
ko:K22552	myc:NF90_17215
ko:K21689	myc:NF90_03850
ko:K21688	myc:NF90_17915
ko:K19302	myc:NF90_22015
ko:K00897	myc:NF90_22200
ko:K14333	myc:NF90_06290
ko:K21672	myc:NF90_01260
ko:K14224	myc:NF90_07730
ko:K14237	myc:NF90_09735
ko:K14237	myc:NF90_09750
ko:K14230	myc:NF90_14955
ko:K14218	myc:NF90_22950
ko:K14233	myc:NF90_21965
ko:K18955	myc:NF90_21115
ko:K18955	myc:NF90_05605
ko:K01687	myc:NF90_01700
ko:K01969	myc:NF90_01725
ko:K11263	myc:NF90_01730
ko:K07386	myc:NF90_01745
ko:K06929	myc:NF90_01760
ko:K02066	myc:NF90_01835
ko:K02066	myc:NF90_01840
ko:K02067	myc:NF90_01850
ko:K06860	myc:NF90_01890
ko:K03439	myc:NF90_01895
ko:K01596	myc:NF90_01915
ko:K02361	myc:NF90_06465
ko:K02575	myc:NF90_06525
ko:K00362	myc:NF90_06530
ko:K00363	myc:NF90_06535
ko:K01719	myc:NF90_06540
ko:K03657	myc:NF90_06565
ko:K10716	myc:NF90_06570
ko:K03426	myc:NF90_06575
ko:K18917	myc:NF90_06580
ko:K03657	myc:NF90_06585
ko:K07177	myc:NF90_06635
ko:K09118	myc:NF90_06640
ko:K03696	myc:NF90_06680
ko:K05602	myc:NF90_06715
ko:K00528	myc:NF90_06730
ko:K01657	myc:NF90_11150
ko:K01609	myc:NF90_11160
ko:K01696	myc:NF90_11165
ko:K01695	myc:NF90_11170
ko:K11741	myc:NF90_11185
ko:K00873	myc:NF90_11190
ko:K10805	myc:NF90_11195
ko:K16012	myc:NF90_11220
ko:K16013	myc:NF90_11225
ko:K00426	myc:NF90_11230
ko:K00425	myc:NF90_11235
ko:K01999	myc:NF90_11260
