ko:K07489	ypv:BZ15_2605
ko:K13060	ypv:BZ15_2588
ko:K08723	ypv:BZ15_1230
ko:K21029	ypv:BZ15_2059
ko:K19298	ypv:BZ15_3236
ko:K15634	ypv:BZ15_3116
ko:K19734	ypv:BZ15_1073
ko:K19734	ypv:BZ15_2589
ko:K20542	ypv:BZ15_3707
ko:K20866	ypv:BZ15_3541
ko:K02495	ypv:BZ15_3546
ko:K19789	ypv:BZ15_2287
ko:K07493	ypv:BZ15_1344
ko:K07493	ypv:BZ15_1367
ko:K07493	ypv:BZ15_1401
ko:K07493	ypv:BZ15_1433
ko:K07493	ypv:BZ15_1553
ko:K07493	ypv:BZ15_1822
ko:K07493	ypv:BZ15_1930
ko:K07493	ypv:BZ15_1961
ko:K07493	ypv:BZ15_1965
ko:K07493	ypv:BZ15_1990
ko:K07493	ypv:BZ15_2060
ko:K07493	ypv:BZ15_3556
ko:K07493	ypv:BZ15_3833
ko:K07493	ypv:BZ15_4271
ko:K07493	ypv:BZ15_589
ko:K07493	ypv:BZ15_728
ko:K07493	ypv:BZ15_877
ko:K07493	ypv:BZ15_968
ko:K00344	ypv:BZ15_3254
ko:K21908	ypv:BZ15_2983
ko:K01271	ypv:BZ15_3951
ko:K07493	ypv:BZ15_1080
ko:K01138	ypv:BZ15_2734
ko:K11904	ypv:BZ15_2080
ko:K01593	ypv:BZ15_2363
ko:K00130	ypv:BZ15_2391
ko:K13002	ypv:BZ15_429
ko:K03973	ypv:BZ15_1177
ko:K02032	ypv:BZ15_69
ko:K00632	ypv:BZ15_3949
ko:K02081	ypv:BZ15_2745
ko:K04057	ypv:BZ15_4397
ko:K02032	ypv:BZ15_870
ko:K13001	ypv:BZ15_423
ko:K13000	ypv:BZ15_420
ko:K12453	ypv:BZ15_415
ko:K03892	ypv:BZ15_177
ko:K05799	ypv:BZ15_102
ko:K03293	ypv:BZ15_3854
ko:K01406	ypv:BZ15_3732
ko:K11894	ypv:BZ15_4037
ko:K04753	ypv:BZ15_2902
ko:K07497	ypv:BZ15_1530
ko:K02015	ypv:BZ15_2211
ko:K09798	ypv:BZ15_3507
ko:K20881	ypv:BZ15_3427
ko:K00632	ypv:BZ15_779
ko:K00342	ypv:BZ15_992
ko:K00343	ypv:BZ15_993
ko:K00851	ypv:BZ15_996
ko:K00046	ypv:BZ15_997
ko:K09933	ypv:BZ15_1816
ko:K02529	ypv:BZ15_1821
ko:K01815	ypv:BZ15_1824
ko:K00065	ypv:BZ15_1825
ko:K01731	ypv:BZ15_1826
ko:K10193	ypv:BZ15_1827
ko:K10194	ypv:BZ15_1828
ko:K10195	ypv:BZ15_1829
ko:K10192	ypv:BZ15_1830
ko:K07038	ypv:BZ15_1832
