ko:K18928	bpsd:BBX_5391
ko:K00130	bpsd:BBX_4660
ko:K07005	bpsd:BBX_5800
ko:K12979	bpsd:BBX_3892
ko:K03297	bpsd:BBX_2330
ko:K14230	bpsd:BBX_3202
ko:K01178	bpsd:BBX_5204
ko:K16238	bpsd:BBX_396
ko:K14229	bpsd:BBX_1077
ko:K14237	bpsd:BBX_1883
ko:K14237	bpsd:BBX_2419
ko:K14237	bpsd:BBX_4605
ko:K11741	bpsd:BBX_2792
ko:K15634	bpsd:BBX_938
ko:K05799	bpsd:BBX_890
ko:K18139	bpsd:BBX_2267
ko:K07485	bpsd:BBX_569
ko:K01458	bpsd:BBX_5351
ko:K05375	bpsd:BBX_3722
ko:K06893	bpsd:BBX_283
ko:K21449	bpsd:BBX_2110
ko:K20542	bpsd:BBX_4093
ko:K18816	bpsd:BBX_5326
ko:K03458	bpsd:BBX_3157
ko:K00102	bpsd:BBX_3782
ko:K02483	bpsd:BBX_5694
ko:K11209	bpsd:BBX_934
ko:K11209	bpsd:BBX_2209
ko:K19209	bpsd:BBX_4577
ko:K00821	bpsd:BBX_3043
ko:K07492	bpsd:BBX_2398
ko:K21449	bpsd:BBX_5917
ko:K00042	bpsd:BBX_1930
ko:K07346	bpsd:BBX_2107
ko:K22589	bpsd:BBX_1213
ko:K21449	bpsd:BBX_5092
ko:K21678	bpsd:BBX_4988
ko:K08166	bpsd:BBX_5396
ko:K01816	bpsd:BBX_1932
ko:K21345	bpsd:BBX_3535
ko:K21344	bpsd:BBX_1327
ko:K05882	bpsd:BBX_5991
ko:K01738	bpsd:BBX_1730
ko:K01697	bpsd:BBX_1730
ko:K15355	bpsd:BBX_6139
ko:K00108	bpsd:BBX_3821
ko:K05874	bpsd:BBX_2189
ko:K00344	bpsd:BBX_4937
ko:K00091	bpsd:BBX_4800
ko:K00863	bpsd:BBX_2095
ko:K00108	bpsd:BBX_349
ko:K02463	bpsd:BBX_318
ko:K02462	bpsd:BBX_319
ko:K02461	bpsd:BBX_320
ko:K02460	bpsd:BBX_321
ko:K02459	bpsd:BBX_322
ko:K02458	bpsd:BBX_323
ko:K02457	bpsd:BBX_324
ko:K02456	bpsd:BBX_325
ko:K02452	bpsd:BBX_326
ko:K02455	bpsd:BBX_327
ko:K02454	bpsd:BBX_328
ko:K02453	bpsd:BBX_329
ko:K07735	bpsd:BBX_1152
ko:K07447	bpsd:BBX_1153
ko:K02825	bpsd:BBX_1154
ko:K00609	bpsd:BBX_1155
ko:K01465	bpsd:BBX_1156
ko:K00655	bpsd:BBX_1157
ko:K01525	bpsd:BBX_1158
ko:K00973	bpsd:BBX_1160
ko:K01790	bpsd:BBX_1161
ko:K00067	bpsd:BBX_1162
ko:K17947	bpsd:BBX_1166
ko:K01784	bpsd:BBX_1171
ko:K01784	bpsd:BBX_1175
ko:K15778	bpsd:BBX_1179
ko:K02841	bpsd:BBX_1180
ko:K02527	bpsd:BBX_1182
ko:K03189	bpsd:BBX_1183
ko:K03188	bpsd:BBX_1184
ko:K03187	bpsd:BBX_1185
ko:K01428	bpsd:BBX_1186
ko:K01429	bpsd:BBX_1187
ko:K01430	bpsd:BBX_1188
ko:K03190	bpsd:BBX_1189
ko:K11963	bpsd:BBX_1190
ko:K11962	bpsd:BBX_1191
ko:K11961	bpsd:BBX_1192
