ko:K18929	hpyk:HPAKL86_06315
ko:K19302	hpyk:HPAKL86_02790
ko:K18928	hpyk:HPAKL86_06310
ko:K18682	hpyk:HPAKL86_05020
ko:K03196	hpyk:HPAKL86_06535
ko:K03711	hpyk:HPAKL86_03175
ko:K13640	hpyk:HPAKL86_03185
ko:K00076	hpyk:HPAKL86_03240
ko:K03455	hpyk:HPAKL86_03320
ko:K01885	hpyk:HPAKL86_03335
ko:K01977	hpyk:HPAKL86_r07208
ko:K01977	hpyk:HPAKL86_r07210
ko:K14228	hpyk:HPAKL86_t07144
ko:K14228	hpyk:HPAKL86_t07146
ko:K14228	hpyk:HPAKL86_t07166
ko:K14228	hpyk:HPAKL86_t07194
ko:K14234	hpyk:HPAKL86_t07148
ko:K14234	hpyk:HPAKL86_t07154
ko:K14236	hpyk:HPAKL86_t07150
ko:K14230	hpyk:HPAKL86_t07184
ko:K14230	hpyk:HPAKL86_t07200
ko:K14230	hpyk:HPAKL86_t07174
ko:K14225	hpyk:HPAKL86_t07152
ko:K14235	hpyk:HPAKL86_t07156
ko:K14219	hpyk:HPAKL86_t07182
ko:K14232	hpyk:HPAKL86_t07192
ko:K01985	hpyk:HPAKL86_r07206
ko:K14226	hpyk:HPAKL86_t07190
ko:K14227	hpyk:HPAKL86_t07196
ko:K14220	hpyk:HPAKL86_t07202
ko:K12369	hpyk:HPAKL86_05400
ko:K14221	hpyk:HPAKL86_t07134
ko:K01916	hpyk:HPAKL86_03510
ko:K00626	hpyk:HPAKL86_03635
ko:K01424	hpyk:HPAKL86_03680
ko:K15848	hpyk:HPAKL86_03690
ko:K02004	hpyk:HPAKL86_03825
ko:K08077	hpyk:HPAKL86_03860
ko:K07126	hpyk:HPAKL86_03920
ko:K00059	hpyk:HPAKL86_03980
ko:K11085	hpyk:HPAKL86_04065
ko:K00939	hpyk:HPAKL86_04195
ko:K02342	hpyk:HPAKL86_00345
ko:K01507	hpyk:HPAKL86_04215
ko:K03469	hpyk:HPAKL86_04270
ko:K04763	hpyk:HPAKL86_04330
ko:K13016	hpyk:HPAKL86_04340
ko:K00970	hpyk:HPAKL86_04400
ko:K07126	hpyk:HPAKL86_04505
ko:K00674	hpyk:HPAKL86_04510
ko:K05845	hpyk:HPAKL86_04545
ko:K05846	hpyk:HPAKL86_04545
ko:K02014	hpyk:HPAKL86_04610
ko:K03743	hpyk:HPAKL86_04685
ko:K06179	hpyk:HPAKL86_04705
ko:K03279	hpyk:HPAKL86_00200
ko:K04517	hpyk:HPAKL86_00635
ko:K03386	hpyk:HPAKL86_00725
ko:K01885	hpyk:HPAKL86_04850
ko:K00769	hpyk:HPAKL86_04885
ko:K06603	hpyk:HPAKL86_04975
ko:K01679	hpyk:HPAKL86_00860
ko:K03442	hpyk:HPAKL86_05140
ko:K01585	hpyk:HPAKL86_05190
ko:K07126	hpyk:HPAKL86_05235
ko:K06346	hpyk:HPAKL86_01065
ko:K03768	hpyk:HPAKL86_01115
ko:K01719	hpyk:HPAKL86_01255
ko:K15848	hpyk:HPAKL86_05375
ko:K02014	hpyk:HPAKL86_05445
ko:K01119	hpyk:HPAKL86_01815
ko:K03406	hpyk:HPAKL86_01820
ko:K01784	hpyk:HPAKL86_05820
ko:K03784	hpyk:HPAKL86_05905
ko:K03317	hpyk:HPAKL86_05915
ko:K01674	hpyk:HPAKL86_05945
ko:K07316	hpyk:HPAKL86_00265
ko:K02843	hpyk:HPAKL86_01385
ko:K03593	hpyk:HPAKL86_01415
ko:K14048	hpyk:HPAKL86_01545
ko:K06013	hpyk:HPAKL86_05560
ko:K00058	hpyk:HPAKL86_05635
ko:K14048	hpyk:HPAKL86_05680
ko:K07126	hpyk:HPAKL86_05710
ko:K00845	hpyk:HPAKL86_05735
ko:K03406	hpyk:HPAKL86_01575
ko:K07126	hpyk:HPAKL86_01645
ko:K01439	hpyk:HPAKL86_01650
ko:K06910	hpyk:HPAKL86_01675
ko:K03406	hpyk:HPAKL86_01745
ko:K01156	hpyk:HPAKL86_02025
ko:K07316	hpyk:HPAKL86_02030
ko:K00652	hpyk:HPAKL86_02055
ko:K07457	hpyk:HPAKL86_02085
ko:K00244	hpyk:HPAKL86_06030
ko:K00245	hpyk:HPAKL86_06035
ko:K15898	hpyk:HPAKL86_06095
ko:K07126	hpyk:HPAKL86_06195
ko:K03279	hpyk:HPAKL86_06200
ko:K03279	hpyk:HPAKL86_06205
ko:K01156	hpyk:HPAKL86_00270
ko:K07126	hpyk:HPAKL86_02150
ko:K01409	hpyk:HPAKL86_06495
ko:K00616	hpyk:HPAKL86_00460
ko:K02242	hpyk:HPAKL86_00575
ko:K02067	hpyk:HPAKL86_00620
ko:K04652	hpyk:HPAKL86_02475
ko:K06196	hpyk:HPAKL86_02555
ko:K00949	hpyk:HPAKL86_06775
ko:K04093	hpyk:HPAKL86_02685
ko:K03342	hpyk:HPAKL86_02695
ko:K02238	hpyk:HPAKL86_06840
ko:K04655	hpyk:HPAKL86_06905
ko:K02014	hpyk:HPAKL86_06960
ko:K02433	hpyk:HPAKL86_02895
ko:K00088	hpyk:HPAKL86_02900
ko:K07098	hpyk:HPAKL86_03090
ko:K01262	hpyk:HPAKL86_03125
ko:K12371	hpyk:HPAKL86_05390
ko:K14224	hpyk:HPAKL86_t07132
ko:K14224	hpyk:HPAKL86_t07138
ko:K14237	hpyk:HPAKL86_t07136
ko:K14237	hpyk:HPAKL86_t07158
ko:K14229	hpyk:HPAKL86_t07140
ko:K01985	hpyk:HPAKL86_r07204
ko:K01980	hpyk:HPAKL86_r07212
ko:K01980	hpyk:HPAKL86_r07214
ko:K14231	hpyk:HPAKL86_t07142
ko:K14225	hpyk:HPAKL86_t07164
ko:K14233	hpyk:HPAKL86_t07160
ko:K14233	hpyk:HPAKL86_t07178
ko:K14233	hpyk:HPAKL86_t07170
ko:K14218	hpyk:HPAKL86_t07162
ko:K14218	hpyk:HPAKL86_t07198
ko:K14222	hpyk:HPAKL86_t07168
ko:K14223	hpyk:HPAKL86_t07172
ko:K14219	hpyk:HPAKL86_t07176
ko:K14219	hpyk:HPAKL86_t07186
ko:K14219	hpyk:HPAKL86_t07188
ko:K14232	hpyk:HPAKL86_t07180
ko:K01155	hpyk:HPAKL86_01620
ko:K07316	hpyk:HPAKL86_04550
ko:K03625	hpyk:HPAKL86_00005
ko:K01673	hpyk:HPAKL86_00020
ko:K00794	hpyk:HPAKL86_00010
ko:K01627	hpyk:HPAKL86_00015
ko:K01591	hpyk:HPAKL86_00025
ko:K09747	hpyk:HPAKL86_00080
ko:K03474	hpyk:HPAKL86_00145
ko:K01579	hpyk:HPAKL86_00085
ko:K01935	hpyk:HPAKL86_00110
ko:K00097	hpyk:HPAKL86_00140
ko:K03694	hpyk:HPAKL86_00090
ko:K01918	hpyk:HPAKL86_00030
ko:K02377	hpyk:HPAKL86_00035
ko:K06891	hpyk:HPAKL86_00095
ko:K00031	hpyk:HPAKL86_00120
ko:K01711	hpyk:HPAKL86_00040
ko:K01647	hpyk:HPAKL86_00125
ko:K01928	hpyk:HPAKL86_00465
ko:K02416	hpyk:HPAKL86_03155
ko:K02417	hpyk:HPAKL86_03160
ko:K07478	hpyk:HPAKL86_03180
ko:K05516	hpyk:HPAKL86_03190
ko:K12506	hpyk:HPAKL86_03210
ko:K00995	hpyk:HPAKL86_03225
ko:K01714	hpyk:HPAKL86_03245
ko:K00937	hpyk:HPAKL86_03260
ko:K01154	hpyk:HPAKL86_03270
ko:K03427	hpyk:HPAKL86_03275
ko:K01153	hpyk:HPAKL86_03280
ko:K01153	hpyk:HPAKL86_03285
ko:K08602	hpyk:HPAKL86_03315
ko:K06207	hpyk:HPAKL86_03350
ko:K01737	hpyk:HPAKL86_03385
ko:K03787	hpyk:HPAKL86_03395
ko:K00795	hpyk:HPAKL86_03400
ko:K02313	hpyk:HPAKL86_00235
ko:K00259	hpyk:HPAKL86_00420
ko:K03602	hpyk:HPAKL86_00525
ko:K01495	hpyk:HPAKL86_03405
ko:K03799	hpyk:HPAKL86_03410
ko:K06176	hpyk:HPAKL86_03415
ko:K06187	hpyk:HPAKL86_03420
ko:K01821	hpyk:HPAKL86_03425
ko:K07226	hpyk:HPAKL86_03450
ko:K01887	hpyk:HPAKL86_03455
ko:K03116	hpyk:HPAKL86_03460
