ko:K11749	dmz:X794_01280
ko:K19221	dmz:X794_05105
ko:K02031	dmz:X794_06425
ko:K02032	dmz:X794_06420
ko:K01999	dmz:X794_04070
ko:K04771	dmz:X794_05390
ko:K19302	dmz:X794_05935
ko:K03712	dmz:X794_06810
ko:K07668	dmz:X794_06835
ko:K05919	dmz:X794_07375
ko:K18707	dmz:X794_04170
ko:K04771	dmz:X794_04550
ko:K07658	dmz:X794_04735
ko:K02227	dmz:X794_01025
ko:K02016	dmz:X794_01045
ko:K03790	dmz:X794_01080
ko:K07164	dmz:X794_01220
ko:K03284	dmz:X794_01540
ko:K06940	dmz:X794_02530
ko:K06966	dmz:X794_02630
ko:K08966	dmz:X794_03020
ko:K03551	dmz:X794_03315
ko:K04763	dmz:X794_03435
ko:K03975	dmz:X794_04815
ko:K06075	dmz:X794_07000
ko:K00176	dmz:X794_07085
ko:K01734	dmz:X794_07140
ko:K01985	dmz:X794_00275
ko:K19591	dmz:X794_06935
ko:K01007	dmz:X794_02180
ko:K07025	dmz:X794_02080
ko:K03711	dmz:X794_06490
ko:K07668	dmz:X794_06605
ko:K19221	dmz:X794_04800
ko:K07043	dmz:X794_00710
ko:K01620	dmz:X794_00720
ko:K07667	dmz:X794_00745
ko:K05794	dmz:X794_00780
ko:K02380	dmz:X794_00785
ko:K00123	dmz:X794_00795
ko:K00954	dmz:X794_00805
ko:K03558	dmz:X794_00815
ko:K00286	dmz:X794_00820
ko:K01869	dmz:X794_00825
ko:K07007	dmz:X794_00830
ko:K00335	dmz:X794_00685
ko:K01990	dmz:X794_03580
ko:K09013	dmz:X794_03590
ko:K02013	dmz:X794_03600
ko:K14415	dmz:X794_03630
ko:K01649	dmz:X794_03640
ko:K00052	dmz:X794_03645
ko:K01704	dmz:X794_03650
ko:K01703	dmz:X794_03655
ko:K07507	dmz:X794_03660
ko:K01649	dmz:X794_03665
ko:K00053	dmz:X794_03670
ko:K01653	dmz:X794_03675
ko:K01652	dmz:X794_03680
ko:K07566	dmz:X794_03690
ko:K01951	dmz:X794_03695
ko:K01945	dmz:X794_03705
ko:K01588	dmz:X794_03710
ko:K01756	dmz:X794_03715
ko:K01923	dmz:X794_03720
ko:K01693	dmz:X794_03725
ko:K00817	dmz:X794_03730
ko:K00013	dmz:X794_03735
ko:K00765	dmz:X794_03740
ko:K01892	dmz:X794_03745
ko:K03524	dmz:X794_03760
ko:K01990	dmz:X794_03770
ko:K01992	dmz:X794_03775
ko:K02004	dmz:X794_03795
ko:K02003	dmz:X794_03800
ko:K03596	dmz:X794_03810
ko:K04568	dmz:X794_03860
ko:K02356	dmz:X794_03865
ko:K06994	dmz:X794_03875
ko:K03893	dmz:X794_03900
ko:K07159	dmz:X794_03935
ko:K09740	dmz:X794_03950
ko:K02669	dmz:X794_03965
ko:K00330	dmz:X794_03970
ko:K00331	dmz:X794_03975
ko:K00332	dmz:X794_03980
ko:K00333	dmz:X794_03985
ko:K00335	dmz:X794_03835
ko:K05580	dmz:X794_03995
ko:K00339	dmz:X794_04000
ko:K00341	dmz:X794_04010
ko:K00342	dmz:X794_04015
ko:K00343	dmz:X794_04020
ko:K03424	dmz:X794_04025
