ko:K07171	efq:DR75_1948
ko:K19689	efq:DR75_1035
ko:K08153	efq:DR75_154
ko:K07029	efq:DR75_2683
ko:K00887	efq:DR75_1158
ko:K15634	efq:DR75_1712
ko:K04771	efq:DR75_1760
ko:K13677	efq:DR75_1584
ko:K19975	efq:DR75_976
ko:K19973	efq:DR75_974
ko:K18692	efq:DR75_451
ko:K00634	efq:DR75_662
ko:K18672	efq:DR75_994
ko:K01187	efq:DR75_424
ko:K01531	efq:DR75_426
ko:K00161	efq:DR75_427
ko:K00162	efq:DR75_428
ko:K00627	efq:DR75_429
ko:K00382	efq:DR75_430
ko:K02040	efq:DR75_704
ko:K00841	efq:DR75_705
ko:K01191	efq:DR75_706
ko:K09704	efq:DR75_707
ko:K01674	efq:DR75_710
ko:K00762	efq:DR75_711
ko:K01591	efq:DR75_712
ko:K17828	efq:DR75_713
ko:K02823	efq:DR75_714
ko:K01955	efq:DR75_715
ko:K01956	efq:DR75_716
ko:K01465	efq:DR75_717
ko:K00609	efq:DR75_718
ko:K02824	efq:DR75_719
ko:K02825	efq:DR75_720
ko:K06180	efq:DR75_721
ko:K03101	efq:DR75_722
ko:K00005	efq:DR75_432
ko:K05878	efq:DR75_434
ko:K05879	efq:DR75_435
ko:K01641	efq:DR75_437
ko:K00054	efq:DR75_438
ko:K03704	efq:DR75_441
ko:K06193	efq:DR75_448
ko:K01872	efq:DR75_453
ko:K06967	efq:DR75_454
ko:K01258	efq:DR75_456
ko:K07027	efq:DR75_458
ko:K03752	efq:DR75_459
ko:K00334	efq:DR75_462
ko:K03750	efq:DR75_465
ko:K03637	efq:DR75_466
ko:K03639	efq:DR75_467
ko:K02020	efq:DR75_471
ko:K02018	efq:DR75_472
ko:K02017	efq:DR75_473
ko:K01534	efq:DR75_474
ko:K09888	efq:DR75_475
ko:K07456	efq:DR75_477
ko:K03671	efq:DR75_478
ko:K12527	efq:DR75_1290
ko:K01928	efq:DR75_1293
ko:K07009	efq:DR75_1294
ko:K16923	efq:DR75_1296
ko:K01809	efq:DR75_1297
ko:K07104	efq:DR75_1299
ko:K06147	efq:DR75_1300
ko:K06147	efq:DR75_1301
ko:K00942	efq:DR75_1303
ko:K01223	efq:DR75_1304
ko:K02755	efq:DR75_1305
ko:K02756	efq:DR75_1305
ko:K02757	efq:DR75_1305
ko:K03488	efq:DR75_1306
ko:K01118	efq:DR75_1307
ko:K02781	efq:DR75_1309
