ko:K02888	crv:A357_0161
ko:K00033	crv:A357_043
ko:K02433	crv:A357_049
ko:K01439	crv:A357_018
ko:K00674	crv:A357_019
ko:K02342	crv:A357_0105
ko:K01885	crv:A357_0120
ko:K03386	crv:A357_0137
ko:K00616	crv:A357_0138
ko:K03495	crv:A357_02
ko:K02108	crv:A357_03
ko:K02110	crv:A357_04
ko:K02111	crv:A357_07
ko:K02115	crv:A357_08
ko:K02112	crv:A357_09
ko:K00611	crv:A357_011
ko:K03650	crv:A357_01
ko:K03786	crv:A357_012
ko:K00615	crv:A357_013
ko:K03671	crv:A357_042
ko:K02835	crv:A357_047
ko:K02434	crv:A357_048
ko:K02871	crv:A357_051
ko:K02996	crv:A357_052
ko:K00800	crv:A357_055
ko:K02945	crv:A357_056
ko:K04077	crv:A357_057
ko:K00297	crv:A357_015
ko:K01265	crv:A357_020
ko:K02967	crv:A357_021
ko:K02337	crv:A357_024
ko:K00549	crv:A357_026
ko:K02909	crv:A357_027
ko:K00891	crv:A357_028
ko:K01735	crv:A357_029
ko:K01687	crv:A357_030
ko:K00600	crv:A357_032
ko:K09014	crv:A357_033
ko:K09013	crv:A357_034
ko:K11717	crv:A357_036
ko:K00566	crv:A357_037
ko:K02518	crv:A357_038
ko:K04078	crv:A357_058
ko:K03086	crv:A357_067
ko:K03664	crv:A357_072
ko:K03687	crv:A357_073
ko:K04043	crv:A357_074
ko:K00215	crv:A357_076
ko:K01956	crv:A357_078
ko:K01955	crv:A357_079
ko:K02519	crv:A357_081
ko:K02956	crv:A357_082
ko:K01866	crv:A357_083
ko:K01886	crv:A357_084
ko:K01358	crv:A357_088
ko:K03544	crv:A357_089
ko:K06131	crv:A357_090
ko:K01876	crv:A357_091
ko:K01783	crv:A357_093
ko:K13821	crv:A357_094
ko:K01649	crv:A357_095
ko:K01736	crv:A357_096
ko:K01703	crv:A357_097
ko:K01704	crv:A357_098
ko:K00052	crv:A357_099
ko:K00133	crv:A357_0100
ko:K01875	crv:A357_0101
ko:K01889	crv:A357_0107
ko:K02887	crv:A357_0108
ko:K02916	crv:A357_0109
ko:K02520	crv:A357_0110
ko:K04564	crv:A357_0111
ko:K01626	crv:A357_0113
ko:K06168	crv:A357_0115
ko:K01869	crv:A357_0117
ko:K01902	crv:A357_0118
ko:K01903	crv:A357_0119
ko:K01874	crv:A357_0122
ko:K01940	crv:A357_0124
ko:K01714	crv:A357_0127
ko:K00116	crv:A357_0130
ko:K00928	crv:A357_0133
ko:K01872	crv:A357_0134
ko:K01873	crv:A357_0136
ko:K01867	crv:A357_0142
ko:K02913	crv:A357_0143
ko:K02902	crv:A357_0144
ko:K04567	crv:A357_0145
ko:K02836	crv:A357_0146
ko:K01733	crv:A357_0147
ko:K00003	crv:A357_0148
ko:K02959	crv:A357_0151
ko:K00053	crv:A357_0153
ko:K01652	crv:A357_0155
ko:K06180	crv:A357_0156
ko:K01870	crv:A357_0157
ko:K03979	crv:A357_0159
ko:K02899	crv:A357_0160
ko:K03040	crv:A357_0163
ko:K02986	crv:A357_0164
ko:K02948	crv:A357_0165
ko:K02952	crv:A357_0166
ko:K02919	crv:A357_0167
ko:K02876	crv:A357_0168
ko:K02988	crv:A357_0169
ko:K02933	crv:A357_0171
ko:K02994	crv:A357_0172
ko:K02954	crv:A357_0173
ko:K02931	crv:A357_0174
ko:K02874	crv:A357_0175
ko:K02961	crv:A357_0176
ko:K02878	crv:A357_0177
ko:K02982	crv:A357_0178
ko:K02890	crv:A357_0179
ko:K02965	crv:A357_0180
ko:K02886	crv:A357_0181
ko:K02926	crv:A357_0182
ko:K02906	crv:A357_0183
ko:K02946	crv:A357_0184
ko:K02358	crv:A357_0185
ko:K02355	crv:A357_0186
ko:K02992	crv:A357_0187
ko:K02950	crv:A357_0188
ko:K03046	crv:A357_0189
ko:K03043	crv:A357_0190
ko:K02935	crv:A357_0191
ko:K02867	crv:A357_0194
ko:K02299	crv:A357_0199
ko:K02298	crv:A357_0200
ko:K02297	crv:A357_0201
ko:K00826	crv:A357_0203
ko:K01892	crv:A357_0204
ko:K01462	crv:A357_0206
ko:K01586	crv:A357_0208
ko:K01778	crv:A357_0209
ko:K01878	crv:A357_0210
ko:K03704	crv:A357_0212
ko:K14231	crv:A357_069
ko:K14236	crv:A357_0197
ko:K14237	crv:A357_059
ko:K01985	crv:A357_0139
ko:K14232	crv:A357_085
ko:K14219	crv:A357_086
ko:K01980	crv:A357_0140
ko:K14227	crv:A357_017
ko:K14230	crv:A357_0152
ko:K14224	crv:A357_039
ko:K14225	crv:A357_040
ko:K14225	crv:A357_0196
ko:K14233	crv:A357_041
ko:K14233	crv:A357_092
ko:K14233	crv:A357_0132
ko:K14220	crv:A357_044
ko:K14230	crv:A357_045
ko:K14230	crv:A357_0121
ko:K14221	crv:A357_060
ko:K14218	crv:A357_068
ko:K14223	crv:A357_070
ko:K14234	crv:A357_071
ko:K14228	crv:A357_080
ko:K14228	crv:A357_0102
ko:K14228	crv:A357_0126
ko:K14226	crv:A357_087
ko:K14222	crv:A357_0125
ko:K14229	crv:A357_0128
ko:K14219	crv:A357_0131
ko:K01977	crv:A357_0141
ko:K14235	crv:A357_0195
ko:K01956	crv:A357_077
ko:K02884	crv:A357_0149
ko:K02426	crv:A357_0103
ko:K02314	crv:A357_063
ko:K02316	crv:A357_066
ko:K03553	crv:A357_0135
