ko:K06896	efs:EFS1_0783
ko:K00105	efs:EFS1_1654
ko:K17320	efs:EFS1_1056
ko:K10040	efs:EFS1_0945
ko:K07171	efs:EFS1_2652
ko:K19689	efs:EFS1_1799
ko:K08153	efs:EFS1_0904
ko:K07029	efs:EFS1_0573
ko:K00887	efs:EFS1_1937
ko:K04771	efs:EFS1_2470
ko:K07260	efs:EFS1_2266
ko:K13677	efs:EFS1_2299
ko:K16786	efs:EFS1_2233
ko:K16787	efs:EFS1_2233
ko:K18349	efs:EFS1_2268
ko:K18350	efs:EFS1_2267
ko:K16786	efs:EFS1_0179
ko:K16787	efs:EFS1_0180
ko:K16785	efs:EFS1_0181
ko:K16788	efs:EFS1_0762
ko:K01838	efs:EFS1_0780
ko:K16789	efs:EFS1_2488
ko:K07705	efs:EFS1_2618
ko:K01985	efs:EFS1_rRNA03
ko:K01985	efs:EFS1_rRNA06
ko:K01985	efs:EFS1_rRNA10
ko:K01985	efs:EFS1_rRNA07
ko:K15580	efs:EFS1_2513
ko:K02809	efs:EFS1_1355
ko:K02810	efs:EFS1_1355
ko:K00841	efs:EFS1_1461
ko:K01191	efs:EFS1_1462
ko:K09704	efs:EFS1_1463
ko:K01674	efs:EFS1_1466
ko:K02823	efs:EFS1_1470
ko:K02824	efs:EFS1_1475
ko:K03469	efs:EFS1_1483
ko:K03976	efs:EFS1_1484
ko:K09976	efs:EFS1_1488
ko:K02242	efs:EFS1_1576
ko:K02240	efs:EFS1_1577
ko:K00059	efs:EFS1_1583
ko:K02793	efs:EFS1_1609
ko:K02795	efs:EFS1_1611
ko:K02248	efs:EFS1_1708
ko:K02246	efs:EFS1_1709
ko:K02245	efs:EFS1_1710
ko:K02244	efs:EFS1_1711
ko:K02243	efs:EFS1_1712
ko:K03294	efs:EFS1_1713
ko:K09153	efs:EFS1_1784
ko:K02851	efs:EFS1_1793
ko:K02076	efs:EFS1_1943
ko:K01835	efs:EFS1_1950
ko:K09963	efs:EFS1_1962
ko:K02238	efs:EFS1_1972
ko:K07177	efs:EFS1_1975
ko:K01958	efs:EFS1_1981
ko:K01916	efs:EFS1_2097
ko:K07052	efs:EFS1_2106
ko:K03299	efs:EFS1_2118
ko:K11069	efs:EFS1_2120
ko:K11071	efs:EFS1_2122
ko:K11072	efs:EFS1_2123
ko:K05363	efs:EFS1_2129
ko:K06201	efs:EFS1_2136
ko:K07816	efs:EFS1_2140
ko:K00867	efs:EFS1_0116
ko:K00564	efs:EFS1_0118
ko:K01488	efs:EFS1_0119
ko:K01619	efs:EFS1_0122
ko:K01489	efs:EFS1_0123
ko:K02056	efs:EFS1_0126
ko:K03783	efs:EFS1_0131
ko:K03784	efs:EFS1_0132
ko:K02755	efs:EFS1_1361
ko:K02756	efs:EFS1_1361
ko:K02757	efs:EFS1_1361
ko:K15986	efs:EFS1_1371
ko:K07052	efs:EFS1_1407
ko:K03693	efs:EFS1_1548
ko:K06023	efs:EFS1_1559
ko:K00917	efs:EFS1_1614
ko:K01635	efs:EFS1_1615
ko:K07404	efs:EFS1_1645
ko:K03326	efs:EFS1_1647
ko:K00852	efs:EFS1_1649
ko:K00805	efs:EFS1_1721
ko:K16012	efs:EFS1_1722
ko:K16013	efs:EFS1_1723
ko:K06910	efs:EFS1_1730
ko:K08161	efs:EFS1_1731
ko:K12554	efs:EFS1_1750
ko:K03713	efs:EFS1_1761
ko:K01784	efs:EFS1_1766
ko:K08234	efs:EFS1_1873
ko:K07720	efs:EFS1_1877
ko:K01092	efs:EFS1_1986
ko:K01409	efs:EFS1_1993
ko:K07491	efs:EFS1_2005
ko:K07491	efs:EFS1_2014
ko:K00244	efs:EFS1_2035
ko:K06198	efs:EFS1_2145
ko:K16509	efs:EFS1_2148
ko:K06147	efs:EFS1_2150
ko:K07025	efs:EFS1_2151
ko:K01243	efs:EFS1_2164
ko:K01515	efs:EFS1_2166
ko:K01784	efs:EFS1_2246
ko:K00845	efs:EFS1_2251
ko:K01934	efs:EFS1_2254
ko:K06889	efs:EFS1_2255
ko:K06948	efs:EFS1_2282
ko:K00059	efs:EFS1_2290
ko:K02371	efs:EFS1_2292
ko:K06216	efs:EFS1_2395
ko:K00852	efs:EFS1_2397
ko:K01727	efs:EFS1_2467
ko:K01261	efs:EFS1_2474
ko:K02745	efs:EFS1_2480
ko:K02744	efs:EFS1_2481
ko:K03478	efs:EFS1_2483
ko:K01104	efs:EFS1_2493
ko:K09815	efs:EFS1_2628
ko:K02793	efs:EFS1_2632
ko:K02795	efs:EFS1_2634
ko:K00851	efs:EFS1_2648
ko:K02236	efs:EFS1_2649
ko:K07069	efs:EFS1_2655
ko:K04487	efs:EFS1_0256
ko:K00926	efs:EFS1_0269
ko:K00549	efs:EFS1_0276
ko:K01304	efs:EFS1_0282
ko:K03315	efs:EFS1_0283
ko:K00009	efs:EFS1_0293
ko:K02003	efs:EFS1_0298
ko:K01625	efs:EFS1_0304
ko:K00874	efs:EFS1_0305
ko:K01815	efs:EFS1_0306
ko:K15532	efs:EFS1_0308
ko:K00848	efs:EFS1_0313
ko:K03534	efs:EFS1_0316
ko:K03305	efs:EFS1_0321
ko:K01661	efs:EFS1_0325
ko:K01911	efs:EFS1_0326
ko:K02551	efs:EFS1_0328
ko:K07090	efs:EFS1_0334
ko:K07106	efs:EFS1_0339
ko:K04564	efs:EFS1_0343
ko:K01778	efs:EFS1_0344
ko:K07507	efs:EFS1_0347
ko:K03744	efs:EFS1_0348
ko:K06872	efs:EFS1_0349
ko:K04758	efs:EFS1_0355
ko:K04759	efs:EFS1_0356
ko:K01951	efs:EFS1_0115
ko:K02529	efs:EFS1_0120
ko:K00756	efs:EFS1_0121
ko:K07335	efs:EFS1_0124
ko:K07335	efs:EFS1_0125
ko:K02057	efs:EFS1_0127
ko:K02057	efs:EFS1_0128
ko:K01839	efs:EFS1_0130
ko:K02016	efs:EFS1_0133
ko:K02013	efs:EFS1_0134
ko:K02015	efs:EFS1_0135
ko:K02015	efs:EFS1_0136
ko:K01807	efs:EFS1_0140
ko:K02950	efs:EFS1_0141
ko:K02992	efs:EFS1_0142
ko:K02355	efs:EFS1_0143
ko:K02358	efs:EFS1_0144
ko:K00868	efs:EFS1_0145
ko:K00574	efs:EFS1_0146
ko:K02946	efs:EFS1_0148
ko:K02906	efs:EFS1_0149
ko:K02926	efs:EFS1_0150
ko:K02892	efs:EFS1_0151
ko:K02886	efs:EFS1_0152
ko:K02965	efs:EFS1_0153
ko:K02890	efs:EFS1_0154
ko:K02982	efs:EFS1_0155
ko:K02878	efs:EFS1_0156
ko:K02904	efs:EFS1_0157
ko:K07052	efs:EFS1_1883
ko:K06147	efs:EFS1_1886
ko:K02787	efs:EFS1_0451
ko:K02788	efs:EFS1_0451
ko:K01442	efs:EFS1_0461
ko:K07166	efs:EFS1_0469
ko:K09157	efs:EFS1_0470
ko:K06131	efs:EFS1_0480
ko:K03439	efs:EFS1_0538
ko:K02769	efs:EFS1_0541
ko:K02770	efs:EFS1_0541
ko:K02837	efs:EFS1_0548
ko:K03545	efs:EFS1_0561
ko:K02768	efs:EFS1_0563
ko:K02769	efs:EFS1_0563
ko:K02770	efs:EFS1_0563
ko:K03657	efs:EFS1_0567
ko:K01972	efs:EFS1_0568
ko:K02435	efs:EFS1_0570
ko:K02434	efs:EFS1_0572
ko:K03215	efs:EFS1_0574
ko:K13252	efs:EFS1_0578
ko:K10536	efs:EFS1_0580
ko:K00926	efs:EFS1_0581
ko:K03811	efs:EFS1_0583
ko:K06956	efs:EFS1_0588
ko:K07146	efs:EFS1_0592
ko:K00876	efs:EFS1_0653
ko:K02761	efs:EFS1_0662
ko:K01465	efs:EFS1_0665
ko:K01042	efs:EFS1_0666
ko:K00874	efs:EFS1_0668
ko:K09768	efs:EFS1_0670
ko:K01921	efs:EFS1_0671
ko:K01929	efs:EFS1_0672
ko:K05592	efs:EFS1_0673
ko:K00997	efs:EFS1_0675
ko:K01775	efs:EFS1_0676
ko:K03100	efs:EFS1_0680
ko:K01421	efs:EFS1_0684
ko:K05846	efs:EFS1_0688
ko:K05845	efs:EFS1_0689
ko:K05846	efs:EFS1_0690
ko:K05847	efs:EFS1_0691
ko:K07568	efs:EFS1_0694
ko:K03549	efs:EFS1_0697
ko:K02528	efs:EFS1_0761
ko:K01734	efs:EFS1_0764
ko:K03648	efs:EFS1_0773
ko:K06925	efs:EFS1_0775
ko:K02529	efs:EFS1_0778
ko:K00286	efs:EFS1_0784
ko:K02888	efs:EFS1_0795
ko:K02899	efs:EFS1_0797
ko:K13256	efs:EFS1_0798
ko:K03625	efs:EFS1_0803
ko:K01491	efs:EFS1_0804
ko:K03601	efs:EFS1_0805
ko:K03602	efs:EFS1_0806
ko:K13789	efs:EFS1_0807
ko:K06442	efs:EFS1_0808
ko:K03402	efs:EFS1_0811
ko:K03631	efs:EFS1_0812
ko:K03284	efs:EFS1_0814
ko:K03925	efs:EFS1_0815
ko:K03438	efs:EFS1_0816
ko:K02961	efs:EFS1_0158
ko:K02874	efs:EFS1_0159
ko:K02895	efs:EFS1_0160
ko:K02931	efs:EFS1_0161
ko:K02954	efs:EFS1_0162
ko:K02994	efs:EFS1_0163
ko:K02933	efs:EFS1_0164
ko:K02881	efs:EFS1_0165
ko:K03484	efs:EFS1_1358
ko:K01223	efs:EFS1_1360
ko:K02042	efs:EFS1_1363
ko:K02042	efs:EFS1_1364
ko:K02041	efs:EFS1_1365
ko:K02044	efs:EFS1_1366
ko:K06131	efs:EFS1_1368
ko:K04069	efs:EFS1_1372
ko:K00656	efs:EFS1_1373
ko:K02621	efs:EFS1_1374
ko:K02622	efs:EFS1_1375
ko:K06929	efs:EFS1_1376
ko:K04030	efs:EFS1_1377
ko:K04023	efs:EFS1_1378
ko:K04026	efs:EFS1_1386
ko:K03736	efs:EFS1_1387
ko:K03735	efs:EFS1_1388
ko:K04019	efs:EFS1_1389
ko:K04031	efs:EFS1_1392
ko:K04029	efs:EFS1_1395
ko:K02013	efs:EFS1_1396
ko:K02015	efs:EFS1_1397
ko:K02016	efs:EFS1_1398
ko:K08591	efs:EFS1_1399
ko:K03706	efs:EFS1_1401
ko:K03667	efs:EFS1_1402
ko:K01419	efs:EFS1_1403
ko:K03733	efs:EFS1_1404
ko:K04094	efs:EFS1_1405
ko:K03168	efs:EFS1_1406
ko:K01866	efs:EFS1_1547
ko:K02529	efs:EFS1_1552
ko:K00963	efs:EFS1_1556
ko:K00057	efs:EFS1_1557
ko:K13292	efs:EFS1_1558
ko:K08972	efs:EFS1_1561
ko:K02082	efs:EFS1_1616
ko:K03710	efs:EFS1_1617
ko:K02884	efs:EFS1_1626
ko:K00554	efs:EFS1_1627
ko:K02860	efs:EFS1_1628
ko:K03322	efs:EFS1_1629
ko:K01126	efs:EFS1_1632
ko:K06890	efs:EFS1_1633
ko:K01924	efs:EFS1_1636
ko:K08998	efs:EFS1_1641
ko:K03978	efs:EFS1_1643
ko:K03544	efs:EFS1_1644
ko:K12700	efs:EFS1_1648
ko:K02440	efs:EFS1_1653
ko:K00864	efs:EFS1_1655
ko:K02548	efs:EFS1_1720
ko:K00426	efs:EFS1_1724
ko:K00425	efs:EFS1_1725
ko:K13653	efs:EFS1_1726
ko:K00566	efs:EFS1_1732
ko:K04487	efs:EFS1_1734
ko:K00948	efs:EFS1_1735
ko:K02073	efs:EFS1_1742
ko:K02072	efs:EFS1_1743
ko:K02071	efs:EFS1_1744
ko:K00820	efs:EFS1_1751
ko:K03431	efs:EFS1_1755
ko:K03737	efs:EFS1_1758
ko:K01915	efs:EFS1_1760
ko:K03665	efs:EFS1_1762
ko:K00791	efs:EFS1_1763
ko:K01126	efs:EFS1_1764
ko:K06973	efs:EFS1_1869
ko:K02818	efs:EFS1_1872
ko:K02819	efs:EFS1_1872
ko:K07718	efs:EFS1_1878
ko:K03654	efs:EFS1_1984
ko:K06207	efs:EFS1_1985
ko:K06950	efs:EFS1_1991
ko:K01887	efs:EFS1_1992
ko:K03789	efs:EFS1_1994
ko:K03789	efs:EFS1_1995
ko:K06872	efs:EFS1_2001
ko:K01091	efs:EFS1_2006
ko:K00981	efs:EFS1_2009
ko:K00806	efs:EFS1_2010
ko:K02073	efs:EFS1_2011
ko:K02072	efs:EFS1_2012
ko:K02071	efs:EFS1_2013
ko:K02437	efs:EFS1_2015
ko:K05837	efs:EFS1_2017
ko:K00761	efs:EFS1_2029
ko:K00600	efs:EFS1_2030
ko:K07566	efs:EFS1_2031
ko:K02493	efs:EFS1_2032
ko:K02835	efs:EFS1_2033
ko:K08602	efs:EFS1_2144
ko:K16511	efs:EFS1_2146
ko:K01867	efs:EFS1_2149
ko:K03547	efs:EFS1_2160
ko:K00655	efs:EFS1_2161
ko:K07461	efs:EFS1_2163
ko:K03575	efs:EFS1_2173
ko:K03565	efs:EFS1_2174
ko:K12111	efs:EFS1_2177
ko:K02935	efs:EFS1_2181
ko:K02864	efs:EFS1_2182
ko:K02863	efs:EFS1_2183
ko:K02867	efs:EFS1_2184
ko:K01752	efs:EFS1_2186
ko:K01752	efs:EFS1_2187
ko:K15580	efs:EFS1_2190
ko:K02601	efs:EFS1_2193
ko:K03073	efs:EFS1_2194
ko:K02913	efs:EFS1_2262
ko:K00687	efs:EFS1_2263
ko:K01868	efs:EFS1_2264
ko:K01821	efs:EFS1_2265
ko:K09710	efs:EFS1_2278
ko:K00969	efs:EFS1_2280
ko:K07574	efs:EFS1_2281
ko:K07015	efs:EFS1_2283
ko:K01962	efs:EFS1_2284
ko:K01963	efs:EFS1_2285
ko:K01961	efs:EFS1_2286
ko:K02372	efs:EFS1_2287
ko:K02160	efs:EFS1_2288
ko:K09458	efs:EFS1_2289
ko:K00645	efs:EFS1_2291
ko:K02078	efs:EFS1_2293
