ko:K01961	cju:C8J_1233
ko:K05515	cju:C8J_0611
ko:K01548	cju:C8J_0630
ko:K07646	cju:C8J_0631
ko:K02470	cju:C8J_0003
ko:K02469	cju:C8J_0964
ko:K02428	cju:C8J_1293
ko:K01610	cju:C8J_0869
ko:K01696	cju:C8J_0325
ko:K01695	cju:C8J_0326
ko:K10773	cju:C8J_0557
ko:K00872	cju:C8J_0127
ko:K00793	cju:C8J_1161
ko:K04564	cju:C8J_0165
ko:K02412	cju:C8J_0184
ko:K00526	cju:C8J_0209
ko:K03497	cju:C8J_0094
ko:K00954	cju:C8J_0718
ko:K05540	cju:C8J_0116
ko:K02520	cju:C8J_0196
ko:K00384	cju:C8J_0520
ko:K06929	cju:C8J_0776
ko:K02484	cju:C8J_1206
ko:K02500	cju:C8J_1504
ko:K00833	cju:C8J_0284
ko:K04773	cju:C8J_0061
ko:K00425	cju:C8J_0074
ko:K02109	cju:C8J_0095
ko:K02109	cju:C8J_0096
ko:K02112	cju:C8J_0100
ko:K01963	cju:C8J_0120
ko:K02535	cju:C8J_0125
ko:K03179	cju:C8J_0161
ko:K00124	cju:C8J_1413
ko:K02501	cju:C8J_1502
ko:K03737	cju:C8J_1381
ko:K01653	cju:C8J_0537
ko:K02338	cju:C8J_0002
ko:K00266	cju:C8J_0008
ko:K00239	cju:C8J_0412
ko:K00240	cju:C8J_0413
ko:K01652	cju:C8J_0536
ko:K01956	cju:C8J_1399
ko:K01547	cju:C8J_0629
ko:K03707	cju:C8J_0415
ko:K01585	cju:C8J_0715
ko:K01889	cju:C8J_0834
ko:K02433	cju:C8J_1000
ko:K00609	cju:C8J_1039
ko:K00412	cju:C8J_1129
ko:K02434	cju:C8J_1141
ko:K04771	cju:C8J_1171
ko:K03060	cju:C8J_1217
ko:K09903	cju:C8J_1218
ko:K00127	cju:C8J_1412
ko:K01682	cju:C8J_0782
ko:K03841	cju:C8J_0787
ko:K03216	cju:C8J_0841
ko:K01808	cju:C8J_0862
ko:K00558	cju:C8J_0133
ko:K03601	cju:C8J_0302
ko:K03449	cju:C8J_0977
ko:K00782	cju:C8J_0066
ko:K02935	cju:C8J_0450
ko:K01624	cju:C8J_0559
ko:K02913	cju:C8J_0444
ko:K03587	cju:C8J_0486
ko:K02400	cju:C8J_0820
ko:K14652	cju:C8J_0534
ko:K02110	cju:C8J_0873
ko:K03536	cju:C8J_0902
ko:K08296	cju:C8J_0939
ko:K06895	cju:C8J_0990
ko:K03820	cju:C8J_1036
ko:K03177	cju:C8J_1043
ko:K07812	cju:C8J_0241
ko:K01657	cju:C8J_0322
ko:K03470	cju:C8J_0009
ko:K03469	cju:C8J_1538
ko:K00343	cju:C8J_1463
ko:K00342	cju:C8J_1464
ko:K00341	cju:C8J_1465
ko:K00340	cju:C8J_1466
ko:K00339	cju:C8J_1467
ko:K00338	cju:C8J_1468
ko:K00337	cju:C8J_1469
ko:K00336	cju:C8J_1470
ko:K00333	cju:C8J_1473
ko:K01962	cju:C8J_0418
ko:K02909	cju:C8J_0152
ko:K01673	cju:C8J_0215
ko:K01879	cju:C8J_1177
ko:K05922	cju:C8J_1210
ko:K05927	cju:C8J_1211
ko:K01448	cju:C8J_1213
ko:K06882	cju:C8J_1223
ko:K02500	cju:C8J_1248
ko:K03551	cju:C8J_1280
ko:K01679	cju:C8J_1282
ko:K03798	cju:C8J_1057
ko:K02481	cju:C8J_0961
ko:K02406	cju:C8J_1255
ko:K02420	cju:C8J_1576
ko:K01664	cju:C8J_0808
ko:K02397	cju:C8J_0824
ko:K01588	cju:C8J_0669
ko:K03640	cju:C8J_0106
ko:K02405	cju:C8J_0054
ko:K02015	cju:C8J_1269
ko:K02013	cju:C8J_1270
ko:K02016	cju:C8J_1271
ko:K02016	cju:C8J_1518
ko:K02013	cju:C8J_1517
ko:K02014	cju:C8J_1515
ko:K02015	cju:C8J_1516
ko:K02687	cju:C8J_1058
ko:K03303	cju:C8J_0069
ko:K09688	cju:C8J_1354
ko:K09689	cju:C8J_1353
ko:K10107	cju:C8J_1352
ko:K00525	cju:C8J_0023
ko:K04754	cju:C8J_1290
ko:K07456	cju:C8J_0994
ko:K00648	cju:C8J_0305
ko:K02421	cju:C8J_1123
ko:K02401	cju:C8J_0312
ko:K03413	cju:C8J_1059
ko:K02335	cju:C8J_0315
ko:K02342	cju:C8J_0425
ko:K03760	cju:C8J_0233
ko:K04562	cju:C8J_0056
ko:K03923	cju:C8J_1444
ko:K02055	cju:C8J_0694
ko:K02054	cju:C8J_0697
ko:K02053	cju:C8J_0698
ko:K02052	cju:C8J_0699
ko:K02160	cju:C8J_1234
ko:K02574	cju:C8J_0733
ko:K00575	cju:C8J_0860
ko:K03648	cju:C8J_0078
ko:K00332	cju:C8J_1474
ko:K00331	cju:C8J_1475
ko:K00330	cju:C8J_1476
ko:K03685	cju:C8J_1537
ko:K02340	cju:C8J_0589
ko:K02528	cju:C8J_1615
ko:K01704	cju:C8J_1622
ko:K01703	cju:C8J_1623
ko:K03575	cju:C8J_1521
ko:K02899	cju:C8J_0088
ko:K06180	cju:C8J_1224
ko:K00794	cju:C8J_0358
ko:K03741	cju:C8J_1458
ko:K01997	cju:C8J_0954
ko:K13038	cju:C8J_0769
ko:K02313	cju:C8J_0001
ko:K03667	cju:C8J_0618
ko:K03168	cju:C8J_1583
ko:K01998	cju:C8J_0953
ko:K01546	cju:C8J_0628
ko:K01999	cju:C8J_0956
ko:K00133	cju:C8J_0960
ko:K09860	cju:C8J_0963
ko:K03596	cju:C8J_0967
ko:K03686	cju:C8J_0971
ko:K03588	cju:C8J_0975
ko:K00788	cju:C8J_0980
ko:K03150	cju:C8J_0981
ko:K03149	cju:C8J_0982
ko:K02519	cju:C8J_0129
ko:K02834	cju:C8J_0130
ko:K09748	cju:C8J_0131
ko:K02939	cju:C8J_0620
ko:K00335	cju:C8J_1471
