ko:K13060	yee:YE5303_14421
ko:K08723	yee:YE5303_19091
ko:K21029	yee:YE5303_32581
ko:K00638	yee:YE5303_16051
ko:K15634	yee:YE5303_27411
ko:K01990	yee:YE5303_33191
ko:K19734	yee:YE5303_14411
ko:K05802	yee:YE5303_30661
ko:K02495	yee:YE5303_43271
ko:K01046	yee:YE5303_16111
ko:K19789	yee:YE5303_12711
ko:K00344	yee:YE5303_00861
ko:K12979	yee:YE5303_24071
ko:K21430	yee:YE5303_07071
ko:K21908	yee:YE5303_02661
ko:K02081	yee:YE5303_21081
ko:K03892	yee:YE5303_05301
ko:K01271	yee:YE5303_42081
ko:K03973	yee:YE5303_19621
ko:K00632	yee:YE5303_42061
ko:K18516	yee:YE5303miscRNA0003
ko:K14221	yee:YE5303_tRNA0003
ko:K14221	yee:YE5303_tRNA0022
ko:K21365	yee:YE5303_35431
ko:K02032	yee:YE5303_06931
ko:K05799	yee:YE5303_26461
ko:K03293	yee:YE5303_41251
ko:K01406	yee:YE5303_38861
ko:K04753	yee:YE5303_03071
ko:K05874	yee:YE5303_23581
ko:K04103	yee:YE5303_09771
ko:K05934	yee:YE5303_31491
ko:K20861	yee:YE5303_21741
ko:K00230	yee:YE5303_42111
ko:K00075	yee:YE5303_43651
ko:K03524	yee:YE5303_43641
ko:K00867	yee:YE5303_43631
ko:K02358	yee:YE5303_43611
ko:K03073	yee:YE5303_43601
ko:K02601	yee:YE5303_43591
ko:K02867	yee:YE5303_43581
ko:K02863	yee:YE5303_43571
ko:K02864	yee:YE5303_43561
ko:K02935	yee:YE5303_43551
ko:K03043	yee:YE5303_43541
ko:K03046	yee:YE5303_43531
ko:K03150	yee:YE5303_43521
ko:K03149	yee:YE5303_43511
ko:K03154	yee:YE5303_43501
ko:K03148	yee:YE5303_43491
ko:K00788	yee:YE5303_43481
ko:K03147	yee:YE5303_43471
ko:K07740	yee:YE5303_43461
ko:K03426	yee:YE5303_43451
ko:K01599	yee:YE5303_43431
ko:K05982	yee:YE5303_43421
ko:K09891	yee:YE5303_43411
ko:K05787	yee:YE5303_43401
ko:K01945	yee:YE5303_43381
ko:K00602	yee:YE5303_43371
ko:K00651	yee:YE5303_00001
ko:K01638	yee:YE5303_00011
ko:K01637	yee:YE5303_00021
ko:K00906	yee:YE5303_00031
ko:K13641	yee:YE5303_00041
ko:K00548	yee:YE5303_00051
ko:K11016	yee:YE5303_00061
ko:K11017	yee:YE5303_00071
ko:K03981	yee:YE5303_04841
ko:K07462	yee:YE5303_04851
ko:K04567	yee:YE5303_04871
ko:K06915	yee:YE5303_04901
ko:K01551	yee:YE5303_04931
ko:K03893	yee:YE5303_04941
ko:K00537	yee:YE5303_04951
ko:K01551	yee:YE5303_04961
ko:K03088	yee:YE5303_04981
ko:K11811	yee:YE5303_04991
ko:K03830	yee:YE5303_05141
ko:K06946	yee:YE5303_05151
ko:K03630	yee:YE5303_05231
ko:K18838	yee:YE5303_05251
ko:K18837	yee:YE5303_05261
ko:K03893	yee:YE5303_05311
ko:K00537	yee:YE5303_05321
ko:K01187	yee:YE5303_05371
ko:K01992	yee:YE5303_10531
