ko:K11720	syt:SYNGTI_2879
ko:K07495	syt:SYNGTI_1470
ko:K07495	syt:SYNGTI_2103
ko:K07495	syt:SYNGTI_2199
ko:K07495	syt:SYNGTI_2235
ko:K06998	syt:SYNGTI_0576
ko:K19003	syt:SYNGTI_1679
ko:K17892	syt:SYNGTI_2515
ko:K01897	syt:SYNGTI_0448
ko:K03179	syt:SYNGTI_2886
ko:K06923	syt:SYNGTI_2889
ko:K00765	syt:SYNGTI_2891
ko:K04042	syt:SYNGTI_2892
ko:K06949	syt:SYNGTI_2894
ko:K03686	syt:SYNGTI_2896
ko:K01159	syt:SYNGTI_2897
ko:K01609	syt:SYNGTI_2899
ko:K03320	syt:SYNGTI_2900
ko:K03544	syt:SYNGTI_2902
ko:K01358	syt:SYNGTI_2903
ko:K03545	syt:SYNGTI_2904
ko:K00133	syt:SYNGTI_2905
ko:K01714	syt:SYNGTI_2906
ko:K00859	syt:SYNGTI_2909
ko:K06997	syt:SYNGTI_2913
ko:K02956	syt:SYNGTI_0306
ko:K07089	syt:SYNGTI_0307
ko:K00789	syt:SYNGTI_0311
ko:K05539	syt:SYNGTI_0312
ko:K02520	syt:SYNGTI_0314
ko:K00978	syt:SYNGTI_0325
ko:K01709	syt:SYNGTI_0326
ko:K01790	syt:SYNGTI_0327
ko:K01955	syt:SYNGTI_0334
ko:K01711	syt:SYNGTI_0348
ko:K10773	syt:SYNGTI_1186
ko:K01669	syt:SYNGTI_1190
ko:K01356	syt:SYNGTI_1194
ko:K00240	syt:SYNGTI_1195
ko:K09833	syt:SYNGTI_1198
ko:K09834	syt:SYNGTI_1199
ko:K03885	syt:SYNGTI_1207
ko:K01448	syt:SYNGTI_1208
ko:K01776	syt:SYNGTI_1209
ko:K03885	syt:SYNGTI_1211
ko:K03789	syt:SYNGTI_1213
ko:K01669	syt:SYNGTI_1214
ko:K03088	syt:SYNGTI_1217
ko:K01738	syt:SYNGTI_0086
ko:K00919	syt:SYNGTI_0087
ko:K02528	syt:SYNGTI_0090
ko:K09761	syt:SYNGTI_0091
ko:K04487	syt:SYNGTI_0100
ko:K03733	syt:SYNGTI_0105
ko:K02692	syt:SYNGTI_0111
ko:K01657	syt:SYNGTI_0112
ko:K13789	syt:SYNGTI_0113
ko:K02039	syt:SYNGTI_0116
ko:K09748	syt:SYNGTI_0117
ko:K02600	syt:SYNGTI_0118
ko:K07742	syt:SYNGTI_0119
ko:K02519	syt:SYNGTI_0120
ko:K05936	syt:SYNGTI_0125
ko:K03564	syt:SYNGTI_0128
ko:K09774	syt:SYNGTI_0140
ko:K03592	syt:SYNGTI_0967
ko:K01870	syt:SYNGTI_0971
ko:K02343	syt:SYNGTI_0973
ko:K06991	syt:SYNGTI_0974
ko:K00688	syt:SYNGTI_0977
ko:K07462	syt:SYNGTI_0984
ko:K00847	syt:SYNGTI_0987
ko:K01091	syt:SYNGTI_0991
ko:K00794	syt:SYNGTI_0993
ko:K02724	syt:SYNGTI_0994
ko:K02945	syt:SYNGTI_0996
ko:K03629	syt:SYNGTI_0998
ko:K00873	syt:SYNGTI_1000
ko:K01012	syt:SYNGTI_1004
ko:K03523	syt:SYNGTI_1005
ko:K03101	syt:SYNGTI_1006
ko:K00688	syt:SYNGTI_1012
ko:K02191	syt:SYNGTI_1013
ko:K00981	syt:SYNGTI_1014
ko:K03282	syt:SYNGTI_1019
ko:K03550	syt:SYNGTI_1020
ko:K15738	syt:SYNGTI_1837
ko:K06442	syt:SYNGTI_1839
ko:K00991	syt:SYNGTI_1843
ko:K03841	syt:SYNGTI_1844
ko:K11145	syt:SYNGTI_1847
ko:K03218	syt:SYNGTI_1848
ko:K01883	syt:SYNGTI_1850
