ko:K18929	cjm:CJM1_0074
ko:K10040	cjm:CJM1_0883
ko:K06921	cjm:CJM1_0768
ko:K12574	cjm:CJM1_1660
ko:K18928	cjm:CJM1_0075
ko:K18139	cjm:CJM1_0343
ko:K14234	cjm:CJM1_0452
ko:K14228	cjm:CJM1_1560
ko:K14222	cjm:CJM1_1561
ko:K14228	cjm:CJM1_1610
ko:K14219	cjm:CJM1_1611
ko:K14219	cjm:CJM1_1612
ko:K14226	cjm:CJM1_1613
ko:K14230	cjm:CJM1_1665
ko:K14233	cjm:CJM1_1666
ko:K14237	cjm:CJM1_1669
ko:K14224	cjm:CJM1_0169
ko:K14236	cjm:CJM1_0453
ko:K14234	cjm:CJM1_0455
ko:K14219	cjm:CJM1_0470
ko:K14230	cjm:CJM1_0547
ko:K14223	cjm:CJM1_0548
ko:K01980	cjm:CJM1_0413
ko:K01980	cjm:CJM1_0031
ko:K01980	cjm:CJM1_0727
ko:K01985	cjm:CJM1_0033
ko:K01985	cjm:CJM1_0729
ko:K01985	cjm:CJM1_0415
ko:K14233	cjm:CJM1_1316
ko:K14218	cjm:CJM1_1668
ko:K16089	cjm:CJM1_0428
ko:K10041	cjm:CJM1_0886
ko:K14227	cjm:CJM1_0030
ko:K14227	cjm:CJM1_0726
ko:K14227	cjm:CJM1_0412
ko:K14225	cjm:CJM1_0853
ko:K14225	cjm:CJM1_1559
ko:K14228	cjm:CJM1_0901
ko:K14221	cjm:CJM1_0912
ko:K14221	cjm:CJM1_0916
ko:K14237	cjm:CJM1_0913
ko:K14237	cjm:CJM1_0917
ko:K14224	cjm:CJM1_0914
ko:K14229	cjm:CJM1_0915
ko:K14229	cjm:CJM1_0918
ko:K14219	cjm:CJM1_0985
ko:K14220	cjm:CJM1_1207
ko:K14231	cjm:CJM1_1264
ko:K14238	cjm:CJM1_1443
ko:K01977	cjm:CJM1_0028
ko:K01977	cjm:CJM1_0724
ko:K01977	cjm:CJM1_0410
ko:K14225	cjm:CJM1_0454
ko:K14228	cjm:CJM1_0852
ko:K14233	cjm:CJM1_1562
ko:K10039	cjm:CJM1_0885
ko:K02029	cjm:CJM1_0450
ko:K02028	cjm:CJM1_0451
ko:K02030	cjm:CJM1_0957
ko:K02389	cjm:CJM1_0051
ko:K02390	cjm:CJM1_0052
ko:K03319	cjm:CJM1_0057
ko:K00566	cjm:CJM1_0058
ko:K06966	cjm:CJM1_0059
ko:K02417	cjm:CJM1_0060
ko:K02417	cjm:CJM1_0061
ko:K02416	cjm:CJM1_0062
ko:K02405	cjm:CJM1_0063
ko:K04562	cjm:CJM1_0065
ko:K02404	cjm:CJM1_0066
ko:K00950	cjm:CJM1_0067
ko:K03786	cjm:CJM1_0068
ko:K04773	cjm:CJM1_0070
ko:K00782	cjm:CJM1_0073
ko:K03303	cjm:CJM1_0076
ko:K02029	cjm:CJM1_0449
ko:K02358	cjm:CJM1_0456
ko:K02913	cjm:CJM1_0457
ko:K03073	cjm:CJM1_0459
ko:K02601	cjm:CJM1_0460
ko:K00426	cjm:CJM1_0082
ko:K01779	cjm:CJM1_0084
ko:K03648	cjm:CJM1_0085
ko:K01744	cjm:CJM1_0086
ko:K07791	cjm:CJM1_0087
ko:K09859	cjm:CJM1_0088
ko:K07337	cjm:CJM1_0090
ko:K02888	cjm:CJM1_0093
ko:K02899	cjm:CJM1_0094
ko:K03979	cjm:CJM1_0095
ko:K00425	cjm:CJM1_0081
ko:K00931	cjm:CJM1_0096
ko:K00604	cjm:CJM1_0097
ko:K03524	cjm:CJM1_0098
ko:K02109	cjm:CJM1_0101
ko:K02109	cjm:CJM1_0102
ko:K02113	cjm:CJM1_0103
ko:K02111	cjm:CJM1_0104
ko:K02115	cjm:CJM1_0105
ko:K02112	cjm:CJM1_0106
ko:K07088	cjm:CJM1_0909
ko:K05939	cjm:CJM1_0910
ko:K02004	cjm:CJM1_0920
ko:K03070	cjm:CJM1_0921
ko:K03634	cjm:CJM1_0922
ko:K12251	cjm:CJM1_0926
ko:K03406	cjm:CJM1_0930
ko:K00602	cjm:CJM1_0931
ko:K05801	cjm:CJM1_0932
ko:K01952	cjm:CJM1_0933
ko:K03650	cjm:CJM1_0934
ko:K06346	cjm:CJM1_0935
ko:K03217	cjm:CJM1_0936
