ko:K08744	mbz:LH58_09780
ko:K07029	mbz:LH58_11975
ko:K07016	mbz:LH58_14985
ko:K12349	mbz:LH58_03620
ko:K07497	mbz:LH58_18620
ko:K14232	mbz:LH58_19910
ko:K14219	mbz:LH58_05010
ko:K02036	mbz:LH58_05080
ko:K07171	mbz:LH58_10565
ko:K12439	mbz:LH58_08935
ko:K07171	mbz:LH58_02445
ko:K03297	mbz:LH58_16315
ko:K21431	mbz:LH58_04650
ko:K22316	mbz:LH58_11845
ko:K07171	mbz:LH58_06070
ko:K14233	mbz:LH58_20275
ko:K18956	mbz:LH58_00140
ko:K18957	mbz:LH58_20895
ko:K18851	mbz:LH58_00730
ko:K18958	mbz:LH58_17020
ko:K18955	mbz:LH58_17370
ko:K07068	mbz:LH58_08755
ko:K07448	mbz:LH58_13490
ko:K19311	mbz:LH58_17060
ko:K09144	mbz:LH58_15000
ko:K00344	mbz:LH58_16710
ko:K07493	mbz:LH58_18635
ko:K07493	mbz:LH58_19660
ko:K07493	mbz:LH58_05015
ko:K07064	mbz:LH58_15205
ko:K07064	mbz:LH58_18055
ko:K17840	mbz:LH58_01440
ko:K21688	mbz:LH58_05520
ko:K08884	mbz:LH58_15470
ko:K11752	mbz:LH58_14195
ko:K07100	mbz:LH58_03065
ko:K07486	mbz:LH58_12900
ko:K14228	mbz:LH58_11390
ko:K00897	mbz:LH58_20650
ko:K22311	mbz:LH58_13930
ko:K01978	mbz:LH58_21185
ko:K01977	mbz:LH58_07200
ko:K01980	mbz:LH58_07205
ko:K07497	mbz:LH58_20380
ko:K14225	mbz:LH58_01740
ko:K17484	mbz:LH58_12095
ko:K03046	mbz:LH58_03610
ko:K01151	mbz:LH58_03625
ko:K03932	mbz:LH58_03630
ko:K09456	mbz:LH58_03635
ko:K01692	mbz:LH58_03640
ko:K02616	mbz:LH58_03645
ko:K01692	mbz:LH58_03650
ko:K06994	mbz:LH58_03655
ko:K02950	mbz:LH58_03685
ko:K02992	mbz:LH58_03690
ko:K02355	mbz:LH58_03695
ko:K02358	mbz:LH58_03700
ko:K03101	mbz:LH58_08360
ko:K06180	mbz:LH58_08365
ko:K06886	mbz:LH58_08375
ko:K07124	mbz:LH58_08385
ko:K02337	mbz:LH58_08400
ko:K00631	mbz:LH58_08415
ko:K00244	mbz:LH58_08425
ko:K00246	mbz:LH58_08435
ko:K00247	mbz:LH58_08440
ko:K06994	mbz:LH58_08455
ko:K01754	mbz:LH58_08465
ko:K01236	mbz:LH58_08480
ko:K00833	mbz:LH58_08515
ko:K00652	mbz:LH58_08520
ko:K01935	mbz:LH58_08525
ko:K01012	mbz:LH58_08550
ko:K03517	mbz:LH58_08575
ko:K00278	mbz:LH58_08580
ko:K00767	mbz:LH58_08585
ko:K00013	mbz:LH58_08600
ko:K00817	mbz:LH58_08605
ko:K01693	mbz:LH58_08610
ko:K02501	mbz:LH58_08615
ko:K01814	mbz:LH58_08620
ko:K01817	mbz:LH58_08620
ko:K01092	mbz:LH58_08625
ko:K02500	mbz:LH58_08630
ko:K01496	mbz:LH58_08635
ko:K07300	mbz:LH58_08640
ko:K03564	mbz:LH58_08645
ko:K01657	mbz:LH58_08650
ko:K01609	mbz:LH58_08660
ko:K01696	mbz:LH58_08665
ko:K01695	mbz:LH58_08670
ko:K06966	mbz:LH58_13280
ko:K00627	mbz:LH58_13300
ko:K00162	mbz:LH58_13305
ko:K00161	mbz:LH58_13310
ko:K01644	mbz:LH58_13320
ko:K11263	mbz:LH58_13335
ko:K01969	mbz:LH58_13340
ko:K01029	mbz:LH58_13345
ko:K01028	mbz:LH58_13350
ko:K00666	mbz:LH58_13355
ko:K06902	mbz:LH58_13370
ko:K07124	mbz:LH58_13375
ko:K06915	mbz:LH58_13380
ko:K13288	mbz:LH58_13385
ko:K03564	mbz:LH58_13455
ko:K00997	mbz:LH58_13465
ko:K11533	mbz:LH58_13470
ko:K01584	mbz:LH58_13510
ko:K03625	mbz:LH58_13520
ko:K02356	mbz:LH58_13525
ko:K03786	mbz:LH58_13540
ko:K01735	mbz:LH58_13545
ko:K00891	mbz:LH58_13550
ko:K01736	mbz:LH58_13555
ko:K01778	mbz:LH58_14470
ko:K02031	mbz:LH58_19790
ko:K02032	mbz:LH58_19790
ko:K15582	mbz:LH58_19795
ko:K15581	mbz:LH58_19800
ko:K15580	mbz:LH58_19805
ko:K01895	mbz:LH58_19815
ko:K10773	mbz:LH58_19850
ko:K01738	mbz:LH58_19905
ko:K09117	mbz:LH58_19930
ko:K03924	mbz:LH58_19950
ko:K00864	mbz:LH58_19970
ko:K00864	mbz:LH58_19975
ko:K07008	mbz:LH58_20010
ko:K01919	mbz:LH58_20020
ko:K00133	mbz:LH58_20045
ko:K00928	mbz:LH58_20050
ko:K02342	mbz:LH58_20060
ko:K07009	mbz:LH58_20070
ko:K06187	mbz:LH58_20080
ko:K09747	mbz:LH58_20085
ko:K01448	mbz:LH58_20090
ko:K00574	mbz:LH58_20105
ko:K02343	mbz:LH58_20110
ko:K07001	mbz:LH58_20155
ko:K06937	mbz:LH58_20160
ko:K09129	mbz:LH58_20195
ko:K09966	mbz:LH58_20240
ko:K11991	mbz:LH58_20280
ko:K04517	mbz:LH58_20290
ko:K09957	mbz:LH58_20295
ko:K05846	mbz:LH58_20300
ko:K05846	mbz:LH58_20305
ko:K05847	mbz:LH58_20310
ko:K05845	mbz:LH58_20315
ko:K14953	mbz:LH58_20335
ko:K02484	mbz:LH58_20340
ko:K00817	mbz:LH58_20400
ko:K01692	mbz:LH58_20415
ko:K16649	mbz:LH58_20470
ko:K16653	mbz:LH58_20510
ko:K16652	mbz:LH58_20515
ko:K13686	mbz:LH58_20520
ko:K11387	mbz:LH58_20525
ko:K11385	mbz:LH58_20530
ko:K11386	mbz:LH58_20535
ko:K12437	mbz:LH58_20560
ko:K12428	mbz:LH58_20565
ko:K13687	mbz:LH58_20585
ko:K14136	mbz:LH58_20590
ko:K16650	mbz:LH58_20600
ko:K01854	mbz:LH58_20605
ko:K14952	mbz:LH58_20655
ko:K06994	mbz:LH58_20680
ko:K12425	mbz:LH58_20700
ko:K01875	mbz:LH58_20740
ko:K04518	mbz:LH58_20760
ko:K04564	mbz:LH58_20815
ko:K02553	mbz:LH58_20850
ko:K10215	mbz:LH58_20855
ko:K04477	mbz:LH58_20865
ko:K00266	mbz:LH58_20880
ko:K00265	mbz:LH58_20885
ko:K14743	mbz:LH58_20960
ko:K00970	mbz:LH58_21075
ko:K01126	mbz:LH58_20780
ko:K03980	mbz:LH58_21090
ko:K03088	mbz:LH58_21095
ko:K00384	mbz:LH58_21105
ko:K03671	mbz:LH58_21110
ko:K03501	mbz:LH58_21135
ko:K06346	mbz:LH58_21140
ko:K03217	mbz:LH58_21145
ko:K08998	mbz:LH58_21150
ko:K03536	mbz:LH58_21155
ko:K02914	mbz:LH58_21160
ko:K00101	mbz:LH58_03750
ko:K02946	mbz:LH58_03795
ko:K02906	mbz:LH58_03800
ko:K02926	mbz:LH58_03805
ko:K02892	mbz:LH58_03810
ko:K02886	mbz:LH58_03815
ko:K02965	mbz:LH58_03820
ko:K02890	mbz:LH58_03825
ko:K02982	mbz:LH58_03830
ko:K02878	mbz:LH58_03835
ko:K02904	mbz:LH58_03840
ko:K02961	mbz:LH58_03845
ko:K02874	mbz:LH58_03865
ko:K02895	mbz:LH58_03870
ko:K02931	mbz:LH58_03875
ko:K02954	mbz:LH58_03880
ko:K02994	mbz:LH58_03890
ko:K02933	mbz:LH58_03895
ko:K02881	mbz:LH58_03900
ko:K02988	mbz:LH58_03905
ko:K02907	mbz:LH58_03910
ko:K02876	mbz:LH58_03915
ko:K04773	mbz:LH58_03920
ko:K01628	mbz:LH58_03935
ko:K00058	mbz:LH58_03940
ko:K00854	mbz:LH58_03945
ko:K02283	mbz:LH58_19770
ko:K12510	mbz:LH58_19765
ko:K03076	mbz:LH58_03965
ko:K00939	mbz:LH58_03970
ko:K01265	mbz:LH58_03975
ko:K03088	mbz:LH58_03980
ko:K00873	mbz:LH58_08695
ko:K10805	mbz:LH58_08700
ko:K16012	mbz:LH58_08710
ko:K16013	mbz:LH58_08715
ko:K00426	mbz:LH58_08720
ko:K00425	mbz:LH58_08725
ko:K02945	mbz:LH58_08765
ko:K00859	mbz:LH58_08770
ko:K09146	mbz:LH58_08775
ko:K03702	mbz:LH58_08780
ko:K14340	mbz:LH58_08790
ko:K03701	mbz:LH58_08805
ko:K04567	mbz:LH58_08820
ko:K02520	mbz:LH58_08825
ko:K02916	mbz:LH58_08830
ko:K02887	mbz:LH58_08835
ko:K03437	mbz:LH58_08840
