ko:K03559	ctry:CTRC46_03145
ko:K14228	ctry:CTRC46_t04744
ko:K14219	ctry:CTRC46_t04746
ko:K14219	ctry:CTRC46_t04762
ko:K14228	ctry:CTRC46_t04752
ko:K14228	ctry:CTRC46_t04754
ko:K14232	ctry:CTRC46_t04758
ko:K14218	ctry:CTRC46_t04760
ko:K04084	ctry:CTRC46_03135
ko:K14218	ctry:CTRC46_t04722
ko:K14233	ctry:CTRC46_t04750
ko:K01980	ctry:CTRC46_r04794
ko:K01980	ctry:CTRC46_r04796
ko:K14220	ctry:CTRC46_t04712
ko:K14234	ctry:CTRC46_t04716
ko:K14234	ctry:CTRC46_t04734
ko:K14236	ctry:CTRC46_t04718
ko:K14227	ctry:CTRC46_t04720
ko:K14230	ctry:CTRC46_t04724
ko:K14230	ctry:CTRC46_t04736
ko:K14221	ctry:CTRC46_t04728
ko:K14235	ctry:CTRC46_t04732
ko:K14233	ctry:CTRC46_t04740
ko:K14229	ctry:CTRC46_t04766
ko:K14224	ctry:CTRC46_t04768
ko:K01985	ctry:CTRC46_r04786
ko:K01985	ctry:CTRC46_r04788
ko:K14222	ctry:CTRC46_t04776
ko:K14223	ctry:CTRC46_t04778
ko:K14233	ctry:CTRC46_t04782
ko:K14233	ctry:CTRC46_t04738
ko:K14234	ctry:CTRC46_t04764
ko:K14225	ctry:CTRC46_t04770
ko:K14228	ctry:CTRC46_t04748
ko:K14228	ctry:CTRC46_t04784
ko:K14232	ctry:CTRC46_t04714
ko:K14237	ctry:CTRC46_t04730
ko:K14230	ctry:CTRC46_t04726
ko:K01977	ctry:CTRC46_r04790
ko:K01977	ctry:CTRC46_r04792
ko:K00567	ctry:CTRC46_02510
ko:K02034	ctry:CTRC46_02515
ko:K02033	ctry:CTRC46_02520
ko:K02035	ctry:CTRC46_02525
ko:K01772	ctry:CTRC46_02565
ko:K02030	ctry:CTRC46_02570
ko:K07099	ctry:CTRC46_02580
ko:K00975	ctry:CTRC46_02585
ko:K03628	ctry:CTRC46_02595
ko:K00859	ctry:CTRC46_02600
ko:K03301	ctry:CTRC46_02615
ko:K00995	ctry:CTRC46_02620
ko:K03495	ctry:CTRC46_02640
ko:K03800	ctry:CTRC46_02645
ko:K00940	ctry:CTRC46_02650
ko:K03550	ctry:CTRC46_02655
ko:K01159	ctry:CTRC46_02660
ko:K00134	ctry:CTRC46_02675
ko:K02879	ctry:CTRC46_02680
ko:K03040	ctry:CTRC46_02685
ko:K02948	ctry:CTRC46_02690
ko:K02952	ctry:CTRC46_02695
ko:K03076	ctry:CTRC46_02700
ko:K02876	ctry:CTRC46_02705
ko:K02988	ctry:CTRC46_02710
ko:K02881	ctry:CTRC46_02715
ko:K02933	ctry:CTRC46_02720
ko:K02994	ctry:CTRC46_02725
ko:K02931	ctry:CTRC46_02730
ko:K02895	ctry:CTRC46_02735
ko:K02874	ctry:CTRC46_02740
ko:K02961	ctry:CTRC46_02745
ko:K02904	ctry:CTRC46_02750
ko:K02878	ctry:CTRC46_02755
ko:K09779	ctry:CTRC46_00010
ko:K02435	ctry:CTRC46_00015
ko:K02433	ctry:CTRC46_00020
ko:K02434	ctry:CTRC46_00025
ko:K03471	ctry:CTRC46_00050
ko:K02517	ctry:CTRC46_00060
ko:K00425	ctry:CTRC46_00075
ko:K00426	ctry:CTRC46_00080
ko:K07175	ctry:CTRC46_00085
ko:K01870	ctry:CTRC46_00105
ko:K03100	ctry:CTRC46_00110
ko:K02909	ctry:CTRC46_00120
ko:K02835	ctry:CTRC46_00125
ko:K02493	ctry:CTRC46_00130
ko:K03106	ctry:CTRC46_00135
ko:K02959	ctry:CTRC46_00140
ko:K00554	ctry:CTRC46_00145
ko:K02884	ctry:CTRC46_00150
ko:K03470	ctry:CTRC46_00155
ko:K00942	ctry:CTRC46_00160
ko:K01929	ctry:CTRC46_04020
ko:K01000	ctry:CTRC46_04025
ko:K01925	ctry:CTRC46_04030
ko:K03588	ctry:CTRC46_04040
ko:K02563	ctry:CTRC46_04045
ko:K06960	ctry:CTRC46_04055
ko:K00791	ctry:CTRC46_04070
ko:K09710	ctry:CTRC46_04085
ko:K09458	ctry:CTRC46_04090
ko:K01507	ctry:CTRC46_04100
ko:K00263	ctry:CTRC46_04110
ko:K01082	ctry:CTRC46_04115
ko:K00655	ctry:CTRC46_04120
ko:K01909	ctry:CTRC46_04125
ko:K00652	ctry:CTRC46_04130
ko:K04066	ctry:CTRC46_04135
ko:K04567	ctry:CTRC46_04150
ko:K01883	ctry:CTRC46_04155
ko:K03536	ctry:CTRC46_04170
ko:K02919	ctry:CTRC46_04175
ko:K02954	ctry:CTRC46_04180
ko:K03703	ctry:CTRC46_04205
ko:K03555	ctry:CTRC46_04210
ko:K14164	ctry:CTRC46_04235
ko:K00995	ctry:CTRC46_04240
ko:K00703	ctry:CTRC46_04245
ko:K02897	ctry:CTRC46_04250
ko:K01056	ctry:CTRC46_04255
ko:K02990	ctry:CTRC46_04260
ko:K02963	ctry:CTRC46_04265
ko:K02939	ctry:CTRC46_04270
ko:K00919	ctry:CTRC46_04275
ko:K01874	ctry:CTRC46_00170
ko:K03581	ctry:CTRC46_00175
ko:K01494	ctry:CTRC46_00200
ko:K03551	ctry:CTRC46_00210
ko:K01255	ctry:CTRC46_00240
ko:K02340	ctry:CTRC46_00250
ko:K07056	ctry:CTRC46_00255
ko:K00164	ctry:CTRC46_00290
ko:K00658	ctry:CTRC46_00295
ko:K05810	ctry:CTRC46_00300
ko:K03526	ctry:CTRC46_00305
ko:K02400	ctry:CTRC46_00320
ko:K02405	ctry:CTRC46_00325
ko:K01866	ctry:CTRC46_00330
ko:K00033	ctry:CTRC46_00335
ko:K03596	ctry:CTRC46_00340
ko:K03301	ctry:CTRC46_00345
ko:K11707	ctry:CTRC46_00360
ko:K11710	ctry:CTRC46_00365
ko:K11708	ctry:CTRC46_00370
ko:K11709	ctry:CTRC46_00375
ko:K00099	ctry:CTRC46_00380
ko:K03629	ctry:CTRC46_00395
ko:K02338	ctry:CTRC46_00400
ko:K03664	ctry:CTRC46_00405
ko:K03734	ctry:CTRC46_00410
ko:K01491	ctry:CTRC46_00415
ko:K01408	ctry:CTRC46_04290
ko:K00630	ctry:CTRC46_04295
ko:K08301	ctry:CTRC46_04300
ko:K02911	ctry:CTRC46_04315
ko:K03621	ctry:CTRC46_04320
ko:K03431	ctry:CTRC46_04355
ko:K00820	ctry:CTRC46_04360
ko:K03834	ctry:CTRC46_04365
ko:K03834	ctry:CTRC46_04375
ko:K14225	ctry:CTRC46_t04772
ko:K14219	ctry:CTRC46_t04756
ko:K14231	ctry:CTRC46_t04742
ko:K06890	ctry:CTRC46_04380
ko:K03110	ctry:CTRC46_04385
ko:K01903	ctry:CTRC46_04390
ko:K01902	ctry:CTRC46_04395
ko:K09760	ctry:CTRC46_04410
ko:K17103	ctry:CTRC46_04415
ko:K03439	ctry:CTRC46_04430
ko:K00075	ctry:CTRC46_04440
ko:K03625	ctry:CTRC46_04450
ko:K02520	ctry:CTRC46_04455
ko:K02916	ctry:CTRC46_04460
ko:K02887	ctry:CTRC46_04465
ko:K01889	ctry:CTRC46_04470
ko:K11720	ctry:CTRC46_04485
ko:K07091	ctry:CTRC46_04490
ko:K04075	ctry:CTRC46_04495
ko:K03798	ctry:CTRC46_04500
ko:K00962	ctry:CTRC46_04505
ko:K02956	ctry:CTRC46_04510
ko:K02902	ctry:CTRC46_00450
ko:K00705	ctry:CTRC46_00455
ko:K04058	ctry:CTRC46_00465
ko:K03230	ctry:CTRC46_00470
ko:K03229	ctry:CTRC46_00475
ko:K06942	ctry:CTRC46_00480
ko:K11753	ctry:CTRC46_00485
ko:K03177	ctry:CTRC46_00490
ko:K02834	ctry:CTRC46_00495
ko:K02519	ctry:CTRC46_00500
ko:K02600	ctry:CTRC46_00505
ko:K02945	ctry:CTRC46_00510
ko:K00384	ctry:CTRC46_00515
ko:K00997	ctry:CTRC46_00520
ko:K00208	ctry:CTRC46_00540
ko:K06179	ctry:CTRC46_00555
ko:K03575	ctry:CTRC46_00560
ko:K04077	ctry:CTRC46_00575
ko:K04078	ctry:CTRC46_00580
ko:K08602	ctry:CTRC46_00585
ko:K03695	ctry:CTRC46_00595
ko:K01783	ctry:CTRC46_00635
ko:K02356	ctry:CTRC46_00640
ko:K02160	ctry:CTRC46_00645
ko:K01961	ctry:CTRC46_00650
ko:K02871	ctry:CTRC46_00660
ko:K02996	ctry:CTRC46_00665
ko:K00939	ctry:CTRC46_00675
ko:K02029	ctry:CTRC46_00680
ko:K02028	ctry:CTRC46_00685
ko:K07058	ctry:CTRC46_00695
ko:K01265	ctry:CTRC46_04555
ko:K03321	ctry:CTRC46_04590
ko:K03527	ctry:CTRC46_04605
ko:K04763	ctry:CTRC46_04645
ko:K00700	ctry:CTRC46_04655
ko:K06999	ctry:CTRC46_00715
ko:K07566	ctry:CTRC46_00720
ko:K02035	ctry:CTRC46_00730
ko:K09125	ctry:CTRC46_00735
ko:K07039	ctry:CTRC46_00740
ko:K01972	ctry:CTRC46_00770
ko:K06889	ctry:CTRC46_00785
ko:K02913	ctry:CTRC46_00790
ko:K09808	ctry:CTRC46_00795
ko:K09810	ctry:CTRC46_00800
ko:K03720	ctry:CTRC46_00880
ko:K01696	ctry:CTRC46_00890
ko:K01695	ctry:CTRC46_00895
ko:K02035	ctry:CTRC46_00910
ko:K03611	ctry:CTRC46_00915
ko:K02049	ctry:CTRC46_00935
ko:K00979	ctry:CTRC46_00945
ko:K01937	ctry:CTRC46_00950
ko:K02982	ctry:CTRC46_02760
ko:K02890	ctry:CTRC46_02765
ko:K02965	ctry:CTRC46_02770
ko:K02886	ctry:CTRC46_02775
ko:K02892	ctry:CTRC46_02780
ko:K02926	ctry:CTRC46_02785
ko:K02906	ctry:CTRC46_02790
ko:K00604	ctry:CTRC46_02800
ko:K00677	ctry:CTRC46_02805
ko:K02372	ctry:CTRC46_02810
ko:K02535	ctry:CTRC46_02815
ko:K03820	ctry:CTRC46_02820
ko:K02342	ctry:CTRC46_02830
ko:K06925	ctry:CTRC46_02835
ko:K03671	ctry:CTRC46_02845
ko:K03216	ctry:CTRC46_02850
ko:K01876	ctry:CTRC46_02860
ko:K01892	ctry:CTRC46_02865
ko:K07783	ctry:CTRC46_02870
ko:K02337	ctry:CTRC46_02875
ko:K07258	ctry:CTRC46_02905
ko:K03311	ctry:CTRC46_02920
ko:K00382	ctry:CTRC46_02935
ko:K03644	ctry:CTRC46_02940
ko:K03222	ctry:CTRC46_02945
ko:K03223	ctry:CTRC46_02960
ko:K03226	ctry:CTRC46_02965
ko:K03227	ctry:CTRC46_02970
ko:K03228	ctry:CTRC46_02975
ko:K02455	ctry:CTRC46_03005
ko:K02454	ctry:CTRC46_03010
ko:K02453	ctry:CTRC46_03015
ko:K07447	ctry:CTRC46_00955
ko:K00036	ctry:CTRC46_00960
ko:K01057	ctry:CTRC46_00965
ko:K02343	ctry:CTRC46_00970
ko:K00943	ctry:CTRC46_00975
ko:K01262	ctry:CTRC46_03025
ko:K03572	ctry:CTRC46_03030
ko:K01868	ctry:CTRC46_03060
ko:K01867	ctry:CTRC46_03080
ko:K03702	ctry:CTRC46_03085
ko:K01689	ctry:CTRC46_03090
ko:K07315	ctry:CTRC46_03095
ko:K00240	ctry:CTRC46_03110
ko:K00239	ctry:CTRC46_03115
ko:K00241	ctry:CTRC46_03120
ko:K00241	ctry:CTRC46_03125
ko:K03424	ctry:CTRC46_03130
ko:K03562	ctry:CTRC46_03140
ko:K03641	ctry:CTRC46_03155
ko:K03640	ctry:CTRC46_03160
ko:K03386	ctry:CTRC46_03175
ko:K02428	ctry:CTRC46_03195
ko:K03648	ctry:CTRC46_03205
ko:K03657	ctry:CTRC46_03210
ko:K03092	ctry:CTRC46_03215
ko:K06137	ctry:CTRC46_03220
ko:K13941	ctry:CTRC46_03235
ko:K01633	ctry:CTRC46_03240
ko:K03086	ctry:CTRC46_03245
ko:K02968	ctry:CTRC46_03255
ko:K02469	ctry:CTRC46_00980
ko:K02470	ctry:CTRC46_00985
ko:K00773	ctry:CTRC46_01000
ko:K06213	ctry:CTRC46_01005
ko:K01409	ctry:CTRC46_01020
ko:K15580	ctry:CTRC46_01025
ko:K15581	ctry:CTRC46_01030
ko:K15582	ctry:CTRC46_01035
ko:K10823	ctry:CTRC46_01040
ko:K15583	ctry:CTRC46_01045
ko:K03319	ctry:CTRC46_01055
ko:K00850	ctry:CTRC46_01060
ko:K06889	ctry:CTRC46_01065
ko:K00895	ctry:CTRC46_01070
ko:K02527	ctry:CTRC46_01075
ko:K01869	ctry:CTRC46_01080
ko:K01845	ctry:CTRC46_01085
ko:K07735	ctry:CTRC46_01090
ko:K08999	ctry:CTRC46_01095
ko:K01807	ctry:CTRC46_01100
ko:K03787	ctry:CTRC46_01125
ko:K03179	ctry:CTRC46_01130
ko:K03186	ctry:CTRC46_01135
ko:K03308	ctry:CTRC46_01195
ko:K02078	ctry:CTRC46_01220
ko:K00059	ctry:CTRC46_01225
ko:K00645	ctry:CTRC46_01230
ko:K00648	ctry:CTRC46_01235
ko:K06187	ctry:CTRC46_01240
ko:K07277	ctry:CTRC46_01245
ko:K06142	ctry:CTRC46_01250
ko:K02536	ctry:CTRC46_01255
ko:K00161	ctry:CTRC46_01265
ko:K00162	ctry:CTRC46_01270
ko:K00627	ctry:CTRC46_01275
ko:K00688	ctry:CTRC46_01280
ko:K02313	ctry:CTRC46_01290
ko:K03217	ctry:CTRC46_01295
ko:K07052	ctry:CTRC46_01310
ko:K04487	ctry:CTRC46_01330
ko:K02342	ctry:CTRC46_01345
ko:K07083	ctry:CTRC46_01350
ko:K01962	ctry:CTRC46_01365
ko:K01448	ctry:CTRC46_01380
ko:K01928	ctry:CTRC46_01385
ko:K03587	ctry:CTRC46_01390
ko:K03438	ctry:CTRC46_01400
ko:K02313	ctry:CTRC46_01415
ko:K00347	ctry:CTRC46_01430
ko:K00348	ctry:CTRC46_01435
ko:K00349	ctry:CTRC46_01440
ko:K00350	ctry:CTRC46_01445
ko:K02437	ctry:CTRC46_01450
ko:K03800	ctry:CTRC46_01465
ko:K03696	ctry:CTRC46_01470
ko:K00566	ctry:CTRC46_01475
