ko:K19405	ctlm:L2BAMS3_00710
ko:K01921	ctlm:L2BAMS3_00810
ko:K01924	ctlm:L2BAMS3_00810
ko:K02342	ctlm:L2BAMS3_00266
ko:K02806	ctlm:L2BAMS3_00295
ko:K02806	ctlm:L2BAMS3_00296
ko:K02123	ctlm:L2BAMS3_00310
ko:K02120	ctlm:L2BAMS3_00311
ko:K02118	ctlm:L2BAMS3_00312
ko:K02117	ctlm:L2BAMS3_00313
ko:K02124	ctlm:L2BAMS3_00309
ko:K02035	ctlm:L2BAMS3_00174
ko:K02049	ctlm:L2BAMS3_00179
ko:K01409	ctlm:L2BAMS3_00198
ko:K15582	ctlm:L2BAMS3_00201
ko:K10823	ctlm:L2BAMS3_00202
ko:K15583	ctlm:L2BAMS3_00203
ko:K06889	ctlm:L2BAMS3_00207
ko:K00059	ctlm:L2BAMS3_00242
ko:K07052	ctlm:L2BAMS3_00259
ko:K02121	ctlm:L2BAMS3_00315
ko:K00616	ctlm:L2BAMS3_00318
ko:K02433	ctlm:L2BAMS3_00004
ko:K03471	ctlm:L2BAMS3_00009
ko:K11707	ctlm:L2BAMS3_00070
ko:K11710	ctlm:L2BAMS3_00071
ko:K11708	ctlm:L2BAMS3_00072
ko:K11709	ctlm:L2BAMS3_00073
ko:K00033	ctlm:L2BAMS3_00066
ko:K03177	ctlm:L2BAMS3_00095
ko:K06179	ctlm:L2BAMS3_00107
ko:K00939	ctlm:L2BAMS3_00130
ko:K02035	ctlm:L2BAMS3_00141
ko:K06889	ctlm:L2BAMS3_00153
ko:K03856	ctlm:L2BAMS3_00395
ko:K00970	ctlm:L2BAMS3_00424
ko:K09815	ctlm:L2BAMS3_00430
ko:K02454	ctlm:L2BAMS3_00598
ko:K01262	ctlm:L2BAMS3_00601
ko:K07315	ctlm:L2BAMS3_00615
ko:K00241	ctlm:L2BAMS3_00620
ko:K00241	ctlm:L2BAMS3_00621
ko:K03386	ctlm:L2BAMS3_00631
ko:K02428	ctlm:L2BAMS3_00635
ko:K00813	ctlm:L2BAMS3_00669
ko:K01934	ctlm:L2BAMS3_00681
ko:K00970	ctlm:L2BAMS3_00743
ko:K01596	ctlm:L2BAMS3_00750
ko:K00972	ctlm:L2BAMS3_00755
ko:K01834	ctlm:L2BAMS3_00762
ko:K06910	ctlm:L2BAMS3_00776
ko:K07117	ctlm:L2BAMS3_00777
ko:K01507	ctlm:L2BAMS3_00820
ko:K01082	ctlm:L2BAMS3_00822
ko:K01909	ctlm:L2BAMS3_00824
ko:K00652	ctlm:L2BAMS3_00825
ko:K01408	ctlm:L2BAMS3_00856
ko:K01719	ctlm:L2BAMS3_00451
ko:K00380	ctlm:L2BAMS3_00453
ko:K01885	ctlm:L2BAMS3_00464
ko:K07098	ctlm:L2BAMS3_00480
ko:K01679	ctlm:L2BAMS3_00912
ko:K04763	ctlm:L2BAMS3_00923
ko:K00700	ctlm:L2BAMS3_00925
ko:K08483	ctlm:L2BAMS3_00346
ko:K11189	ctlm:L2BAMS3_00347
ko:K00784	ctlm:L2BAMS3_00357
ko:K00567	ctlm:L2BAMS3_00499
ko:K02033	ctlm:L2BAMS3_00501
ko:K02035	ctlm:L2BAMS3_00502
ko:K02030	ctlm:L2BAMS3_00510
ko:K02342	ctlm:L2BAMS3_00562
ko:K07258	ctlm:L2BAMS3_00578
ko:K03227	ctlm:L2BAMS3_00590
ko:K14233	ctlm:L2BAMS3_00890
ko:K11645	ctlm:L2BAMS3_00218
ko:K02412	ctlm:L2BAMS3_00757
ko:K02411	ctlm:L2BAMS3_00758
ko:K02409	ctlm:L2BAMS3_00759
ko:K13819	ctlm:L2BAMS3_00760
ko:K04487	ctlm:L2BAMS3_00761
ko:K06178	ctlm:L2BAMS3_00763
ko:K03524	ctlm:L2BAMS3_00765
ko:K05837	ctlm:L2BAMS3_00766
ko:K01875	ctlm:L2BAMS3_00769
ko:K11752	ctlm:L2BAMS3_00770
ko:K14652	ctlm:L2BAMS3_00771
ko:K00794	ctlm:L2BAMS3_00772
ko:K03310	ctlm:L2BAMS3_00775
ko:K03466	ctlm:L2BAMS3_00779
ko:K00351	ctlm:L2BAMS3_00784
ko:K03210	ctlm:L2BAMS3_00785
ko:K00231	ctlm:L2BAMS3_00789
ko:K01599	ctlm:L2BAMS3_00791
ko:K03723	ctlm:L2BAMS3_00792
ko:K01872	ctlm:L2BAMS3_00793
ko:K00615	ctlm:L2BAMS3_00797
ko:K01241	ctlm:L2BAMS3_00798
ko:K02356	ctlm:L2BAMS3_00799
ko:K01929	ctlm:L2BAMS3_00804
ko:K01000	ctlm:L2BAMS3_00805
ko:K01925	ctlm:L2BAMS3_00806
ko:K03588	ctlm:L2BAMS3_00808
ko:K01214	ctlm:L2BAMS3_00044
ko:K02313	ctlm:L2BAMS3_00280
ko:K00347	ctlm:L2BAMS3_00283
ko:K00348	ctlm:L2BAMS3_00284
ko:K00349	ctlm:L2BAMS3_00285
ko:K00350	ctlm:L2BAMS3_00286
ko:K02437	ctlm:L2BAMS3_00287
